,Round
11655,5
2474,0
14359,6
12470,0
12069,0
7789,4
6425,0
9252,3
3209,0
12175,0
7821,0
12851,0
8397,0
12877,0
7507,3
6917,0
2828,0
13055,0
6767,0
14331,2
7158,0
7739,0
7464,0
12526,0
13622,0
1991,0
7288,0
7672,0
12453,0
7148,2
7062,0
12019,0
2989,0
3068,0
6624,7
7661,0
2830,0
13221,0
11829,0
15125,0
14584,0
6953,0
6638,5
8042,0
14825,2
12088,0
2154,0
2105,3
11652,0
13975,4
12149,2
13541,0
2050,0
7734,0
7204,6
2826,4
7194,7
9307,0
12314,0
2480,0
2527,6
13209,0
8368,0
13173,0
14879,0
14102,0
13010,1
12655,0
14940,3
8376,0
14592,4
2506,0
12942,7
3126,5
14727,0
11679,6
11814,0
12711,0
14083,0
12938,0
2686,0
8073,7
14285,0
7486,0
14782,0
13018,0
14780,0
12837,4
1895,0
8359,0
8127,0
9322,2
6897,0
11626,0
3124,0
14213,4
9279,3
11602,0
11409,0
2911,0
14963,0
9162,7
1900,0
14328,0
13182,0
7861,0
14638,4
7565,0
7437,0
9326,4
7483,0
11675,0
6307,0
9255,7
15077,0
14220,0
12855,0
13909,0
12858,0
13130,0
11639,0
6529,0
14724,0
8394,2
1807,0
12249,0
45,0
14589,0
6395,0
9196,0
2535,1
14813,0
12623,0
15174,0
11430,0
9133,6
6735,0
2068,6
9115,0
6737,0
3004,0
7340,0
12887,3
2583,0
9344,7
13947,0
8490,6
7196,7
13646,5
6388,0
13856,0
6519,2
13669,0
1741,0
13364,0
3349,0
13031,6
2872,0
12114,0
8278,0
1838,0
6378,0
14856,5
14804,4
12067,0
13206,0
9141,5
2207,0
12566,0
2005,0
13778,5
11505,0
2865,0
11510,0
13805,1
3159,0
6879,0
13607,3
1968,0
14784,7
6921,0
14009,0
14324,0
12557,0
7580,0
12324,0
3005,2
7756,7
1784,0
14421,0
2403,0
15188,2
2621,0
2041,0
8382,0
2365,0
6920,0
13729,6
8177,7
15057,0
6919,0
13077,6
8325,0
9153,1
8616,0
12078,7
13164,0
12916,0
13124,0
13960,0
6644,0
3090,0
1610,4
1781,0
7695,0
14767,0
12237,0
2932,0
