,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
601,Cole Snyder,35,2019,2024,39,563,975,412,57.7,6047,35,17,3.6,1.7,118.2,6.2,6.14,10.7,155.1,QB,"Buffalo,Eastern Michigan,Rutgers"
602,Jalon Daniels,35,2020,2024,29,419,670,251,62.5,4923,35,19,5.2,2.8,135.8,7.3,7.12,11.7,169.8,QB,Kansas
603,James Vandenberg,35,2009,2012,32,507,888,381,57.1,5786,35,20,3.9,2.3,120.3,6.5,6.29,11.4,180.8,QB,Iowa
604,Jamie Newman,35,2017,2019,21,306,506,200,60.5,3959,35,16,6.9,3.2,142.7,7.8,7.78,12.9,188.5,QB,Wake Forest
605,Jason Johnson,35,1999,2002,39,413,719,306,57.4,5749,35,26,4.9,3.6,133.4,8,7.34,13.9,147.4,QB,Arizona
606,Joe Spagnola,35,1968,1970,30,282,551,269,51.2,4396,35,28,6.4,5.1,129,8,6.96,15.6,146.5,QB,Arizona State
607,Joe Youngblood,35,1990,1993,25,331,572,241,57.9,4718,35,29,6.1,5.1,137.2,8.2,7.19,14.3,188.7,QB,Central Michigan
608,Kurt Page,35,1981,1984,44,531,936,405,56.7,6233,35,44,3.7,4.7,115.6,6.7,5.29,11.7,141.7,QB,Vanderbilt
609,Matt Bohnet,35,2004,2005,21,448,785,337,57.1,4988,35,17,4.5,2.2,120.8,6.4,6.27,11.1,237.5,QB,Eastern Michigan
610,Mike Romo,35,1989,1991,24,601,1034,433,58.1,6041,35,38,3.4,3.7,111,5.8,4.87,10.1,251.7,QB,SMU
611,Mike Shula,35,1983,1986,32,313,578,265,54.2,4069,35,30,6.1,5.2,122.9,7,5.92,13,127.2,QB,Alabama
612,Nealon Greene,35,1994,1997,39,432,741,309,58.3,5504,35,23,4.7,3.1,130.1,7.4,6.98,12.7,141.1,QB,Clemson
613,Nicholas Vattiato,35,2021,2024,24,517,777,260,66.5,5434,35,24,4.5,3.1,134,7,6.5,10.5,226.4,QB,Middle Tennessee State
614,Phil Horvath,35,2004,2006,29,397,630,233,63,4887,35,24,5.6,3.8,138.9,7.8,7.15,12.3,168.5,QB,Northern Illinois
615,Ross Bowers,35,2015,2020,30,569,977,408,58.2,6590,35,22,3.6,2.3,122.2,6.7,6.45,11.6,219.7,QB,"California,Northern Illinois"
616,Ryan Clement,35,1994,1997,37,427,721,294,59.2,5730,35,27,4.9,3.7,134.5,7.9,7.23,13.4,154.9,QB,Miami (FL)
617,Sonny Sixkiller,35,1970,1972,32,385,811,426,47.5,5496,35,51,4.3,6.3,106.1,6.8,4.81,14.3,171.8,QB,Washington
618,Tyler Hansen,35,2008,2011,33,506,872,366,58,5705,35,28,4,3.2,119.8,6.5,5.9,11.3,172.9,QB,Colorado
619,Behren Morton,34,2021,2024,25,382,628,246,60.8,4049,34,16,5.4,2.5,127.8,6.4,6.38,10.6,162,QB,Texas Tech
620,Brooks Dawson,34,1966,1968,29,219,488,269,44.9,3348,34,21,7,4.3,116.9,6.9,6.32,15.3,115.4,QB,UTEP
621,Buster O'Brien,34,1966,1968,30,349,688,339,50.7,4424,34,27,4.9,3.9,113.2,6.4,5.65,12.7,147.5,QB,Richmond
622,Chip Ferguson,34,1985,1988,38,281,496,215,56.7,3846,34,28,6.9,5.6,133.1,7.8,6.58,13.7,101.2,QB,Florida State
623,Chuck Hartlieb,34,1985,1988,46,461,716,255,64.4,6269,34,17,4.7,2.4,148.9,8.8,8.64,13.6,136.3,QB,Iowa
624,Damon Huard,34,1992,1995,37,458,764,306,59.9,5692,34,28,4.5,3.7,129.9,7.5,6.69,12.4,153.8,QB,Washington
625,Dan Ellington,34,2018,2019,24,401,647,246,62,4566,34,13,5.3,2,134.6,7.1,7.2,11.4,190.3,QB,Georgia State
626,Dan Persa,34,2008,2011,41,460,633,173,72.7,5181,34,13,5.4,2.1,155,8.2,8.33,11.3,126.4,QB,Northwestern
627,Derrick Vickers,34,2000,2003,40,492,927,435,53.1,5388,34,23,3.7,2.5,109,5.8,5.43,11,134.7,QB,Central Michigan
628,D.J. Shockley,34,2002,2005,38,240,443,203,54.2,3555,34,9,7.7,2,142.8,8,8.65,14.8,93.6,QB,Georgia
629,Jamie Howard,34,1992,1995,36,459,934,475,49.1,6158,34,47,3.6,5,106.5,6.6,5.06,13.4,171.1,QB,LSU
630,Jeff Welsh,34,1997,2001,34,382,633,251,60.3,4849,34,18,5.4,2.8,136.7,7.7,7.45,12.7,142.6,QB,Western Michigan
631,John Hessler,34,1995,1997,27,347,627,280,55.3,4788,34,26,5.4,4.1,129.1,7.6,6.85,13.8,177.3,QB,Colorado
632,John Madeya,34,1970,1972,31,352,719,367,49,4356,34,43,4.7,6,103.5,6.1,4.31,12.4,140.5,QB,Louisville
633,John Rhys Plumlee,34,2019,2023,52,464,760,296,61.1,5838,34,19,4.5,2.5,135.3,7.7,7.45,12.6,112.3,QB,"Ole Miss,UCF"
634,Jordan Jefferson,34,2008,2011,42,397,678,281,58.6,4733,34,20,5,2.9,127.8,7,6.66,11.9,112.7,QB,LSU
635,Justin Holman,34,2013,2016,32,395,739,344,53.5,4916,34,31,4.6,4.2,116.1,6.7,5.68,12.4,153.6,QB,UCF
636,Malik Rosier,34,2014,2018,35,337,632,295,53.3,4543,34,25,5.4,4,123.5,7.2,6.48,13.5,129.8,QB,Miami (FL)
637,Maxwell Smith,34,2011,2015,33,402,686,284,58.6,4599,34,11,5,1.6,128.1,6.7,6.97,11.4,139.4,QB,"Kentucky,San Diego State"
638,Mike Ford,34,1977,1980,44,475,885,410,53.7,6239,34,54,3.8,6.1,113.4,7,5.07,13.1,141.8,QB,SMU
639,Mike Sherwood,34,1968,1970,31,328,571,243,57.4,4318,34,25,6,4.4,131.9,7.6,6.78,13.2,139.3,QB,West Virginia
640,Nick Marshall,34,2013,2014,26,320,532,212,60.2,4508,34,13,6.4,2.4,147.5,8.5,8.65,14.1,173.4,QB,Auburn
641,Paul McCall,34,2006,2009,44,417,768,351,54.3,5189,34,19,4.4,2.5,120.7,6.8,6.53,12.4,117.9,QB,Florida International
642,Pete Thomas,34,2010,2014,42,817,1315,498,62.1,8544,34,35,2.6,2.7,119.9,6.5,5.82,10.5,203.4,QB,"Colorado State,Louisiana-Monroe,North Carolina State"
643,Rich Haynie,34,1971,1973,30,299,662,363,45.2,4283,34,40,5.1,6,104.4,6.5,4.78,14.3,142.8,QB,Air Force
644,Richard Lagow,34,2016,2017,23,425,733,308,58,5298,34,25,4.6,3.4,127.2,7.2,6.62,12.5,230.3,QB,Indiana
645,Shai Werts,34,2017,2021,54,301,528,227,57,3777,34,12,6.4,2.3,133.8,7.2,7.42,12.5,69.9,QB,"Georgia Southern,Louisville"
646,Steve Stamp,34,1978,1981,40,350,674,324,51.9,5123,34,45,5,6.7,119.1,7.6,5.61,14.6,128.1,QB,Texas Christian
647,Tavares Bolden,34,1999,2001,32,484,803,319,60.3,5282,34,16,4.2,2,125.5,6.6,6.53,10.9,165.1,QB,Toledo
648,Tim Jefferson,34,2008,2011,46,290,515,225,56.3,4599,34,18,6.6,3.5,146.1,8.9,8.68,15.9,100,QB,Air Force
649,Tommy Suggs,34,1968,1970,31,346,655,309,52.8,4818,34,40,5.2,6.1,119.5,7.4,5.65,13.9,155.4,QB,South Carolina
650,Turner Gill,34,1980,1983,46,231,428,197,54,3317,34,11,7.9,2.6,140.1,7.8,8.18,14.4,72.1,QB,Nebraska
651,Wayne Madkin,34,1998,2001,42,462,887,425,52.1,6336,34,35,3.8,3.9,116.8,7.1,6.13,13.7,150.9,QB,Mississippi State
652,Wayne Peace,34,1980,1983,42,610,991,381,61.6,7206,34,40,3.4,4,125.9,7.3,6.14,11.8,171.6,QB,Florida
653,Andy Schmitt,33,2006,2009,34,607,966,359,62.8,5867,33,25,3.4,2.6,120,6.1,5.59,9.7,172.6,QB,Eastern Michigan
654,Barry Lunney Jr.,33,1992,1995,44,476,866,390,55,5782,33,28,3.8,3.2,117.2,6.7,5.98,12.1,131.4,QB,Arkansas
655,Byrum Brown,33,2022,2024,21,378,591,213,64,4398,33,12,5.6,2,140.8,7.4,7.64,11.6,209.4,QB,South Florida
656,Cameron Coffman,33,2012,2015,23,401,657,256,61,4714,33,22,5,3.3,131.2,7.2,6.67,11.8,205,QB,"Indiana,Wyoming"
657,Carroll Williams,33,1964,1966,30,267,551,284,48.5,4000,33,31,6,5.6,117.9,7.3,5.93,15,133.3,QB,Xavier
658,Chris Lewis,33,2000,2003,30,350,713,363,49.1,4346,33,31,4.6,4.3,106.9,6.1,5.06,12.4,144.9,QB,Stanford
659,C.J. Brown,33,2010,2014,35,437,803,366,54.4,5372,33,23,4.1,2.9,118.4,6.7,6.22,12.3,153.5,QB,Maryland
660,Cody Hodges,33,2002,2005,19,360,543,183,66.3,4267,33,13,6.1,2.4,147.6,7.9,8,11.9,224.6,QB,Texas Tech
661,Colin Reardon,33,2013,2016,41,496,895,399,55.4,5327,33,29,3.7,3.2,111.1,6,5.23,10.7,129.9,QB,Kent State
662,Craig Burnett,33,1986,1987,24,350,616,266,56.8,4041,33,21,5.4,3.4,122.8,6.6,6.1,11.5,168.4,QB,Wyoming
663,Dan Speltz,33,1988,1989,22,350,583,233,60,4595,33,19,5.7,3.3,138.4,7.9,7.55,13.1,208.9,QB,Cal State Fullerton
664,Donovan Porterie,33,2006,2009,37,614,1058,444,58,6756,33,29,3.1,2.7,116.5,6.4,5.78,11,182.6,QB,New Mexico
665,Eli Peters,33,2016,2020,22,296,499,203,59.3,3771,33,12,6.6,2.4,139.8,7.6,7.8,12.7,171.4,QB,Toledo
666,Eric Hunter,33,1989,1992,44,422,818,396,51.6,5598,33,32,4,3.9,114.6,6.8,5.89,13.3,127.2,QB,Purdue
667,Jeff Tuel,33,2009,2012,31,530,864,334,61.3,5932,33,25,3.8,2.9,125.8,6.9,6.33,11.2,191.4,QB,Washington State
668,Joe Southwick,33,2010,2013,37,439,633,194,69.4,4784,33,13,5.2,2.1,145.9,7.6,7.68,10.9,129.3,QB,Boise State
669,Jonathan Beasley,33,1996,2000,37,259,544,285,47.6,4642,33,18,6.1,3.3,132.7,8.5,8.26,17.9,125.5,QB,Kansas State
670,Jordan Wynn,33,2009,2012,22,381,632,251,60.3,4637,33,17,5.2,2.7,133.8,7.3,7.17,12.2,210.8,QB,Utah
671,Kent Smith,33,2002,2005,26,453,785,332,57.7,5179,33,15,4.2,1.9,123.2,6.6,6.58,11.4,199.2,QB,Central Michigan
672,Kevin Fant,33,2000,2003,37,461,866,405,53.2,5631,33,43,3.8,5,110.5,6.5,5.03,12.2,152.2,QB,Mississippi State
673,Lance McIlhenny,33,1980,1983,44,223,490,267,45.5,3701,33,21,6.7,4.3,122.6,7.6,6.97,16.6,84.1,QB,SMU
674,Lee Saltz,33,1983,1986,44,339,655,316,51.8,5171,33,29,5,4.4,125.8,7.9,6.91,15.3,117.5,QB,Temple
675,Leon Clay,33,1989,1992,28,326,626,300,52.1,3963,33,26,5.3,4.2,114.3,6.3,5.52,12.2,141.5,QB,Texas Christian
676,Matt Kupec,33,1976,1979,44,305,552,247,55.3,3840,33,25,6,4.5,124.4,7,6.11,12.6,87.3,QB,North Carolina
677,Matt Moore,33,2002,2006,37,525,898,373,58.5,6700,33,32,3.7,3.6,126.1,7.5,6.59,12.8,181.1,QB,"Oregon State,UCLA"
678,Matt Scott,33,2008,2012,34,415,675,260,61.5,4921,33,19,4.9,2.8,133.2,7.3,7,11.9,144.7,QB,Arizona
679,Mike Glass III,33,2018,2019,20,338,518,180,65.3,4193,33,12,6.4,2.3,149.6,8.1,8.33,12.4,209.7,QB,Eastern Michigan
680,Mike Hohensee,33,1981,1982,22,392,722,330,54.3,4792,33,31,4.6,4.3,116.5,6.6,5.62,12.2,217.8,QB,Minnesota
681,Mike Moschetti,33,1998,1999,21,366,607,241,60.3,4797,33,19,5.4,3.1,138.4,7.9,7.58,13.1,228.4,QB,Colorado
