,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
1,Case Keenum,155,2007,2011,57,1546,2229,683,69.4,19217,155,46,7,2.1,160.6,8.6,9.08,12.4,337.1,QB,Houston
2,Kellen Moore,142,2008,2011,53,1157,1658,501,69.8,14667,142,28,8.6,1.7,169,8.8,9.8,12.7,276.7,QB,Boise State
3,Graham Harrell,134,2005,2008,45,1403,2011,608,69.8,15793,134,34,6.7,1.7,154.3,7.9,8.43,11.3,351,QB,Texas Tech
4,Sam Hartman,134,2018,2023,60,1135,1898,763,59.8,15656,134,49,7.1,2.6,147.2,8.2,8.5,13.8,260.9,QB,"Notre Dame,Wake Forest"
5,Dillon Gabriel,131,2019,2024,53,1129,1758,629,64.2,15779,131,26,7.5,1.5,161.2,9,9.8,14,297.7,QB,"Oklahoma,Oregon,UCF"
6,Rakeem Cato,131,2011,2014,53,1153,1838,685,62.7,14079,131,44,7.1,2.4,145.8,7.7,8.01,12.2,265.6,QB,Marshall
7,Timmy Chang,117,2000,2004,53,1388,2436,1048,57,17072,117,80,4.8,3.3,125.1,7,6.49,12.3,322.1,QB,Hawaii
8,Brent Stockstill,106,2014,2018,45,1055,1610,555,65.5,12495,106,35,6.6,2.2,148.1,7.8,8.1,11.8,277.7,QB,Middle Tennessee State
9,J.T. Barrett,104,2014,2017,50,769,1211,442,63.5,9434,104,30,8.6,2.5,152.3,7.8,8.39,12.3,188.7,QB,Ohio State
10,Will Rogers,102,2020,2024,47,1385,1987,602,69.7,13363,102,28,5.1,1.4,140.3,6.7,7.12,9.6,284.3,QB,"Mississippi State,Washington"
11,Chase Daniel,101,2005,2008,51,1094,1609,515,68,12515,101,41,6.3,2.5,148.9,7.8,7.89,11.4,245.4,QB,Missouri
12,Chase Clement,99,2005,2008,45,832,1387,555,60,9785,99,34,7.1,2.5,137.9,7.1,7.38,11.8,217.4,QB,Rice
13,Tim Hiller,99,2005,2009,44,1013,1608,595,63,11329,99,41,6.2,2.5,137.4,7,7.13,11.2,257.5,QB,Western Michigan
14,Holton Ahlers,97,2018,2022,55,1127,1857,730,60.7,13927,97,37,5.2,2,136.9,7.5,7.65,12.4,253.2,QB,East Carolina
15,Trevor Vittatoe,97,2007,2010,49,914,1641,727,55.7,12439,97,42,5.9,2.6,133.8,7.6,7.61,13.6,253.9,QB,UTEP
16,Zach Terrell,96,2013,2016,49,908,1387,479,65.5,12088,96,31,6.9,2.2,157,8.7,9.09,13.3,246.7,QB,Western Michigan
17,Jake Browning,94,2015,2018,53,958,1483,525,64.6,12296,94,34,6.3,2.3,150.6,8.3,8.53,12.8,232,QB,Washington
18,Max Hall,94,2007,2009,39,903,1382,479,65.3,11365,94,40,6.8,2.9,151.1,8.2,8.28,12.6,291.4,QB,BYU
19,Mason Fine,93,2016,2019,49,1039,1655,616,62.8,12505,93,34,5.6,2.1,140.7,7.6,7.76,12,255.2,QB,North Texas
20,Brady White,92,2016,2020,44,794,1281,487,62,10949,92,31,7.2,2.4,152.6,8.5,8.89,13.8,248.8,QB,"Arizona State,Memphis"
21,Frank Harris,92,2019,2023,54,1034,1547,513,66.8,11862,92,31,5.9,2,146.9,7.7,7.96,11.5,219.7,QB,UTSA
22,Grayson McCall,91,2019,2024,45,760,1091,331,69.7,10481,91,16,8.3,1.5,174.9,9.6,10.62,13.8,232.9,QB,"Coastal Carolina,North Carolina State"
23,Brett Rypien,90,2015,2018,50,1036,1619,583,64,13581,90,29,5.6,1.8,149.2,8.4,8.69,13.1,271.6,QB,Boise State
24,Connor Halliday,90,2011,2014,35,1014,1634,620,62.1,11308,90,50,5.5,3.1,132.2,6.9,6.65,11.2,323.1,QB,Washington State
25,Cooper Rush,90,2013,2016,50,1022,1648,626,62,12894,90,55,5.5,3.3,139.1,7.8,7.41,12.6,257.9,QB,Central Michigan
26,Taylor Lamb,90,2014,2017,51,754,1240,486,60.8,9786,90,32,7.3,2.6,145.9,7.9,8.18,13,191.9,QB,Appalachian State
27,Todd Reesing,90,2006,2009,41,932,1461,529,63.8,11194,90,33,6.2,2.3,144,7.7,7.88,12,273,QB,Kansas
28,Chevan Cordeiro,88,2018,2023,61,971,1624,653,59.8,12191,88,32,5.4,2,136.8,7.5,7.7,12.6,199.9,QB,"Hawaii,San Jose State"
29,Chris Leak,88,2003,2006,51,895,1458,563,61.4,11213,88,42,6,2.9,140.1,7.7,7.6,12.5,219.9,QB,Florida
30,Layne Hatcher,88,2019,2023,51,860,1386,526,62,10662,88,36,6.3,2.6,142.4,7.7,7.79,12.4,209.1,QB,"Arkansas State,Ball State,Texas State"
31,Nick Mullens,87,2013,2016,44,928,1546,618,60,11994,87,46,5.6,3,137.8,7.8,7.54,12.9,272.6,QB,Southern Mississippi
32,Shane Buechele,87,2016,2020,46,952,1508,556,63.1,11660,87,32,5.8,2.1,142.9,7.7,7.93,12.2,253.5,QB,"SMU,Texas"
33,Tim Lester,87,1996,1999,44,875,1507,632,58.1,11299,87,49,5.8,3.3,133.6,7.5,7.19,12.9,256.8,QB,Western Michigan
34,Troy Kopp,87,1989,1992,40,798,1374,576,58.1,10258,87,47,6.3,3.4,134.8,7.5,7.19,12.9,256.5,QB,Pacific
35,Seth Henigan,86,2021,2024,41,937,1468,531,63.8,11876,86,27,5.9,1.8,147.4,8.1,8.43,12.7,289.7,QB,Memphis
36,Shane Carden,86,2012,2014,39,1052,1579,527,66.6,11991,86,30,5.4,1.9,144.6,7.6,7.83,11.4,307.5,QB,East Carolina
37,Trevone Boykin,86,2012,2015,48,830,1356,526,61.2,10728,86,37,6.3,2.7,143.1,7.9,7.95,12.9,223.5,QB,Texas Christian
38,Chase Holbrook,85,2006,2008,36,1086,1566,480,69.3,11846,85,41,5.4,2.6,145.6,7.6,7.47,10.9,329.1,QB,New Mexico State
39,Tanner Mordecai,85,2018,2023,46,850,1281,431,66.4,9857,85,27,6.6,2.1,148.7,7.7,8.07,11.6,214.3,QB,"Oklahoma,SMU,Wisconsin"
40,Chris Reynolds,84,2018,2022,46,793,1273,480,62.3,10266,84,35,6.6,2.7,146.3,8.1,8.15,12.9,223.2,QB,Charlotte
41,Dane Evans,84,2013,2016,46,904,1577,673,57.3,11680,84,47,5.3,3,131.2,7.4,7.13,12.9,253.9,QB,Tulsa
42,Jarret Doege,84,2017,2022,53,996,1552,556,64.2,11069,84,37,5.4,2.4,137.2,7.1,7.14,11.1,208.8,QB,"Bowling Green,Troy,West Virginia"
43,Paul Pinegar,84,2002,2005,49,842,1405,563,59.9,10136,84,49,6,3.5,133.3,7.2,6.84,12,206.9,QB,Fresno State
44,Austin Davis,83,2008,2011,47,933,1527,594,61.1,10892,83,27,5.4,1.8,135.4,7.1,7.42,11.7,231.7,QB,Southern Mississippi
45,Justice Hansen,83,2016,2018,38,788,1261,473,62.5,10133,83,33,6.6,2.6,146.5,8,8.17,12.9,266.7,QB,Arkansas State
46,Paul Smith,83,2003,2007,47,808,1292,484,62.5,10936,83,35,6.4,2.7,149.4,8.5,8.53,13.5,232.7,QB,Tulsa
47,Ryan Dinwiddie,82,2000,2003,42,622,992,370,62.7,9819,82,21,8.3,2.1,168.9,9.9,10.6,15.8,233.8,QB,Boise State
48,Ryan Schneider,82,2000,2003,39,840,1354,514,62,10976,82,51,6.1,3.8,142.6,8.1,7.62,13.1,281.4,QB,UCF
