,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
2601,Kenny Christian,1169,1996,2000,35,124,1169,9.4,3,33.4,WR,Eastern Michigan
2602,Matt Curry,1169,1998,2001,37,82,1169,14.3,6,31.6,WR,Kent State
2603,Cedric Williams,1168,1994,1998,43,90,1168,13,8,27.2,WR,Louisiana Tech
2604,Mariet Ford,1168,1981,1982,22,87,1168,13.4,4,53.1,WR,California
2605,Aubrey Quarles,1167,2008,2010,25,85,1167,13.7,6,46.7,WR,Kansas State
2606,Brian Francis,1167,1990,1993,36,87,1167,13.4,3,32.4,WR,Louisiana Tech
2607,Clifton Robinson,1167,1997,2000,45,91,1167,12.8,2,25.9,WR,Auburn
2608,Ed Hill,1167,1990,1993,31,78,1167,15,10,37.6,WR,West Virginia
2609,Eric Judge,1167,2013,2016,45,68,1167,17.2,7,25.9,WR,San Diego State
2610,Jeff Nelson,1167,1982,1985,39,92,1167,12.7,11,29.9,WR,Texas A&M
2611,Mike Dennis,1167,1964,1966,30,55,1167,21.2,8,38.9,RB,Louisville
2612,Willie Jackson,1167,1970,1972,33,75,1167,15.6,8,35.4,WR,Florida
2613,Andrew Mooney,1166,2004,2008,34,90,1166,13,14,34.3,TE,"New Mexico State,Ohio"
2614,Bobby Good,1166,2003,2006,28,82,1166,14.2,8,41.6,WR,East Carolina
2615,Bruce Hubbard,1166,1967,1969,30,74,1166,15.8,1,38.9,WR,Northwestern
2616,Don Ellingsen,1166,1956,1958,30,86,1166,13.6,7,38.9,WR,Washington State
2617,Steve Cox,1166,1965,1966,20,92,1166,12.7,5,58.3,WR,San Jose State
2618,Jemalle Cornelius,1165,2003,2006,50,82,1165,14.2,7,23.3,WR,Florida
2619,Larry Bostic,1165,2002,2006,47,118,1165,9.9,9,24.8,RB,Ball State
2620,Pat Walker,1165,1977,1980,44,66,1165,17.7,6,26.5,WR,Miami (FL)
2621,Perry Jones,1165,2009,2012,48,129,1165,9,4,24.3,RB,Virginia
2622,Rashad Lawrence,1165,2010,2013,48,96,1165,12.1,2,24.3,WR,Northwestern
2623,Andre Patton,1164,2013,2016,36,90,1164,12.9,10,32.3,WR,Rutgers
2624,Aaron Martin,1163,1999,2002,42,76,1163,15.3,8,27.7,WR,Rutgers
2625,Da'Mari Scott,1163,2013,2017,45,91,1163,12.8,5,25.8,WR,Fresno State
2626,Alex Bachman,1162,2015,2018,48,82,1162,14.2,10,24.2,WR,Wake Forest
2627,Greg Hudson,1162,1972,1974,34,83,1162,14,9,34.2,WR,Arizona State
2628,Joshua McCain,1162,2013,2014,19,76,1162,15.3,9,61.2,WR,Idaho
2629,Ronnie Barnett,1162,1973,1975,32,58,1162,20,13,36.3,WR,Texas-Arlington
2630,B.J. Johnson,1161,2014,2016,33,80,1161,14.5,6,35.2,,Georgia Southern
2631,Bob Stephenson,1161,1978,1981,44,110,1161,10.6,5,26.4,TE,Indiana
2632,Chris Gaiters,1161,1987,1989,33,86,1161,13.5,9,35.2,WR,Minnesota
2633,Demari Simpkins,1161,2016,2019,54,106,1161,11,6,21.5,WR,Utah
2634,Chuck Walker,1160,2001,2004,47,93,1160,12.5,3,24.7,WR,Arkansas State
2635,Dave Kalina,1160,1968,1969,20,88,1160,13.2,7,58,WR,Miami (FL)
2636,Deon Murphy,1160,2007,2008,24,94,1160,12.3,11,48.3,WR,Kansas State
2637,Wiley Pitts,1160,1976,1979,43,92,1160,12.6,8,27,WR,Temple
2638,Alex Chisum,1159,2011,2015,51,88,1159,13.2,5,22.7,WR,Cincinnati
2639,Matthew Golden,1159,2022,2024,24,89,1159,13,16,48.3,WR,"Houston,Texas"
2640,Steve Jenkins,1159,2019,2021,26,78,1159,14.9,8,44.6,WR,Nevada-Las Vegas
2641,Tebiarus Gill,1159,2009,2010,26,99,1159,11.7,12,44.6,WR,Troy
2642,Anthony Smith,1158,1977,1980,44,82,1158,14.1,3,26.3,WR,SMU
2643,Cortez Lewis,1158,2015,2017,35,88,1158,13.2,5,33.1,WR,Wake Forest
2644,Jerard Rabb,1158,2005,2006,26,75,1158,15.4,9,44.5,WR,Boise State
2645,Kendal Keys,1158,2014,2018,50,99,1158,11.7,12,23.2,WR,Nevada-Las Vegas
2646,Chris Bouyer,1157,1988,1992,33,85,1157,13.6,7,35.1,WR,Pitt
2647,Dwight McDonald,1157,1974,1974,11,86,1157,13.5,7,105.2,WR,San Diego State
2648,Guy Ingles,1157,1968,1970,31,74,1157,15.6,11,37.3,WR,Nebraska
2649,Larry Rose III,1157,2014,2017,44,133,1157,8.7,5,26.3,RB,New Mexico State
2650,Lawrence Cager,1157,2015,2019,43,78,1157,14.8,14,26.9,WR,"Georgia,Miami (FL)"
2651,Antwan Davis,1156,2017,2020,32,95,1156,12.2,4,36.1,WR,Ball State
2652,Devin Voisin,1156,2019,2024,46,87,1156,13.3,6,25.1,WR,South Alabama
2653,Mark Stevens,1156,1982,1984,33,88,1156,13.1,4,35,TE,Navy
2654,Rick Owens,1156,1965,1967,27,95,1156,12.2,7,42.8,WR,Pennsylvania
2655,Will Pauling,1156,2021,2024,29,106,1156,10.9,7,39.9,WR,"Cincinnati,Wisconsin"
2656,Herb Gainer,1155,1984,1987,41,71,1155,16.3,11,28.2,WR,Florida State
2657,Keyshawn Smith,1155,2020,2024,47,79,1155,14.6,9,24.6,WR,"Miami (FL),SMU"
2658,Phil August,1155,1973,1976,43,61,1155,18.9,4,26.9,WR,Miami (FL)
2659,Tony Ellison,1155,2015,2018,47,69,1155,16.7,11,24.6,WR,Arizona
2660,Germany Thompson,1153,1998,1999,21,82,1153,14.1,8,54.9,WR,New Mexico
2661,Darrin Charles,1152,2001,2004,50,84,1152,13.7,9,23,WR,Wisconsin
2662,Kurt Heinrich,1152,1981,1985,45,76,1152,15.2,12,25.6,WR,Pacific
2663,Steven McBride,1152,2020,2024,37,84,1152,13.7,9,31.1,WR,"Hawaii,Kansas"
2664,Trey Watts,1152,2010,2013,49,131,1152,8.8,6,23.5,RB,Tulsa
2665,Walter Brooks Jr.,1152,1990,1991,22,59,1152,19.5,8,52.4,WR,San Jose State
2666,Kirk Pendleton,1151,1981,1983,33,76,1151,15.1,13,34.9,WR,BYU
2667,Moose Muhammad III,1151,2020,2024,36,78,1151,14.8,11,32,WR,Texas A&M
2668,Ricky Williams,1151,1997,2001,46,172,1151,6.7,6,25,RB,Texas Tech
2669,Darius Hanks,1150,2007,2011,45,84,1150,13.7,7,25.6,WR,Alabama
2670,Frank Murphy,1150,1971,1973,30,68,1150,16.9,13,38.3,WR,Air Force
2671,Jake McGee,1150,2011,2015,50,112,1150,10.3,11,23,TE,"Florida,Virginia"
2672,Keenan Barnes,1150,2015,2018,36,81,1150,14.2,9,31.9,WR,Louisiana
2673,Mario Hill,1150,2002,2005,40,86,1150,13.4,4,28.8,WR,Ole Miss
2674,Michael Wiley,1150,2019,2023,49,123,1150,9.3,12,23.5,RB,Arizona
2675,Paul Williams,1150,1975,1977,33,81,1150,14.2,6,34.8,WR,Air Force
2676,Tracey Wistrom,1150,1998,2001,45,58,1150,19.8,10,25.6,TE,Nebraska
2677,Cornel West,1149,1992,1995,31,91,1149,12.6,6,37.1,WR,Nevada
2678,Delane Hart-Johnson,1149,2015,2018,37,59,1149,19.5,8,31.1,WR,New Mexico
2679,Derrick Deese,1149,2018,2021,34,86,1149,13.4,11,33.8,TE,San Jose State
2680,John Liebe,1149,1976,1980,44,69,1149,16.7,6,26.1,WR,Kansas State
2681,Robbie Wheeler,1149,1995,1997,31,103,1149,11.2,11,37.1,WR,Houston
