,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
2201,Bryson Daily,1404,2021,2024,19,285,1404,4.9,14,73.9,QB,Army
2202,Jim Littrell,1404,1973,1975,33,237,1404,5.9,1,42.5,RB,Oklahoma
2203,Steve Abrams,1404,1989,1992,43,326,1404,4.3,10,32.7,RB,Utah
2204,Taylor Kelly,1404,2011,2014,39,403,1404,3.5,13,36,QB,Arizona State
2205,Bobby Mulgado,1402,1956,1957,20,228,1402,6.1,14,70.1,RB,Arizona State
2206,Dave Dawson,1402,2002,2005,42,251,1402,5.6,6,33.4,RB,Buffalo
2207,J.C. Stafford,1402,1978,1981,43,356,1402,3.9,7,32.6,RB,Kent State
2208,Julian Reams,1402,2005,2008,41,413,1402,3.4,11,34.2,RB,Florida International
2209,Seth Smith,1401,2009,2010,25,347,1401,4,4,56,RB,New Mexico State
2210,Andy Socha,1399,1965,1966,20,330,1399,4.2,6,70,RB,Marshall
2211,Jesse Ertz,1399,2014,2017,23,256,1399,5.5,15,60.8,QB,Kansas State
2212,Diondre Borel,1398,2007,2010,43,499,1398,2.8,18,32.5,QB,Utah State
2213,Donald Lindsey,1398,1991,1995,44,331,1398,4.2,10,31.8,RB,San Jose State
2214,Murry Hill,1398,1985,1989,24,264,1398,5.3,7,58.3,RB,Alabama
2215,Troy King,1398,1979,1982,44,249,1398,5.6,9,31.8,RB,Wisconsin
2216,James Mosley,1397,1971,1973,33,301,1397,4.6,8,42.3,RB,Texas Tech
2217,Jaymes Bryant,1397,1986,1989,44,311,1397,4.5,9,31.8,RB,Ohio State
2218,Noah Cain,1396,2019,2023,51,306,1396,4.6,25,27.4,RB,"LSU,Penn State"
2219,Scott McKay,1396,1998,2000,34,220,1396,6.3,11,41.1,RB,Air Force
2220,Synjyn Days,1396,2011,2014,45,255,1396,5.5,18,31,QB,Georgia Tech
2221,Patrick Walsh,1394,1993,1996,45,344,1394,4.1,11,31,RB,San Jose State
2222,Steadman Shealy,1393,1977,1979,33,269,1393,5.2,17,42.2,QB,Alabama
2223,Chance Bell,1392,2018,2022,47,307,1392,4.5,9,29.6,RB,San Diego State
2224,Dean Jones,1392,1976,1977,22,310,1392,4.5,18,63.3,QB,Fresno State
2225,Joe Bergeron,1392,2011,2013,37,272,1392,5.1,25,37.6,RB,Texas
2226,Les Webster,1392,1965,1967,30,395,1392,3.5,8,46.4,RB,Iowa State
2227,Michael Ford,1392,2010,2012,37,243,1392,5.7,13,37.6,RB,LSU
2228,Robert Hughes,1392,2007,2010,47,321,1392,4.3,15,29.6,RB,Notre Dame
