,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1401,Harrison Hill,1535,1997,2001,36,108,1535,14.2,7,42.6,WR,Kansas
1402,Brandon Johnson,1534,2016,2021,59,117,1534,13.1,12,26,WR,"Tennessee,UCF"
1403,Chandler Williams,1534,2005,2006,21,128,1534,12,3,73,WR,Florida International
1404,Chris Owusu,1534,2008,2011,35,102,1534,15,10,43.8,WR,Stanford
1405,Cody Cardwell,1534,1999,2002,41,116,1534,13.2,7,37.4,WR,SMU
1406,Derrick Franklin,1534,1993,1996,45,123,1534,12.5,6,34.1,WR,Tulane
1407,Dontavia Bogan,1534,2007,2010,49,107,1534,14.3,12,31.3,WR,South Florida
1408,Herb Waters,1534,2012,2015,46,99,1534,15.5,9,33.3,WR,Miami (FL)
1409,Kenny Mitchell,1534,1995,1998,44,88,1534,17.4,10,34.9,WR,Arizona State
1410,Kerwin Cook,1533,1997,2000,35,111,1533,13.8,14,43.8,WR,Tulane
1411,Griffin Hebert,1532,2018,2022,56,99,1532,15.5,14,27.4,TE,Louisiana Tech
1412,Isaiah Zuber,1532,2016,2019,51,141,1532,10.9,13,30,WR,"Kansas State,Mississippi State"
1413,Jaylen Hall,1532,2018,2021,43,85,1532,18,14,35.6,WR,Western Michigan
1414,Tom Murphy,1532,1983,1985,33,100,1532,15.3,7,46.4,WR,Miami (OH)
1415,Andrae Thurman,1530,2000,2002,34,105,1530,14.6,5,45,WR,Arizona
1416,Dennis Ross,1529,1985,1988,34,118,1529,13,7,45,WR,Iowa State
1417,Marshall Williams,1529,2008,2010,37,110,1529,13.9,10,41.3,WR,Wake Forest
1418,Quintin Morris,1529,2017,2020,40,125,1529,12.2,13,38.2,WR,Bowling Green
1419,Spider Gaines,1529,1975,1978,44,66,1529,23.2,16,34.8,WR,Washington
1420,Brian Musso,1527,1994,1997,45,117,1527,13.1,10,33.9,WR,Northwestern
1421,Danzel Mckinley-Lewis,1527,2016,2021,58,103,1527,14.8,8,26.3,WR,Toledo
1422,Jeff Raikes,1527,1979,1982,45,75,1527,20.4,13,33.9,WR,Colorado State
1423,Ryan Scott,1527,2003,2006,45,114,1527,13.4,9,33.9,WR,Memphis
1424,Corey Lacanaria,1525,2014,2018,48,161,1525,9.5,8,31.8,WR,Ball State
