,,,,,,Rushing,,,,,,
1565,Jim Herndon,1692,1974,1975,20,314,1692,5.4,14,84.6,RB,Drake
1566,Steve Bishop,1692,1977,1980,43,313,1692,5.4,8,39.3,RB,Furman
1567,Gus Edwards,1690,2013,2017,44,350,1690,4.8,18,38.4,RB,"Miami (FL),Rutgers"
1568,Brad Lester,1689,2004,2008,41,371,1689,4.6,19,41.2,RB,Auburn
1569,Derek Homer,1689,1997,2000,44,353,1689,4.8,11,38.4,RB,Kentucky
1570,Jerome Oliver,1689,1994,1995,23,379,1689,4.5,11,73.4,RB,Fresno State
1571,Nate Ilaoa,1689,2002,2006,38,222,1689,7.6,20,44.4,WR,Hawaii
1572,Vincent White,1689,1979,1982,44,321,1689,5.3,12,38.4,RB,Stanford
1573,Bryce Oglesby,1688,1980,1983,44,320,1688,5.3,6,38.4,RB,Oregon State
1574,Dae Dae Hunter,1688,2020,2022,28,277,1688,6.1,13,60.3,RB,"Hawaii,Liberty"
1575,Dave Mohapp,1688,1978,1981,44,354,1688,4.8,10,38.4,RB,Wisconsin
1576,Josh Johnson,1688,2018,2020,29,308,1688,5.5,16,58.2,RB,Louisiana-Monroe
1577,Shelby Gamble,1688,1979,1981,33,395,1688,4.3,17,51.2,RB,Boston College
1578,Glasco Martin,1687,2010,2013,37,348,1687,4.8,25,45.6,RB,Baylor
1579,Kevorian Barnes,1687,2021,2024,31,319,1687,5.3,13,54.4,RB,UTSA
1580,Dan Watkins,1686,1973,1975,33,357,1686,4.7,12,51.1,RB,Kent State
1581,Joe Kozar,1686,1964,1966,30,476,1686,3.5,20,56.2,RB,Miami (OH)
1582,Darnell Powell,1685,1972,1975,44,352,1685,4.8,12,38.3,RB,Chattanooga
1583,Rodney Taylor,1684,1985,1988,44,350,1684,4.8,14,38.3,RB,Northern Illinois
1584,Connor Shaw,1683,2010,2013,43,452,1683,3.7,17,39.1,QB,South Carolina
1585,Jim O'Connor,1682,1973,1974,18,371,1682,4.5,4,93.4,RB,Drake
1586,Kent Kitzmann,1682,1976,1978,33,419,1682,4,9,51,RB,Minnesota
1587,Mulbah Car,1682,2016,2021,53,357,1682,4.7,12,31.7,RB,Houston
1588,Ernie Cook,1680,1969,1971,31,344,1680,4.9,15,54.2,RB,Minnesota
1589,Andy Smith,1679,1986,1988,34,285,1679,5.9,13,49.4,RB,Air Force
1590,Eric Booth,1679,1994,1997,42,341,1679,4.9,12,40,RB,Southern Mississippi
1591,Bart Weiss,1677,1983,1985,34,324,1677,5.2,22,49.3,QB,Air Force
1592,Kellen Lewis,1677,2006,2008,34,364,1677,4.6,17,49.3,QB,Indiana
1593,Cameron Scarlett,1676,2016,2019,50,409,1676,4.1,24,33.5,RB,Stanford
1594,Stahle Vincent,1675,1969,1971,31,430,1675,3.9,6,54,RB,Rice
1595,Jon Volpe,1674,1987,1990,44,412,1674,4.1,12,38,RB,Stanford
1596,Ken Garrett,1673,1970,1972,33,322,1673,5.2,9,50.7,RB,Wake Forest
1597,Willie McClendon,1673,1988,1991,44,358,1673,4.7,14,38,RB,Florida
1598,Terion Stewart,1672,2020,2024,24,259,1672,6.5,20,69.7,RB,Bowling Green
1599,Ken Starch,1671,1972,1975,44,327,1671,5.1,8,38,RB,Wisconsin
1600,Billy Johnson,1669,1990,1993,42,333,1669,5,9,39.7,RB,Arizona
