,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1401,Brandon Rutley,1779,2008,2011,45,454,1779,3.9,21,39.5,RB,San Jose State
1402,Danny Clark,1779,1978,1981,43,421,1779,4.2,22,41.4,RB,West Texas State
1403,John Macon,1779,1977,1980,44,445,1779,4,6,40.4,RB,Purdue
1404,Kadin Remsberg,1779,2018,2020,29,306,1779,5.8,12,61.3,RB,Air Force
1405,Ron Lear,1779,1979,1980,22,375,1779,4.7,7,80.9,RB,Marshall
1406,Donovonn Young,1777,2011,2014,48,405,1777,4.4,18,37,RB,Illinois
1407,Ronny Cone,1777,1979,1983,41,381,1777,4.7,11,43.3,RB,Georgia Tech
1408,Nick Holley,1776,2013,2017,37,389,1776,4.6,14,48,RB,Kent State
1409,Adam Robinson,1775,2009,2010,21,384,1775,4.6,15,84.5,RB,Iowa
1410,Earl Stoudt,1774,1958,1961,40,402,1774,4.4,15,44.4,RB,Richmond
1411,Ike Oglesby,1773,1970,1972,26,392,1773,4.5,14,68.2,RB,North Carolina
1412,Walter Easley,1773,1976,1980,34,430,1773,4.1,19,52.1,RB,West Virginia
1413,Marlin Lane Jr.,1772,2011,2014,47,382,1772,4.6,9,37.7,RB,Tennessee
1414,Roger Praetorius,1772,1970,1972,32,427,1772,4.1,18,55.4,RB,Syracuse
1415,Jashaun Corbin,1771,2018,2021,35,320,1771,5.5,14,50.6,RB,"Florida State,Texas A&M"
1416,Joe Martinek,1770,2008,2011,49,391,1770,4.5,17,36.1,RB,Rutgers
1417,Josh Snead,1769,2010,2014,49,332,1769,5.3,8,36.1,RB,Duke
1418,Andrew Greer,1768,1988,1989,22,385,1768,4.6,15,80.4,RB,Ohio
1419,Ray Handley,1768,1963,1965,30,403,1768,4.4,11,58.9,RB,Stanford
1420,Kelvin Hopkins Jr.,1767,2017,2019,30,353,1767,5,24,58.9,QB,Army
1421,Al Hunter,1766,1973,1976,31,382,1766,4.6,23,57,RB,Notre Dame
1422,Craig Thomas,1766,1990,1993,31,352,1766,5,25,57,RB,Michigan State
1423,Larry Ewald,1765,1976,1979,44,436,1765,4,16,40.1,RB,Holy Cross
1424,Mel Gray,1765,1982,1983,22,385,1765,4.6,15,80.2,RB,Purdue
1425,Dominic Richardson,1764,2020,2024,44,425,1764,4.2,16,40.1,RB,"Baylor,Oklahoma State"
1426,Jeff Womack,1764,1982,1986,47,417,1764,4.2,17,37.5,RB,Memphis
1427,Master Teague,1764,2018,2021,35,323,1764,5.5,17,50.4,RB,Ohio State
1428,John Crouthamel,1763,1957,1959,27,387,1763,4.6,9,65.3,RB,Dartmouth
1429,Kelvin Fisher,1763,1988,1991,43,391,1763,4.5,18,41,RB,Arizona State
1430,Chris Taylor,1762,2002,2005,38,402,1762,4.4,12,46.4,RB,Indiana
1431,Jason Jones,1761,1989,1991,33,331,1761,5.3,15,53.4,RB,Air Force
1432,Terrence Jones,1761,1985,1988,44,578,1761,3,24,40,QB,Tulane
1433,Rodney Lewis,1760,1987,1990,34,343,1760,5.1,12,51.8,RB,Air Force
1434,Arnold Smiley,1759,1980,1983,40,390,1759,4.5,10,44,RB,Toledo
1435,Tony Thompson,1759,1986,1990,42,336,1759,5.2,20,41.9,RB,Tennessee
1436,Anthony White,1758,1996,1999,37,364,1758,4.8,11,47.5,RB,Kentucky
1437,Arnold Snell,1758,1986,1988,33,434,1758,4.1,9,53.3,RB,Kansas
1438,John King,1758,1971,1973,33,383,1758,4.6,16,53.3,RB,Minnesota
1439,Jimmy Bailey,1757,1974,1977,44,332,1757,5.3,11,39.9,RB,Texas-Arlington
1440,Randy Walker,1757,1973,1975,31,415,1757,4.2,11,56.7,RB,Miami (OH)
1441,Chris Bullock,1756,2006,2009,47,379,1756,4.6,10,37.4,RB,Bowling Green
1442,Ryan Aplin,1756,2009,2012,47,467,1756,3.8,31,37.4,QB,Arkansas State
1443,Joe Holland,1755,1976,1978,27,370,1755,4.7,18,65,RB,Cornell
1444,Willie Hawkins,1754,1974,1977,44,344,1754,5.1,15,39.9,RB,East Carolina
1445,Elijhaa Penny,1753,2014,2015,23,385,1753,4.6,22,76.2,RB,Idaho
1446,Justine Buries,1753,2004,2007,37,452,1753,3.9,13,47.4,RB,New Mexico State
1447,Brenden Brady,1751,2018,2022,50,387,1751,4.5,17,35,RB,UTSA
1448,Jack Layland,1751,1966,1967,20,325,1751,5.4,11,87.6,RB,Pacific
1449,Kenny James,1751,2003,2006,40,431,1751,4.1,11,43.8,RB,Washington
1450,Marc Tyler,1751,2008,2011,32,334,1751,5.2,15,54.7,RB,USC
1451,Ronnie Morris,1751,1956,1958,30,381,1751,4.6,6,58.4,RB,Tulsa
1452,Anthony Watkins,1749,2019,2024,38,333,1749,5.3,11,46,RB,"Missouri,Tulsa"
1453,Nay'quan Wright,1749,2019,2024,50,408,1749,4.3,15,35,RB,"Florida,South Florida"
1454,Joseph Polk,1748,1995,1998,39,459,1748,3.8,12,44.8,RB,UTEP
1455,Matt Asiata,1748,2007,2010,31,379,1748,4.6,24,56.4,RB,Utah
1456,Butch Hostetter,1746,1977,1980,44,387,1746,4.5,9,39.7,RB,Virginia Military Institute
1457,Jacque Lewis,1746,2001,2004,44,321,1746,5.4,7,39.7,RB,North Carolina
1458,Quinn Grovey,1746,1987,1990,45,452,1746,3.9,21,38.8,QB,Arkansas
1459,Art Brown,1745,2000,2004,40,361,1745,4.8,17,43.6,RB,East Carolina
1460,Asher O'Hara,1744,2018,2020,23,397,1744,4.4,17,75.8,QB,Middle Tennessee State
1461,Austin Walter,1744,2015,2018,49,345,1744,5.1,13,35.6,RB,Rice
1462,Chuck Smith,1744,1984,1987,44,363,1744,4.8,14,39.6,RB,Navy
1463,Deneric Prince,1744,2018,2022,27,316,1744,5.5,14,64.6,RB,"Texas A&M,Tulsa"
1464,Keon Lattimore,1744,2004,2007,37,438,1744,4,19,47.1,RB,Maryland
1465,Hank Phillips,1743,1985,1988,39,382,1743,4.6,12,44.7,RB,Mississippi State
1466,Keith Ford,1743,2013,2017,39,359,1743,4.9,24,44.7,RB,"Oklahoma,Texas A&M"
1467,Lenny Snow,1743,1965,1967,29,445,1743,3.9,18,60.1,RB,Georgia Tech
1468,Beno Bryant,1741,1989,1993,55,332,1741,5.2,18,31.7,RB,Washington
1469,Chase Clement,1741,2005,2008,45,470,1741,3.7,25,38.7,QB,Rice
1470,Kahlil Bell,1741,2005,2008,37,395,1741,4.4,17,47.1,RB,UCLA
1471,Kapri Bibbs,1741,2013,2013,14,281,1741,6.2,31,124.4,RB,Colorado State
1472,Mekhi Sargent,1740,2018,2020,34,354,1740,4.9,20,51.2,RB,Iowa
1473,Mike Scott,1740,1993,1997,37,351,1740,5,13,47,RB,Eastern Michigan
1474,Charlie Higgins,1739,1996,1998,30,328,1739,5.3,15,58,RB,Tulsa
1475,Curtis McNeal,1739,2009,2012,35,267,1739,6.5,8,49.7,RB,USC
1476,Moise Plancher,1739,2006,2010,44,388,1739,4.5,16,39.5,RB,South Florida
1477,Ron Burton,1739,1966,1968,30,473,1739,3.7,19,58,QB,Colgate
1478,Eric Robinson,1737,1979,1981,29,340,1737,5.1,19,59.9,RB,Indiana State
1479,Tyrell Hayden,1737,2007,2009,35,340,1737,5.1,15,49.6,RB,Western Kentucky
1480,Butler Benton,1736,2004,2007,48,389,1736,4.5,11,36.2,RB,Cincinnati
1481,Brian Piccolo,1735,1962,1964,30,413,1735,4.2,19,57.8,RB,Wake Forest
1482,Dameon Hunter,1735,2000,2001,21,346,1735,5,10,82.6,RB,Utah
1483,Tyhier Tyler,1735,2020,2022,30,410,1735,4.2,24,57.8,QB,Army
1484,Mac Bowman,1733,1970,1972,32,502,1733,3.5,10,54.2,RB,Virginia Military Institute
1485,Marqueis Gray,1731,2009,2012,47,341,1731,5.1,12,36.8,WR,Minnesota
1486,Harold Harmon,1730,1980,1983,39,371,1730,4.7,6,44.4,RB,Temple
1487,Jacquez Stuart,1730,2019,2024,51,327,1730,5.3,13,33.9,WR,Toledo
1488,Wayne Bullock,1730,1972,1974,29,392,1730,4.4,22,59.7,RB,Notre Dame
1489,James Franklin,1729,2010,2014,43,450,1729,3.8,21,40.2,,Missouri
1490,Dontae Strickland,1728,2015,2018,47,432,1728,4,15,36.8,RB,Syracuse
1491,Antonio Rice,1726,1982,1986,49,436,1726,4,11,35.2,RB,Virginia
1492,Haaziq Daniels,1726,2020,2022,31,348,1726,5,22,55.7,QB,Air Force
1493,Nakia Watson,1726,2019,2023,56,396,1726,4.4,18,30.8,RB,"Washington State,Wisconsin"
1494,Kell Walker,1725,2016,2019,49,269,1725,6.4,11,35.2,RB,Army
1495,Larry Dupree,1725,1962,1964,30,405,1725,4.3,15,57.5,RB,Florida
1496,Shon Mitchell,1725,1995,1996,24,293,1725,5.9,14,71.9,RB,Texas
1497,Justin Anderson,1722,2006,2009,49,375,1722,4.6,11,35.1,RB,Northern Illinois
1498,Aaron Emanuel,1721,1985,1989,44,368,1721,4.7,13,39.1,RB,USC
1499,Jacquise Terry,1721,2008,2011,46,397,1721,4.3,14,37.4,RB,Kent State
1500,James Berry,1721,1978,1981,44,419,1721,4.1,18,39.1,RB,Tennessee
1501,Rashad Armstrong,1721,2002,2003,24,417,1721,4.1,10,71.7,RB,Baylor
1502,Brian Broadwater,1719,1998,2000,33,445,1719,3.9,17,52.1,QB,Navy
1503,De'Arrius Howard,1719,2002,2005,44,413,1719,4.2,21,39.1,RB,Arkansas
1504,Kye Robichaux,1719,2021,2024,37,333,1719,5.2,15,46.5,RB,"Boston College,Western Kentucky"
1505,O'Shaan Allison,1719,2018,2023,39,382,1719,4.5,9,44.1,RB,Ohio
1506,Tom Winn,1719,1974,1976,27,374,1719,4.6,11,63.7,RB,Harvard
1507,B.J. Baylor,1718,2018,2021,41,308,1718,5.6,18,41.9,RB,Oregon State
1508,Hilria Johnson,1718,1980,1983,41,312,1718,5.5,16,41.9,RB,Utah
1509,Major Ogilvie,1718,1977,1980,44,299,1718,5.7,25,39,RB,Alabama
1510,Paul Mosley,1718,2003,2006,43,408,1718,4.2,17,40,RB,Baylor
1511,Steven Lakalaka,1717,2013,2016,42,422,1717,4.1,19,40.9,RB,Hawaii
1512,David Green,1716,1991,1994,44,358,1716,4.8,7,39,RB,Boston College
1513,Teofilo Riley,1716,1996,1999,42,386,1716,4.4,13,40.9,RB,Memphis
1514,Robert Hubbard,1715,2005,2006,24,331,1715,5.2,17,71.5,RB,Nevada
1515,Justin Stockton,1714,2014,2017,47,294,1714,5.8,14,36.5,RB,Texas Tech
1516,Larry Canada,1714,1973,1976,44,354,1714,4.8,8,39,RB,Wisconsin
1517,Marcus Prier,1714,1993,1995,32,422,1714,4.1,16,53.6,RB,Louisiana
1518,Jack Wixted,1713,1973,1975,27,319,1713,5.4,10,63.4,RB,Pennsylvania
1519,Lenny Montgomery,1713,1981,1983,30,366,1713,4.7,12,57.1,RB,Long Beach State
1520,Selvin Young,1713,2002,2006,49,365,1713,4.7,25,35,RB,Texas
1521,Tommy Jackson,1713,1987,1989,32,359,1713,4.8,10,53.5,RB,Nevada-Las Vegas
1522,Michael Wiley,1712,2019,2023,49,336,1712,5.1,16,34.9,RB,Arizona
1523,Tarean Folston,1712,2013,2016,33,343,1712,5,11,51.9,RB,Notre Dame
1524,Diego Pavia,1710,2022,2024,31,340,1710,5,15,55.2,QB,"New Mexico State,Vanderbilt"
1525,George Winn,1710,2009,2012,37,321,1710,5.3,15,46.2,RB,Cincinnati
1526,Sherman Johnson,1710,1977,1980,44,375,1710,4.6,15,38.9,RB,Tulsa
1527,Anthony Harris,1709,2002,2004,36,411,1709,4.2,16,47.5,RB,Southern Mississippi
1528,Hut Allred,1709,1995,1998,34,407,1709,4.2,11,50.3,RB,North Texas
1529,Jojo Kemp,1709,2013,2016,45,338,1709,5.1,19,38,RB,Kentucky
1530,Doug Dalton,1708,1965,1967,30,284,1708,6,11,56.9,RB,New Mexico State
1531,Raymond Kirkley,1708,2001,2005,36,436,1708,3.9,11,47.4,RB,Pitt
1532,Tommy Mozisek,1708,1969,1971,32,307,1708,5.6,14,53.4,RB,Houston
1533,Jim Callinan,1707,1979,1981,26,352,1707,4.8,9,65.7,RB,Harvard
1534,Jim Gayle,1707,1979,1982,43,357,1707,4.8,16,39.7,RB,Ohio State
1535,B.J. Lane,1706,2002,2005,48,327,1706,5.2,14,35.5,RB,Bowling Green
1536,Charles Baggett,1706,1973,1975,30,406,1706,4.2,21,56.9,QB,Michigan State
1537,Robert Lewis,1706,1981,1984,40,419,1706,4.1,10,42.7,RB,Texas Tech
1538,Bob Avery,1705,1974,1977,44,386,1705,4.4,14,38.8,RB,Syracuse
1539,Logan Diggs,1705,2021,2024,30,336,1705,5.1,14,56.8,RB,"LSU,Notre Dame,Ole Miss"
1540,Keith Davis,1704,1985,1988,45,322,1704,5.3,10,37.9,RB,Tennessee
1541,Marcus Gilbert,1704,1979,1982,38,376,1704,4.5,9,44.8,RB,Texas Christian
1542,Terry Baggett,1704,2011,2014,29,221,1704,7.7,12,58.8,RB,Army
1543,Tyre Shelton,1704,2019,2023,40,344,1704,5,12,42.6,RB,"Louisiana Tech,Miami (OH)"
1544,Rahsaan Sanders,1703,1999,2003,46,381,1703,4.5,13,37,RB,Colorado State
1545,Ronnie McAda,1703,1994,1996,33,358,1703,4.8,16,51.6,QB,Army
1546,Rob Perez,1702,1990,1991,21,354,1702,4.8,15,81,QB,Air Force
1547,Calvin Hill,1701,2019,2023,43,352,1701,4.8,10,39.6,RB,Texas State
1548,C.J. Brown,1701,2010,2014,35,381,1701,4.5,25,48.6,QB,Maryland
1549,Jim Bakhtiar,1701,1956,1957,20,397,1701,4.3,8,85.1,RB,Virginia
1550,Ed Bailey,1700,2001,2004,43,391,1700,4.3,22,39.5,RB,Rice
1551,Kregg Lumpkin,1700,2003,2007,44,352,1700,4.8,15,38.6,RB,Georgia
1552,Paul Harris,1700,2015,2016,26,278,1700,6.1,8,65.4,RB,Hawaii
1553,Ronnie Norman,1700,1972,1974,26,378,1700,4.5,8,65.4,RB,Virginia Military Institute
1554,Johnny Johnson,1699,1960,1962,30,366,1699,4.6,20,56.6,RB,San Jose State
1555,Keiland Williams,1699,2006,2009,47,299,1699,5.7,17,36.1,RB,LSU
1556,Noah Whittington,1699,2020,2024,44,303,1699,5.6,10,38.6,RB,"Oregon,Western Kentucky"
1557,Roderick McDowell,1699,2010,2013,46,318,1699,5.3,12,36.9,RB,Clemson
1558,Jeremi Rudolph,1698,1999,2000,22,333,1698,5.1,13,77.2,RB,Nevada-Las Vegas
1559,Tony Lewis,1698,1981,1985,46,342,1698,5,11,36.9,RB,Nevada-Las Vegas
1560,Pete Wood,1695,1969,1971,32,335,1695,5.1,16,53,RB,West Virginia
1561,Sloan Hood,1694,1984,1987,30,366,1694,4.6,15,56.5,RB,Houston
1562,Willie McMillian,1694,1988,1991,44,322,1694,5.3,17,38.5,QB,Army
1563,Curt Oberg,1693,1975,1977,27,391,1693,4.3,11,62.7,RB,Dartmouth
1564,Bryce Perkins,1692,2016,2019,28,439,1692,3.9,20,60.4,QB,"Arizona State,Virginia"
