,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
2401,Austin Scott,1323,2003,2007,36,290,1323,4.6,16,36.8,RB,Penn State
2402,Jerome Nellums,1323,1970,1972,33,332,1323,4,8,40.1,RB,Kansas
2403,Jim Pooler,1323,1973,1975,33,320,1323,4.1,12,40.1,RB,Northwestern
2404,Leshon Williams,1323,2021,2024,32,318,1323,4.2,3,41.3,RB,Iowa
2405,Rudy Rudison,1323,1979,1981,33,352,1323,3.8,8,40.1,RB,New Mexico State
2406,Jasmin Hopkins,1322,2010,2011,27,225,1322,5.9,17,49,RB,Northern Illinois
2407,J.C. Watts,1322,1978,1980,33,328,1322,4,34,40.1,QB,Oklahoma
2408,Puddin Jones,1322,1971,1972,22,258,1322,5.1,11,60.1,RB,Houston
2409,Ron Settles,1322,1977,1980,32,302,1322,4.4,2,41.3,RB,Long Beach State
2410,Ronnie Hartline,1322,1958,1960,30,254,1322,5.2,0,44.1,RB,Oklahoma
2411,Brian Lewis,1321,2000,2003,34,282,1321,4.7,7,38.9,RB,Indiana
2412,Joel Armstrong,1321,2004,2007,40,350,1321,3.8,12,33,QB,Rice
2413,Todd Spencer,1321,1981,1983,33,293,1321,4.5,14,40,RB,USC
2414,Mike Barney,1320,1974,1977,44,287,1320,4.6,7,30,RB,Duke
2415,Anthony James,1319,1979,1981,28,249,1319,5.3,13,47.1,RB,Western Carolina
2416,Ime Akpan,1319,2001,2002,22,292,1319,4.5,19,60,RB,Eastern Michigan
2417,Joe Zelmanski,1319,1968,1970,30,340,1319,3.9,17,44,RB,Buffalo
2418,Darrell Lipford,1318,1977,1977,11,280,1318,4.7,16,119.8,RB,Western Carolina
2419,Nic Smith,1318,2017,2020,44,274,1318,4.8,8,30,RB,North Texas
2420,Andre Kendrick,1317,1997,2000,42,240,1317,5.5,12,31.4,RB,Virginia Tech
2421,Benji Wood,1317,1996,1997,22,250,1317,5.3,22,59.9,RB,Rice
2422,Gerald Landry,1317,1983,1986,39,552,1317,2.4,12,33.8,QB,Houston
2423,Jamious Griffin,1317,2019,2024,49,251,1317,5.2,10,26.9,RB,"Georgia Tech,Ole Miss,Oregon State"
2424,Malcolm Davidson,1317,2018,2021,34,208,1317,6.3,12,38.7,RB,Florida Atlantic
2425,Turner Gill,1317,1980,1983,46,290,1317,4.5,18,28.6,QB,Nebraska
2426,Warren Norman,1317,2009,2012,28,243,1317,5.4,8,47,RB,Vanderbilt
2427,Tim James,1316,1985,1988,39,280,1316,4.7,6,33.7,RB,East Carolina
2428,Dyral Thomas,1315,1975,1977,32,256,1315,5.1,13,41.1,RB,Houston
