,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
2201,Jim Thornton,571,CHI,4,105,1988,Cal State Fullerton,1985,1987,31,48,571,11.9,5,18.4,TE,Cal State Fullerton
2202,Joshua Jacobs,571,RAI,1,24,2019,Alabama,2016,2018,42,48,571,11.9,5,13.6,RB,Alabama
2203,Khalfani Muhammad,571,OTI,7,241,2017,California,2013,2016,45,55,571,10.4,3,12.7,RB,California
2204,Thomas Jones,571,CRD,1,7,2000,Virginia,1996,1999,44,71,571,8,4,13,RB,Virginia
2205,Derek Tennell,570,SEA,7,185,1987,UCLA,1983,1986,44,60,570,9.5,3,13,RB,UCLA
2206,Jon Williams,570,NWE,3,70,1984,Penn State,1980,1983,45,54,570,10.6,5,12.7,RB,Penn State
2207,Kenyan Drake,570,MIA,3,73,2016,Alabama,2012,2015,41,46,570,12.4,4,13.9,RB,Alabama
2208,Tom Nowatzke,570,NYJ,1,4,1965,Indiana,1962,1964,54,54,570,10.6,2,10.6,RB,Indiana
2209,Tommy Minter,570,SDG,9,72,1962,Baylor,1959,1961,60,44,570,13,0,9.5,RB,Baylor
2210,Chris Perry,569,CIN,1,26,2004,Michigan,2000,2003,45,64,569,8.9,2,12.6,RB,Michigan
2211,Alvin Blount,567,DAL,9,235,1987,Maryland,1983,1986,44,64,567,8.9,5,12.9,RB,Maryland
2212,Bishop Sankey,567,OTI,2,54,2014,Washington,2011,2013,38,67,567,8.5,1,14.9,RB,Washington
2213,Fred Beasley,567,SFO,6,180,1998,Auburn,1994,1997,44,42,567,13.5,3,12.9,RB,Auburn
2214,Jamaal Williams,567,GNB,4,134,2017,BYU,2012,2016,43,60,567,9.5,1,13.2,RB,BYU
2215,Larry Griffin,567,OTI,8,199,1986,North Carolina,1981,1985,44,38,567,14.9,7,12.9,WR,North Carolina
2216,Michael Hart,566,CLT,6,202,2008,Michigan,2004,2007,43,67,566,8.4,2,13.2,RB,Michigan
2217,Rick Parros,566,DEN,4,107,1980,Utah State,1976,1979,44,70,566,8.1,1,12.9,RB,Utah State
2218,Rasheen Ali,565,RAV,5,165,2024,Marshall,2020,2023,34,76,565,7.4,3,16.6,RB,Marshall
2219,Mike Crawford,564,TAM,12,324,1986,Arizona State,1983,1985,33,58,564,9.7,3,17.1,RB,Arizona State
2220,Rashard Mendenhall,564,PIT,1,23,2008,Illinois,2005,2007,35,59,564,9.6,5,16.1,RB,Illinois
