,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1201,Stephen Strachan,1349,RAI,11,303,1985,Boston College,1981,1984,44,312,1349,4.3,22,30.7,RB,Boston College
1202,William Andrews,1347,ATL,3,79,1979,Auburn,1976,1978,33,267,1347,5,7,40.8,RB,Auburn
1203,Mark Malone,1344,PIT,1,28,1980,Arizona State,1977,1979,34,302,1344,4.5,21,39.5,QB,Arizona State
1204,Mike James,1340,TAM,6,189,2013,Miami (FL),2009,2012,50,304,1340,4.4,17,26.8,RB,Miami (FL)
1205,Bo Matthews,1339,SDG,1,2,1974,Colorado,1971,1973,33,285,1339,4.7,11,40.6,RB,Colorado
1206,Matt Corral,1338,CAR,3,94,2022,Ole Miss,2018,2021,37,334,1338,4,18,36.2,QB,Ole Miss
1207,Woody Thompson,1338,ATL,3,65,1975,Miami (FL),1972,1974,33,327,1338,4.1,11,40.5,RB,Miami (FL)
1208,Cris Crissy,1336,NWE,12,323,1981,Princeton,1978,1980,28,350,1336,3.8,6,47.7,RB,Princeton
1209,David McCluskey,1332,CIN,10,269,1987,Georgia,1983,1986,43,287,1332,4.6,8,31,RB,Georgia
1210,Charles Way,1330,NYG,6,206,1995,Virginia,1991,1994,42,274,1330,4.9,20,31.7,RB,Virginia
1211,James Primus,1329,ATL,9,222,1988,UCLA,1984,1987,40,312,1329,4.3,13,33.2,RB,UCLA
1212,James Stewart,1328,MIN,5,157,1995,Miami (FL),1993,1994,20,252,1328,5.3,17,66.4,RB,Miami (FL)
1213,Jason Snelling,1324,ATL,7,244,2007,Virginia,2002,2006,42,276,1324,4.8,10,31.5,DL,Virginia
1214,Daniel Jones,1323,NYG,1,6,2019,Duke,2016,2018,36,406,1323,3.3,17,36.8,QB,Duke
1215,Gary Brown,1321,OTI,8,214,1991,Penn State,1987,1990,44,260,1321,5.1,11,30,RB,Penn State
1216,Joe Barnes,1321,CHI,13,316,1974,Texas Tech,1971,1973,33,352,1321,3.8,13,40,QB,Texas Tech
1217,Kermit Alexander,1320,DEN,1,5,1963,UCLA,1960,1962,60,236,1320,5.6,12,22,RB,UCLA
1218,Tony Harris,1317,SFO,4,101,1971,Toledo,1969,1970,21,254,1317,5.2,12,62.7,RB,Toledo
1219,Jimmy Taylor,1314,GNB,2,15,1958,LSU,1956,1957,20,279,1314,4.7,19,65.7,RB,LSU
1220,Michael Bishop,1314,NWE,7,227,1999,Kansas State,1997,1998,23,324,1314,4.1,23,57.1,QB,Kansas State
1221,Michael Smith,1313,TAM,7,212,2012,Utah State,2009,2011,28,184,1313,7.1,15,46.9,RB,Utah State
1222,Randall Cobb,1313,GNB,2,64,2011,Kentucky,2008,2010,36,228,1313,5.8,22,36.5,QB,Kentucky
1223,Timmy Smith,1313,WAS,5,117,1987,Texas Tech,1982,1986,55,292,1313,4.5,8,23.9,RB,Texas Tech
1224,Kevin O'Connell,1312,NWE,3,94,2008,San Diego State,2004,2007,39,395,1312,3.3,19,33.6,QB,San Diego State
1225,Dwayne Washington,1311,DET,7,236,2016,Washington,2013,2015,32,226,1311,5.8,17,41,RB,Washington
1226,Jamie Harper,1311,OTI,4,130,2011,Clemson,2008,2010,39,311,1311,4.2,12,33.6,RB,Clemson
1227,Richard Jennings,1308,RAI,11,313,1976,Maryland,1972,1975,44,275,1308,4.8,6,29.7,RB,Maryland
1228,Steve Foley,1308,DEN,8,199,1975,Tulane,1972,1974,30,324,1308,4,12,43.6,QB,Tulane
1229,Gary Brightwell,1305,NYG,6,196,2021,Arizona,2017,2020,40,245,1305,5.3,9,32.6,RB,Arizona
1230,Champ Henson,1300,MIN,4,89,1975,Ohio State,1972,1974,31,297,1300,4.4,35,41.9,RB,Ohio State
1231,Don Calhoun,1300,BUF,10,249,1974,Kansas State,1971,1973,33,290,1300,4.5,6,39.4,RB,Kansas State
1232,John Tarver,1300,NWE,7,166,1972,Colorado,1970,1971,21,259,1300,5,14,61.9,RB,Colorado
1233,Dean Look,1298,DEN,,,1960,Michigan State,1957,1959,54,396,1298,3.3,12,24,RB,Michigan State
1234,Pete Beathard,1298,KAN,1,2,1964,USC,1961,1963,60,426,1298,3,28,21.6,QB,USC
1235,Jim Earley,1295,NYJ,7,170,1978,Michigan State,1974,1977,44,218,1295,5.9,5,29.4,RB,Michigan State
1236,Alvin Kamara,1294,NOR,3,67,2017,Tennessee,2015,2016,24,210,1294,6.2,16,53.9,RB,Tennessee
1237,Jon Vaughn,1293,NWE,5,112,1991,Michigan,1989,1990,22,211,1293,6.1,9,58.8,RB,Michigan
1238,Kordell Stewart,1289,PIT,2,60,1995,Colorado,1991,1994,33,302,1289,4.3,15,39.1,QB,Colorado
1239,Charlie Rogers,1287,SEA,5,152,1999,Georgia Tech,1995,1998,38,220,1287,5.9,5,33.9,KR,Georgia Tech
1240,Horace King,1287,DET,6,141,1975,Georgia,1972,1974,33,285,1287,4.5,19,39,RB,Georgia
1241,Curtis Samuel,1286,CAR,2,40,2017,Ohio State,2014,2016,41,172,1286,7.5,15,31.4,RB,Ohio State
1242,Art Schlichter,1285,CLT,1,4,1982,Ohio State,1978,1981,44,467,1285,2.8,33,29.2,QB,Ohio State
1243,Joe Mickles,1285,WAS,12,317,1989,Ole Miss,1984,1988,47,315,1285,4.1,7,27.3,RB,Ole Miss
1244,Rodney Anderson,1285,CIN,6,211,2019,Oklahoma,2015,2018,18,200,1285,6.4,16,71.4,RB,Oklahoma
1245,Marvin Lewis,1284,NOR,6,142,1982,Tulane,1980,1981,22,278,1284,4.6,12,58.4,RB,Tulane
1246,Dave Hampton,1281,GNB,9,220,1969,Wyoming,1966,1968,30,277,1281,4.6,13,42.7,RB,Wyoming
1247,Terry Orr,1279,WAS,10,263,1985,Texas,1980,1984,39,274,1279,4.7,11,32.8,RB,Texas
1248,Jamal Anderson,1275,ATL,7,201,1994,Utah,1992,1993,22,223,1275,5.7,14,58,RB,Utah
1249,Marcus Dupree,1274,RAM,12,327,1986,Southern Mississippi,1982,1983,23,192,1274,6.6,15,55.4,RB,Oklahoma
1250,Mike Green,1273,OTI,7,213,2000,Houston,1998,1999,21,243,1273,5.2,11,60.6,RB,Houston
1251,David Whitehurst,1270,GNB,8,206,1977,Furman,1973,1976,44,450,1270,2.8,18,28.9,QB,Furman
1252,Keith Kinderman,1268,SDG,3,18,1963,Florida State,1959,1962,58,330,1268,3.8,8,21.9,RB,"Florida State,Iowa"
1253,Shawn Moore,1268,DEN,11,284,1991,Virginia,1987,1990,38,415,1268,3.1,28,33.4,QB,Virginia
1254,Jarrod Bunch,1267,NYG,1,27,1991,Michigan,1987,1990,44,288,1267,4.4,7,28.8,RB,Michigan
1255,Bo Cornell,1266,CLE,2,40,1971,Washington,1968,1970,30,332,1266,3.8,7,42.2,RB,Washington
1256,Mike Waters,1266,NYJ,9,235,1985,San Diego State,1983,1984,24,312,1266,4.1,5,52.8,RB,San Diego State
1257,Stan Mitchell,1266,WAS,8,115,1966,Tennessee,1963,1965,30,303,1266,4.2,10,42.2,RB,Tennessee
1258,Theron Sapp,1265,PHI,10,112,1958,Georgia,1956,1958,30,258,1265,4.9,6,42.2,RB,Georgia
1259,Bobby Duhon,1262,NYG,3,70,1968,Tulane,1965,1967,30,392,1262,3.2,13,42.1,QB,Tulane
1260,Johnny White,1262,BUF,5,133,2011,North Carolina,2007,2010,46,246,1262,5.1,8,27.4,RB,North Carolina
1261,Lamar Smith,1262,SEA,3,73,1994,Houston,1992,1993,14,207,1262,6.1,11,90.1,RB,Houston
1262,Bruce Maxwell,1260,DET,10,253,1970,Arkansas,1966,1969,30,272,1260,4.6,0,42,RB,Arkansas
1263,Mike Lind,1260,SDG,19,152,1962,Notre Dame,1960,1962,60,296,1260,4.3,10,21,RB,Notre Dame
1264,Ode Burrell,1260,OTI,4,30,1964,Mississippi State,1962,1963,38,304,1260,4.1,18,33.2,RB,Mississippi State
1265,Steve Rogers,1260,NOR,7,163,1975,LSU,1972,1974,33,280,1260,4.5,3,38.2,RB,LSU
1266,Johnny Evans,1259,CLE,2,39,1978,North Carolina State,1974,1977,44,430,1259,2.9,13,28.6,QB,North Carolina State
1267,Jay Cunningham,1258,NWE,14,111,1965,Bowling Green,1962,1964,29,312,1258,4,21,43.4,RB,Bowling Green
1268,Michael Harper,1258,RAM,11,293,1984,USC,1979,1983,44,267,1258,4.7,13,28.6,RB,USC
1269,Gary Beban,1257,RAM,2,30,1968,UCLA,1965,1967,30,437,1257,2.9,33,41.9,QB,UCLA
1270,Leo Hayden,1257,MIN,1,24,1971,Ohio State,1968,1970,26,230,1257,5.5,7,48.3,RB,Ohio State
1271,Jay Cutler,1256,DEN,1,11,2006,Vanderbilt,2002,2005,45,453,1256,2.8,17,27.9,QB,Vanderbilt
1272,Damien Nash,1254,OTI,5,142,2005,Missouri,2003,2004,23,253,1254,5,12,54.5,RB,Missouri
1273,Richard Todd,1254,NYJ,1,6,1976,Alabama,1973,1975,33,304,1254,4.1,16,38,QB,Alabama
1274,Scott Lockwood,1254,NWE,8,204,1992,USC,1987,1991,45,273,1254,4.6,13,27.9,RB,USC
1275,Alfred Blue,1253,HTX,6,181,2014,LSU,2010,2013,41,209,1253,6,11,30.6,RB,LSU
1276,Clayton Tune,1251,CRD,5,139,2023,Houston,2018,2022,47,412,1251,3,15,26.6,QB,Houston
1277,Donald Jordan,1250,CHI,12,330,1984,Houston,1981,1983,24,246,1250,5.1,9,52.1,RB,Houston
1278,Richie Lucas,1250,BUF,,,1960,Penn State,1957,1959,58,406,1250,3.1,26,21.6,QB,Penn State
1279,Kevin Hogan,1249,KAN,5,162,2016,Stanford,2012,2015,51,315,1249,4,15,24.5,QB,Stanford
1280,Ronald Curry,1249,RAI,7,235,2002,North Carolina,1998,2001,37,348,1249,3.6,13,33.8,QB,North Carolina
1281,Spencer Ware,1249,SEA,6,194,2013,LSU,2010,2012,36,295,1249,4.2,10,34.7,RB,LSU
1282,Dennis Claridge,1248,RAI,26,201,1963,Nebraska,1961,1963,60,472,1248,2.6,32,20.8,QB,Nebraska
1283,Edgar Bennett,1246,GNB,4,103,1992,Florida State,1987,1991,56,296,1246,4.2,13,22.3,RB,Florida State
1284,Lynn Cain,1246,ATL,4,100,1979,USC,1975,1978,34,242,1246,5.1,11,36.6,RB,USC
1285,Steve Smith,1246,RAI,3,81,1987,Penn State,1983,1986,45,265,1246,4.7,11,27.7,RB,Penn State
1286,Vince Kendrick,1243,ATL,4,96,1974,Florida,1971,1973,33,279,1243,4.5,6,37.7,RB,Florida
1287,Fred Beasley,1241,SFO,6,180,1998,Auburn,1994,1997,44,282,1241,4.4,18,28.2,RB,Auburn
1288,Anthony Toney,1238,PHI,2,37,1986,Texas A&M,1984,1985,20,271,1238,4.6,18,61.9,RB,Texas A&M
1289,Joe Montgomery,1235,NYG,2,49,1999,Ohio State,1996,1998,25,207,1235,6,8,49.4,RB,Ohio State
1290,Kevin Payne,1234,CHI,5,167,2007,Louisiana-Monroe,2003,2006,43,325,1234,3.8,8,28.7,RB,Louisiana-Monroe
1291,Billy Stacy,1232,CRD,1,3,1959,Mississippi State,1956,1958,28,355,1232,3.5,7,44,QB,Mississippi State
1292,Devante Mays,1225,GNB,7,238,2017,Utah State,2015,2016,19,202,1225,6.1,12,64.5,RB,Utah State
1293,Virgil Carter,1225,CHI,6,142,1967,BYU,1964,1966,30,323,1225,3.8,18,40.8,QB,BYU
1294,Ron Wolfley,1224,CRD,4,104,1985,West Virginia,1981,1984,34,327,1224,3.7,10,36,RB,West Virginia
1295,Sonny Gibbs,1222,DEN,14,106,1962,Texas Christian,1960,1962,60,450,1222,2.7,28,20.4,QB,Texas Christian
1296,Dorsey Levens,1221,GNB,5,149,1994,Georgia Tech,1989,1993,44,207,1221,5.9,13,27.8,RB,"Georgia Tech,Notre Dame"
1297,Dick Christy,1215,GNB,3,27,1958,North Carolina State,1956,1957,20,263,1215,4.6,7,60.8,RB,North Carolina State
1298,Leroy Thompson,1215,PIT,6,158,1991,Penn State,1987,1990,44,334,1215,3.6,12,27.6,RB,Penn State
1299,Brig Owens,1214,DAL,7,89,1965,Cincinnati,1963,1964,20,268,1214,4.5,12,60.7,QB,Cincinnati
1300,Dennis Franklin,1212,DET,6,144,1975,Michigan,1972,1974,33,352,1212,3.4,16,36.7,QB,Michigan
1301,Bruce Threadgill,1211,SFO,5,133,1978,Mississippi State,1974,1977,44,450,1211,2.7,7,27.5,QB,Mississippi State
1302,Norris Weese,1211,RAM,4,99,1974,Ole Miss,1971,1973,32,322,1211,3.8,15,37.8,QB,Ole Miss
1303,David Garrard,1209,JAX,4,108,2002,East Carolina,1998,2001,44,516,1209,2.3,21,27.5,QB,East Carolina
1304,Drake Maye,1209,NWE,1,3,2024,North Carolina,2021,2023,30,302,1209,4,16,40.3,QB,North Carolina
1305,Bob Gladieux,1208,NWE,8,188,1969,Notre Dame,1966,1968,28,263,1208,4.6,20,43.1,RB,Notre Dame
1306,Dennis Dixon,1208,PIT,5,156,2008,Oregon,2004,2007,40,258,1208,4.7,12,30.2,QB,Oregon
