,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
2801,John Skibinski,341,CHI,6,139,1978,Purdue,1975,1977,33,46,341,7.4,1,10.3,RB,Purdue
2802,Theo Young,341,PIT,12,317,1987,Arkansas,1983,1986,44,21,341,16.2,1,7.8,TE,Arkansas
2803,Bob Gresham,340,NOR,8,201,1971,West Virginia,1968,1970,31,30,340,11.3,3,11,RB,West Virginia
2804,Darrell Harper,340,BUF,,,1960,Michigan,1957,1959,54,34,340,10,0,6.3,RB,Michigan
2805,George Blair,340,SDG,,,1960,Ole Miss,1959,1960,40,24,340,14.2,2,8.5,RB,Ole Miss
2806,Kenneth Darby,340,TAM,7,246,2007,Alabama,2003,2006,47,70,340,4.9,2,7.2,RB,Alabama
2807,Rich Erenberg,340,PIT,9,247,1984,,1980,1981,20,30,340,11.3,3,17,RB,Colgate
2808,Charlie Smith,339,RAI,4,110,1968,Utah,1966,1967,21,35,339,9.7,8,16.1,RB,Utah
2809,David Cobb,339,OTI,5,138,2015,Minnesota,2011,2014,35,34,339,10,0,9.7,RB,Minnesota
2810,Joe Walton,339,WAS,2,21,1957,Pitt,1956,1956,10,20,339,17,6,33.9,WR,Pitt
2811,Stan Edwards,339,OTI,3,72,1982,Michigan,1977,1981,44,31,339,10.9,3,7.7,RB,Michigan
2812,Del Rodgers,338,GNB,3,71,1982,Utah,1978,1981,45,34,338,9.9,1,7.5,RB,Utah
2813,Eddie Lacy,338,GNB,2,61,2013,Alabama,2010,2012,38,35,338,9.7,2,8.9,RB,Alabama
2814,Ronnie Hillman,338,DEN,3,67,2012,San Diego State,2010,2011,26,33,338,10.2,2,13,RB,San Diego State
2815,Darrell Thompson,337,GNB,1,19,1990,Minnesota,1986,1989,44,47,337,7.2,3,7.7,RB,Minnesota
2816,Ben Tate,336,HTX,2,58,2010,Auburn,2006,2009,47,53,336,6.3,0,7.1,RB,Auburn
2817,Duane Young,336,SDG,5,123,1991,Michigan State,1987,1990,32,34,336,9.9,1,10.5,TE,Michigan State
2818,Roland Williams,336,RAM,4,98,1998,Syracuse,1995,1997,34,27,336,12.4,8,9.9,TE,Syracuse
