,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
801,Demarcus Ayers,1687,PIT,7,229,2016,Houston,2013,2015,40,142,1687,11.9,9,42.2,WR,Houston
802,Ladd McConkey,1687,SDG,2,34,2024,Georgia,2021,2023,39,119,1687,14.2,14,43.3,WR,Georgia
803,Bill Malinchak,1686,DET,3,39,1966,Indiana,1963,1965,28,115,1686,14.7,14,60.2,WR,Indiana
804,Grant Dubose,1684,GNB,7,256,2023,Charlotte,2021,2022,24,126,1684,13.4,15,70.2,WR,Charlotte
805,Mark R. Bell,1684,CRD,5,130,1979,Colorado State,1975,1978,43,87,1684,19.4,17,39.2,WR,Colorado State
806,Wane McGarity,1684,DAL,4,118,1999,Texas,1995,1998,36,95,1684,17.7,14,46.8,RB,Texas
807,Xavier Legette,1678,CAR,1,32,2024,South Carolina,2019,2023,53,113,1678,14.8,12,31.7,WR,South Carolina
808,Brandon Marshall,1674,DEN,4,119,2006,UCF,2002,2005,44,112,1674,14.9,13,38,WR,UCF
809,Caleb Wilson,1674,CRD,7,254,2019,UCLA,2016,2018,29,114,1674,14.7,5,57.7,TE,UCLA
810,Sam Simmons,1674,MIA,5,170,2002,Northwestern,1998,2001,40,102,1674,16.4,14,41.9,RB,Northwestern
811,Trevor Davis,1672,GNB,5,163,2016,California,2011,2015,38,109,1672,15.3,12,44,WR,"California,Hawaii"
812,Tre Nixon,1671,NWE,7,242,2021,UCF,2017,2020,40,109,1671,15.3,13,41.8,WR,"Ole Miss,UCF"
813,Walter Wilson,1670,SDG,3,67,1990,East Carolina,1986,1989,44,91,1670,18.4,16,38,WR,East Carolina
814,Brad Muster,1669,CHI,1,23,1988,Stanford,1984,1987,44,194,1669,8.6,6,37.9,RB,Stanford
815,Mack Hollins,1667,PHI,4,118,2017,North Carolina,2013,2016,42,81,1667,20.6,20,39.7,WR,North Carolina
816,Brandon Aiyuk,1666,SFO,1,25,2020,Arizona State,2018,2019,25,98,1666,17,11,66.6,WR,Arizona State
817,Devard Darling,1666,RAV,3,82,2004,Washington State,2000,2003,30,106,1666,15.7,19,55.5,WR,"Florida State,Washington State"
818,Michael Wilson,1662,CRD,3,94,2023,Stanford,2018,2022,39,134,1662,12.4,11,42.6,WR,Stanford
819,Hunter Henry,1661,SDG,2,35,2016,Arkansas,2013,2015,36,116,1661,14.3,9,46.1,TE,Arkansas
820,Randall Cobb,1661,GNB,2,64,2011,Kentucky,2008,2010,36,144,1661,11.5,13,46.1,QB,Kentucky
