,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1,Howard Twilley,6686,MIA,12,101,1966,Tulsa,1963,1965,60,522,6686,12.8,64,111.4,WR,Tulsa
2,Corey Davis,5285,OTI,1,5,2017,Western Michigan,2013,2016,50,332,5285,15.9,52,105.7,WR,Western Michigan
3,Ryan Broyles,4586,DET,2,54,2012,Oklahoma,2008,2011,48,349,4586,13.1,45,95.5,WR,Oklahoma
4,Justin Hardy,4541,ATL,4,107,2015,East Carolina,2011,2014,49,387,4541,11.7,35,92.7,WR,East Carolina
5,Jacob Cowing,4477,SFO,4,135,2024,Arizona,2019,2023,58,316,4477,14.2,33,77.2,WR,"Arizona,UTEP"
6,James Washington,4472,PIT,2,60,2018,Oklahoma State,2014,2017,52,226,4472,19.8,39,86,WR,Oklahoma State
7,Rashaun Woods,4414,SFO,1,31,2004,Oklahoma State,2000,2003,48,293,4414,15.1,42,92,WR,Oklahoma State
8,Ryan Yarborough,4357,NYJ,2,41,1994,Wyoming,1990,1993,44,229,4357,19,42,99,WR,Wyoming
9,Troy Edwards,4352,PIT,1,13,1999,Louisiana Tech,1996,1998,34,280,4352,15.5,50,128,WR,Louisiana Tech
10,Greg Salas,4345,RAM,4,112,2011,Hawaii,2007,2010,48,285,4345,15.2,26,90.5,WR,Hawaii
11,Zay Jones,4279,BUF,2,37,2017,East Carolina,2013,2016,49,399,4279,10.7,23,87.3,WR,East Carolina
12,Terance Mathis,4254,NYJ,6,140,1990,New Mexico,1985,1989,46,263,4254,16.2,36,92.5,WR,New Mexico
13,Taywan Taylor,4234,OTI,3,72,2017,Western Kentucky,2013,2016,51,253,4234,16.7,41,83,WR,Western Kentucky
14,Lawrence Elkins,4188,OTI,1,1,1965,Baylor,1962,1964,60,288,4188,14.5,38,69.8,RB,Baylor
15,Jordan White,4187,NYJ,7,244,2012,Western Michigan,2007,2011,43,306,4187,13.7,32,97.4,WR,Western Michigan
16,Trent Taylor,4179,SFO,5,177,2017,Louisiana Tech,2013,2016,51,327,4179,12.8,32,81.9,WR,Louisiana Tech
17,Jarett Dillard,4138,JAX,5,144,2009,Rice,2005,2008,49,292,4138,14.2,60,84.4,WR,Rice
18,Darius Watts,4031,DEN,2,54,2004,Marshall,2000,2003,47,272,4031,14.8,47,85.8,WR,Marshall
19,Kendall Wright,4004,OTI,1,20,2012,Baylor,2008,2011,50,302,4004,13.3,30,80.1,TE,Baylor
20,Troy Walters,3986,MIN,5,165,2000,Stanford,1996,1999,42,244,3986,16.3,26,94.9,WR,Stanford
21,DeVonta Smith,3965,PHI,1,10,2021,Alabama,2017,2020,54,235,3965,16.9,46,73.4,WR,Alabama
22,James Proche,3949,RAV,6,201,2020,SMU,2016,2019,50,301,3949,13.1,39,79,WR,SMU
23,Derek Hagan,3939,MIA,3,82,2006,Arizona State,2002,2005,50,258,3939,15.3,27,78.8,WR,Arizona State
24,Mike Hass,3924,NOR,6,171,2006,Oregon State,2003,2005,36,220,3924,17.8,20,109,WR,Oregon State
25,Roy Williams,3866,DET,1,7,2004,Texas,2000,2003,48,241,3866,16,36,80.5,WR,Texas
26,Rashad Greene,3830,JAX,5,139,2015,Florida State,2011,2014,51,270,3830,14.2,29,75.1,WR,Florida State
27,Emmanuel Sanders,3791,PIT,3,82,2010,SMU,2006,2009,47,285,3791,13.3,34,80.7,WR,SMU
28,Jordan Matthews,3759,PHI,2,42,2014,Vanderbilt,2010,2013,51,262,3759,14.3,24,73.7,WR,Vanderbilt
29,Tyler Lockett,3710,SEA,3,69,2015,Kansas State,2011,2014,47,249,3710,14.9,29,78.9,WR,Kansas State
30,Brandon Stokley,3702,RAV,4,105,1999,Louisiana,1995,1998,37,241,3702,15.4,25,100.1,WR,Louisiana
31,Ryne Robinson,3697,CAR,4,118,2007,Miami (OH),2003,2006,50,258,3697,14.3,22,73.9,WR,Miami (OH)
32,Michael Floyd,3686,CRD,1,13,2012,Notre Dame,2008,2011,43,271,3686,13.6,37,85.7,WR,Notre Dame
33,Marqise Lee,3655,JAX,2,39,2014,USC,2011,2013,36,248,3655,14.7,29,101.5,WR,USC
34,Rashard Higgins,3649,CLE,5,172,2016,Colorado State,2013,2015,38,239,3649,15.3,31,96,WR,Colorado State
35,Jamison Crowder,3641,WAS,4,105,2015,Duke,2011,2014,52,283,3641,12.9,23,70,WR,Duke
36,David Anderson,3634,HTX,7,251,2006,Colorado State,2002,2005,46,223,3634,16.3,20,79,WR,Colorado State
37,Vern Burke,3602,RAI,15,113,1963,Oregon State,1962,1963,40,234,3602,15.4,38,90.1,WR,Oregon State
38,Ron Sellers,3598,NWE,1,6,1969,Florida State,1966,1968,30,211,3598,17.1,23,119.9,WR,Florida State
39,Anthony Miller,3590,CHI,2,51,2018,Memphis,2015,2017,38,238,3590,15.1,37,94.5,WR,Memphis
40,Justin Blackmon,3564,JAX,1,5,2012,Oklahoma State,2009,2011,38,253,3564,14.1,40,93.8,WR,Oklahoma State
41,Braylon Edwards,3541,CLE,1,3,2005,Michigan,2001,2004,44,252,3541,14.1,39,80.5,WR,Michigan
