,,,,,,Passing,,,,,,,,,,,,,,,
1826,Buddy Palazzo,14,1970,1972,33,250,463,213,54,2978,14,22,3,4.8,108.5,6.4,4.9,11.9,90.2,QB,Southern Mississippi
1827,Carlyle Holiday,14,2001,2004,46,239,477,238,50.1,2876,14,16,2.9,3.4,103.7,6,5.11,12,62.5,WR,Notre Dame
1828,Charles Baggett,14,1973,1975,30,128,287,159,44.6,2335,14,30,4.9,10.5,108.1,8.1,4.41,18.2,77.8,QB,Michigan State
1829,Charlie Weatherbie,14,1973,1976,44,114,276,162,41.3,2194,14,21,5.1,7.6,109.6,7.9,5.54,19.2,49.9,QB,Oklahoma State
1830,Chazz Anderson,14,2008,2011,26,304,532,228,57.1,3213,14,13,2.6,2.4,111.7,6,5.47,10.6,123.6,QB,"Buffalo,Cincinnati"
1831,Chris Coyer,14,2010,2013,32,116,216,100,53.7,1456,14,4,6.5,1.9,128,6.7,7.2,12.6,45.5,QB,Temple
1832,Chuck Zimmerman,14,1956,1958,26,117,214,97,54.7,1687,14,7,6.5,3.3,135.9,7.9,7.72,14.4,64.9,QB,Syracuse
1833,Cleve Hightower,14,1968,1970,31,139,336,197,41.4,1866,14,28,4.2,8.3,85.1,5.6,2.64,13.4,60.2,QB,Furman
1834,Craig Stump,14,1984,1987,44,174,363,189,47.9,2182,14,21,3.9,5.8,99.6,6,4.18,12.5,49.6,QB,Texas A&M
1835,Dan Heck,14,1970,1971,22,120,274,154,43.8,1667,14,20,5.1,7.3,97.2,6.1,3.82,13.9,75.8,QB,Kansas
1836,Daniel Cobb,14,2000,2002,18,170,314,144,54.1,2350,14,12,4.5,3.8,124.1,7.5,6.66,13.8,130.6,QB,Auburn
1837,David Harper,14,1972,1973,19,215,432,217,49.8,2394,14,25,3.2,5.8,95.4,5.5,3.59,11.1,126,QB,Davidson
1838,David Walker,14,1973,1977,44,177,374,197,47.3,2517,14,26,3.7,7,102.3,6.7,4.35,14.2,57.2,QB,Texas A&M
1839,Deon Anthony,14,2012,2013,22,105,156,51,67.3,1338,14,3,9,1.9,165.1,8.6,9.51,12.7,60.8,QB,Troy
1840,Dick Thornton,14,1958,1960,26,110,257,147,42.8,1742,14,19,5.4,7.4,102.9,6.8,4.54,15.8,67,QB,Northwestern
1841,Don Moorhead,14,1968,1970,30,186,393,207,47.3,2423,14,14,3.6,3.6,103.7,6.2,5.27,13,80.8,QB,Michigan
1842,Donovan Woods,14,2004,2007,49,114,219,105,52.1,1791,14,5,6.4,2.3,137.3,8.2,8.43,15.7,36.6,DB,Oklahoma State
1843,Emo DiNitto,14,1957,1959,26,89,208,119,42.8,1344,14,16,6.7,7.7,103.9,6.5,4.35,15.1,51.7,QB,Boston University
1844,Eric Crone,14,1970,1972,20,102,233,131,43.8,1464,14,22,6,9.4,97.5,6.3,3.24,14.4,73.2,QB,Harvard
1845,Fred Custardo,14,1963,1965,28,200,382,182,52.4,2372,14,23,3.7,6,104.6,6.2,4.23,11.9,84.7,QB,Illinois
1846,Fred Fisher,14,1972,1975,37,217,422,205,51.4,2513,14,32,3.3,7.6,97.2,6,3.21,11.6,67.9,QB,Vanderbilt
1847,Fred Hessen,14,1981,1981,11,180,365,185,49.3,2108,14,16,3.8,4.4,101.7,5.8,4.57,11.7,191.6,QB,Lamar
1848,Gary Danielson,14,1970,1972,31,178,390,212,45.6,2748,14,30,3.6,7.7,101.3,7,4.3,15.4,88.6,QB,Purdue
1849,Gavin Wimsatt,14,2021,2024,27,217,465,248,46.7,2596,14,18,3,3.9,95.8,5.6,4.44,12,96.1,QB,"Kentucky,Rutgers"
1850,Glenn Farkas,14,1987,1989,33,218,404,186,54,2470,14,20,3.5,5,106.9,6.1,4.58,11.3,74.8,QB,Cincinnati
1851,Grady Benton,14,1992,1993,22,212,357,145,59.4,2467,14,18,3.9,5,120.3,6.9,5.43,11.6,112.1,QB,Arizona State
1852,Grayson Rogers,14,1980,1981,22,196,382,186,51.3,2578,14,15,3.7,3.9,112.2,6.7,5.71,13.2,117.2,QB,Pacific
1853,Hank Lesesne,14,1960,1962,30,169,413,244,40.9,1968,14,31,3.4,7.5,77.1,4.8,2.07,11.6,65.6,QB,Vanderbilt
1854,Homer Jordan,14,1979,1982,37,239,457,218,52.3,3509,14,26,3.1,5.7,115.5,7.7,5.73,14.7,94.8,QB,Clemson
1855,Ivan Lippi,14,1969,1970,21,214,542,328,39.5,2894,14,37,2.6,6.8,79.2,5.3,2.78,13.5,137.8,QB,San Jose State
1856,J Torchio,14,1980,1983,44,265,597,332,44.4,3641,14,27,2.3,4.5,94.3,6.1,4.53,13.7,82.8,QB,California
1857,Jacque LaPrarie,14,1981,1984,43,207,408,201,50.7,2490,14,35,3.4,8.6,96.2,6.1,2.93,12,57.9,DB,Rutgers
1858,Jawon Pass,14,2016,2020,23,211,382,171,55.2,2545,14,13,3.7,3.4,116.5,6.7,5.86,12.1,110.7,QB,Louisville
1859,Jay Cruze,14,1971,1972,22,186,351,165,53,2113,14,26,4,7.4,101.9,6,3.48,11.4,96,QB,California
1860,Jerry Nettles,14,1958,1960,30,115,252,137,45.6,1798,14,16,5.6,6.3,111.2,7.1,5.39,15.6,59.9,QB,The Citadel
1861,Jess Cole,14,1980,1981,22,108,253,145,42.7,1454,14,17,5.5,6.7,95.8,5.7,3.83,13.5,66.1,QB,Wisconsin
1862,Jesse Kaye,14,1964,1966,28,177,381,204,46.5,2346,14,21,3.7,5.5,99.3,6.2,4.41,13.3,83.8,QB,"Tampa,Wisconsin"
1863,Jim Bengala,14,1968,1970,30,218,446,228,48.9,2649,14,26,3.1,5.8,97.5,5.9,3.94,12.2,88.3,QB,Miami (OH)
1864,Jim Chasey,14,1968,1970,27,184,322,138,57.1,2391,14,16,4.3,5,123.9,7.4,6.06,13,88.6,QB,Dartmouth
1865,Jim Clement,14,1990,1993,44,165,376,211,43.9,2122,14,23,3.7,6.1,91.3,5.6,3.64,12.9,48.2,WR,Miami (OH)
1866,Jim Friedl,14,1967,1969,20,157,336,179,46.7,1700,14,27,4.2,8,86.9,5.1,2.28,10.8,85,QB,"Pitt,The Citadel"
1867,Jim Stoeckel,14,1971,1973,25,166,315,149,52.7,2097,14,15,4.4,4.8,113.8,6.7,5.4,12.6,83.9,QB,Harvard
1868,Jimmy Skinner,14,2003,2006,26,178,292,114,61,2022,14,13,4.8,4.5,126,6.9,5.88,11.4,77.8,QB,Marshall
1869,Joe Belasco,14,1968,1970,30,53,109,56,48.6,774,14,8,12.8,7.3,136,7.1,6.37,14.6,25.8,RB,Villanova
1870,Joe Matulich,14,1967,1969,30,165,343,178,48.1,1977,14,24,4.1,7,96,5.8,3.43,12,65.9,QB,Texas Tech
1871,Joe McCulley,14,1972,1973,22,149,258,109,57.8,1767,14,11,5.4,4.3,124.7,6.8,6.02,11.9,80.3,QB,Tulsa
1872,Joel Armstrong,14,2004,2007,40,148,288,140,51.4,1860,14,18,4.9,6.3,109.2,6.5,4.62,12.6,46.5,QB,Rice
1873,John Behrens,14,1971,1972,21,206,474,268,43.5,2737,14,32,3,6.8,88.2,5.8,3.33,13.3,130.3,QB,Fresno State
1874,John Furman,14,1960,1961,20,179,369,190,48.5,2120,14,18,3.8,4.9,99.5,5.7,4.31,11.8,106,QB,UTEP
1875,John Marzo,14,1978,1979,21,171,342,171,50,2182,14,28,4.1,8.2,100.7,6.4,3.51,12.8,103.9,QB,Colgate
1876,John Mateer,14,2022,2024,16,78,135,57,57.8,1369,14,5,10.4,3.7,169.8,10.1,10.55,17.6,85.6,QB,Washington State
1877,John Paci,14,1991,1994,35,252,473,221,53.3,2948,14,14,3,3,109.5,6.2,5.49,11.7,84.2,QB,Indiana
1878,John Sacca,14,1991,1993,34,108,216,108,50,1498,14,5,6.5,2.3,125,6.9,7.19,13.9,44.1,QB,Penn State
1879,Kainoa Akina,14,2001,2004,22,148,287,139,51.6,1597,14,15,4.9,5.2,104,5.6,4.19,10.8,72.6,QB,"Eastern Michigan,Hawaii"
1880,Kale Pearson,14,2012,2014,23,118,208,90,56.7,1764,14,7,6.7,3.4,143.5,8.5,8.31,14.9,76.7,QB,Air Force
1881,Karson Roberts,14,2013,2015,26,98,189,91,51.9,1868,14,13,7.4,6.9,145.6,9.9,8.27,19.1,71.8,QB,Air Force
1882,Keith Bobo,14,1971,1973,33,92,178,86,51.7,1544,14,10,7.9,5.6,139.3,8.7,7.72,16.8,46.8,RB,SMU
1883,Keith Thibodeaux,14,1976,1978,25,220,464,244,47.4,3543,14,28,3,6,109.4,7.6,5.52,16.1,141.7,QB,Louisiana Tech
1884,Kelly Page,14,2009,2012,23,167,314,147,53.2,1737,14,11,4.5,3.5,107.4,5.5,4.85,10.4,75.5,QB,Ball State
1885,Ken Ford,14,1956,1957,20,165,310,145,53.2,1744,14,24,4.5,7.7,99.9,5.6,3.05,10.6,87.2,QB,Hardin-Simmons
1886,Kim King,14,1965,1967,30,243,460,217,52.8,2763,14,23,3,5,103.3,6,4.37,11.4,92.1,QB,Georgia Tech
1887,Kurt Palandech,14,2015,2017,34,132,268,136,49.3,1489,14,9,5.2,3.4,106.4,5.6,5.09,11.3,43.8,QB,Nevada-Las Vegas
1888,Lawrence Adams,14,1992,1996,38,122,216,94,56.5,1583,14,13,6.5,6,127.4,7.3,5.92,13,41.7,QB,Ole Miss
1889,Lucas Johnson,14,2017,2021,30,173,284,111,60.9,1795,14,5,4.9,1.8,126.8,6.3,6.51,10.4,59.8,QB,"Georgia Tech,San Diego State"
1890,Maddux Madsen,14,2022,2024,13,136,225,89,60.4,1850,14,4,6.2,1.8,146.5,8.2,8.67,13.6,142.3,QB,Boise State
1891,Mark Cann,14,2008,2008,11,154,307,153,50.2,1767,14,13,4.6,4.2,105.1,5.8,4.76,11.5,160.6,QB,Marshall
1892,Mark O'Connell,14,1976,1980,55,217,374,157,58,2489,14,13,3.7,3.5,119.3,6.7,5.84,11.5,45.3,K,Ball State
1893,Mark Thompson,14,1968,1970,29,184,362,178,50.8,2274,14,18,3.9,5,106.4,6.3,4.82,12.4,78.4,QB,Davidson
1894,Marqueis Gray,14,2009,2012,47,150,295,145,50.8,2053,14,11,4.7,3.7,117.5,7,6.23,13.7,43.7,WR,Minnesota
1895,Marshall Taylor,14,1985,1988,44,300,582,282,51.5,4167,14,30,2.4,5.2,109.3,7.2,5.32,13.9,94.7,QB,Northern Illinois
1896,Matt Faulkner,14,2010,2011,21,295,461,166,64,3355,14,14,3,3,129.1,7.3,6.52,11.4,159.8,QB,San Jose State
1897,Matt Szykowny,14,1960,1962,27,155,290,135,53.4,2038,14,26,4.8,9,110.5,7,3.96,13.1,75.5,QB,Iowa
1898,Mickey Joseph,14,1988,1991,34,55,124,69,44.4,909,14,8,11.3,6.5,130.3,7.3,6.69,16.5,26.7,QB,Nebraska
1899,Mike Hold,14,1984,1985,22,164,325,161,50.5,2811,14,14,4.3,4.3,128.7,8.6,7.57,17.1,127.8,QB,South Carolina
1900,Miller Moss,14,2021,2024,15,142,209,67,67.9,1804,14,2,6.7,1,160.6,8.6,9.54,12.7,120.3,QB,USC
1901,MJ Morris,14,2022,2024,11,118,203,85,58.1,1380,14,6,6.9,3,132.1,6.8,6.85,11.7,125.5,QB,"Maryland,North Carolina State"
1902,Neil Suber,14,1998,2001,28,238,463,225,51.4,2646,14,16,3,3.5,102.5,5.7,4.76,11.1,94.5,QB,Memphis
1903,Patrick Young,14,1986,1990,41,122,293,171,41.6,1702,14,15,4.8,5.1,96,5.8,4.46,14,41.5,WR,Kent State
1904,Paul Brothers,14,1964,1966,30,175,387,212,45.2,2062,14,17,3.6,4.4,93.1,5.3,4.07,11.8,68.7,QB,Oregon State
1905,Paul Schulte,14,1988,1990,15,175,345,170,50.7,2340,14,17,4.1,4.9,111.2,6.8,5.38,13.4,156,QB,Cal State Fullerton
1906,Pete Woods,14,1975,1977,33,132,274,142,48.2,1880,14,13,5.1,4.7,113.2,6.9,5.75,14.2,57,QB,Missouri
1907,Phil Gargis,14,1974,1976,33,152,341,189,44.6,2034,14,29,4.1,8.5,91.2,6,2.96,13.4,61.6,QB,Auburn
1908,Randy Campbell,14,1981,1983,33,159,300,141,53,1934,14,5,4.7,1.7,119.2,6.4,6.63,12.2,58.6,QB,Auburn
1909,Reggie Ogburn,14,1979,1980,22,170,322,152,52.8,2162,14,17,4.3,5.3,113,6.7,5.21,12.7,98.3,QB,Oregon
1910,Rick Cassata,14,1965,1967,30,180,365,185,49.3,1989,14,22,3.8,6,95.7,5.4,3.5,11.1,66.3,QB,Syracuse
1911,Rick Clausen,14,2002,2005,19,206,357,151,57.7,2425,14,12,3.9,3.4,121,6.8,6.06,11.8,127.6,QB,"LSU,Tennessee"
1912,Robin Gabriel,14,1980,1981,23,198,447,249,44.3,2866,14,20,3.1,4.5,99.5,6.4,5.02,14.5,124.6,QB,New Mexico
1913,Ron Bass,14,1973,1977,45,234,437,203,53.5,2933,14,24,3.2,5.5,109.5,6.7,4.88,12.5,65.2,QB,South Carolina
1914,Ron Rummel,14,1975,1977,30,115,261,146,44.1,1985,14,8,5.4,3.1,119.5,7.6,7.3,17.3,66.2,QB,Central Michigan
1915,Ronnie Smith,14,1963,1964,20,153,354,201,43.2,1800,14,24,4,6.8,85.4,5.1,2.82,11.8,90,QB,Richmond
1916,Roy Dewalt,14,1975,1979,39,156,377,221,41.4,2400,14,21,3.7,5.6,96,6.4,4.6,15.4,61.5,QB,Texas-Arlington
1917,Ryan Hawk,14,2000,2004,34,191,376,185,50.8,2430,14,10,3.7,2.7,112.1,6.5,6.01,12.7,71.5,QB,"Miami (OH),Ohio"
1918,Ryan Van Dyke,14,1998,2001,24,161,288,127,55.9,2111,14,14,4.9,4.9,123.8,7.3,6.11,13.1,88,QB,Michigan State
1919,Scooter Longmire,14,1968,1971,31,170,386,216,44,1777,14,27,3.6,7,80.7,4.6,2.18,10.5,57.3,QB,"Michigan State,Utah"
1920,Shawn Gray,14,1991,1994,41,254,564,310,45,3603,14,26,2.5,4.6,97.7,6.4,4.81,14.2,87.9,QB,UTEP
1921,Steve Smith,14,1977,1979,33,152,318,166,47.8,1962,14,25,4.4,7.9,98.4,6.2,3.51,12.9,59.5,QB,Baylor
1922,Steve Stetson,14,1970,1972,27,123,238,115,51.7,1678,14,13,5.9,5.5,119.4,7.1,5.77,13.6,62.1,QB,Dartmouth
1923,Steven Duncan,14,2017,2019,13,180,308,128,58.4,1863,14,11,4.5,3.6,117.1,6,5.35,10.4,143.3,QB,Western Kentucky
1924,T.D. Croshaw,14,1998,2000,20,100,203,103,49.3,1419,14,10,6.9,4.9,120.9,7,6.15,14.2,71,QB,Utah
1925,Ted McNulty,14,1970,1972,32,224,459,235,48.8,2534,14,27,3.1,5.9,93.5,5.5,3.48,11.3,79.2,QB,Indiana
1926,Terry Davis,14,1970,1972,33,101,174,73,58,1328,14,9,8,5.2,138.4,7.6,6.91,13.1,40.2,QB,Alabama
1927,Terry Looney,14,1973,1976,29,121,261,140,46.4,1806,14,20,5.4,7.7,106.9,6.9,4.54,14.9,62.3,QB,Tulane
1928,Todd Jordan,14,1989,1993,43,205,440,235,46.6,2741,14,20,3.2,4.5,100.3,6.2,4.82,13.4,63.7,QB,Mississippi State
1929,Tom Singleton,14,1958,1960,27,82,169,87,48.5,1215,14,15,8.3,8.9,118.5,7.2,4.85,14.8,45,QB,Yale
1930,Tommy Luginbill,14,1994,1994,11,182,327,145,55.7,2128,14,13,4.3,4,116.5,6.5,5.57,11.7,193.5,QB,Georgia Tech
1931,Tony Lowery,14,1987,1991,41,355,648,293,54.8,4006,14,32,2.2,4.9,104,6.2,4.39,11.3,97.7,QB,Wisconsin
1932,Trent Steelman,14,2009,2012,46,192,378,186,50.8,2723,14,9,3.7,2.4,118.8,7.2,6.87,14.2,59.2,QB,Army
1933,Tyler Stehling,14,2014,2016,22,230,383,153,60.1,2528,14,9,3.7,2.3,122.9,6.6,6.27,11,114.9,QB,Rice
1934,Will Gardner,14,2013,2015,14,135,233,98,57.9,1781,14,3,6,1.3,139.4,7.6,8.27,13.2,127.2,QB,Louisville
1935,Willie Simmons,14,2000,2002,22,197,375,178,52.5,2410,14,12,3.7,3.2,112.4,6.4,5.73,12.2,109.5,QB,Clemson
1936,Woody Barrett,14,2018,2021,24,250,431,181,58,2553,14,9,3.2,2.1,114.3,5.9,5.63,10.2,106.4,QB,"Kent State,UCF"
1937,Zac Lee,14,2008,2010,21,189,324,135,58.3,2250,14,10,4.3,3.1,124.8,6.9,6.42,11.9,107.1,QB,Nebraska
1938,Aaron Leak,13,2001,2004,22,165,381,216,43.3,2207,13,19,3.4,5,93.3,5.8,4.23,13.4,100.3,QB,"North Carolina,Troy"
1939,AJ Padgett,13,2022,2024,9,110,194,84,56.7,1355,13,7,6.7,3.6,130.3,7,6.7,12.3,150.6,QB,Rice
1940,A.J. Sager,13,1983,1986,42,379,722,343,52.5,4028,13,39,1.8,5.4,94.5,5.6,3.51,10.6,95.9,QB,Toledo
1941,Andrico Hines,13,2002,2003,22,295,496,201,59.5,3495,13,10,2.6,2,123.3,7,6.66,11.8,158.9,QB,Middle Tennessee State
1942,Andy Heiser,13,2003,2004,24,168,333,165,50.5,2356,13,12,3.9,3.6,115.6,7.1,6.23,14,98.2,QB,Nevada
1943,Aveon Smith,13,2020,2023,24,157,314,157,50,1940,13,7,4.1,2.2,111.1,6.2,6,12.4,80.8,QB,Miami (OH)
1944,Ben Finley,13,2020,2024,19,201,361,160,55.7,2143,13,13,3.6,3.6,110.2,5.9,5.04,10.7,112.8,QB,"Akron,California,North Carolina State"
1945,Bernie Scruggs,13,1969,1971,32,248,494,246,50.2,2704,13,31,2.6,6.3,92.3,5.5,3.18,10.9,84.5,QB,Kentucky
1946,Bill Daniels,13,1972,1974,33,171,334,163,51.2,2451,13,26,3.9,7.8,110.1,7.3,4.61,14.3,74.3,QB,Pitt
1947,Bill Scharr,13,1987,1989,33,124,198,74,62.6,1851,13,8,6.6,4,154.7,9.3,8.84,14.9,56.1,QB,Syracuse
1948,Bill Solomon,13,1977,1979,33,168,343,175,49,2118,13,22,3.8,6.4,100.5,6.2,4.05,12.6,64.2,QB,Colorado
1949,Billy Austin,13,1956,1958,28,77,165,88,46.7,993,13,9,7.9,5.5,112.3,6,5.14,12.9,35.5,RB,Rutgers
1950,B.J. Rhode,13,1999,2002,28,141,236,95,59.7,1859,13,7,5.5,3,138.2,7.9,7.64,13.2,66.4,QB,Boise State
1951,Bob Carpenter,13,1968,1969,20,145,302,157,48,1588,13,19,4.3,6.3,93.8,5.3,3.29,11,79.4,QB,Northern Illinois
1952,Bob Dulich,13,1974,1974,11,111,233,122,47.6,1588,13,9,5.6,3.9,115.6,6.8,6.19,14.3,144.4,QB,Long Beach State
1953,Bob Jensen,13,1986,1987,24,169,313,144,54,2298,13,18,4.2,5.8,117.9,7.3,5.58,13.6,95.8,QB,BYU
1954,Bob Wolfe,13,1964,1966,31,119,289,170,41.2,1539,13,15,4.5,5.2,90.4,5.3,3.89,12.9,49.6,QB,Colorado State
1955,Brian Burgdorf,13,1992,1995,27,160,282,122,56.7,1935,13,12,4.6,4.3,121.1,6.9,5.87,12.1,71.7,QB,Alabama
1956,Bruce Basile,13,1972,1975,30,113,244,131,46.3,1840,13,16,5.3,6.6,114.1,7.5,5.66,16.3,61.3,QB,Colgate
1957,Buddy Funck,13,1982,1984,35,165,315,150,52.4,2497,13,20,4.1,6.3,119.9,7.9,5.9,15.1,71.3,QB,New Mexico
1958,Cameron Sexton,13,2006,2008,17,152,305,153,49.8,2110,13,14,4.3,4.6,112.8,6.9,5.7,13.9,124.1,QB,North Carolina
1959,Charlie Benson,13,1956,1959,35,147,304,157,48.4,1900,13,22,4.3,7.2,100.5,6.3,3.85,12.9,54.3,QB,Davidson
1960,Charlie Trotman,13,1976,1979,44,134,289,155,46.4,2024,13,20,4.5,6.9,106.2,7,4.79,15.1,46,RB,Auburn
1961,Chester Stewart,13,2008,2011,39,205,389,184,52.7,2623,13,17,3.3,4.4,111.6,6.7,5.44,12.8,67.3,QB,Temple
1962,Chris Dittoe,13,1993,1996,31,261,498,237,52.4,3135,13,13,2.6,2.6,108.7,6.3,5.64,12,101.1,QB,Indiana
1963,Chris Kupec,13,1972,1974,33,117,178,61,65.7,1608,13,5,7.3,2.8,160.1,9,9.23,13.7,48.7,QB,North Carolina
1964,Chris Nelson,13,2005,2006,14,143,276,133,51.8,1754,13,9,4.7,3.3,114.2,6.4,5.83,12.3,125.3,QB,New Mexico
1965,Chris Williams,13,2003,2006,20,135,261,126,51.7,1752,13,12,5,4.6,115.4,6.7,5.64,13,87.6,QB,UAB
1966,Cody Wells,13,2009,2012,48,170,288,118,59,1897,13,15,4.5,5.2,118.8,6.6,5.15,11.2,39.5,QB,Louisiana-Monroe
1967,Cole Kelley,13,2017,2018,18,122,218,96,56,1493,13,9,6,4.1,124.9,6.8,6.18,12.2,82.9,QB,Arkansas
1968,Craig Johnson,13,1979,1982,46,111,269,158,41.3,1592,13,17,4.8,6.3,94.3,5.9,4.04,14.3,34.6,QB,Wyoming
1969,Dane McDaniel,13,1977,1979,34,137,269,132,50.9,1807,13,15,4.8,5.6,112.2,6.7,5.17,13.2,53.1,QB,Southern Mississippi
1970,Danny Sullivan,13,2006,2009,35,208,399,191,52.1,2348,13,12,3.3,3,106.3,5.9,5.18,11.3,67.1,QB,Arizona State
1971,Darrell Gast,13,1983,1987,28,137,288,151,47.6,1793,13,13,4.5,4.5,105.7,6.2,5.1,13.1,64,QB,Georgia Tech
1972,Dave Penhall,13,1968,1970,32,203,396,193,51.3,2751,13,23,3.3,5.8,108.8,6.9,4.99,13.6,86,QB,California
1973,Dave Telford,13,1987,1988,20,234,414,180,56.5,2970,13,16,3.1,3.9,119.4,7.2,6.06,12.7,148.5,QB,Fresno State
1974,David Wolke,13,2005,2008,28,195,359,164,54.3,2228,13,18,3.6,5,108.4,6.2,4.67,11.4,79.6,QB,"Notre Dame,Western Kentucky"
1975,Daxx Garman,13,2014,2015,11,158,295,137,53.6,2156,13,13,4.4,4.4,120.7,7.3,6.21,13.6,196,QB,"Maryland,Oklahoma State"
1976,D.J. Mack Jr.,13,2018,2022,31,157,301,144,52.2,1718,13,9,4.3,3,108.4,5.7,5.23,10.9,55.4,QB,"Old Dominion,UCF"
1977,Don King,13,1983,1985,33,204,396,192,51.5,3056,13,12,3.3,3,121.1,7.7,7.01,15,92.6,QB,SMU
1978,Doug Dobbins,13,1975,1976,22,102,244,142,41.8,1534,13,17,5.3,7,98.3,6.3,4.22,15,69.7,QB,Texas-Arlington
1979,Dustin Ward,13,2000,2003,22,165,304,139,54.3,1946,13,13,4.3,4.3,113.6,6.4,5.33,11.8,88.5,QB,Illinois
1980,Emmett Brown,13,2023,2024,5,100,162,62,61.7,1304,13,5,8,3.1,149.7,8,8.27,13,260.8,QB,"San Jose State,Washington State"
1981,Eric Olson,13,1966,1968,30,108,229,121,47.2,1783,13,24,5.7,10.5,110.3,7.8,4.21,16.5,59.4,QB,Oregon
1982,Fran Curci,13,1957,1959,30,187,356,169,52.5,1937,13,26,3.7,7.3,95.7,5.4,2.88,10.4,64.6,QB,Miami (FL)
1983,Garrick McGee,13,1992,1995,32,207,409,202,50.6,2636,13,23,3.2,5.6,104,6.4,4.55,12.7,82.4,QB,"Arizona State,Oklahoma"
1984,Gary Yagelski,13,1979,1981,28,165,305,140,54.1,2177,13,13,4.3,4.3,119.6,7.1,6.07,13.2,77.8,QB,Drake
1985,Gavin Hoffman,13,1998,1998,12,176,323,147,54.5,2199,13,14,4,4.3,116.3,6.8,5.66,12.5,183.3,QB,Northwestern
1986,Gio Lopez,13,2023,2024,8,98,153,55,64.1,1318,13,2,8.5,1.3,161.8,8.6,9.73,13.4,164.8,QB,South Alabama
