,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
1801,Ty Paine,15,1970,1972,33,325,725,400,44.8,4136,15,54,2.1,7.4,84.7,5.7,2.77,12.7,125.3,QB,Washington State
1802,Vad Lee,15,2012,2013,25,109,236,127,46.2,2157,15,13,6.4,5.5,132.9,9.1,7.93,19.8,86.3,QB,Georgia Tech
1803,Vaughn Charlton,15,2006,2010,40,232,436,204,53.2,2615,15,14,3.4,3.2,108.5,6,5.24,11.3,65.4,QB,Temple
1804,Xavier Lee,15,2005,2007,19,155,302,147,51.3,2323,15,11,5,3.6,125,7.7,7.05,15,122.3,QB,Florida State
1805,Adam Smith,14,2001,2003,24,228,415,187,54.9,2549,14,10,3.4,2.4,112.8,6.1,5.73,11.2,106.2,QB,Duke
1806,Adrian McPherson,14,2001,2002,18,98,192,94,51,1215,14,1,7.3,0.5,127.2,6.3,7.55,12.4,67.5,QB,Florida State
1807,Allen Mitchell,14,1983,1985,33,158,320,162,49.4,2241,14,28,4.4,8.8,105.1,7,3.94,14.2,67.9,QB,South Carolina
1808,Andrew Maxwell,14,2010,2013,25,278,530,252,52.5,3014,14,9,2.6,1.7,105.5,5.7,5.45,10.8,120.6,QB,Michigan State
1809,Andrew Robinson,14,2006,2009,29,175,345,170,50.7,2344,14,11,4.1,3.2,114.8,6.8,6.17,13.4,80.8,QB,Syracuse
1810,Arion Worthman,14,2016,2018,22,83,164,81,50.6,1723,14,6,8.5,3.7,159.7,10.5,10.57,20.8,78.3,QB,Air Force
1811,Artur Sitkowski,14,2018,2022,26,322,595,273,54.1,2838,14,23,2.4,3.9,94.2,4.8,3.5,8.8,109.2,QB,"Illinois,Rutgers"
1812,Austin Boucher,14,2010,2013,25,201,362,161,55.5,2314,14,11,3.9,3,115.9,6.4,5.8,11.5,92.6,QB,Miami (OH)
1813,Baylor Romney,14,2019,2021,16,134,200,66,67,1787,14,3,7,1.5,162.2,8.9,9.66,13.3,111.7,QB,BYU
1814,Bernard Oden,14,1995,1997,25,209,400,191,52.3,2686,14,15,3.5,3.8,112.7,6.7,5.73,12.9,107.4,QB,Memphis
1815,Bill Troup,14,1970,1972,20,149,313,164,47.6,2047,14,24,4.5,7.7,102,6.5,3.98,13.7,102.4,QB,"South Carolina,Virginia"
1816,Billy Baker,14,1956,1959,39,207,400,193,51.8,2315,14,23,3.5,5.8,100.4,5.8,3.9,11.2,59.4,QB,Furman
1817,Blane Morgan,14,1996,1998,27,124,235,111,52.8,2119,14,10,6,4.3,139.7,9,8.29,17.1,78.5,QB,Air Force
1818,Bob Hall,14,1963,1965,26,210,426,216,49.3,2085,14,27,3.3,6.3,88.6,4.9,2.7,9.9,80.2,QB,Brown
1819,Bobby McAllister,14,1985,1988,39,176,355,179,49.6,2777,14,16,3.9,4.5,119.3,7.8,6.58,15.8,71.2,QB,Michigan State
1820,Braylon Braxton,14,2021,2024,21,122,228,106,53.5,1488,14,8,6.1,3.5,121.6,6.5,6.18,12.2,70.9,QB,"Marshall,Tulsa"
1821,Brian Broadwater,14,1998,2000,33,170,342,172,49.7,2502,14,10,4.1,2.9,118.8,7.3,6.82,14.7,75.8,QB,Navy
1822,Brock Nutter,14,2001,2001,11,173,307,134,56.4,2098,14,13,4.6,4.2,120.3,6.8,5.84,12.1,190.7,QB,Troy
1823,Bruce Porter,14,1985,1987,17,231,421,190,54.9,2428,14,18,3.3,4.3,105.7,5.8,4.51,10.5,142.8,QB,Ohio
1824,Bud Keyes,14,1985,1987,34,181,387,206,46.8,2181,14,24,3.6,6.2,93.6,5.6,3.57,12,64.1,QB,Wisconsin
1825,Buddy Carter,14,1971,1972,22,129,318,189,40.6,1993,14,18,4.4,5.7,96.4,6.3,4.6,15.4,90.6,QB,Tampa
