,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
3801,Myreon Williams,959,1988,1991,44,196,959,4.9,3,21.8,QB,Army
3802,Ronnell Kayhill,959,1989,1992,36,278,959,3.4,16,26.6,RB,Missouri
3803,TiAndre Sanders,959,1990,1993,43,170,959,5.6,11,22.3,RB,Houston
3804,Andre Flowers,958,2007,2010,42,244,958,3.9,4,22.8,RB,Kent State
3805,Cee Ellison,958,1966,1968,30,250,958,3.8,3,31.9,RB,Tulsa
3806,George Colbert,958,1956,1957,20,183,958,5.2,9,47.9,RB,Denver
3807,Loren Wade,958,2003,2004,14,186,958,5.2,5,68.4,RB,Arizona State
3808,Rene Ramirez,958,1957,1959,28,190,958,5,9,34.2,RB,Texas
3809,Alfonso Smith,957,2006,2009,49,215,957,4.5,8,19.5,RB,Kentucky
3810,David Dickey,957,1966,1968,30,246,957,3.9,13,31.9,RB,Arkansas
3811,Gene Rogers,957,1968,1969,20,235,957,4.1,5,47.9,RB,Baylor
3812,Tom Bronson,957,1956,1957,20,208,957,4.6,11,47.9,RB,Tennessee
3813,Walt Robinson,957,1973,1976,45,272,957,3.5,7,21.3,RB,San Jose State
3814,Billy Brown,956,1959,1960,20,137,956,7,9,47.8,RB,New Mexico
3815,Bob Marshall,956,1969,1971,32,238,956,4,4,29.9,RB,Tulane
3816,Bradrick Shaw,956,2016,2020,34,213,956,4.5,11,28.1,RB,"California,Wisconsin"
3817,Hillary Shockley,956,1969,1971,32,251,956,3.8,14,29.9,RB,Stanford
3818,Melvin Adams,956,1984,1988,43,217,956,4.4,7,22.2,RB,Tulane
3819,Ray Crouse,956,1980,1981,23,193,956,5,12,41.6,RB,Nevada-Las Vegas
3820,Don Kasso,955,1959,1961,30,223,955,4.3,12,31.8,RB,Oregon State
3821,Ed Gilmore,955,1973,1975,33,204,955,4.7,6,28.9,RB,Navy
3822,Gerry Hart,955,1968,1970,27,189,955,5.1,4,35.4,RB,Brown
3823,Jack Wender,955,1974,1976,34,221,955,4.3,5,28.1,RB,Fresno State
3824,Mike Holloran,955,1963,1965,28,211,955,4.5,10,34.1,RB,George Washington
3825,Mike Saint,955,1970,1972,33,221,955,4.3,13,28.9,RB,Arkansas
3826,Phil Coccioletti,955,1972,1975,36,247,955,3.9,9,26.5,QB,Appalachian State
3827,Steve Ferrughelli,955,1968,1970,29,237,955,4,5,32.9,RB,Rutgers
3828,Carl Winston,954,2009,2012,41,272,954,3.5,9,23.3,RB,Washington State
3829,Diivory Edgecomb,954,2005,2008,36,236,954,4,9,26.5,RB,Florida Atlantic
3830,Keeon Johnson,954,1999,2001,22,178,954,5.4,12,43.4,RB,New Mexico State
3831,Ron Story,954,1981,1984,44,257,954,3.7,3,21.7,RB,California
3832,Shelby Mansfield,954,1963,1965,30,256,954,3.7,7,31.8,RB,North Carolina State
3833,AJ Green,953,2021,2024,37,201,953,4.7,6,25.8,RB,"Arkansas,Oklahoma State"
3834,Ben King,953,1966,1968,30,259,953,3.7,3,31.8,RB,Iowa State
3835,Garland Wilson,953,1967,1968,20,212,953,4.5,6,47.7,RB,Kent State
3836,Tommy Palmer,953,1986,1989,23,186,953,5.1,6,41.4,RB,Texas Christian
3837,Joe Matalavage,952,1958,1960,29,215,952,4.4,8,32.8,RB,Navy
3838,Le'Veon Moss,952,2022,2024,20,186,952,5.1,9,47.6,RB,Texas A&M
3839,Marlon McIntyre,952,1981,1984,44,203,952,4.7,4,21.6,RB,Pitt
3840,Ryan Williams,952,2005,2007,35,236,952,4,7,27.2,RB,Air Force
3841,Scott MacBean,952,1967,1969,27,256,952,3.7,4,35.3,RB,Princeton
3842,Arliss Beach,951,2002,2005,43,226,951,4.2,14,22.1,RB,Kentucky
3843,Bob Tracey,951,1973,1974,22,216,951,4.4,7,43.2,RB,Marshall
3844,Eric Franklin,951,1985,1987,16,202,951,4.7,8,59.4,RB,Cal State Fullerton
3845,Jimmy Lisle,951,1972,1974,32,199,951,4.8,1,29.7,RB,West Texas State
3846,Phil Merriman,951,1979,1982,41,223,951,4.3,7,23.2,RB,Ohio
3847,Ray Smith,951,1957,1959,30,259,951,3.7,11,31.7,RB,UCLA
3848,John Caldwell,950,1987,1987,11,238,950,4,2,86.4,RB,Ohio
3849,Ollie Ross,950,1961,1963,29,182,950,5.2,11,32.8,RB,West Texas State
3850,Pete Gross,950,1973,1974,22,238,950,4,7,43.2,RB,Purdue
3851,Tommy Lowry,950,1969,1971,30,177,950,5.4,7,31.7,RB,Auburn
3852,Anthony Krieg,949,2001,2004,42,264,949,3.6,3,22.6,RB,Baylor
3853,Arlen Smith,949,1989,1991,33,177,949,5.4,11,28.8,RB,Army
3854,Ashton Shumpert,949,2013,2016,47,207,949,4.6,7,20.2,RB,Mississippi State
3855,Fred Ray,949,2000,2003,30,231,949,4.1,18,31.6,QB,Ohio
3856,Henry Miller,949,1999,2002,43,193,949,4.9,15,22.1,RB,Louisville
3857,Jaren Hayes,949,2002,2005,46,206,949,4.6,9,20.6,RB,Michigan State
3858,Jermaine Sharp,949,1993,1994,18,180,949,5.3,6,52.7,RB,LSU
3859,Len Chiaverini,949,1962,1964,30,260,949,3.7,6,31.6,RB,Maryland
3860,Wayne DiBartola,949,1979,1981,33,212,949,4.5,4,28.8,RB,Pitt
3861,Adolph Groves,948,1973,1976,39,216,948,4.4,9,24.3,RB,Vanderbilt
3862,Alex Tecza,948,2023,2024,15,157,948,6,7,63.2,FB,Navy
3863,Jeff Sanders,948,1999,2001,25,254,948,3.7,6,37.9,RB,Memphis
3864,Ty Jones,948,2008,2011,30,172,948,5.5,12,31.6,RB,Florida State
3865,Asa Martin,947,2018,2023,54,212,947,4.5,10,17.5,RB,"Auburn,Memphis,Troy"
3866,Desmar Becton,947,1981,1985,42,172,947,5.5,6,22.5,RB,Virginia Tech
3867,Ryan Bass,947,2008,2012,33,228,947,4.2,3,28.7,RB,"Arizona State,Idaho"
3868,Carlos Davis,946,2018,2020,25,227,946,4.2,5,37.8,RB,South Alabama
3869,Kerry Smith,946,1980,1983,44,153,946,6.2,5,21.5,RB,Michigan
3870,Dreamius Smith,945,2013,2014,25,183,945,5.2,10,37.8,RB,West Virginia
3871,Harold Dennis,945,1989,1991,34,224,945,4.2,4,27.8,RB,Tulane
3872,Jerry Keeling,945,1958,1960,30,242,945,3.9,10,31.5,QB,Tulsa
3873,Paul Magalski,945,1969,1971,32,184,945,5.1,6,29.5,RB,Florida State
3874,Bo Wallace,944,2012,2014,39,395,944,2.4,19,24.2,QB,Ole Miss
3875,Fred Pickard,944,1957,1959,20,217,944,4.4,7,47.2,RB,Florida State
3876,Josh Henderson,944,2019,2023,43,212,944,4.5,6,22,RB,"Indiana,North Carolina"
3877,Brian Gordon,943,1990,1993,47,100,943,9.4,3,20.1,WR,Hawaii
3878,Gary Acklin,943,1975,1978,44,198,943,4.8,15,21.4,RB,Ball State
3879,George Atkinson III,943,2011,2013,37,153,943,6.2,10,25.5,RB,Notre Dame
3880,Leonard Cry,943,1984,1988,55,192,943,4.9,4,17.1,RB,Cincinnati
3881,Mike Neary,943,1979,1981,24,225,943,4.2,8,39.3,RB,Princeton
3882,Shanderrick Charles,943,2001,2002,15,161,943,5.9,7,62.9,RB,SMU
3883,Will Howard,943,2020,2024,37,234,943,4,21,25.5,QB,"Kansas State,Ohio State"
3884,Danny Wright,942,1977,1979,33,330,942,2.9,6,28.5,QB,Marshall
3885,Derrick McAdoo,942,1983,1986,44,228,942,4.1,7,21.4,RB,Baylor
3886,Dick Weeks,942,1964,1965,20,228,942,4.1,5,47.1,RB,UTEP
3887,Irv Dingle,942,1995,1998,33,198,942,4.8,7,28.5,RB,Navy
3888,Joshua Fields,942,2017,2020,40,246,942,3.8,3,23.6,RB,UTEP
3889,Mark Birnbaum,942,1979,1982,44,249,942,3.8,6,21.4,RB,Central Michigan
3890,Tully Blanchard,942,1974,1976,33,342,942,2.8,9,28.5,QB,West Texas State
3891,Charlie Weaver,941,1961,1963,30,221,941,4.3,5,31.4,RB,William & Mary
3892,George White,941,1990,1994,44,220,941,4.3,4,21.4,RB,Kansas
3893,Jemal Singleton,941,1996,1998,34,175,941,5.4,4,27.7,RB,Air Force
3894,Keith Benton,941,1990,1991,22,264,941,3.6,9,42.8,QB,Memphis
3895,Keith Gates,941,1983,1985,21,220,941,4.3,4,44.8,RB,Michigan State
3896,Larry Bostic,941,2002,2006,47,267,941,3.5,6,20,RB,Ball State
3897,Nicky Combs,941,1984,1986,33,217,941,4.3,1,28.5,RB,UTEP
3898,Santio Barbosa,941,1982,1984,33,233,941,4,7,28.5,RB,Missouri
3899,Steve Marlowe,941,1972,1974,34,233,941,4,7,27.7,RB,Utah
3900,George Payne,940,2013,2018,29,232,940,4.1,9,32.4,RB,Southern Mississippi
3901,Derrick Witherspoon,939,1990,1993,40,198,939,4.7,6,23.5,RB,Clemson
3902,Maurice Thomas,939,2015,2019,49,168,939,5.6,1,19.2,RB,Miami (OH)
3903,Sefo Liufau,939,2013,2016,43,381,939,2.5,13,21.8,QB,Colorado
3904,Tim Russell,939,1977,1979,33,243,939,3.9,10,28.5,QB,The Citadel
3905,Billy Hill,938,1959,1961,28,224,938,4.2,2,33.5,QB,Mississippi State
3906,Bo Rein,938,1964,1966,24,214,938,4.4,2,39.1,RB,Ohio State
3907,Davon Booth,938,2023,2024,16,156,938,6,8,58.6,RB,"Mississippi State,Utah State"
3908,Bob Hoffman,937,1970,1972,27,222,937,4.2,7,34.7,RB,Pennsylvania
3909,Frank Foxx,937,1975,1978,45,192,937,4.9,13,20.8,RB,Tennessee
3910,Jaylon Glover,937,2022,2024,23,219,937,4.3,6,40.7,RB,Utah
3911,Mike Wiscombe,937,1968,1970,31,203,937,4.6,6,30.2,RB,Idaho
3912,Myles Bailey,937,2021,2024,33,187,937,5,5,28.4,RB,Central Michigan
3913,Ned Oldham,937,1956,1957,19,184,937,5.1,9,49.3,RB,Navy
3914,Raymond Keys,937,1972,1976,27,211,937,4.4,5,34.7,RB,Virginia
3915,A.D. Whitfield,936,1962,1964,29,241,936,3.9,3,32.3,RB,North Texas
3916,Braxton Cleman,936,1998,2002,35,219,936,4.3,8,26.7,RB,Washington
3917,Edwin Simmons,936,1983,1986,26,205,936,4.6,9,36,RB,Texas
3918,Elmarko Jackson,936,1997,1999,28,227,936,4.1,7,33.4,RB,Temple
3919,Mike Whalen,936,1974,1977,45,319,936,2.9,12,20.8,QB,Kent State
3920,Bryson Denley,935,2017,2020,34,222,935,4.2,4,27.5,RB,Bowling Green
3921,Doug Moore,935,1979,1982,46,221,935,4.2,5,20.3,RB,Wyoming
3922,Phil Taylor,935,1957,1959,27,254,935,3.7,2,34.6,RB,Cornell
3923,Ron Shycko,935,1971,1973,33,206,935,4.5,7,28.3,RB,Rutgers
3924,Todd Jones,935,1984,1987,43,152,935,6.2,6,21.7,RB,Rice
3925,Channing Trotter,934,2007,2010,43,206,934,4.5,12,21.7,RB,Nevada-Las Vegas
3926,Jerry Mauro,934,1968,1970,30,247,934,3.8,10,31.1,RB,Richmond
3927,Journey Brown,934,2018,2019,22,137,934,6.8,13,42.5,RB,Penn State
3928,Nick Gibson,934,2016,2019,36,136,934,6.9,8,25.9,RB,Mississippi State
3929,Carl Volny,933,2007,2010,36,210,933,4.4,8,25.9,RB,Central Michigan
3930,Scott Becker,933,1998,2000,34,218,933,4.3,5,27.4,RB,Air Force
3931,Andy Gray,932,1978,1979,23,174,932,5.4,4,40.5,RB,Cal State Fullerton
3932,Bill Bailey,932,1990,1993,42,211,932,4.4,12,22.2,RB,Rutgers
3933,Chuck Coleman,932,1981,1983,33,199,932,4.7,7,28.2,RB,Tennessee
3934,Ed Zink,932,1971,1973,33,195,932,4.8,5,28.2,RB,Dayton
3935,Floyd Faucette,932,1957,1959,30,184,932,5.1,4,31.1,RB,Georgia Tech
3936,George Smith,932,1972,1973,22,159,932,5.9,7,42.4,RB,Texas Tech
3937,Kevin Ingram,932,1981,1983,32,297,932,3.1,15,29.1,QB,East Carolina
3938,Louie DeSimone,932,1958,1961,35,192,932,4.9,3,26.6,RB,George Washington
3939,Rodney Peters,932,1984,1987,42,221,932,4.2,4,22.2,RB,Mississippi State
