,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
1201,Noel Mazzone,22,1975,1978,46,179,378,199,47.4,2665,22,23,5.8,6.1,113.6,7.1,5.48,14.9,57.9,QB,New Mexico
1202,Randy McCown,22,1996,1999,41,277,536,259,51.7,4187,22,14,4.1,2.6,125.6,7.8,7.46,15.1,102.1,QB,Texas A&M
1203,Ron Edwards,22,1964,1966,30,173,345,172,50.1,2266,22,19,6.4,5.5,115.3,6.6,5.37,13.1,75.5,QB,Utah State
1204,Sean Covey,22,1987,1989,36,320,557,237,57.5,4467,22,19,3.9,3.4,131,8,7.27,14,124.1,QB,BYU
1205,Shane Steichen,22,2003,2006,23,244,465,221,52.5,2755,22,20,4.7,4.3,109.3,5.9,4.94,11.3,119.8,QB,Nevada-Las Vegas
1206,Steve Cockreham,22,1971,1973,33,153,350,197,43.7,2702,22,23,6.3,6.6,116.2,7.7,6.02,17.7,81.9,QB,Wyoming
1207,Symmion Willis,22,1992,1994,21,207,357,150,58,3003,22,19,6.2,5.3,138.3,8.4,7.25,14.5,143,QB,Virginia
1208,Terry McMillan,22,1968,1969,20,161,346,185,46.5,2708,22,20,6.4,5.8,121.7,7.8,6.5,16.8,135.4,QB,Missouri
1209,Todd Hons,22,1982,1983,22,366,624,258,58.7,4395,22,25,3.5,4,121.4,7,5.95,12,199.8,QB,Arizona State
1210,Tyler Donovan,22,2004,2007,28,235,400,165,58.8,3227,22,13,5.5,3.3,138.2,8.1,7.71,13.7,115.3,QB,Wisconsin
1211,Tyler Gooch,22,2001,2002,20,282,508,226,55.5,2925,22,15,4.3,3,112.3,5.8,5.3,10.4,146.3,QB,Tulsa
1212,Wally Woodham,22,1975,1979,41,273,476,203,57.4,3550,22,18,4.6,3.8,127.7,7.5,6.68,13,86.6,QB,Florida State
1213,Aaron Karas,21,2001,2003,23,321,543,222,59.1,3799,21,25,3.9,4.6,121.4,7,5.7,11.8,165.2,QB,Baylor
1214,Billy Bahl,21,2015,2017,20,229,463,234,49.5,3390,21,21,4.5,4.5,116.9,7.3,6.19,14.8,169.5,QB,Miami (OH)
1215,Billy Fletcher,21,1963,1965,29,168,438,270,38.4,2311,21,28,4.8,6.4,85.7,5.3,3.36,13.8,79.7,QB,Memphis
1216,Brandon Harris,21,2014,2017,30,222,418,196,53.1,3102,21,18,5,4.3,123.4,7.4,6.49,14,103.4,QB,"LSU,North Carolina"
1217,Brian Reader,21,2009,2011,27,281,506,225,55.5,3343,21,19,4.2,3.8,117.2,6.6,5.75,11.9,123.8,QB,Idaho
1218,Bruce Parker,21,1977,1978,23,210,416,206,50.5,2706,21,16,5,3.8,114.1,6.5,5.78,12.9,117.7,QB,Pacific
1219,Bryson Barnes,21,2021,2024,27,226,380,154,59.5,2549,21,17,5.5,4.5,125.1,6.7,5.8,11.3,94.4,QB,"Utah,Utah State"
1220,Charles Puleri,21,1991,1992,17,257,456,199,56.4,3634,21,17,4.6,3.7,131,8,7.21,14.1,213.8,QB,New Mexico State
1221,Chris Laviano,21,2014,2016,24,268,480,212,55.8,3102,21,15,4.4,3.1,118.3,6.5,5.93,11.6,129.3,QB,Rutgers
1222,Chris McCoy,21,1995,1997,33,152,323,171,47.1,2486,21,17,6.5,5.3,122.6,7.7,6.63,16.4,75.3,QB,Navy
1223,Clyde Hewell,21,1966,1968,30,313,563,250,55.6,3993,21,32,3.7,5.7,116.1,7.1,5.28,12.8,133.1,QB,Furman
1224,Cyler Miles,21,2013,2014,20,256,390,134,65.6,2815,21,6,5.4,1.5,141,7.2,7.6,11,140.8,QB,Washington
1225,Daniel Ford,21,1986,1988,27,208,410,202,50.7,2813,21,25,5.1,6.1,113.1,6.9,5.14,13.5,104.2,QB,Arizona State
1226,Dave Havern,21,1968,1971,31,308,600,292,51.3,3645,21,36,3.5,6,101.9,6.1,4.08,11.8,117.6,QB,Pitt
1227,Dave Henigan,21,1989,1993,30,295,536,241,55,3220,21,17,3.9,3.2,112.1,6,5.36,10.9,107.3,QB,Pacific
1228,Dave Rader,21,1976,1978,33,158,333,175,47.4,2655,21,9,6.3,2.7,129.8,8,8.02,16.8,80.5,QB,Tulsa
1229,David Chisum,21,1990,1991,21,299,579,280,51.6,3801,21,22,3.6,3.8,111.2,6.6,5.58,12.7,181,QB,New Mexico State
1230,David Dacus,21,1987,1988,17,291,503,212,57.9,3446,21,17,4.2,3.4,122.4,6.9,6.17,11.8,202.7,QB,Houston
1231,David Olivo,21,1966,1968,30,230,453,223,50.8,2812,21,32,4.6,7.1,104.1,6.2,3.96,12.2,93.7,QB,Miami (FL)
1232,Demarcus Irons Jr.,21,2021,2023,23,419,632,213,66.3,4220,21,14,3.3,2.2,128.9,6.7,6.34,10.1,183.5,QB,Akron
1233,Dennis Grosel,21,2019,2021,24,223,401,178,55.6,2767,21,13,5.2,3.2,124.4,6.9,6.49,12.4,115.3,QB,Boston College
1234,Devin Scott,21,1998,2001,30,401,681,280,58.9,3947,21,24,3.1,3.5,110.7,5.8,4.83,9.8,131.6,QB,Temple
1235,Donald Sellers,21,1995,1996,21,278,451,173,61.6,3741,21,6,4.7,1.3,144,8.3,8.63,13.5,178.1,QB,New Mexico
1236,Drew Gordon,21,1969,1971,31,181,333,152,54.4,2370,21,9,6.3,2.7,129.5,7.1,7.16,13.1,76.5,QB,Villanova
1237,Fred Payton,21,2018,2020,26,186,298,112,62.4,2381,21,11,7,3.7,145.4,8,7.74,12.8,91.6,QB,Coastal Carolina
1238,Gary Baxter,21,1967,1969,30,262,572,310,45.8,3362,21,26,3.7,4.5,98.2,5.9,4.57,12.8,112.1,QB,Air Force
1239,Gary Fox,21,1969,1971,31,266,524,258,50.8,3433,21,29,4,5.5,108,6.6,4.86,12.9,110.7,QB,Wyoming
1240,Henry Colombi,21,2018,2022,32,352,512,160,68.8,3754,21,14,4.1,2.7,138.4,7.3,6.92,10.7,117.3,QB,"Marshall,Texas Tech,Utah State"
1241,Howard Gasser,21,1989,1990,23,273,502,229,54.4,3609,21,22,4.2,4.4,119.8,7.2,6.05,13.2,156.9,QB,UTEP
1242,Jacob Park,21,2016,2017,14,233,388,155,60.1,2972,21,10,5.4,2.6,137.1,7.7,7.58,12.8,212.3,QB,Iowa State
1243,Jake Christensen,21,2006,2008,26,257,468,211,54.9,2950,21,9,4.5,1.9,118.8,6.3,6.34,11.5,113.5,QB,Iowa
1244,Jamelle Holieway,21,1985,1988,44,102,224,122,45.5,2154,21,14,9.4,6.3,144.7,9.6,8.68,21.1,49,QB,Oklahoma
1245,Jeff Crosbie,21,1998,2002,30,283,617,334,45.9,3408,21,24,3.4,3.9,95.7,5.5,4.45,12,113.6,QB,Utah State
