,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1801,J.J. Jones,1387,2021,2024,39,85,1387,16.3,5,35.6,WR,North Carolina
1802,Jarrod Delaney,1386,1985,1988,42,95,1386,14.6,8,33,WR,Texas Christian
1803,Joey Jones,1386,1980,1983,44,71,1386,19.5,13,31.5,WR,Alabama
1804,Kyle Griswould,1386,2011,2013,37,121,1386,11.5,8,37.5,WR,Middle Tennessee State
1805,Mark Holmes,1386,1988,1991,34,95,1386,14.6,11,40.8,WR,Colorado State
1806,Vince Bean,1386,1981,1984,44,84,1386,16.5,7,31.5,WR,Michigan
1807,Isaac Rex,1385,2019,2023,52,112,1385,12.4,24,26.6,TE,BYU
1808,Danny Anthrop,1384,2012,2015,41,113,1384,12.2,9,33.8,UT,Purdue
1809,K.O. Kealaluhi,1384,1995,1996,24,77,1384,18,10,57.7,WR,BYU
1810,Mike Giacolone,1384,1979,1982,44,103,1384,13.4,10,31.5,WR,Virginia Tech
1811,Robbie Hahn,1384,1966,1967,20,79,1384,17.5,17,69.2,WR,Furman
1812,Tavarres Jefferson,1384,2009,2013,43,131,1384,10.6,9,32.2,WR,Middle Tennessee State
1813,Brian Scott,1383,1998,2001,39,83,1383,16.7,6,35.5,WR,South Carolina
1814,Canaan Severin,1383,2012,2015,40,102,1383,13.6,13,34.6,WR,Virginia
1815,Dwayne Stanford,1383,2012,2016,45,97,1383,14.3,12,30.7,WR,Oregon
1816,Jay Dobyns,1383,1982,1984,33,103,1383,13.4,4,41.9,WR,Arizona
1817,Jon Pinckney,1383,1988,1991,44,87,1383,15.9,11,31.4,WR,Stanford
1818,Jyaire Shorter,1383,2018,2024,42,62,1383,22.3,20,32.9,WR,"Auburn,Memphis,North Texas"
1819,Ahmmon Richards,1382,2016,2018,23,74,1382,18.7,6,60.1,WR,Miami (FL)
1820,Heyward Skipper,1382,2001,2002,23,83,1382,16.7,11,60.1,WR,Troy
1821,James Loving,1382,1986,1987,24,91,1382,15.2,7,57.6,WR,Wyoming
1822,Randall St. Felix,1382,2018,2022,44,93,1382,14.9,9,31.4,WR,"Florida International,South Florida"
1823,Charles Campbell,1381,1964,1966,30,100,1381,13.8,5,46,WR,Texas Christian
1824,James Whitmore,1381,1992,1995,44,99,1381,13.9,5,31.4,WR,SMU
1825,Justin Marshall,1381,2018,2022,49,100,1381,13.8,10,28.2,WR,"Buffalo,Louisville"
1826,Reginald Murphy,1381,1993,1996,44,120,1381,11.5,3,31.4,WR,Arkansas State
1827,Chase Cota,1380,2018,2022,53,103,1380,13.4,9,26,WR,"Oregon,UCLA"
1828,Eric Young,1380,1985,1988,43,109,1380,12.7,9,32.1,WR,Rutgers
1829,Rodney Dennis,1380,1989,1992,44,70,1380,19.7,10,31.4,WR,Purdue
1830,Dimitri Stanley,1379,2018,2023,53,118,1379,11.7,5,26,WR,"Colorado,Iowa State"
1831,Ernest Calloway,1379,1990,1992,33,95,1379,14.5,5,41.8,WR,Purdue
1832,Marlon Lucky,1379,2005,2008,50,135,1379,10.2,4,27.6,RB,Nebraska
1833,Keith Chappelle,1377,1979,1980,22,86,1377,16,9,62.6,WR,Iowa
1834,Chad Lewis,1376,1993,1996,45,111,1376,12.4,10,30.6,TE,BYU
1835,Harold Robinson,1376,1989,1991,33,65,1376,21.2,6,41.7,WR,Akron
1836,Jared Rice,1376,2015,2019,52,114,1376,12.1,11,26.5,,Fresno State
1837,Larry Nickels,1376,1970,1972,32,99,1376,13.9,4,43,WR,Dayton
1838,Lance Leggett,1375,2004,2007,45,85,1375,16.2,11,30.6,WR,Miami (FL)
1839,Cameron Odom,1374,2016,2021,55,100,1374,13.7,6,25,,Ohio
1840,Courtney Burton,1374,1990,1993,44,102,1374,13.5,10,31.2,WR,Ohio
1841,Damarcus Davis,1374,2002,2006,44,116,1374,11.8,10,31.2,WR,Tulane
1842,Jason Chery,1374,2005,2008,47,105,1374,13.1,11,29.2,WR,Louisiana
1843,Marlon Moore,1374,2006,2009,41,90,1374,15.3,10,33.5,WR,Fresno State
1844,Maurice Avery,1373,2002,2005,44,97,1373,14.2,11,31.2,WR,Memphis
1845,Michael Pierce,1373,1986,1989,39,120,1373,11.4,5,35.2,RB,Tulane
1846,Randy Marriott,1373,1985,1988,44,84,1373,16.3,11,31.2,WR,North Carolina
1847,Riley Dunlop,1373,2008,2011,45,104,1373,13.2,12,30.5,WR,Ohio
1848,Donnie O'Neal,1372,2000,2001,22,84,1372,16.3,11,62.4,WR,Arizona State
1849,James Jett,1372,1989,1992,41,66,1372,20.8,10,33.5,WR,West Virginia
1850,Jim Whatley,1372,1978,1980,29,76,1372,18.1,8,47.3,WR,Washington State
1851,J.J. Celestine,1372,1988,1990,33,87,1372,15.8,9,41.6,WR,Cal State Fullerton
1852,Jonathan Giles,1372,2015,2018,36,95,1372,14.4,16,38.1,WR,"LSU,Texas Tech"
1853,Junior Taylor,1372,2002,2006,54,104,1372,13.2,9,25.4,WR,UCLA
1854,Mark Twitty,1372,1974,1976,30,62,1372,22.1,12,45.7,WR,Rutgers
1855,Robert Lewis,1372,2020,2024,41,108,1372,12.7,14,33.5,WR,"Auburn,Georgia State"
1856,Aaron Grimm,1371,1987,1988,23,86,1371,15.9,3,59.6,WR,Utah
1857,Aaron Williams,1371,1979,1982,44,81,1371,16.9,8,31.2,WR,Washington
1858,Anthony Amos,1371,2011,2012,23,99,1371,13.8,12,59.6,WR,Middle Tennessee State
1859,Casey Boyett,1371,1966,1968,30,96,1371,14.3,8,45.7,WR,BYU
1860,Charles West,1371,1994,1996,33,127,1371,10.8,5,41.5,WR,Houston
1861,Chris Anthony,1371,1998,2000,32,114,1371,12,4,42.8,WR,Iowa State
1862,Tom Rossley,1371,1966,1968,29,106,1371,12.9,7,47.3,WR,Cincinnati
1863,Damon Gourdine,1370,1997,1999,28,114,1370,12,12,48.9,WR,San Diego State
1864,Jaray Jenkins,1370,2019,2022,43,89,1370,15.4,14,31.9,WR,LSU
1865,Jordan Thompson,1370,2012,2015,49,117,1370,11.7,2,28,WR,West Virginia
1866,Mike Hart,1370,1998,2001,40,86,1370,15.9,6,34.3,TE,Duke
1867,David Yaege,1369,1971,1972,22,77,1369,17.8,6,62.2,WR,North Texas
1868,Eddy Anderson,1369,1985,1988,44,102,1369,13.4,5,31.1,WR,Texas Tech
1869,Toderick Malone,1368,1993,1995,35,73,1368,18.7,11,39.1,WR,Alabama
1870,Devaughn Cooper,1367,2016,2022,57,98,1367,13.9,4,24,WR,"Arizona,Syracuse,UTEP"
1871,Jacob Sannon,1366,2013,2017,49,125,1366,10.9,3,27.9,WR,Idaho
1872,Keith Sconiers,1366,2010,2014,43,114,1366,12,6,31.8,WR,Akron
1873,Larry Route,1366,1983,1986,38,123,1366,11.1,8,35.9,WR,Tulane
1874,Mike Dudek,1365,2014,2018,21,104,1365,13.1,7,65,WR,Illinois
1875,Dave Janoski,1364,1993,1996,44,89,1364,15.3,6,31,WR,Washington
1876,Eric Streater,1364,1984,1986,33,82,1364,16.6,12,41.3,WR,North Carolina
1877,Jeff Kolberg,1364,1969,1971,32,92,1364,14.8,11,42.6,WR,Oregon State
1878,Kevin Shaa,1364,2018,2021,39,82,1364,16.6,12,35,WR,Liberty
1879,Ray Crisp,1364,1975,1978,44,86,1364,15.9,9,31,WR,Marshall
1880,Dyrell Roberts,1363,2008,2012,52,96,1363,14.2,6,26.2,WR,Virginia Tech
1881,Nigea Carter,1363,1993,1996,42,77,1363,17.7,10,32.5,WR,Michigan State
1882,Rob Turner,1363,1999,2002,38,112,1363,12.2,5,35.9,WR,Central Michigan
1883,Barry Pearson,1362,1969,1971,31,90,1362,15.1,6,43.9,WR,Northwestern
1884,Fred Brock,1362,1992,1995,44,86,1362,15.8,11,31,WR,Southern Mississippi
1885,Mike Scott,1362,2011,2012,23,115,1362,11.8,6,59.2,WR,Idaho
1886,Jeremaine Copeland,1361,1995,1998,46,103,1361,13.2,10,29.6,WR,Tennessee
1887,Doug Baldwin,1360,2007,2010,44,96,1360,14.2,13,30.9,WR,Stanford
1888,Jalen Royals,1360,2022,2024,29,96,1360,14.2,17,46.9,WR,Utah State
1889,Reggie Williams,1360,1985,1989,55,84,1360,16.2,6,24.7,WR,Pitt
1890,Lou Greenwood,1359,2009,2012,44,91,1359,14.9,7,30.9,WR,Colorado State
1891,Marcellus Harris,1359,1997,2000,43,95,1359,14.3,12,31.6,WR,East Carolina
1892,Marlon White,1359,2003,2006,46,109,1359,12.5,13,29.5,WR,Vanderbilt
1893,Matt Frier,1359,1990,1993,42,95,1359,14.3,7,32.4,WR,Florida State
1894,Rance McDougald,1359,1982,1984,33,82,1359,16.6,9,41.2,WR,California
1895,Freddie Brown,1358,2005,2008,42,116,1358,11.7,7,32.3,WR,Utah
1896,O.J. Small,1358,2001,2004,46,117,1358,11.6,7,29.5,WR,Florida
1897,Tykee Ogle-Kellogg,1358,2018,2023,53,89,1358,15.3,15,25.6,WR,UTSA
1898,Garvin Roberson,1357,1971,1973,33,84,1357,16.2,10,41.1,WR,Illinois
1899,Ontario Sneed,1357,2005,2008,48,157,1357,8.6,13,28.3,RB,Central Michigan
1900,Sean Schembra,1357,1999,2002,41,114,1357,11.9,6,33.1,WR,Ball State
1901,John Kolesar,1356,1985,1988,45,57,1356,23.8,11,30.1,WR,Michigan
1902,Jon Harvey,1356,1982,1983,22,91,1356,14.9,8,61.6,TE,Northwestern
1903,Maurice Jones,1356,2005,2008,44,95,1356,14.3,7,30.8,WR,Memphis
1904,Perry Carter,1356,2018,2023,39,80,1356,17,6,34.8,WR,"Jacksonville State,Louisiana-Monroe"
1905,Sam Martin,1356,2014,2017,46,83,1356,16.3,11,29.5,WR,Miami (OH)
1906,Byron Pringle,1355,2016,2017,25,69,1355,19.6,10,54.2,WR,Kansas State
1907,Jason Ivory,1355,2019,2022,36,98,1355,13.8,8,37.6,WR,Memphis
1908,Phil Goodman,1355,2003,2004,22,94,1355,14.4,10,61.6,WR,Temple
1909,Trevor Molini,1355,1984,1986,37,105,1355,12.9,5,36.6,TE,BYU
1910,Amare Jones,1354,2018,2022,54,114,1354,11.9,8,25.1,RB,"Georgia Southern,Tulane"
1911,Casey Leblanc,1354,1998,2001,44,125,1354,10.8,2,30.8,WR,San Jose State
1912,Eric McAlister,1354,2022,2024,26,70,1354,19.3,11,52.1,WR,"Boise State,Texas Christian"
1913,Ryan Yurachek,1354,2014,2017,51,143,1354,9.5,26,26.5,TE,Marshall
1914,Chleb Ravenell,1352,2009,2011,24,115,1352,11.8,9,56.3,WR,Western Michigan
1915,Hergy Mayala,1352,2015,2018,43,113,1352,12,12,31.4,WR,Connecticut
1916,Jaylen Dixon,1352,2018,2022,52,94,1352,14.4,7,26,WR,Utah
1917,Joe Petty,1352,1970,1972,32,81,1352,16.7,11,42.3,TE,Arizona State
1918,Josh Vann,1352,2018,2022,57,108,1352,12.5,10,23.7,WR,South Carolina
1919,Kenneth Zacharie,1352,2006,2008,36,112,1352,12.1,12,37.6,TE,Louisiana-Monroe
1920,Sean Foster,1352,1989,1990,20,66,1352,20.5,12,67.6,WR,Long Beach State
1921,Chris Johnson,1351,2000,2002,34,111,1351,12.2,6,39.7,WR,Southern Mississippi
1922,Dave Oliver,1351,1975,1976,22,87,1351,15.5,12,61.4,WR,Louisiana
1923,Jack Bech,1351,2021,2024,37,96,1351,14.1,8,36.5,WR,"LSU,Texas Christian"
1924,Marcus Rivers,1351,2008,2011,49,117,1351,11.5,8,27.6,WR,Buffalo
1925,Gregory Hogan,1350,2014,2017,47,110,1350,12.3,12,28.7,WR,New Mexico State
1926,Nakoa McElrath,1350,2000,2001,22,81,1350,16.7,14,61.4,WR,Washington State
1927,Roosevelt Mukes,1350,1985,1988,44,111,1350,12.2,13,30.7,WR,Cincinnati
1928,Dan Shetler,1349,1977,1980,45,93,1349,14.5,6,30,WR,Bowling Green
1929,Greg Ainsworth,1349,1997,1998,22,107,1349,12.6,3,61.3,WR,Oregon State
1930,Jacolby George,1349,2021,2024,33,89,1349,15.2,11,40.9,WR,Miami (FL)
1931,Ronnie Ghent,1349,2000,2003,40,120,1349,11.2,15,33.7,TE,Louisville
1932,Xavier Rush,1349,2011,2014,41,99,1349,13.6,12,32.9,WR,Tulane
1933,Marshaun Tucker,1348,1999,2000,22,81,1348,16.6,9,61.3,WR,Oregon
1934,Matt Miller,1348,2002,2005,47,69,1348,19.5,11,28.7,WR,Arizona State
1935,Stanley Morrison,1348,2008,2011,37,88,1348,15.3,7,36.4,WR,Utah State
1936,Joe Hice,1347,1985,1988,44,103,1347,13.1,4,30.6,WR,Cincinnati
1937,Jon Schoen,1347,1979,1982,44,72,1347,18.7,7,30.6,WR,Boston College
1938,Kevin Coffey,1347,1997,2000,40,75,1347,18,15,33.7,WR,Virginia
1939,Andrew Parchment,1346,2017,2021,39,114,1346,11.8,11,34.5,WR,"Florida State,Kansas,Northern Illinois"
1940,Darius Darks,1346,2008,2011,49,127,1346,10.6,7,27.5,WR,Iowa State
1941,Tim White,1346,2015,2016,25,113,1346,11.9,10,53.8,WR,Arizona State
1942,Ed Howard,1344,1991,1994,43,89,1344,15.1,12,31.3,WR,Rice
1943,Frank Russell,1344,1972,1974,33,100,1344,13.4,4,40.7,WR,Maryland
1944,Logan Payne,1344,2003,2006,43,97,1344,13.9,11,31.3,WR,Minnesota
1945,Samson Nacua,1344,2017,2021,58,103,1344,13,14,23.2,WR,"BYU,Utah"
1946,Tres Houston,1344,2013,2015,32,97,1344,13.9,14,42,WR,Arkansas State
1947,Brandon Smith,1343,2012,2015,44,112,1343,12,7,30.5,WR,Texas State
1948,Michael Johnson,1343,2008,2011,49,127,1343,10.6,7,27.4,WR,Nevada-Las Vegas
1949,Benjamin Yurosek,1342,2020,2024,37,108,1342,12.4,5,36.3,TE,"Georgia,Stanford"
1950,Boogie Knight,1342,2018,2022,51,107,1342,12.5,4,26.3,WR,"Akron,Louisiana-Monroe"
1951,Cornelius Bonner,1342,1996,1998,33,86,1342,15.6,7,40.7,WR,Cincinnati
1952,DJ England-Chisolm,1342,2019,2023,51,99,1342,13.6,13,26.3,WR,Middle Tennessee State
1953,Tommy Southard,1342,1975,1977,33,101,1342,13.3,8,40.7,WR,Furman
1954,Bennie Fowler,1341,2010,2013,43,93,1341,14.4,11,31.2,WR,Michigan State
1955,Max McCaffrey,1341,2012,2015,50,117,1341,11.5,12,26.8,WR,Duke
1956,Romby Bryant,1341,2002,2003,25,96,1341,14,15,53.6,WR,Tulsa
1957,Anthony Ratliff-Williams,1340,2016,2018,36,80,1340,16.8,8,37.2,WR,North Carolina
1958,Montiese Culton,1340,2001,2004,44,88,1340,15.2,8,30.5,WR,Tulsa
1959,Charles Lovett,1339,2011,2014,44,94,1339,14.2,7,30.4,WR,Colorado State
1960,Luke Timian,1339,2015,2018,40,135,1339,9.9,4,33.5,WR,Indiana
1961,Rivaldo Fairweather,1339,2020,2024,43,102,1339,13.1,12,31.1,TE,"Auburn,Florida International"
1962,Waking Bailey,1339,1997,2000,42,105,1339,12.8,4,31.9,WR,San Jose State
1963,Austin Duke,1337,2015,2016,24,112,1337,11.9,9,55.7,WR,Charlotte
