,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
201,Tony Lorick,3496,RAI,1,7,1964,Arizona State,1961,1963,58,508,3496,6.9,32,60.3,RB,Arizona State
202,Braelon Allen,3494,NYJ,4,134,2024,Wisconsin,2021,2023,35,597,3494,5.9,35,99.8,RB,Wisconsin
203,Paul Perkins,3491,NYG,5,149,2016,UCLA,2013,2015,39,622,3491,5.6,29,89.5,RB,UCLA
204,Kevin Jones,3475,DET,1,30,2004,Virginia Tech,2001,2003,37,616,3475,5.6,35,93.9,RB,Virginia Tech
205,Vagas Ferguson,3472,NWE,1,25,1980,Notre Dame,1976,1979,39,673,3472,5.2,32,89,RB,Notre Dame
206,Charles Sims,3465,TAM,3,69,2014,West Virginia,2009,2013,48,592,3465,5.9,40,72.2,RB,"Houston,West Virginia"
207,Tashard Choice,3465,DAL,4,122,2008,Georgia Tech,2004,2007,46,697,3465,5,28,75.3,RB,"Georgia Tech,Oklahoma"
208,Chuba Hubbard,3459,CAR,4,126,2021,Oklahoma State,2018,2020,33,585,3459,5.9,33,104.8,RB,Oklahoma State
209,Bob Schweickert,3446,NYJ,4,28,1965,Virginia Tech,1962,1964,60,674,3446,5.1,42,57.4,QB,Virginia Tech
210,Bob White,3446,OTI,,,1960,Ohio State,1957,1959,54,806,3446,4.3,26,63.8,RB,Ohio State
211,Andre Ellington,3436,CRD,6,187,2013,Clemson,2009,2012,49,621,3436,5.5,33,70.1,RB,Clemson
212,Butch Woolfolk,3431,NYG,1,18,1982,Michigan,1978,1981,44,648,3431,5.3,27,78,RB,Michigan
213,Doug Martin,3431,TAM,1,31,2012,Boise State,2007,2011,52,617,3431,5.6,43,66,RB,Boise State
214,Gary Allen,3431,OTI,6,148,1982,Hawaii,1978,1981,43,647,3431,5.3,19,79.8,RB,Hawaii
215,Wayne Gallman,3429,NYG,4,140,2017,Clemson,2014,2016,42,676,3429,5.1,34,81.6,RB,Clemson
216,Anthony Davis,3426,NYJ,2,37,1975,USC,1972,1974,33,732,3426,4.7,42,103.8,RB,USC
217,Dave Preston,3423,NWE,12,333,1977,Bowling Green,1973,1976,43,830,3423,4.1,39,79.6,RB,Bowling Green
218,Sedrick Irvin,3414,DET,4,103,1999,Michigan State,1996,1998,34,731,3414,4.7,35,100.4,RB,Michigan State
219,Deandre Washington,3411,RAI,5,143,2016,Texas Tech,2011,2015,49,605,3411,5.6,23,69.6,RB,Texas Tech
220,Bijan Robinson,3410,ATL,1,8,2023,Texas,2020,2022,31,539,3410,6.3,33,110,RB,Texas
