,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
754,Bobby Maples,2,OTI,4,26,1965,Baylor,1962,1963,40,6,20,14,30,12,2,2,10,10,48,0.6,-1.9,2,0.3,QB,Baylor
755,Bobby Smith,2,NYJ,26,205,1961,UCLA,1959,1961,60,48,98,50,49,784,2,10,2,10.2,102.5,8,3.82,16.3,13.1,QB,UCLA
756,Bubby Brister,2,PIT,3,67,1986,,1982,1983,9,71,140,69,50.7,646,2,4,1.4,2.9,88.5,4.6,3.61,9.1,71.8,QB,Tulane
757,Chansi Stuckey,2,NYJ,7,235,2007,Clemson,2003,2006,38,11,25,14,44,97,2,0,8,0,103,3.9,5.48,8.8,2.6,QB,Clemson
758,Chester Taylor,2,RAV,6,207,2002,Toledo,1998,2001,43,2,3,1,66.7,17,2,0,66.7,0,334.3,5.7,19,8.5,0.4,RB,Toledo
759,Christian McCaffrey,2,CAR,1,8,2017,Stanford,2014,2016,38,2,3,1,66.7,39,2,0,66.7,0,395.9,13,26.33,19.5,1,RB,Stanford
760,Chuck Levy,2,CRD,2,38,1994,Arizona,1991,1993,29,26,54,28,48.1,315,2,5,3.7,9.3,90.9,5.8,2.41,12.1,10.9,QB,Arizona
761,C.J. Spiller,2,BUF,1,9,2010,Clemson,2006,2009,52,2,3,1,66.7,32,2,0,66.7,0,376.3,10.7,24,16,0.6,RB,Clemson
762,C.R. Roberts,2,NYG,14,166,1958,USC,1956,1956,10,2,3,1,66.7,29,2,0,66.7,0,367.9,9.7,23,14.5,2.9,RB,USC
763,Cris Collinsworth,2,CIN,2,37,1981,Florida,1977,1980,44,5,12,7,41.7,174,2,2,16.7,16.7,185.1,14.5,10.33,34.8,4,QB,Florida
764,Curtis Conway,2,CHI,1,7,1993,USC,1990,1992,34,4,5,1,80,99,2,1,40,20,338.3,19.8,18.8,24.8,2.9,QB,USC
765,Curtis Dickey,2,CLT,1,5,1980,Texas A&M,1976,1979,44,3,8,5,37.5,87,2,0,25,0,211.4,10.9,15.88,29,2,RB,Texas A&M
766,Daniel Thomas,2,MIA,2,62,2011,Kansas State,2009,2010,25,7,12,5,58.3,155,2,1,16.7,8.3,205.2,12.9,12.5,22.1,6.2,RB,Kansas State
767,Da'Rel Scott,2,NYG,7,221,2011,Maryland,2007,2010,41,2,3,1,66.7,13,2,0,66.7,0,323.1,4.3,17.67,6.5,0.3,RB,Maryland
768,Darrell Thompson,2,GNB,1,19,1990,Minnesota,1986,1989,44,2,2,0,100,22,2,0,100,0,522.4,11,31,11,0.5,RB,Minnesota
769,Darren Lewis,2,CHI,6,161,1991,Texas A&M,1987,1990,46,4,10,6,40,113,2,0,20,0,200.9,11.3,15.3,28.3,2.5,RB,Texas A&M
770,Dave Preston,2,NWE,12,333,1977,Bowling Green,1973,1976,43,2,5,3,40,45,2,0,40,0,247.6,9,17,22.5,1,RB,Bowling Green
771,David Palmer,2,MIN,2,40,1994,Alabama,1991,1993,32,16,34,18,47.1,275,2,3,5.9,8.8,116.8,8.1,5.29,17.2,8.6,WR,Alabama
772,Deebo Samuel,2,SFO,2,36,2019,South Carolina,2015,2018,30,2,2,0,100,46,2,0,100,0,623.2,23,43,23,1.5,WR,South Carolina
773,Demarcus Ayers,2,PIT,7,229,2016,Houston,2013,2015,40,2,3,1,66.7,49,2,0,66.7,0,423.9,16.3,29.67,24.5,1.2,WR,Houston
774,Dick Bass,2,OTI,,,1960,Pacific,1956,1959,29,15,35,20,42.9,295,2,3,5.7,8.6,115.4,8.4,5.71,19.7,10.2,RB,Pacific
775,Don Craft,2,OTI,12,314,1982,Louisville,1978,1981,44,2,6,4,33.3,37,2,0,33.3,0,195.1,6.2,12.83,18.5,0.8,RB,Louisville
776,Dwayne Harris,2,DAL,6,176,2011,East Carolina,2007,2010,50,4,9,5,44.4,153,2,0,22.2,0,260.6,17,21.44,38.3,3.1,WR,East Carolina
777,Ed Sharockman,2,KAN,22,174,1961,Pitt,1958,1960,40,36,122,86,29.5,650,2,20,1.6,16.4,46.9,5.3,-1.72,18.1,16.3,QB,Pitt
778,Eric Decker,2,DEN,3,87,2010,Minnesota,2006,2009,45,3,4,1,75,49,2,0,50,0,342.9,12.3,22.25,16.3,1.1,WR,Minnesota
779,Eric Metcalf,2,CLE,1,13,1989,Texas,1985,1988,43,3,7,4,42.9,44,2,1,28.6,14.3,161.4,6.3,5.57,14.7,1,RB,Texas
780,Ernest Givins,2,OTI,2,34,1986,Louisville,1984,1985,22,4,5,1,80,111,2,0,40,0,398.5,22.2,30.2,27.8,5,WR,Louisville
781,Frank Jackson,2,KAN,19,149,1961,SMU,1958,1960,30,25,54,29,46.3,298,2,4,3.7,7.4,90.1,5.5,2.93,11.9,9.9,RB,SMU
782,Fred Cox,2,NYJ,28,221,1961,Pitt,1959,1961,60,6,24,18,25,152,2,2,8.3,8.3,89,6.3,4.25,25.3,2.5,RB,Pitt
783,Gale Sayers,2,KAN,1,5,1965,Kansas,1962,1964,60,18,40,22,45,206,2,2,5,5,94.8,5.2,3.9,11.4,3.4,RB,Kansas
784,Jacquizz Rodgers,2,ATL,5,145,2011,Oregon State,2008,2010,36,2,2,0,100,25,2,0,100,0,535,12.5,32.5,12.5,0.7,RB,Oregon State
785,James Casey,2,HTX,5,152,2009,Rice,2007,2008,25,4,12,8,33.3,37,2,1,16.7,8.3,97.6,3.1,2.67,9.3,1.5,QB,Rice
786,James Jones,2,DAL,3,80,1980,Mississippi State,1976,1979,44,2,2,0,100,63,2,0,100,0,694.6,31.5,51.5,31.5,1.4,RB,Mississippi State
787,Jauan Jennings,2,SFO,7,217,2020,Tennessee,2015,2019,51,2,5,3,40,62,2,0,40,0,276.2,12.4,20.4,31,1.2,WR,Tennessee
788,Jeff Kinney,2,KAN,1,23,1972,Nebraska,1969,1971,33,2,5,3,40,19,2,1,40,20,163.9,3.8,2.8,9.5,0.6,RB,Nebraska
789,Jerrel Jernigan,2,NYG,3,83,2011,Troy,2007,2010,50,7,10,3,70,43,2,0,20,0,172.1,4.3,8.3,6.1,0.9,WR,Troy
790,Jerry Fields,2,NYG,13,179,1961,Ohio State,1958,1959,18,29,71,42,40.8,431,2,7,2.8,9.9,81.4,6.1,2.2,14.9,23.9,QB,Ohio State
791,Jerry Levias,2,OTI,2,40,1969,SMU,1966,1968,30,6,16,10,37.5,94,2,1,12.5,6.3,115.6,5.9,5.56,15.7,3.1,WR,SMU
792,Joey Iosefa,2,TAM,7,231,2015,Hawaii,2011,2014,32,4,7,3,57.1,71,2,0,28.6,0,236.6,10.1,15.86,17.8,2.2,RB,Hawaii
793,Johnny Musso,2,CHI,3,62,1972,Alabama,1969,1971,32,5,6,1,83.3,88,2,0,33.3,0,316.5,14.7,21.33,17.6,2.8,RB,Alabama
794,Johnny Roland,2,CRD,4,54,1965,Missouri,1962,1965,30,3,15,12,20,20,2,2,13.3,13.3,48.5,1.3,-2,6.7,0.7,RB,Missouri
795,Jon Staggers,2,PIT,5,105,1970,Missouri,1967,1969,30,3,6,3,50,38,2,1,33.3,16.7,179.9,6.3,5.5,12.7,1.3,RB,Missouri
796,Jonathan Quinn,2,JAX,3,86,1998,,1994,1994,5,33,68,35,48.5,379,2,7,2.9,10.3,84.5,5.6,1.53,11.5,75.8,QB,Tulane
797,Jordy Nelson,2,GNB,2,36,2008,Kansas State,2005,2007,36,3,6,3,50,73,2,0,33.3,0,262.2,12.2,18.83,24.3,2,WR,Kansas State
798,Justin Hardy,2,ATL,4,107,2015,East Carolina,2011,2014,49,4,10,6,40,147,2,0,20,0,229.5,14.7,18.7,36.8,3,WR,East Carolina
799,Kendall Wright,2,OTI,1,20,2012,Baylor,2008,2011,50,4,12,8,33.3,114,2,2,16.7,16.7,134.8,9.5,5.33,28.5,2.3,TE,Baylor
800,Kerryon Johnson,2,DET,2,43,2018,Auburn,2015,2017,37,4,4,0,100,14,2,0,50,0,294.4,3.5,13.5,3.5,0.4,RB,Auburn
