,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1001,Peter LeBlanc,1737,2019,2023,63,140,1737,12.4,11,27.6,WR,Louisiana
1002,Rick Morrison,1736,1976,1978,33,118,1736,14.7,12,52.6,WR,Ball State
1003,Rob Taylor,1736,1965,1967,30,129,1736,13.5,13,57.9,WR,Navy
1004,Charles Frederick,1735,2001,2004,41,121,1735,14.3,8,42.3,WR,Washington
1005,Donavon Greene,1735,2019,2024,28,94,1735,18.5,12,62,WR,Wake Forest
1006,L'Damian Washington,1735,2010,2013,50,100,1735,17.4,15,34.7,WR,Missouri
1007,Ja-Mes Logan,1734,2010,2013,48,136,1734,12.8,6,36.1,WR,Ole Miss
1008,Mike Jones,1733,1990,1993,35,152,1733,11.4,6,49.5,TE,Wyoming
1009,Kris Mitchell,1732,2020,2024,42,106,1732,16.3,11,41.2,WR,"Florida International,Notre Dame"
1010,R.J. Sneed,1732,2017,2022,58,153,1732,11.3,8,29.9,WR,"Baylor,Colorado"
1011,Terrell Harris,1731,1998,2001,41,166,1731,10.4,7,42.2,WR,Tulane
1012,Dustin Woods,1730,2006,2009,45,120,1730,14.4,6,38.4,WR,Miami (OH)
1013,Jackie Flowers,1730,1976,1979,44,102,1730,17,15,39.3,WR,Florida State
1014,Robby Anderson,1730,2013,2015,24,114,1730,15.2,16,72.1,WR,Temple
1015,Vic Wharton,1730,2014,2018,44,150,1730,11.5,8,39.3,WR,"California,Tennessee"
1016,Isaiah Hamilton,1729,2018,2023,55,113,1729,15.3,11,31.4,WR,"San Jose State,Washington State"
1017,Kaedin Robinson,1729,2021,2024,33,119,1729,14.5,13,52.4,WR,"Appalachian State,UCF"
1018,Tim Fleming,1729,2000,2003,40,114,1729,15.2,7,43.2,WR,Nevada
1019,Dezmon Epps,1728,2013,2015,18,138,1728,12.5,6,96,WR,Idaho
1020,Jeremiah Cockheran,1728,2002,2003,24,110,1728,15.7,14,72,WR,Hawaii
1021,John Sias,1727,1966,1968,30,110,1727,15.7,10,57.6,WR,Georgia Tech
1022,Mike Fahnestock,1726,1977,1980,44,97,1726,17.8,13,39.2,WR,Army
1023,Tony Horne,1725,1994,1997,38,117,1725,14.7,13,45.4,WR,Clemson
1024,P.J. Winston,1724,1999,2002,46,120,1724,14.4,12,37.5,WR,New Mexico State
1025,Terrell Grindle,1724,1999,2002,42,119,1724,14.5,5,41,WR,Mississippi State
1026,Edward Britton,1722,2006,2009,50,125,1722,13.8,14,34.4,WR,Texas Tech
1027,Hank Cook,1722,1972,1973,22,106,1722,16.2,9,78.3,WR,New Mexico State
1028,Vincent White,1722,1979,1982,44,162,1722,10.6,16,39.1,RB,Stanford
1029,Barry Johnson,1721,1987,1990,41,106,1721,16.2,11,42,WR,Maryland
1030,Greg Hill,1721,1982,1984,33,97,1721,17.7,18,52.2,WR,Maryland
1031,Jayson Swain,1721,2003,2006,50,126,1721,13.7,10,34.4,WR,Tennessee
1032,Chris Pittman,1720,2000,2003,36,129,1720,13.3,6,47.8,WR,Colorado State
1033,Darrin Moore,1720,2010,2012,33,154,1720,11.2,22,52.1,WR,Texas Tech
1034,Ken Thompson,1720,1979,1980,22,99,1720,17.4,19,78.2,WR,Utah State
1035,Malik Heath,1720,2020,2022,34,131,1720,13.1,13,50.6,WR,"Mississippi State,Ole Miss"
1036,Matt Bushman,1719,2017,2019,39,125,1719,13.8,9,44.1,TE,BYU
1037,Antonio Nunn,1718,2017,2020,45,113,1718,15.2,10,38.2,WR,Buffalo
1038,Derrick Lewis,1718,1999,2001,32,84,1718,20.5,7,53.7,WR,San Diego State
1039,Kimble Anders,1718,1985,1989,40,155,1718,11.1,11,43,RB,Houston
1040,Jerramy Scott,1717,2002,2006,48,133,1717,12.9,9,35.8,RB,Michigan State
1041,Luke Leverson,1717,1996,1999,45,126,1717,13.6,10,38.2,WR,Minnesota
1042,Marvin Young,1717,2001,2004,44,115,1717,14.9,17,39,WR,Southern Mississippi
1043,Stephan Robinson,1717,2018,2021,38,121,1717,14.2,11,45.2,WR,"Kansas,Northwestern"
1044,Tavaris Capers,1717,2000,2004,47,157,1717,10.9,17,36.5,WR,UCF
1045,Wayne Times,1717,2009,2012,50,167,1717,10.3,6,34.3,WR,Florida International
1046,Josh Jelmberg,1716,1999,2002,41,146,1716,11.8,9,41.9,WR,Idaho
1047,Lance Lewis,1716,2010,2011,22,149,1716,11.5,22,78,WR,East Carolina
1048,Travin Dural,1716,2013,2016,42,100,1716,17.2,13,40.9,WR,LSU
1049,Bryan Hanning,1715,1975,1978,43,108,1715,15.9,11,39.9,WR,Wichita State
1050,Dennis Arey,1714,1988,1990,34,101,1714,17,12,50.4,WR,San Diego State
1051,Gerard Phelan,1714,1981,1984,44,107,1714,16,6,39,WR,Boston College
1052,Brandon Bowling,1713,2017,2021,46,138,1713,12.4,19,37.2,WR,"Arkansas State,Utah State"
1053,Mill Coleman,1713,1991,1994,39,120,1713,14.3,8,43.9,WR,Michigan State
1054,T.J. Acree,1713,2001,2004,35,107,1713,16,15,48.9,WR,Boise State
1055,Michael Stephens,1712,1992,1993,21,125,1712,13.7,15,81.5,WR,Nevada
1056,Toney Jenkins,1712,1991,1993,33,115,1712,14.9,8,51.9,WR,Utah State
1057,Brelan Chancellor,1711,2010,2013,43,116,1711,14.8,12,39.8,WR,North Texas
1058,Dean Jackson,1711,1994,1996,33,139,1711,12.3,5,51.8,WR,Louisiana Tech
1059,Hank Norman,1711,1982,1985,44,112,1711,15.3,6,38.9,WR,USC
1060,Tom Parm,1711,1976,1979,42,101,1711,16.9,6,40.7,WR,Eastern Michigan
1061,Billy Wingfield,1710,1998,2002,37,114,1710,15,9,46.2,WR,Boise State
1062,Gerald Jones,1710,2007,2010,42,142,1710,12,13,40.7,WR,Tennessee
1063,Damon Morton,1709,2004,2007,43,98,1709,17.4,12,39.7,WR,Colorado State
1064,Keith Smith,1709,2006,2010,37,158,1709,10.8,8,46.2,WR,Purdue
1065,Kevin Youngblood,1709,2000,2003,36,141,1709,12.1,6,47.5,WR,Clemson
1066,Ulric King,1709,1989,1992,44,123,1709,13.9,9,38.8,WR,Western Michigan
1067,Damon Griffin,1708,1994,1998,41,103,1708,16.6,15,41.7,WR,Oregon
1068,Kenny Holly,1708,1990,1993,43,151,1708,11.3,6,39.7,WR,Missouri
1069,Floyd Franks,1707,1968,1970,30,127,1707,13.4,11,56.9,WR,Ole Miss
1070,La'Rod King,1706,2009,2012,48,134,1706,12.7,17,35.5,WR,Kentucky
1071,Craig Faulkner,1705,1990,1993,45,110,1705,15.5,9,37.9,WR,Tennessee
1072,Steve Lewis,1705,1974,1978,55,110,1705,15.5,12,31,WR,West Virginia
1073,Jurron Kelly,1703,1998,2001,39,143,1703,11.9,12,43.7,WR,Kent State
1074,Tim Odell,1702,1977,1980,44,112,1702,15.2,8,38.7,WR,Rutgers
1075,Tony Johnson,1702,2000,2003,45,107,1702,15.9,11,37.8,WR,Penn State
1076,Brandon Thompkins,1701,2006,2009,47,128,1701,13.3,7,36.2,WR,Arkansas State
1077,James Russell,1701,1965,1967,29,122,1701,13.9,14,58.7,WR,North Texas
1078,Jay Lee,1700,2013,2015,34,101,1700,16.8,15,50,WR,Baylor
