,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
2801,Re'quan Boyette,1202,2005,2009,43,314,1202,3.8,5,28,RB,Duke
2802,Terry Murray,1202,1965,1967,30,326,1202,3.7,8,40.1,RB,Navy
2803,Brett White,1201,1980,1983,33,201,1201,6,11,36.4,RB,Tulsa
2804,Derek Hughes,1201,1978,1981,38,199,1201,6,13,31.6,RB,Michigan State
2805,Dewey Bohling,1201,1956,1958,30,235,1201,5.1,12,40,RB,Hardin-Simmons
2806,Drew Hare,1201,2013,2016,31,284,1201,4.2,11,38.7,QB,Northern Illinois
2807,Gordon Teter,1201,1963,1965,28,315,1201,3.8,7,42.9,RB,Purdue
2808,Cam Montgomery,1200,2007,2009,25,239,1200,5,11,48,RB,North Texas
2809,Derek Jenkins,1200,1980,1983,34,264,1200,4.5,7,35.3,RB,Virginia
2810,Jeff Hill,1200,1990,1993,44,207,1200,5.8,4,27.3,WR,Purdue
2811,Michael Adkins II,1200,2013,2017,32,247,1200,4.9,13,37.5,RB,Colorado
2812,John Gibson,1199,1998,2001,39,315,1199,3.8,10,30.7,RB,Bowling Green
2813,Tom Haggerty,1199,1959,1961,27,258,1199,4.6,2,44.4,RB,Columbia
2814,Chris High,1198,2015,2017,29,234,1198,5.1,9,41.3,FB,Navy
2815,Darrien Gouch,1198,1991,1994,44,280,1198,4.3,6,27.2,RB,Akron
2816,David Daniels,1198,1988,1991,41,244,1198,4.9,8,29.2,RB,East Carolina
2817,Gene Ryzewicz,1198,1965,1967,27,217,1198,5.5,14,44.4,RB,Dartmouth
2818,Maurice Shaw,1198,1996,1999,35,286,1198,4.2,12,34.2,RB,Washington
2819,Robert Isaac,1198,1995,1997,33,253,1198,4.7,4,36.3,RB,Mississippi State
2820,Jalen Berger,1197,2020,2024,26,263,1197,4.6,10,46,RB,"Michigan State,UCLA,Wisconsin"
2821,Earl Strong,1196,1973,1975,33,250,1196,4.8,12,36.2,RB,Boston College
2822,Miles Langehennig,1196,1969,1971,32,271,1196,4.4,5,37.4,RB,Texas Tech
2823,Jermaine Lewis,1195,1997,2000,41,290,1195,4.1,15,29.1,RB,UCLA
2824,Reggie Reginelli,1195,1979,1982,42,257,1195,4.6,4,28.5,RB,Tulane
2825,Calvin Thomas,1194,1978,1981,44,325,1194,3.7,8,27.1,RB,Illinois
2826,Dave Brungard,1194,1967,1970,30,249,1194,4.8,7,39.8,RB,"Alabama,Ohio State"
2827,Profail Grier,1194,1993,1994,22,302,1194,4,11,54.3,RB,Utah State
2828,Anthony Weatherspoon,1193,1984,1986,31,271,1193,4.4,7,38.5,RB,Colorado
2829,David Fiefia,1193,2000,2003,43,251,1193,4.8,9,27.7,WR,Utah State
2830,Jim Dousay,1193,1965,1967,30,290,1193,4.1,10,39.8,RB,LSU
2831,Maceo Barbosa,1193,1990,1991,22,252,1193,4.7,11,54.2,RB,San Jose State
2832,Pete Taggares,1193,1971,1973,33,322,1193,3.7,14,36.2,RB,Washington
2833,Tom McChesney,1193,1978,1981,41,268,1193,4.5,9,29.1,RB,Colgate
2834,Charley Harraway,1192,1963,1965,30,258,1192,4.6,18,39.7,RB,San Jose State
2835,Dwight Ford,1191,1974,1978,45,200,1191,6,8,26.5,RB,USC
2836,Pat Crain,1191,1962,1964,30,339,1191,3.5,10,39.7,RB,Clemson
2837,Robert Godhigh,1191,2011,2013,33,135,1191,8.8,11,36.1,RB,Georgia Tech
2838,Tom Roland,1191,1976,1978,27,248,1191,4.8,4,44.1,QB,Pennsylvania
2839,Billy Meyers,1190,1971,1972,20,262,1190,4.5,11,59.5,RB,Richmond
2840,Curlin Beck,1190,1979,1982,45,272,1190,4.4,6,26.4,RB,West Virginia
2841,Freddie Wells,1190,1980,1984,44,231,1190,5.2,2,27,RB,Texas Tech
2842,Tim Cunningham,1190,1976,1977,20,256,1190,4.6,11,59.5,RB,Long Beach State
2843,Tony Smith,1190,1982,1985,28,182,1190,6.5,6,42.5,RB,Florida State
2844,Bob Honeycutt,1189,1970,1972,32,277,1189,4.3,5,37.2,RB,Georgia
2845,Jack Larscheid,1189,1956,1958,30,218,1189,5.5,11,39.6,RB,Pacific
2846,Jalen Mitchell,1189,2020,2023,35,239,1189,5,7,34,RB,"Connecticut,Louisville"
2847,Buddy Funck,1188,1982,1984,35,342,1188,3.5,13,33.9,QB,New Mexico
2848,Rich Winkler,1188,1957,1959,27,303,1188,3.9,10,44,RB,Yale
2849,Bryant Shirreffs,1187,2013,2017,37,422,1187,2.8,6,32.1,QB,"Connecticut,North Carolina State"
2850,Mike Dotterer,1187,1979,1982,44,267,1187,4.4,15,27,RB,Stanford
2851,Marcus Parker,1186,1994,1997,37,211,1186,5.6,13,32.1,RB,Virginia Tech
2852,Tony Ellis,1186,1979,1982,43,307,1186,3.9,12,27.6,RB,Michigan State
2853,Troy Jackson,1186,1988,1991,38,321,1186,3.7,9,31.2,RB,Maryland
2854,Bob McKelvey,1185,1964,1966,29,326,1185,3.6,11,40.9,RB,Northwestern
2855,Bobby Davis,1185,1969,1971,32,241,1185,4.9,0,37,RB,Texas Christian
2856,David Johnson,1185,1975,1978,44,275,1185,4.3,13,26.9,RB,West Texas State
2857,Jim O'Connor,1185,1966,1968,27,302,1185,3.9,8,43.9,RB,Columbia
2858,Kendall Matthews,1185,1994,1997,40,230,1185,5.2,6,29.6,RB,Purdue
2859,Leroy McGee,1185,1977,1978,22,240,1185,4.9,10,53.9,RB,Michigan State
2860,Brian Pizula,1184,1991,1994,44,274,1184,4.3,6,26.9,RB,New Mexico State
2861,Clifton Winston,1184,1986,1989,44,228,1184,5.2,4,26.9,RB,Texas Tech
2862,Norris Stevenson,1184,1958,1960,30,222,1184,5.3,5,39.5,RB,Missouri
2863,Juwuan Price,1183,2019,2024,41,237,1183,5,11,28.9,RB,"New Mexico State,North Texas,Syracuse"
2864,Mike Ball,1183,2009,2011,32,196,1183,6,12,37,RB,Nevada
2865,Rolly Lumbala,1183,2004,2007,43,291,1183,4.1,9,27.5,RB,Idaho
2866,Chip Otten,1182,1979,1982,44,297,1182,4,10,26.9,RB,Bowling Green
2867,Soso Jamabo,1182,2015,2018,37,243,1182,4.9,13,31.9,RB,UCLA
2868,Terrence Franks,1182,2012,2014,34,213,1182,5.5,15,34.8,RB,Texas State
2869,Weldon Ledbetter,1182,1979,1982,44,234,1182,5.1,4,26.9,RB,Oklahoma
2870,Jon Jeffries,1181,1987,1991,43,267,1181,4.4,8,27.5,RB,Virginia Tech
2871,Mike Bass,1181,2001,2004,35,215,1181,5.5,7,33.7,RB,Hawaii
2872,Steve Kemnitzer,1181,1970,1972,33,267,1181,4.4,10,35.8,RB,California
2873,Tom Bougus,1181,1970,1971,21,230,1181,5.1,10,56.2,RB,Boston College
2874,Breon Allen,1180,2013,2014,22,196,1180,6,11,53.6,RB,East Carolina
2875,Kip Jackson,1180,1968,1970,31,312,1180,3.8,7,38.1,RB,BYU
2876,Mark Davis,1180,1976,1977,20,249,1180,4.7,12,59,RB,Colorado State
2877,Matthew Williams,1180,1970,1971,21,339,1180,3.5,9,56.2,RB,Baylor
2878,Pat Randolph,1180,1983,1987,35,287,1180,4.1,10,33.7,RB,West Virginia
2879,Steve Curtin,1180,1978,1980,28,250,1180,4.7,13,42.1,RB,Brown
2880,Tom Liggins,1180,1972,1975,44,275,1180,4.3,8,26.8,RB,Cincinnati
2881,Will Young,1180,1976,1979,43,310,1180,3.8,11,27.4,RB,Central Michigan
2882,Barry Young,1178,1980,1983,38,243,1178,4.8,8,31,RB,Georgia
2883,Brandon Carey,1178,2000,2002,27,261,1178,4.5,9,43.6,RB,Marshall
2884,Keytaon Thompson,1178,2017,2022,49,181,1178,6.5,18,24,WR,"Mississippi State,Virginia"
2885,Mark Schroeder,1178,1977,1979,31,280,1178,4.2,5,38,RB,Northwestern State
2886,Tremaine Turner,1178,1999,2003,46,271,1178,4.3,7,25.6,RB,Ole Miss
2887,Wayne McMillan,1178,1978,1981,33,259,1178,4.5,13,35.7,RB,Wake Forest
2888,Duan Ruff,1177,1998,2001,35,257,1177,4.6,8,33.6,RB,Colorado State
2889,Jeff Davis,1177,1984,1987,44,255,1177,4.6,9,26.8,RB,Bowling Green
2890,Bob Houmard,1176,1966,1968,30,291,1176,4,18,39.2,RB,Ohio
2891,Calvin Arrington,1175,1992,1995,29,299,1175,3.9,11,40.5,WR,Louisville
2892,Jaime Blake,1175,1995,1998,29,225,1175,5.2,11,40.5,RB,Colorado State
2893,Jim Trimble,1175,1972,1974,33,280,1175,4.2,3,35.6,RB,Northwestern
2894,Lucious Stanley,1175,2017,2022,56,230,1175,5.1,12,21,RB,"Miami (FL),UAB"
2895,Nathan Wonsley,1175,1982,1985,34,301,1175,3.9,12,34.6,RB,Ole Miss
2896,Chase Garbers,1174,2018,2021,36,331,1174,3.5,11,32.6,QB,California
2897,Jim Wiggins,1174,1956,1958,30,281,1174,4.2,16,39.1,RB,Oklahoma State
2898,John Rayford,1174,1979,1980,22,315,1174,3.7,7,53.4,RB,Cal State Fullerton
2899,Art Yaroch,1173,1975,1976,22,292,1173,4,18,53.3,QB,Ball State
2900,Billy Christle,1172,1959,1961,29,204,1172,5.7,11,40.4,RB,North Texas
2901,Fred Tiley,1172,1956,1958,27,267,1172,4.4,15,43.4,RB,Princeton
2902,Wayne McLean,1172,1978,1980,32,258,1172,4.5,6,36.6,RB,North Carolina State
2903,Willie Parker,1172,2000,2003,38,285,1172,4.1,8,30.8,RB,North Carolina
2904,Kirby Moore,1171,1965,1967,30,328,1171,3.6,14,39,QB,Georgia
2905,Reggie Ogburn,1171,1979,1980,22,286,1171,4.1,12,53.2,QB,Oregon
2906,Star Thomas,1171,2022,2023,28,219,1171,5.3,9,41.8,RB,New Mexico State
2907,Amare Jones,1170,2018,2022,54,217,1170,5.4,10,21.7,RB,"Georgia Southern,Tulane"
2908,Gary Blair,1170,1976,1977,22,292,1170,4,13,53.2,RB,Baylor
2909,Jager Gardner,1170,2015,2019,46,279,1170,4.2,9,25.4,RB,Temple
2910,Benjamin Williams,1169,2006,2008,38,298,1169,3.9,15,30.8,RB,South Florida
2911,Brandon Whitaker,1169,2003,2007,40,275,1169,4.3,4,29.2,RB,Baylor
2912,Chris Tyree,1169,2020,2024,53,233,1169,5,8,22.1,RB,"Notre Dame,Virginia"
2913,Frank Doctor,1169,1969,1971,21,255,1169,4.6,5,55.7,RB,Idaho
2914,Greg Thomas,1169,1984,1987,45,361,1169,3.2,12,26,QB,Arkansas
2915,Jawon Hamilton,1169,2016,2021,26,254,1169,4.6,9,45,RB,"Eastern Michigan,UCF"
2916,KirVonte Benson,1169,2016,2018,20,219,1169,5.3,8,58.5,,Georgia Tech
2917,Wally Grant,1169,1963,1965,27,284,1169,4.1,9,43.3,RB,Harvard
2918,Andy Timura,1168,1960,1962,30,244,1168,4.8,9,38.9,RB,Dayton
2919,Bill Groce,1168,1957,1959,30,277,1168,4.2,12,38.9,RB,North Texas
2920,Bill Moremen,1168,1965,1967,30,266,1168,4.4,14,38.9,RB,Florida State
2921,Chris Downs,1168,2001,2002,19,212,1168,5.5,13,61.5,RB,Maryland
2922,Curtis Stephens,1168,1984,1987,43,287,1168,4.1,8,27.2,RB,Rutgers
2923,Jacob Kibodi,1168,2017,2023,36,211,1168,5.5,9,32.4,RB,"Louisiana,Texas A&M"
2924,Josh Rounds,1168,2012,2016,49,226,1168,5.2,8,23.8,RB,Tulane
2925,Andre Wallace,1167,1991,1994,44,269,1167,4.3,4,26.5,WR,Western Michigan
2926,Doug Kotar,1167,1971,1973,33,293,1167,4,5,35.4,RB,Kentucky
2927,Rick Beauvais,1167,1979,1981,29,293,1167,4,2,40.2,RB,Pennsylvania
2928,Terry Grant,1167,2006,2009,35,257,1167,4.5,12,33.3,RB,Alabama
2929,Aaron Harris,1166,1996,1999,44,241,1166,4.8,19,26.5,RB,Penn State
2930,Bill Mayo,1166,1965,1967,30,240,1166,4.9,7,38.9,RB,Dayton
2931,Dareyon Chance,1166,2010,2012,25,227,1166,5.1,6,46.6,RB,Western Michigan
2932,David White,1166,1959,1961,30,260,1166,4.5,8,38.9,RB,Tulsa
2933,Jim Kelleher,1166,1973,1976,33,276,1166,4.2,19,35.3,RB,Colorado
2934,Duke Catalon,1165,2016,2017,21,294,1165,4,12,55.5,RB,Houston
2935,Kenan Lawhorne,1165,2000,2003,36,227,1165,5.1,8,32.4,RB,Central Michigan
2936,Ted Grignon,1165,1969,1971,30,392,1165,3,11,38.8,QB,Western Michigan
2937,Tony Dungy,1165,1973,1976,44,413,1165,2.8,16,26.5,QB,Minnesota
2938,Michael Roberts,1164,1985,1987,28,218,1164,5.3,8,41.6,RB,Long Beach State
2939,James Wright,1163,2008,2011,38,254,1163,4.6,6,30.6,RB,New Mexico
2940,Russel Charles,1163,1972,1974,33,187,1163,6.2,3,35.2,RB,UCLA
2941,Tim Brown,1163,2004,2006,20,290,1163,4,4,58.2,RB,Temple
2942,Adrian Rucker,1162,1974,1977,44,223,1162,5.2,10,26.4,RB,Georgia Tech
2943,Bucky Shamburger,1162,1975,1978,44,241,1162,4.8,3,26.4,RB,Georgia Tech
2944,Hasaan Klugh,1162,2016,2018,33,282,1162,4.1,19,35.2,QB,Charlotte
2945,Roy Johnson,1162,1990,1991,21,313,1162,3.7,15,55.3,QB,Arkansas State
2946,Shane Tucker,1162,2013,2017,39,271,1162,4.3,15,29.8,RB,Middle Tennessee State
2947,Chester Johnson,1161,2002,2006,47,296,1161,3.9,8,24.7,RB,Louisiana
2948,Dwight Robertson,1161,1978,1982,38,246,1161,4.7,17,30.6,RB,Oregon
2949,Ed Nwagbaraocha,1161,1990,1993,38,308,1161,3.8,12,30.6,RB,Eastern Michigan
2950,Gralyn Wyatt,1161,1974,1977,40,180,1161,6.5,17,29,RB,Texas
2951,Jamal Jones,1161,2016,2020,37,266,1161,4.4,6,31.4,RB,Arkansas State
2952,Kevin Meger,1161,1989,1992,38,339,1161,3.4,18,30.6,QB,Toledo
2953,Jaquis Dancy,1160,2015,2019,38,209,1160,5.6,13,30.5,RB,Louisiana Tech
2954,Steve Stratton,1160,1971,1973,33,215,1160,5.4,6,35.2,RB,BYU
2955,Desmond Scott,1159,2009,2012,43,262,1159,4.4,6,27,RB,Duke
2956,Asad Abdul-Khaliq,1158,2000,2003,45,285,1158,4.1,16,25.7,QB,Minnesota
2957,Dwight Eaton,1158,1981,1985,54,266,1158,4.4,7,21.4,RB,Wichita State
2958,Markese Stepp,1158,2018,2023,37,242,1158,4.8,11,31.3,RB,"Nebraska,USC,Western Kentucky"
2959,Grayson McCall,1157,2019,2024,45,368,1157,3.1,18,25.7,QB,"Coastal Carolina,North Carolina State"
2960,Scott Phillips,1157,1977,1980,46,212,1157,5.5,7,25.2,RB,BYU
2961,Tom Hennessey,1157,1960,1962,30,257,1157,4.5,9,38.6,RB,Holy Cross
2962,Willie Lewis,1157,1969,1970,20,267,1157,4.3,6,57.9,RB,Arizona
2963,Deamonte Trayanum,1156,2020,2024,36,227,1156,5.1,13,32.1,RB,"Arizona State,Kentucky,Ohio State"
2964,Duane Wood,1156,1956,1958,30,231,1156,5,9,38.5,RB,Oklahoma State
2965,Marcus Shaw,1156,2010,2013,38,239,1156,4.8,6,30.4,RB,South Florida
2966,Stephen Pitts,1156,1992,1995,42,215,1156,5.4,5,27.5,RB,Penn State
2967,T.J. Patterson,1156,2000,2003,45,258,1156,4.5,13,25.7,RB,Louisville
2968,Andrew Henry,1155,2021,2024,33,258,1155,4.5,11,35,RB,"Louisiana-Monroe,New Mexico"
2969,Lamar Ferguson,1155,2001,2005,35,265,1155,4.4,10,33,RB,San Jose State
2970,Meco Brown,1155,2008,2009,24,258,1155,4.5,6,48.1,RB,Northern Illinois
2971,Scott Blair,1155,2001,2004,44,302,1155,3.8,9,26.3,RB,Ball State
2972,Tobias Oliver,1155,2018,2021,43,207,1155,5.6,14,26.9,QB,Georgia Tech
2973,Tre Madden,1155,2011,2015,33,223,1155,5.2,8,35,RB,USC
2974,Brian Edmonds,1154,1993,1996,43,236,1154,4.9,11,26.8,RB,Virginia Tech
2975,Kevin Burgess,1153,1985,1986,23,208,1153,5.5,10,50.1,RB,New Mexico
2976,Robert Farmer,1153,1993,1996,39,178,1153,6.5,12,29.6,RB,Notre Dame
2977,Alan Rozycki,1152,1958,1960,27,279,1152,4.1,5,42.7,RB,Dartmouth
2978,Bobby Crumpler,1152,1986,1987,22,295,1152,3.9,16,52.4,RB,North Carolina State
2979,Charles Perry,1152,1985,1988,44,323,1152,3.6,17,26.2,RB,Baylor
2980,David Hosemann,1152,1974,1977,45,276,1152,4.2,7,25.6,RB,Southern Mississippi
2981,Doug Blake,1152,1969,1971,27,235,1152,4.9,8,42.7,RB,Princeton
2982,Hugh Mauldin,1152,1963,1965,30,301,1152,3.8,8,38.4,RB,Clemson
2983,Keith Gooch,1152,1978,1980,32,248,1152,4.6,11,36,RB,Fresno State
2984,Leroy Whittle,1152,1961,1963,30,231,1152,5,7,38.4,RB,Oregon State
2985,Pat Donnelly,1152,1962,1964,30,262,1152,4.4,10,38.4,RB,Navy
2986,Ben Garnto,1151,1965,1967,30,277,1151,4.2,2,38.4,RB,South Carolina
2987,Decori Birmingham,1151,2001,2004,49,233,1151,4.9,7,23.5,RB,Arkansas
2988,Don Gilley,1151,1970,1972,31,254,1151,4.5,8,37.1,RB,Wichita State
2989,Rodney Young,1151,1982,1985,40,229,1151,5,7,28.8,RB,Tulsa
2990,Terry Vitrano,1151,1974,1977,44,251,1151,4.6,8,26.2,RB,Mississippi State
2991,William Stanback,1151,2013,2015,25,306,1151,3.8,16,46,RB,UCF
2992,Bruce Kemp,1150,1967,1969,30,324,1150,3.5,15,38.3,RB,Georgia
2993,Chris Warren III,1150,2015,2017,24,204,1150,5.6,13,47.9,RB,Texas
2994,Collin Schlee,1150,2020,2024,34,178,1150,6.5,11,33.8,QB,"Kent State,UCLA,Virginia Tech"
2995,Jermelle Lewis,1150,2002,2004,23,226,1150,5.1,10,50,RB,Iowa
