,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
4401,Aaron Valentin,845,2008,2009,24,65,845,13,9,35.2,WR,Purdue
4402,A.J. Henning,845,2020,2024,49,95,845,8.9,5,17.2,WR,"Michigan,Northwestern"
4403,Kevin Roach,845,2003,2006,47,65,845,13,2,18,WR,East Carolina
4404,Lamart Barrett,845,2003,2006,40,77,845,11,0,21.1,WR,North Carolina State
4405,Ray Craft,845,1986,1989,44,51,845,16.6,2,19.2,WR,Memphis
4406,Will Hastings,845,2015,2019,42,56,845,15.1,6,20.1,,Auburn
4407,Chuck White,844,1975,1977,33,50,844,16.9,8,25.6,WR,Maryland
4408,Daymond Patterson,844,2008,2012,46,98,844,8.6,5,18.3,WR,Kansas
4409,Dontrell Moore,844,2002,2005,48,89,844,9.5,8,17.6,RB,New Mexico
4410,E.J. Bibbs,844,2013,2014,22,84,844,10,10,38.4,TE,Iowa State
4411,Eric Pitts,844,1983,1986,44,67,844,12.6,2,19.2,WR,Kentucky
4412,Ken DeLong,844,1967,1969,30,76,844,11.1,9,28.1,TE,Tennessee
4413,Kim Hoover,844,1972,1975,44,57,844,14.8,6,19.2,,Maryland
4414,Moey Mutz,844,2003,2005,33,59,844,14.3,4,25.6,WR,Arizona State
4415,Willie Wright,844,2000,2001,20,71,844,11.9,8,42.2,TE,North Carolina State
4416,Bernard Edwards,843,1988,1991,44,58,843,14.5,4,19.2,WR,Ohio State
4417,Dontez Ford,843,2014,2016,34,46,843,18.3,5,24.8,WR,Pitt
4418,Jerry Haynes,843,1969,1971,30,63,843,13.4,10,28.1,WR,Richmond
4419,Jesse Rack,843,2006,2009,49,68,843,12.4,9,17.2,TE,Buffalo
4420,Kenny Neal,843,1990,1992,26,57,843,14.8,3,32.4,WR,Texas
4421,Walter Batson,843,1987,1990,44,50,843,16.9,3,19.2,WR,Stanford
4422,Avery Holley,842,2006,2010,45,74,842,11.4,4,18.7,WR,Florida Atlantic
4423,Bob Dunlevy,842,1963,1965,30,49,842,17.2,7,28.1,WR,West Virginia
4424,Brad Stewart,842,2015,2018,49,45,842,18.7,4,17.2,WR,Georgia Tech
4425,Jesse Meyer,842,2006,2008,38,56,842,15,2,22.2,WR,Tulsa
4426,Akeem Hunt,841,2011,2014,49,100,841,8.4,6,17.2,RB,Purdue
4427,Bill Seder,841,1983,1985,26,67,841,12.6,4,32.3,WR,Ohio
4428,Brashard Smith,841,2021,2024,39,77,841,10.9,5,21.6,WR,"Miami (FL),SMU"
4429,Herman Archie,841,1982,1985,42,61,841,13.8,7,20,WR,Georgia
4430,Justin Hardee,841,2012,2016,46,72,841,11.7,1,18.3,WR,Illinois
4431,Phil Thompson,841,1967,1969,25,69,841,12.2,2,33.6,WR,Kentucky
4432,Andra Fuller,840,1998,2001,41,83,840,10.1,3,20.5,WR,Baylor
4433,Courtney Cravin,840,1987,1990,35,65,840,12.9,1,24,WR,Rice
4434,Dominque Sullivan,840,2010,2012,33,54,840,15.6,5,25.5,WR,Southern Mississippi
4435,Matt Rivera,840,2002,2005,39,84,840,10,6,21.5,RB,Fresno State
4436,Mike Cox,840,2002,2003,20,56,840,15,2,42,WR,Arkansas State
4437,Mike Sheridan,840,1996,1998,31,69,840,12.2,2,27.1,WR,Georgia Tech
4438,Eddie Johnson,839,1984,1988,48,95,839,8.8,9,17.5,RB,Utah
4439,Gary Brown,839,1992,1993,22,58,839,14.5,8,38.1,WR,Tulsa
4440,Jake Roberts,839,2020,2024,53,72,839,11.7,5,15.8,TE,"Baylor,North Texas,Oklahoma"
4441,Jared Wyatt,839,2017,2021,35,63,839,13.3,4,24,WR,"Bowling Green,New Mexico State"
4442,Maxie LeBlanc,839,1969,1971,29,45,839,18.6,3,28.9,WR,Tulane
4443,Noah Smith,839,2023,2024,16,88,839,9.5,6,52.4,WR,Sam Houston
4444,Richie Harris,839,1989,1992,28,78,839,10.8,3,30,WR,Maryland
4445,Wyatt Wieland,839,2019,2023,49,71,839,11.8,6,17.1,,Wyoming
4446,Andrew Turzilli,838,2011,2014,34,37,838,22.6,6,24.6,WR,"Kansas,Rutgers"
4447,Chuck Carr Brown,838,1976,1979,45,59,838,14.2,3,18.6,WR,Southern Mississippi
4448,Chuck Wade,838,2015,2018,51,76,838,11,3,16.4,WR,Wake Forest
4449,Deon Booker,838,1985,1988,44,82,838,10.2,6,19,RB,Louisville
