,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
3401,Ken Woodside,1049,1966,1968,28,271,1049,3.9,5,37.5,RB,Western Michigan
3402,Scooter Menifee,1049,1988,1989,23,215,1049,4.9,10,45.6,RB,UTEP
3403,Amari Daniels,1048,2021,2024,27,200,1048,5.2,9,38.8,RB,Texas A&M
3404,Dwight Garner,1048,1982,1985,44,258,1048,4.1,8,23.8,RB,California
3405,Aubrey Shaw,1047,1989,1992,40,238,1047,4.4,14,26.2,RB,North Carolina State
3406,Chuck Benbow,1047,1977,1978,20,232,1047,4.5,12,52.4,RB,Long Beach State
3407,Mitch Bowles,1047,1997,1999,33,192,1047,5.5,6,31.7,RB,Kansas
3408,Robert Moore,1047,1981,1984,46,217,1047,4.8,3,22.8,RB,UTEP
3409,Roger Gann,1047,1967,1969,30,281,1047,3.7,4,34.9,RB,Kentucky
3410,Tony Melchiorre,1047,1973,1976,44,231,1047,4.5,3,23.8,RB,Boston College
3411,Kevin Brown,1046,1998,1998,11,215,1046,4.9,4,95.1,RB,Washington State
3412,Aston Walter,1045,2015,2019,43,215,1045,4.9,8,24.3,WR,Rice
3413,Ed Thigpen,1045,1987,1990,33,233,1045,4.5,10,31.7,RB,Ole Miss
3414,Joe Johnson,1045,1962,1965,40,235,1045,4.4,4,26.1,RB,New Mexico State
3415,Todd Doxzon,1045,1993,1996,37,364,1045,2.9,14,28.2,QB,Iowa State
3416,Andy Pease,1044,1970,1972,33,259,1044,4,8,31.6,RB,Navy
3417,Bill Bailey,1044,1963,1965,30,189,1044,5.5,10,34.8,RB,Cincinnati
3418,Bruce Van Ness,1044,1967,1969,28,287,1044,3.6,10,37.3,RB,Rutgers
3419,Jahmyl Jeter,1043,2018,2023,48,227,1043,4.6,21,21.7,,"Oklahoma State,Texas State"
3420,John Randle,1043,2003,2004,23,235,1043,4.4,8,45.3,RB,Kansas
3421,Josh Levi,1043,1999,2001,27,207,1043,5,9,38.6,RB,Fresno State
3422,Lavale Thomas,1043,1982,1985,45,210,1043,5,7,23.2,RB,Fresno State
3423,Butch Hadnot,1042,1990,1991,17,208,1042,5,11,61.3,RB,Texas
3424,Daniel Sams,1042,2012,2013,21,184,1042,5.7,14,49.6,QB,Kansas State
3425,Deantre Lewis,1042,2010,2014,38,195,1042,5.3,6,27.4,RB,Arizona State
3426,Jordon James,1042,2011,2014,48,239,1042,4.4,9,21.7,RB,UCLA
