,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
201,Steve Young,56,1981,1983,34,592,908,316,65.2,7733,56,33,6.2,3.6,149.8,8.5,8.11,13.1,227.4,QB,BYU
202,Taylor Martinez,56,2010,2013,44,575,962,387,59.8,7258,56,29,5.8,3,136.3,7.5,7.35,12.6,165,QB,Nebraska
203,Asad Abdul-Khaliq,55,2000,2003,45,481,846,365,56.9,6660,55,25,6.5,3,138.5,7.9,7.84,13.8,148,QB,Minnesota
204,Bryan Cupito,55,2002,2006,60,513,918,405,55.9,7446,55,25,6,2.7,138.3,8.1,8.08,14.5,124.1,QB,Minnesota
205,Cody Ledbetter,55,1991,1995,39,556,1039,483,53.5,7480,55,43,5.3,4.1,123.2,7.2,6.4,13.5,191.8,QB,New Mexico State
206,Dustin Crum,55,2017,2021,50,575,863,288,66.6,7417,55,12,6.4,1.4,157.1,8.6,9.24,12.9,148.3,QB,Kent State
207,Feleipe Franks,55,2017,2020,38,530,860,330,61.6,6700,55,21,6.4,2.4,143.3,7.8,7.97,12.6,176.3,QB,"Arkansas,Florida"
208,Hank Bachmeier,55,2019,2024,41,785,1248,463,62.9,9568,55,24,4.4,1.9,138,7.7,7.68,12.2,233.4,QB,"Boise State,Louisiana Tech,Wake Forest"
209,Jason Bean,55,2018,2023,51,414,699,285,59.2,5969,55,26,7.9,3.7,149.5,8.5,8.44,14.4,117,QB,"Kansas,North Texas"
210,John David Booty,55,2003,2007,38,518,832,314,62.3,6125,55,21,6.6,2.5,140.9,7.4,7.55,11.8,161.2,QB,USC
211,John Welsh,55,1998,2001,36,584,968,384,60.3,7401,55,38,5.7,3.9,135.5,7.6,7.02,12.7,205.6,QB,Idaho
212,Josh Fields,55,2001,2003,32,445,815,370,54.6,6090,55,25,6.7,3.1,133.5,7.5,7.44,13.7,190.3,QB,Oklahoma State
213,Josh Haldi,55,2001,2004,36,427,776,349,55,6015,55,19,7.1,2.4,138.6,7.8,8.07,14.1,167.1,QB,Northern Illinois
214,Josh Harris,55,2000,2003,42,627,1028,401,61,7503,55,28,5.4,2.7,134.5,7.3,7.14,12,178.6,QB,Bowling Green
215,K.J. Costello,55,2017,2020,35,629,1000,371,62.9,7434,55,29,5.5,2.9,137.7,7.4,7.23,11.8,212.4,QB,"Mississippi State,Stanford"
216,Lester Ricard,55,2004,2006,31,538,954,416,56.4,6608,55,31,5.8,3.2,127.1,6.9,6.62,12.3,213.2,QB,Tulane
217,Nathan Scheelhaase,55,2010,2013,48,775,1231,456,63,8568,55,37,4.5,3,130.2,7,6.5,11.1,178.5,QB,Illinois
218,Nick Fitzgerald,55,2014,2018,46,511,942,431,54.2,6207,55,30,5.8,3.2,122.5,6.6,6.32,12.1,134.9,,Mississippi State
219,Riley Neal,55,2015,2019,45,880,1477,597,59.6,8978,55,30,3.7,2,118.9,6.1,5.91,10.2,199.5,QB,"Ball State,Vanderbilt"
220,Steven Jyles,55,2002,2005,45,795,1473,678,54,8987,55,43,3.7,2.9,111.7,6.1,5.53,11.3,199.7,QB,Louisiana-Monroe
221,Tyler Van Dyke,55,2020,2024,35,624,980,356,63.7,7891,55,23,5.6,2.3,145.1,8.1,8.12,12.6,225.5,QB,"Miami (FL),Wisconsin"
222,Alex Hornibrook,54,2016,2019,41,510,826,316,61.7,6424,54,35,6.5,4.2,140.2,7.8,7.18,12.6,156.7,QB,"Florida State,Wisconsin"
223,Josh Betts,54,2002,2005,38,541,929,388,58.2,7029,54,30,5.8,3.2,134.5,7.6,7.28,13,185,QB,Miami (OH)
224,Josh Wallwork,54,1995,1996,22,449,729,280,61.6,6453,54,28,7.4,3.8,152.7,8.9,8.6,14.4,293.3,QB,Wyoming
225,Mike Gundy,54,1986,1989,42,604,1035,431,58.4,7997,54,37,5.2,3.6,133.3,7.7,7.16,13.2,190.4,QB,Oklahoma State
226,Peyton Ramsey,54,2017,2020,41,805,1234,429,65.2,8314,54,31,4.4,2.5,131.2,6.7,6.48,10.3,202.8,QB,"Indiana,Northwestern"
227,Travis Wilson,54,2012,2015,46,646,1068,422,60.5,7403,54,37,5.1,3.5,128.5,6.9,6.38,11.5,160.9,QB,Utah
228,Will Howard,54,2020,2024,37,509,853,344,59.7,6581,54,26,6.3,3,139.3,7.7,7.61,12.9,177.9,QB,"Kansas State,Ohio State"
229,Anu Solomon,53,2014,2017,32,579,988,409,58.6,7321,53,18,5.4,1.8,134.9,7.4,7.66,12.6,228.8,QB,"Arizona,Baylor"
230,Cameron Rising,53,2020,2024,29,474,741,267,64,5918,53,14,7.2,1.9,150.9,8,8.57,12.5,204.1,QB,Utah
231,Chandler Rogers,53,2021,2024,38,593,926,333,64,7117,53,15,5.7,1.6,144.2,7.7,8.1,12,187.3,QB,"California,Louisiana-Monroe,North Texas"
232,James Brown,53,1994,1997,40,546,1003,457,54.4,7628,53,37,5.3,3.7,128.4,7.6,7,14,190.7,QB,Texas
233,Kevin Feterik,53,1996,1999,38,609,1004,395,60.7,8065,53,27,5.3,2.7,140.2,8,7.88,13.2,212.2,QB,BYU
234,Logan Kilgore,53,2010,2013,39,692,1135,443,61,7849,53,36,4.7,3.2,128.1,6.9,6.42,11.3,201.3,QB,Middle Tennessee State
235,Mikey Keene,53,2021,2024,31,600,903,303,66.4,6393,53,21,5.9,2.3,140.6,7.1,7.21,10.7,206.2,QB,"Fresno State,UCF"
236,Steve Sarkisian,53,1995,1996,25,528,789,261,66.9,7464,53,26,6.7,3.3,162,9.5,9.32,14.1,298.6,QB,BYU
237,Tommy Woodson,53,2014,2017,39,543,970,427,56,6864,53,32,5.5,3.3,126.9,7.1,6.68,12.6,176,QB,Akron
238,Zach Smith,53,2016,2020,40,614,1089,475,56.4,8223,53,34,4.9,3.1,129.6,7.6,7.12,13.4,205.6,QB,"Baylor,Tulsa"
239,Adam Tafralis,52,2004,2007,45,603,1027,424,58.7,7548,52,29,5.1,2.8,131.5,7.3,7.09,12.5,167.7,QB,San Jose State
240,Casey Thompson,52,2019,2024,33,408,643,235,63.5,5338,52,24,8.1,3.7,152.4,8.3,8.24,13.1,161.8,QB,"Florida Atlantic,Nebraska,Oklahoma,Texas"
241,Chase Rettig,52,2010,2013,46,685,1242,557,55.2,8253,52,39,4.2,3.1,118.5,6.6,6.07,12,179.4,QB,Boston College
242,Drew Willy,52,2005,2008,44,849,1322,473,64.2,8748,52,30,3.9,2.3,128.2,6.6,6.38,10.3,198.8,QB,Buffalo
243,Everett Golson,52,2012,2015,34,590,964,374,61.2,7628,52,23,5.4,2.4,140.7,7.9,7.92,12.9,224.4,QB,"Florida State,Notre Dame"
244,Greg Ward Jr.,52,2013,2016,49,747,1106,359,67.5,8705,52,26,4.7,2.4,144.5,7.9,7.75,11.7,177.7,QB,Houston
245,Jonathan Smith,52,1998,2001,39,603,1197,594,50.4,9106,52,29,4.3,2.4,123.8,7.6,7.39,15.1,233.5,QB,Oregon State
246,Kyle Vantrease,52,2017,2022,48,757,1257,500,60.2,8983,52,29,4.1,2.3,129.3,7.1,6.94,11.9,187.1,QB,"Buffalo,Georgia Southern"
247,Lee Roberts,52,1995,1998,44,473,832,359,56.9,6289,52,27,6.3,3.2,134.5,7.6,7.35,13.3,142.9,QB,Southern Mississippi
248,Manny Wilkins,52,2014,2018,41,704,1114,410,63.2,8624,52,23,4.7,2.1,139.5,7.7,7.75,12.3,210.3,QB,Arizona State
249,Matt Grothe,52,2006,2009,42,717,1148,431,62.5,8669,52,44,4.5,3.8,133.2,7.6,6.73,12.1,206.4,QB,South Florida
250,Ron Powlus,52,1994,1997,44,558,969,411,57.6,7602,52,27,5.4,2.8,135.6,7.8,7.66,13.6,172.8,QB,Notre Dame
251,Ryan Hart,52,2002,2005,38,735,1217,482,60.4,8482,52,52,4.3,4.3,124.5,7,5.9,11.5,223.2,QB,Rutgers
252,Ryan Huzjak,52,1993,1996,43,577,1026,449,56.2,6672,52,30,5.1,2.9,121.7,6.5,6.2,11.6,155.2,QB,Toledo
253,Tanner Price,52,2010,2013,48,824,1451,627,56.8,8899,52,31,3.6,2.1,115.9,6.1,5.89,10.8,185.4,QB,Wake Forest
254,Terrance Broadway,52,2010,2014,42,618,965,347,64,7985,52,31,5.4,3.2,144.9,8.3,7.91,12.9,190.1,QB,"Houston,Louisiana"
255,Adrian Martinez,51,2018,2022,49,788,1239,451,63.6,9752,51,31,4.1,2.5,138.3,7.9,7.57,12.4,199,QB,"Kansas State,Nebraska"
256,Connor Bazelak,51,2019,2024,48,942,1523,581,61.9,9977,51,37,3.3,2.4,123.1,6.6,6.13,10.6,207.9,QB,"Bowling Green,Indiana,Missouri"
257,Dustin Almond,51,2002,2005,46,538,1052,514,51.1,7342,51,28,4.8,2.7,120.4,7,6.75,13.6,159.6,QB,Southern Mississippi
258,Emory Jones,51,2018,2023,57,601,953,352,63.1,7099,51,28,5.4,2.9,137.4,7.4,7.2,11.8,124.5,QB,"Arizona State,Cincinnati,Florida"
259,James Franklin,51,2010,2014,43,586,943,357,62.1,6962,51,25,5.4,2.7,136.7,7.4,7.27,11.9,161.9,QB,Missouri
260,J'mar Smith,51,2016,2019,45,759,1280,521,59.3,9523,51,21,4,1.6,131.7,7.4,7.5,12.5,211.6,QB,Louisiana Tech
261,Jordan Lynch,51,2010,2013,50,509,824,315,61.8,6209,51,14,6.2,1.7,142.1,7.5,8.01,12.2,124.2,QB,Northern Illinois
262,Justin Willis,51,2006,2008,33,424,684,260,62,4991,51,24,7.5,3.5,140.9,7.3,7.21,11.8,151.2,QB,SMU
263,Kawaun Jakes,51,2009,2012,48,650,1123,473,57.9,7538,51,38,4.5,3.4,122.5,6.7,6.1,11.6,157,QB,Western Kentucky
264,Marquel Blackwell,51,2000,2002,33,659,1155,496,57.1,7488,51,18,4.4,1.6,123,6.5,6.66,11.4,226.9,QB,South Florida
265,Matt Schilz,51,2010,2013,41,715,1225,510,58.4,8012,51,39,4.2,3.2,120.7,6.5,5.94,11.2,195.4,QB,Bowling Green
266,Nate Longshore,51,2005,2008,39,558,936,378,59.6,6783,51,31,5.4,3.3,131.8,7.2,6.85,12.2,173.9,QB,California
267,Nick Arbuckle,51,2014,2015,25,566,915,349,61.9,7651,51,29,5.6,3.2,144.2,8.4,8.05,13.5,306,QB,Georgia State
268,Raymond Philyaw,51,1994,1996,32,471,914,443,51.5,6965,51,22,5.6,2.4,129.1,7.6,7.65,14.8,217.7,QB,Louisiana-Monroe
269,Shawn Jones,51,1989,1992,45,652,1217,565,53.6,8441,51,50,4.2,4.1,117.4,6.9,5.93,12.9,187.6,QB,Georgia Tech
270,Zach Collaros,51,2008,2011,41,485,783,298,61.9,6278,51,26,6.5,3.3,144.1,8,7.83,12.9,153.1,QB,Cincinnati
271,Ben Bryant,50,2018,2023,49,711,1106,395,64.3,8212,50,23,4.5,2.1,137.4,7.4,7.39,11.5,167.6,QB,"Cincinnati,Eastern Michigan,Northwestern"
