,,,,,,Passing,,,,,,,,,,,,,,,
Rk,Player,TD,From,To,G,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Y/A,AY/A,Y/C,Y/G,Pos,Team
2201,Sid Mitchell,12,1960,1962,30,76,208,132,36.5,1312,12,14,5.8,6.7,95.1,6.3,4.43,17.3,43.7,QB,The Citadel
2202,Steve Lindsley,12,1985,1986,25,182,290,108,62.8,2273,12,18,4.1,6.2,129.8,7.8,5.87,12.5,90.9,QB,BYU
2203,Stu McBirnie,12,1962,1962,10,87,177,90,49.2,1169,12,10,6.8,5.6,115.7,6.6,5.42,13.4,116.9,QB,Tulsa
2204,Taylor Davis,12,2011,2013,18,164,344,180,47.7,1888,12,15,3.5,4.4,96.6,5.5,4.22,11.5,104.9,QB,Idaho
2205,Tink Murphy,12,1978,1981,40,225,456,231,49.3,2802,12,23,2.6,5,99.6,6.1,4.4,12.5,70.1,QB,Temple
2206,Tom Dubs,12,1990,1993,44,214,428,214,50,2666,12,16,2.8,3.7,104.1,6.2,5.11,12.5,60.6,QB,Ohio
2207,Tom Strain,12,1963,1965,29,218,476,258,45.8,2758,12,36,2.5,7.6,87.7,5.8,2.89,12.7,95.1,QB,Pacific
2208,Tom Vosberg,12,1973,1974,22,141,307,166,45.9,1914,12,19,3.9,6.2,98.8,6.2,4.23,13.6,87,QB,Dayton
2209,Tyler Wiegers,12,2014,2018,22,175,270,95,64.8,1922,12,3,4.4,1.1,137.1,7.1,7.51,11,87.4,,"Eastern Michigan,Iowa"
2210,Warren Price,12,1960,1961,19,66,166,100,39.8,767,12,12,7.2,7.2,88,4.6,2.81,11.6,40.4,QB,Virginia Tech
2211,Zeon Chriss,12,2022,2024,15,113,173,60,65.3,1350,12,6,6.9,3.5,146.8,7.8,7.63,11.9,90,QB,"Houston,Louisiana"
2212,Albert Johnson,11,1969,1971,32,119,354,235,33.6,1887,11,20,3.1,5.6,77.3,5.3,3.41,15.9,59,QB,Cincinnati
2213,Allan Evridge,11,2005,2008,22,178,357,179,49.9,2380,11,12,3.1,3.4,109.3,6.7,5.77,13.4,108.2,QB,"Kansas State,Wisconsin"
2214,Alli Abrew,11,1993,1995,33,160,323,163,49.5,2070,11,13,3.4,4,106.6,6.4,5.28,12.9,62.7,QB,San Jose State
2215,Andy Chance,11,1999,2001,25,355,652,297,54.4,3530,11,22,1.7,3.4,98.7,5.4,4.23,9.9,141.2,QB,Louisiana-Monroe
2216,Armando Alba,11,1961,1963,30,113,264,151,42.8,1666,11,18,4.2,6.8,95.9,6.3,4.08,14.7,55.5,QB,New Mexico State
2217,Avery Johnson,11,2023,2024,12,95,161,66,59,1099,11,3,6.8,1.9,135.2,6.8,7.35,11.6,91.6,QB,Kansas State
2218,Barrett Trotter,11,2010,2011,14,98,176,78,55.7,1248,11,6,6.3,3.4,129.1,7.1,6.81,12.7,89.1,QB,Auburn
2219,Bart Weiss,11,1983,1985,34,121,234,113,51.7,2117,11,9,4.7,3.8,135.5,9,8.26,17.5,62.3,QB,Air Force
2220,Ben Gulbranson,11,2020,2024,14,144,231,87,62.3,1705,11,6,4.8,2.6,134.9,7.4,7.16,11.8,121.8,QB,Oregon State
2221,Bill Triplett,11,1968,1970,29,85,210,125,40.5,1439,11,21,5.2,10,95.3,6.9,3.4,16.9,49.6,QB,Michigan State
2222,Billy Gray,11,1962,1964,30,68,142,74,47.9,985,11,8,7.7,5.6,120.5,6.9,5.95,14.5,32.8,QB,Arkansas
2223,Billy Holsclaw,11,1956,1958,30,87,169,82,51.5,1262,11,11,6.5,6.5,122.7,7.5,5.84,14.5,42.1,QB,Virginia Tech
2224,Bob Caffrey,11,1980,1982,34,198,423,225,46.8,2169,11,27,2.6,6.4,85.7,5.1,2.78,11,63.8,QB,Cal State Fullerton
2225,Bob Lane,11,1977,1981,22,93,199,106,46.7,1272,11,4,5.5,2,114.6,6.4,6.59,13.7,57.8,QB,"Louisiana-Monroe,LSU"
2226,Bob Lusky,11,1958,1960,28,57,112,55,50.9,799,11,6,9.8,5.4,132.5,7.1,6.69,14,28.5,QB,Detroit Mercy
2227,Bob Misch,11,1984,1986,33,173,353,180,49,1976,11,14,3.1,4,98.4,5.6,4.44,11.4,59.9,QB,Navy
2228,Bob Morton,11,1973,1977,44,206,447,241,46.1,2363,11,36,2.5,8.1,82.5,5.3,2.15,11.5,53.7,QB,Holy Cross
2229,Bob Winters,11,1956,1957,20,157,309,152,50.8,2082,11,24,3.6,7.8,103.6,6.7,3.95,13.3,104.1,QB,Utah State
2230,Bobby Flores,11,1973,1976,37,189,472,283,40,2259,11,29,2.3,6.1,75.6,4.8,2.49,12,61.1,QB,Lamar
2231,Bobby Pesavento,11,1998,2001,19,136,227,91,59.9,1837,11,5,4.8,2.2,139.5,8.1,8.07,13.5,96.7,QB,"Colorado,Miami (OH)"
2232,Brendan Sullivan,11,2022,2024,16,135,196,61,68.9,1305,11,5,5.6,2.6,138.2,6.7,6.63,9.7,81.6,QB,"Iowa,Northwestern"
2233,Butch Nunnally,11,1961,1963,30,79,203,124,38.9,1021,11,17,5.4,8.4,82.3,5,2.34,12.9,34,QB,Virginia Military Institute
2234,Caden Veltkamp,11,2022,2024,7,96,127,31,75.6,1063,11,3,8.7,2.4,169.8,8.4,9.04,11.1,151.9,QB,Western Kentucky
2235,Casey Cochran,11,2013,2014,9,128,206,78,62.1,1464,11,5,5.3,2.4,134.6,7.1,7.08,11.4,162.7,QB,Connecticut
2236,Chad Salisbury,11,1995,1996,22,173,342,169,50.6,2330,11,12,3.2,3.5,111.4,6.8,5.88,13.5,105.9,QB,New Mexico State
2237,Charlie Peterson,11,1999,2001,21,197,327,130,60.2,2249,11,6,3.4,1.8,125.4,6.9,6.72,11.4,107.1,QB,BYU
2238,Chris Crane,11,2005,2008,33,196,347,151,56.5,1984,11,14,3.2,4,106.9,5.7,4.54,10.1,60.1,QB,Boston College
2239,Cody Endres,11,2008,2010,15,182,313,131,58.1,2236,11,9,3.5,2.9,124,7.1,6.55,12.3,149.1,QB,Connecticut
2240,Connor Dietz,11,2009,2012,34,100,171,71,58.5,1523,11,4,6.4,2.3,149.8,8.9,9.14,15.2,44.8,QB,Air Force
2241,Cotton Turner,11,2009,2011,16,103,148,45,69.6,1205,11,1,7.4,0.7,161.2,8.1,9.32,11.7,75.3,QB,Houston
