,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
2401,Terry Jones Jr.,480,RAV,5,155,2002,Alabama,1999,2001,27,31,480,15.5,3,17.8,TE,Alabama
2402,Chris Evans,479,CIN,6,202,2021,Michigan,2016,2020,43,49,479,9.8,2,11.1,RB,Michigan
2403,Chuba Hubbard,479,CAR,4,126,2021,Oklahoma State,2018,2020,33,53,479,9,3,14.5,RB,Oklahoma State
2404,Rashaad Penny,479,SEA,1,27,2018,San Diego State,2014,2017,54,42,479,11.4,6,8.9,RB,San Diego State
2405,Bruce Perry,478,PHI,7,242,2004,Maryland,1999,2003,36,55,478,8.7,2,13.3,RB,Maryland
2406,Carlos King,478,PIT,4,123,1998,North Carolina State,1994,1997,38,49,478,9.8,3,12.6,RB,North Carolina State
2407,George Starke,478,WAS,11,272,1971,Columbia,1969,1970,18,35,478,13.7,1,26.6,WR,Columbia
2408,Kerryon Johnson,478,DET,2,43,2018,Auburn,2015,2017,37,55,478,8.7,2,12.9,RB,Auburn
2409,Anthony Sherman,477,CRD,5,136,2011,Connecticut,2007,2010,51,48,477,9.9,1,9.4,RB,Connecticut
2410,Blair Thomas,477,NYJ,1,2,1990,Penn State,1985,1989,44,48,477,9.9,2,10.8,RB,Penn State
2411,Courtney Anderson,477,RAI,7,245,2004,San Jose State,2002,2003,24,36,477,13.3,7,19.9,TE,San Jose State
2412,Tommy Vardell,477,CLE,1,9,1992,Stanford,1988,1991,44,75,477,6.4,0,10.8,RB,Stanford
2413,Jaime Covington,476,MIN,9,227,1985,Syracuse,1980,1984,55,60,476,7.9,0,8.7,RB,Syracuse
2414,Jawhar Jordan,476,HTX,6,205,2024,Louisville,2019,2023,37,39,476,12.2,1,12.9,RB,"Louisville,Syracuse"
2415,Billy Waddy,475,RAM,2,50,1977,Colorado,1973,1976,44,31,475,15.3,2,10.8,RB,Colorado
2416,Devonta Freeman,475,ATL,4,103,2014,Florida State,2011,2013,40,47,475,10.1,1,11.9,RB,Florida State
2417,Jamal Lewis,475,RAV,1,5,2000,Tennessee,1997,1999,27,39,475,12.2,4,17.6,RB,Tennessee
2418,Mark Witte,475,TAM,11,297,1983,North Texas,1979,1981,33,37,475,12.8,1,14.4,TE,North Texas
2419,Reggie Kelly,474,ATL,2,42,1999,Mississippi State,1995,1998,44,29,474,16.3,2,10.8,TE,Mississippi State
2420,Terrell Fletcher,474,SDG,2,51,1995,Wisconsin,1991,1994,40,55,474,8.6,4,11.9,RB,Wisconsin
2421,Dave Stachelski,473,NWE,5,141,2000,Boise State,1996,1999,23,35,473,13.5,6,20.6,TE,Boise State
2422,Rob Konrad,473,MIA,2,43,1999,Syracuse,1995,1998,44,41,473,11.5,3,10.8,RB,Syracuse
2423,Wayne Gallman,473,NYG,4,140,2017,Clemson,2014,2016,42,65,473,7.3,2,11.3,RB,Clemson
2424,Willie Joyner,473,OTI,7,170,1984,Maryland,1980,1983,27,51,473,9.3,0,17.5,RB,Maryland
2425,Bradford Banta,472,CLT,4,106,1994,USC,1990,1993,46,44,472,10.7,4,10.3,TE,USC
2426,Earnest Jackson,471,SDG,8,202,1983,Texas A&M,1979,1982,41,44,471,10.7,0,11.5,RB,Texas A&M
2427,Joe Webb,471,MIN,6,199,2010,UAB,2006,2009,37,32,471,14.7,4,12.7,QB,UAB
2428,Lorenzo Neal,471,NOR,4,89,1993,Fresno State,1990,1992,34,53,471,8.9,1,13.9,RB,Fresno State
2429,Rhett Ellison,471,MIN,4,128,2012,USC,2008,2011,47,53,471,8.9,6,10,TE,USC
2430,Tyrone Wheatley,471,NYG,1,17,1995,Michigan,1991,1994,39,45,471,10.5,6,12.1,RB,Michigan
2431,Austin Denney,470,DAL,11,160,1966,Tennessee,1965,1966,20,35,470,13.4,9,23.5,WR,Tennessee
2432,David Kirtman,470,SEA,5,163,2006,USC,2003,2005,38,46,470,10.2,2,12.4,RB,USC
2433,Jacque MacKinnon,470,SDG,33,264,1962,Colgate,1959,1960,18,23,470,20.4,4,26.1,RB,Colgate
2434,Lydell Mitchell,470,CLT,2,48,1972,Penn State,1969,1971,31,38,470,12.4,3,15.2,RB,Penn State
2435,Malcolm Perry,470,MIA,7,246,2020,Navy,2016,2019,41,22,470,21.4,3,11.5,QB,Navy
2436,Mark E. Bell,470,SEA,4,102,1979,Colorado State,1976,1978,34,34,470,13.8,3,13.8,TE,Colorado State
2437,Calvin Murray,469,PHI,4,110,1981,Ohio State,1977,1980,39,40,469,11.7,2,12,RB,Ohio State
2438,Lionel Gates,469,BUF,7,236,2005,Louisville,2001,2004,37,40,469,11.7,2,12.7,RB,Louisville
2439,Brooks Williams,468,NOR,8,199,1978,North Carolina,1975,1977,33,37,468,12.6,4,14.2,TE,North Carolina
2440,Trung Canidate,468,RAM,1,31,2000,Arizona,1996,1999,42,42,468,11.1,1,11.1,WR,Arizona
2441,Jerry Porter,467,RAI,2,47,2000,West Virginia,1997,1999,31,24,467,19.5,5,15.1,WR,West Virginia
2442,Bryce Love,465,WAS,4,112,2019,Stanford,2015,2018,49,49,465,9.5,2,9.5,RB,Stanford
2443,Myles Gaskin,465,MIA,7,234,2019,Washington,2015,2018,52,65,465,7.2,5,8.9,RB,Washington
2444,Dave Edwards,464,DEN,25,194,1962,Auburn,1959,1961,30,32,464,14.5,3,15.5,WR,Auburn
2445,Tommy Joe Crutcher,464,KAN,11,82,1964,Texas Christian,1961,1963,60,38,464,12.2,0,7.7,RB,Texas Christian
2446,Emmitt Smith,463,DAL,1,17,1990,Florida,1987,1989,31,56,463,8.3,1,14.9,RB,Florida
2447,James Stewart,463,JAX,1,19,1995,Tennessee,1991,1994,44,54,463,8.6,4,10.5,RB,Tennessee
2448,Jerry Overton,463,DAL,15,202,1963,Utah,1960,1962,30,35,463,13.2,4,15.4,RB,Utah
2449,Ken Grandberry,463,CHI,8,190,1974,Washington State,1971,1973,33,48,463,9.6,2,14,RB,Washington State
2450,Raynard Brown,462,DET,10,259,1987,South Carolina,1983,1986,44,38,462,12.2,4,10.5,RB,South Carolina
2451,Sam Price,462,MIA,11,92,1966,Illinois,1963,1965,56,52,462,8.9,2,8.3,RB,Illinois
2452,Alex Green,461,GNB,3,96,2011,Hawaii,2009,2010,27,38,461,12.1,2,17.1,RB,Hawaii
2453,Alvis Whitted,461,JAX,7,192,1998,North Carolina State,1994,1997,44,29,461,15.9,0,10.5,KR,North Carolina State
2454,Mike Hinnant,461,PIT,8,211,1988,Temple,1985,1987,33,38,461,12.1,2,14,TE,Temple
2455,Howard Cross,459,NYG,6,158,1989,Alabama,1986,1988,34,41,459,11.2,4,13.5,TE,Alabama
2456,Jacob Hester,459,SDG,3,69,2008,LSU,2004,2007,51,62,459,7.4,4,9,RB,LSU
2457,Bob Mitinger,458,SDG,5,34,1962,Penn State,1959,1961,58,28,458,16.4,4,7.9,WR,Penn State
2458,Daniel Lasco,458,NOR,7,237,2016,California,2012,2015,42,48,458,9.5,2,10.9,RB,California
2459,Tony Paige,457,NYJ,6,149,1984,Virginia Tech,1980,1983,44,49,457,9.3,3,10.4,RB,Virginia Tech
2460,Jewerl Thomas,456,RAM,3,58,1980,San Jose State,1975,1979,45,52,456,8.8,3,10.1,RB,"San Jose State,UCLA"
2461,Jim Dray,455,CRD,7,233,2010,Stanford,2006,2009,39,41,455,11.1,7,11.7,TE,Stanford
2462,Robert Edwards,455,NWE,1,18,1998,Georgia,1994,1997,34,48,455,9.5,3,13.4,DB,Georgia
2463,LaRod Stephens-Howling,454,CRD,7,240,2009,Pitt,2005,2008,44,52,454,8.7,1,10.3,RB,Pitt
2464,Bernard Jackson,453,CIN,4,81,1972,Washington State,1970,1971,22,42,453,10.8,2,20.6,RB,Washington State
2465,Jake O'Connell,453,KAN,7,237,2009,Miami (OH),2006,2008,36,46,453,9.8,4,12.6,TE,Miami (OH)
2466,Dominique Robinson,452,CHI,5,174,2022,Miami (OH),2017,2021,49,27,452,16.7,4,9.2,,Miami (OH)
2467,Marshawn Lloyd,452,GNB,3,88,2024,USC,2021,2023,32,34,452,13.3,2,14.1,RB,"South Carolina,USC"
2468,Steve Harkey,452,NYJ,16,396,1971,Georgia Tech,1968,1970,31,40,452,11.3,3,14.6,RB,Georgia Tech
2469,Steve Raible,452,SEA,2,59,1976,Georgia Tech,1973,1975,33,24,452,18.8,5,13.7,WR,Georgia Tech
2470,Bob Klein,451,RAM,1,21,1969,USC,1966,1968,30,38,451,11.9,5,15,WR,USC
2471,Daryl Johnston,451,DAL,2,39,1989,Syracuse,1985,1988,44,43,451,10.5,1,10.3,RB,Syracuse
