,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
401,James Rouse,2887,CHI,8,200,1990,Arkansas,1985,1989,56,559,2887,5.2,38,51.6,RB,Arkansas
402,D'Andre Swift,2885,DET,2,35,2020,Georgia,2017,2019,43,440,2885,6.6,20,67.1,RB,Georgia
403,Darrynton Evans,2884,OTI,3,93,2020,Appalachian State,2016,2019,39,482,2884,6,25,73.9,RB,Appalachian State
404,Charley Taylor,2878,OTI,2,9,1964,Arizona State,1961,1963,58,502,2878,5.7,36,49.6,RB,Arizona State
405,A.J. Jones,2874,RAM,8,202,1982,Texas,1978,1981,36,645,2874,4.5,27,79.8,RB,Texas
406,Cam Akers,2874,RAM,2,52,2020,Florida State,2017,2019,36,586,2874,4.9,27,79.8,RB,Florida State
407,Dan Herron,2869,CIN,6,191,2012,Ohio State,2008,2011,41,592,2869,4.8,32,70,RB,Ohio State
408,Eno Benjamin,2867,CRD,7,222,2020,Arizona State,2017,2019,35,576,2867,5,27,81.9,RB,Arizona State
409,Scott Dierking,2863,NYJ,4,90,1977,Purdue,1973,1976,44,578,2863,5,25,65.1,RB,Purdue
410,Dion Lewis,2860,PHI,5,149,2011,Pitt,2009,2010,25,544,2860,5.3,30,114.4,RB,Pitt
411,Harvey Williams,2860,KAN,1,21,1991,LSU,1986,1990,40,588,2860,4.9,27,71.5,RB,LSU
412,Qadree Ollison,2859,ATL,5,152,2019,Pitt,2015,2018,52,529,2859,5.4,29,55,RB,Pitt
413,Matt Dayes,2856,CLE,7,252,2017,North Carolina State,2013,2016,45,550,2856,5.2,34,63.5,RB,North Carolina State
414,Bill Wolski,2854,NYJ,10,87,1966,Notre Dame,1963,1965,58,618,2854,4.6,38,49.2,RB,Notre Dame
415,Daniel Thomas,2850,MIA,2,62,2011,Kansas State,2009,2010,25,545,2850,5.2,30,114,RB,Kansas State
416,Gordon Bell,2847,NYG,4,104,1976,Michigan,1973,1975,33,517,2847,5.5,27,86.3,RB,Michigan
417,Jalen Hurd,2847,SFO,3,67,2019,Baylor,2014,2018,45,637,2847,4.5,23,63.3,RB,"Baylor,Tennessee"
418,Bubba Bean,2846,ATL,1,9,1976,Texas A&M,1972,1975,44,482,2846,5.9,19,64.7,RB,Texas A&M
419,Greg Pruitt,2844,CLE,2,30,1973,Oklahoma,1970,1972,33,375,2844,7.6,35,86.2,RB,Oklahoma
420,Vaughn Dunbar,2842,NOR,1,21,1992,Indiana,1990,1991,22,565,2842,5,24,129.2,RB,Indiana
421,Shane Vereen,2834,NWE,2,56,2011,California,2008,2010,38,556,2834,5.1,29,74.6,RB,California
422,Rasheen Ali,2831,RAV,5,165,2024,Marshall,2020,2023,34,514,2831,5.5,39,83.3,RB,Marshall
