,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1401,Joe Kulbacki,1068,NWE,,,1960,Purdue,1957,1959,54,220,1068,4.9,0,19.8,RB,Purdue
1402,Billy Gambrell,1066,NWE,12,92,1963,South Carolina,1960,1962,30,225,1066,4.7,5,35.5,RB,South Carolina
1403,Hines Ward,1066,PIT,3,92,1998,Georgia,1994,1997,42,204,1066,5.2,5,25.4,RB,Georgia
1404,Todd Christensen,1066,DAL,2,56,1978,BYU,1974,1977,44,270,1066,3.9,7,24.2,RB,BYU
1405,Lee Bouggess,1064,PHI,3,59,1970,Louisville,1969,1969,10,267,1064,4,6,106.4,RB,Louisville
1406,Steve Conley,1064,CIN,7,158,1972,Kansas,1969,1971,32,253,1064,4.2,8,33.3,RB,Kansas
1407,Steve Howell,1064,MIA,4,107,1979,Baylor,1975,1978,44,208,1064,5.1,4,24.2,RB,Baylor
1408,Tommy Reamon,1064,PIT,9,223,1974,Missouri,1972,1973,22,264,1064,4,6,48.4,RB,Missouri
1409,Ron Medved,1063,PHI,14,204,1966,Washington,1963,1965,30,228,1063,4.7,9,35.4,RB,Washington
1410,Eric Lane,1062,SEA,8,196,1981,BYU,1979,1980,23,190,1062,5.6,22,46.2,RB,BYU
1411,Terry Cole,1059,CLT,9,242,1968,Indiana,1965,1967,30,284,1059,3.7,2,35.3,RB,Indiana
1412,Norm Granger,1058,DAL,5,137,1984,Iowa,1980,1983,44,191,1058,5.5,5,24,RB,Iowa
1413,Glynn Griffing,1056,OTI,14,111,1962,Ole Miss,1960,1962,58,220,1056,4.8,6,18.2,QB,Ole Miss
1414,Larry Conjar,1056,CLE,2,46,1967,Notre Dame,1965,1966,20,249,1056,4.2,14,52.8,RB,Notre Dame
1415,Willis Crenshaw,1056,BUF,26,204,1963,Kansas State,1960,1963,58,262,1056,4,2,18.2,WR,Kansas State
1416,Jim Mooty,1053,NYJ,,,1960,Arkansas,1957,1959,30,193,1053,5.5,5,35.1,RB,Arkansas
1417,Shaun King,1049,TAM,2,50,1999,Tulane,1995,1998,41,353,1049,3,19,25.6,QB,Tulane
1418,Bobby Hunt,1046,KAN,11,81,1962,Auburn,1959,1961,30,277,1046,3.8,14,34.9,QB,Auburn
1419,Larry Rakestraw,1046,RAI,11,87,1964,Georgia,1961,1963,60,600,1046,1.7,14,17.4,QB,Georgia
1420,Norm Bulaich,1045,CLT,1,18,1970,Texas Christian,1966,1969,30,214,1045,4.9,0,34.8,RB,Texas Christian
1421,Darwin Thompson,1044,KAN,6,214,2019,Utah State,2018,2018,13,153,1044,6.8,14,80.3,RB,Utah State
1422,Dicky Lyons,1042,ATL,4,103,1969,Kentucky,1966,1968,30,328,1042,3.2,18,34.7,RB,Kentucky
1423,Jerry Latin,1034,CRD,11,280,1975,Northern Illinois,1973,1974,22,181,1034,5.7,12,47,RB,Northern Illinois
1424,Tavon Austin,1033,RAM,1,8,2013,West Virginia,2009,2012,52,110,1033,9.4,6,19.9,RB,West Virginia
1425,Sam Harrell,1032,MIN,11,288,1980,East Carolina,1976,1979,44,172,1032,6,13,23.5,RB,East Carolina
1426,Chad Plummer,1031,DEN,6,204,1999,Cincinnati,1995,1998,44,339,1031,3,13,23.4,QB,Cincinnati
1427,Robert Ducksworth,1030,NYJ,8,215,1986,Southern Mississippi,1981,1985,52,329,1030,3.1,11,19.8,QB,Southern Mississippi
1428,Bobby Thomas,1025,CIN,15,379,1971,Arizona State,1969,1970,20,199,1025,5.2,8,51.3,RB,Arizona State
