,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
401,Brian Manning,2280,MIA,6,170,1997,Stanford,1993,1996,44,140,2280,16.3,13,51.8,WR,Stanford
402,Dameane Douglas,2279,RAI,4,102,1999,California,1995,1998,44,193,2279,11.8,13,51.8,WR,California
403,Diontae Johnson,2276,PIT,3,66,2019,Toledo,2015,2018,39,137,2276,16.6,24,58.4,WR,Toledo
404,Jerry Levias,2275,OTI,2,40,1969,SMU,1966,1968,30,155,2275,14.7,22,75.8,WR,SMU
405,Reidel Anthony,2274,TAM,1,16,1997,Florida,1994,1996,33,126,2274,18,26,68.9,WR,Florida
406,Willie Green,2274,DET,8,194,1990,Ole Miss,1986,1989,43,126,2274,18,12,52.9,WR,Ole Miss
407,Lamar Thomas,2271,TAM,3,60,1993,Miami (FL),1989,1992,44,144,2271,15.8,23,51.6,WR,Miami (FL)
408,Mario Urrutia,2271,CIN,7,246,2008,Louisville,2005,2007,34,130,2271,17.5,16,66.8,WR,Louisville
409,Amon-Ra St. Brown,2270,DET,4,112,2021,USC,2018,2020,31,178,2270,12.8,16,73.2,WR,USC
410,Emile Harry,2270,ATL,4,89,1985,Stanford,1981,1984,44,123,2270,18.5,15,51.6,WR,Stanford
411,Marvin Jones,2270,CIN,5,166,2012,California,2008,2011,43,156,2270,14.6,13,52.8,WR,California
412,Marquez Stevenson,2269,BUF,6,203,2021,Houston,2016,2020,32,147,2269,15.4,22,70.9,WR,Houston
413,Ronnie Bell,2269,SFO,7,253,2023,Michigan,2018,2022,47,145,2269,15.6,9,48.3,WR,Michigan
414,Jeff Groth,2268,MIA,8,206,1979,Bowling Green,1975,1978,45,136,2268,16.7,18,50.4,WR,Bowling Green
415,Dede Westbrook,2267,JAX,4,110,2017,Oklahoma,2015,2016,26,126,2267,18,21,87.2,WR,Oklahoma
416,Jack Jackson,2266,CHI,4,116,1995,Florida,1992,1994,36,143,2266,15.8,29,62.9,WR,Florida
417,Mohamed Sanu,2263,CIN,3,83,2012,Rutgers,2009,2011,38,210,2263,10.8,12,59.6,WR,Rutgers
418,D'Wayne Eskridge,2260,SEA,2,56,2021,Western Michigan,2016,2020,45,122,2260,18.5,15,50.2,WR,Western Michigan
419,Dante Pettis,2256,SFO,2,44,2018,Washington,2014,2017,53,163,2256,13.8,24,42.6,WR,Washington
420,Charles Lee,2249,GNB,7,242,2000,UCF,1997,1999,33,162,2249,13.9,14,68.2,WR,UCF
421,Jalen Reagor,2248,PHI,1,21,2020,Texas Christian,2017,2019,39,148,2248,15.2,22,57.6,WR,Texas Christian
422,Wan'Dale Robinson,2248,NYG,2,43,2022,Kentucky,2019,2021,31,195,2248,11.5,10,72.5,WR,"Kentucky,Nebraska"
423,Jason Avant,2247,PHI,4,109,2006,Michigan,2002,2005,47,169,2247,13.3,13,47.8,WR,Michigan
