,,,,,,,,,,,Receiving,,,,,,
424,Nasrallah Worthen,2247,KAN,3,60,1989,North Carolina State,1984,1988,41,131,2247,17.2,14,54.8,WR,North Carolina State
425,Tony Lippett,2247,MIA,5,156,2015,Michigan State,2011,2014,52,149,2247,15.1,15,43.2,DB,Michigan State
426,Breshad Perriman,2243,RAV,1,26,2015,UCF,2012,2014,39,115,2243,19.5,16,57.5,WR,UCF
427,Rishard Matthews,2243,MIA,7,227,2012,Nevada,2010,2011,26,147,2243,15.3,13,86.3,WR,Nevada
428,Demarco Sampson,2242,CRD,7,249,2011,San Diego State,2005,2010,48,146,2242,15.4,18,46.7,WR,San Diego State
429,Tyquan Thornton,2242,NWE,2,50,2022,Baylor,2018,2021,47,143,2242,15.7,19,47.7,WR,Baylor
430,Todd Snyder,2241,ATL,3,65,1970,Ohio,1967,1969,30,141,2241,15.9,15,74.7,WR,Ohio
431,Roy Jefferson,2240,SDG,2,14,1965,Utah,1962,1964,60,134,2240,16.7,18,37.3,WR,Utah
432,John Floyd,2238,SDG,4,104,1979,Louisiana-Monroe,1975,1978,41,105,2238,21.3,14,54.6,WR,Louisiana-Monroe
433,Jonathan Smith,2238,BUF,7,214,2004,Georgia Tech,2000,2003,45,174,2238,12.9,12,49.7,WR,Georgia Tech
434,Victor Bailey,2238,PHI,2,50,1993,Missouri,1988,1992,34,133,2238,16.8,13,65.8,WR,"Missouri,UTEP"
435,Dallas Baker,2236,PIT,7,227,2007,Florida,2003,2006,51,151,2236,14.8,21,43.8,WR,Florida
436,Eric Crabtree,2234,DEN,13,112,1966,Pitt,1963,1965,60,136,2234,16.4,18,37.2,RB,Pitt
437,Sidney Rice,2233,MIN,2,44,2007,South Carolina,2005,2006,24,142,2233,15.7,23,93,WR,South Carolina
438,Ryan Thelwell,2232,SFO,7,215,1998,Minnesota,1994,1996,29,136,2232,16.4,14,77,WR,Minnesota
439,Ja'lynn Polk,2231,NWE,2,37,2024,Washington,2020,2023,41,143,2231,15.6,18,54.4,WR,"Texas Tech,Washington"
440,Reggie Bynum,2231,BUF,9,222,1986,Oregon State,1982,1985,44,149,2231,15,15,50.7,WR,Oregon State
441,Reggie Thornton,2231,MIN,5,116,1990,Bowling Green,1986,1989,44,158,2231,14.1,12,50.7,WR,Bowling Green
442,Stefon Diggs,2227,MIN,5,146,2015,Maryland,2012,2014,28,150,2227,14.8,14,79.5,WR,Maryland
443,Tony Hill,2225,DAL,3,62,1977,Stanford,1973,1976,44,140,2225,15.9,18,50.6,WR,Stanford
444,Glen Kozlowski,2223,CHI,11,305,1986,BYU,1981,1985,48,136,2223,16.3,23,46.3,WR,BYU
445,Stacey Bailey,2223,ATL,3,63,1982,San Jose State,1978,1981,45,123,2223,18.1,13,49.4,WR,San Jose State
446,Stacy Coley,2222,MIN,7,219,2017,Miami (FL),2013,2016,48,167,2222,13.3,20,46.3,WR,Miami (FL)
447,Arrelious Benn,2221,TAM,2,39,2010,Illinois,2007,2009,37,159,2221,14,7,60,WR,Illinois
448,Marco Battaglia,2221,CIN,2,39,1996,Rutgers,1992,1995,43,171,2221,13,16,51.7,TE,Rutgers
449,Pat Newman,2221,MIN,10,249,1990,Utah State,1986,1989,44,145,2221,15.3,17,50.5,WR,Utah State
450,JJ Arcega-Whiteside,2219,PHI,2,57,2019,Stanford,2016,2018,36,135,2219,16.4,28,61.6,WR,Stanford
451,Derrick Hamilton,2218,SFO,3,77,2004,Clemson,2001,2003,37,163,2218,13.6,15,59.9,WR,Clemson
452,Torrey Smith,2215,RAV,2,58,2011,Maryland,2008,2010,38,152,2215,14.6,19,58.3,WR,Maryland
453,David Parks,2214,SDG,4,32,1964,Texas Tech,1961,1963,60,160,2214,13.8,12,36.9,WR,Texas Tech
454,Ike Hilliard,2214,NYG,1,7,1997,Florida,1994,1996,32,126,2214,17.6,29,69.2,WR,Florida
455,Mardye McDole,2214,MIN,2,39,1981,Mississippi State,1977,1980,44,116,2214,19.1,13,50.3,WR,Mississippi State
456,Garrett Wilson,2213,NYJ,1,10,2022,Ohio State,2019,2021,33,143,2213,15.5,23,67.1,WR,Ohio State
457,Antonio Freeman,2207,GNB,3,90,1995,Virginia Tech,1991,1994,42,121,2207,18.2,22,52.5,WR,Virginia Tech
458,Wesley Walker,2206,NYJ,2,33,1977,California,1973,1976,44,86,2206,25.7,22,50.1,WR,California
459,Deion Branch,2204,NWE,2,65,2002,Louisville,2000,2001,23,143,2204,15.4,18,95.8,WR,Louisville
460,Shi Smith,2204,CAR,6,204,2021,South Carolina,2017,2020,43,174,2204,12.7,13,51.3,WR,South Carolina
461,Dave Young,2202,NYG,2,32,1981,Purdue,1977,1980,44,173,2202,12.7,24,50,TE,Purdue
462,Ernie Jones,2200,CRD,7,179,1988,Indiana,1984,1987,44,125,2200,17.6,19,50,WR,Indiana
463,Maurice Stovall,2195,TAM,3,90,2006,Notre Dame,2002,2005,46,130,2195,16.9,18,47.7,WR,Notre Dame
464,Sam Aiken,2195,BUF,4,127,2003,North Carolina,1999,2002,46,146,2195,15,15,47.7,WR,North Carolina
465,Demario Douglas,2193,NWE,6,210,2023,Liberty,2019,2022,40,172,2193,12.8,16,54.8,WR,Liberty
466,Quentin Johnston,2190,SDG,1,21,2023,Texas Christian,2020,2022,32,115,2190,19,14,68.4,WR,Texas Christian
467,Keenan McCardell,2189,WAS,12,326,1991,Nevada-Las Vegas,1988,1990,33,141,2189,15.5,15,66.3,WR,Nevada-Las Vegas
468,Charlie Kolar,2181,RAV,4,128,2022,Iowa State,2018,2021,49,168,2181,13,23,44.5,TE,Iowa State
469,Jacquez Green,2181,TAM,2,34,1998,Florida,1995,1997,34,113,2181,19.3,23,64.1,WR,Florida
470,Brian Brennan,2180,CLE,4,104,1984,Boston College,1980,1983,44,115,2180,19,14,49.5,RB,Boston College
471,Robert Brooks,2176,GNB,3,62,1992,South Carolina,1988,1991,44,154,2176,14.1,19,49.5,WR,South Carolina
472,Martin Rucker,2175,CLE,4,111,2008,Missouri,2004,2007,50,203,2175,10.7,18,43.5,TE,Missouri
473,Aaron Burbridge,2174,SFO,6,213,2016,Michigan State,2012,2015,46,165,2174,13.2,10,47.3,WR,Michigan State
474,Karsten Bailey,2174,SEA,3,82,1999,Auburn,1995,1998,45,150,2174,14.5,17,48.3,WR,Auburn
475,Mike Martin,2173,CIN,8,221,1983,Illinois,1979,1982,44,135,2173,16.1,15,49.4,WR,Illinois
476,Quincy Morgan,2173,CLE,2,33,2001,Kansas State,1999,2000,24,106,2173,20.5,23,90.5,WR,Kansas State
477,Walter Young,2173,CAR,7,226,2003,Illinois,1999,2002,45,140,2173,15.5,13,48.3,WR,Illinois
478,Willie Jackson,2172,DAL,4,109,1994,Florida,1991,1993,32,162,2172,13.4,24,67.9,WR,Florida
479,James Maness,2171,CHI,3,78,1985,Texas Christian,1981,1984,39,97,2171,22.4,10,55.7,WR,Texas Christian
480,Erik Ezukanma,2165,MIA,4,125,2022,Texas Tech,2018,2021,35,138,2165,15.7,15,61.9,WR,Texas Tech
481,Steve Griffin,2165,ATL,12,308,1986,Purdue,1982,1985,44,142,2165,15.2,11,49.2,WR,Purdue
482,Vince Warren,2164,NYG,5,130,1986,San Diego State,1981,1985,59,105,2164,20.6,14,36.7,WR,San Diego State
483,Pharoh Cooper,2163,RAM,4,117,2016,South Carolina,2013,2015,34,138,2163,15.7,18,63.6,CB,South Carolina
484,Stepfret Williams,2162,DAL,3,94,1996,Louisiana-Monroe,1994,1995,22,123,2162,17.6,22,98.3,WR,Louisiana-Monroe
485,Leonard Hankerson,2160,WAS,3,79,2011,Miami (FL),2007,2010,42,134,2160,16.1,22,51.4,WR,Miami (FL)
486,Bob Wallace,2159,CHI,2,46,1968,UTEP,1965,1967,29,123,2159,17.6,19,74.4,WR,UTEP
487,Chase Claypool,2159,PIT,2,49,2020,Notre Dame,2016,2019,49,150,2159,14.4,19,44.1,WR,Notre Dame
488,Van Jefferson,2159,RAM,2,57,2020,Florida,2016,2019,48,175,2159,12.3,16,45,WR,"Florida,Ole Miss"
489,Vinny Sutherland,2159,ATL,5,136,2001,Purdue,1997,2000,44,161,2159,13.4,22,49.1,WR,Purdue
490,Danan Hughes,2156,KAN,7,186,1993,Iowa,1989,1992,45,140,2156,15.4,21,47.9,WR,Iowa
491,Craphonso Thorpe,2153,KAN,4,116,2005,Florida State,2001,2004,47,123,2153,17.5,18,45.8,WR,Florida State
492,Drake London,2153,ATL,1,8,2022,USC,2019,2021,27,160,2153,13.5,15,79.7,WR,USC
493,Jauan Jennings,2153,SFO,7,217,2020,Tennessee,2015,2019,51,146,2153,14.7,18,42.2,WR,Tennessee
494,Tyrone Davis,2153,NYJ,4,107,1995,Virginia,1991,1994,44,103,2153,20.9,28,48.9,WR,Virginia
495,Marcus Monk,2151,CHI,7,248,2008,Arkansas,2004,2007,43,138,2151,15.6,27,50,WR,Arkansas
496,Hakeem Butler,2149,CRD,4,103,2019,Iowa State,2016,2018,37,110,2149,19.5,18,58.1,WR,Iowa State
497,Travis Beckum,2149,NYG,3,100,2009,Wisconsin,2005,2008,42,159,2149,13.5,11,51.2,LB,Wisconsin
498,Thomas Lewis,2147,NYG,1,24,1994,Indiana,1991,1993,33,142,2147,15.1,16,65.1,WR,Indiana
499,Travis Benjamin,2146,CLE,4,100,2012,Miami (FL),2008,2011,49,131,2146,16.4,13,43.8,WR,Miami (FL)
500,Amari Rodgers,2144,GNB,3,85,2021,Clemson,2017,2020,55,181,2144,11.8,15,39,WR,Clemson
501,Jalen McMillan,2143,TAM,3,92,2024,Washington,2020,2023,38,164,2143,13.1,17,56.4,WR,Washington
502,Germane Crowell,2142,DET,2,50,1998,Virginia,1994,1997,41,122,2142,17.6,19,52.2,WR,Virginia
503,Robert Meachem,2140,NOR,1,27,2007,Tennessee,2004,2006,37,125,2140,17.1,17,57.8,WR,Tennessee
504,Cedrick Wilson,2137,SFO,6,169,2001,Tennessee,1997,2000,45,159,2137,13.4,24,47.5,WR,Tennessee
505,Harrison Bryant,2137,CLE,4,115,2020,Florida Atlantic,2016,2019,48,148,2137,14.4,16,44.5,TE,Florida Atlantic
506,Hunter Renfrow,2133,RAI,5,149,2019,Clemson,2015,2018,55,186,2133,11.5,15,38.8,WR,Clemson
507,James Murphy,2132,MIN,10,266,1981,Utah State,1978,1980,33,133,2132,16,17,64.6,WR,Utah State
508,Phillip Dorsett,2132,CLT,1,29,2015,Miami (FL),2011,2014,44,121,2132,17.6,17,48.5,WR,Miami (FL)
509,Trevor Gaylor,2131,SDG,4,111,2000,Miami (OH),1996,1999,38,128,2131,16.6,20,56.1,WR,Miami (OH)
510,Tim Stallworth,2130,RAM,6,161,1990,Washington State,1986,1989,41,117,2130,18.2,16,52,WR,Washington State
511,Lawrence Dawsey,2129,TAM,3,66,1991,Florida State,1987,1990,43,128,2129,16.6,20,49.5,WR,Florida State
512,Dwight Collins,2128,MIN,6,154,1984,Pitt,1980,1983,44,121,2128,17.6,23,48.4,WR,Pitt
513,Ty Montgomery,2125,GNB,3,94,2015,Stanford,2011,2014,49,172,2125,12.4,15,43.4,WR,Stanford
514,William Franklin,2125,KAN,4,105,2008,Missouri,2004,2007,44,143,2125,14.9,13,48.3,WR,Missouri
515,John Love,2124,WAS,7,172,1967,North Texas,1965,1966,20,144,2124,14.8,17,106.2,RB,North Texas
516,Seth Williams,2124,DEN,6,219,2021,Auburn,2018,2020,36,132,2124,16.1,17,59,WR,Auburn
517,Craig Davis,2117,SDG,1,30,2007,LSU,2003,2006,42,141,2117,15,7,50.4,WR,LSU
518,Jerry Butler,2115,BUF,1,5,1979,Clemson,1975,1978,44,131,2115,16.1,11,48.1,WR,Clemson
519,Damian Williams,2114,OTI,3,77,2010,USC,2006,2009,38,147,2114,14.4,17,55.6,WR,"Arkansas,USC"
520,Jim Seymour,2113,RAM,1,10,1969,Notre Dame,1966,1968,27,138,2113,15.3,16,78.3,WR,Notre Dame
521,Scott Schwedes,2111,MIA,2,56,1987,Syracuse,1983,1986,44,139,2111,15.2,16,48,WR,Syracuse
522,Charles Sims,2108,TAM,3,69,2014,West Virginia,2009,2013,48,203,2108,10.4,11,43.9,RB,"Houston,West Virginia"
523,Chris Doering,2107,JAX,6,185,1996,Florida,1992,1995,40,149,2107,14.1,31,52.7,WR,Florida
524,Courtney Hawkins,2104,TAM,2,44,1992,Michigan State,1988,1991,38,132,2104,15.9,11,55.4,KR,Michigan State
525,Jessie Hester,2100,RAI,1,23,1985,Florida State,1981,1984,44,107,2100,19.6,21,47.7,WR,Florida State
526,Trey McBride,2100,CRD,2,55,2022,Colorado State,2018,2021,40,164,2100,12.8,10,52.5,TE,Colorado State
527,Michael Mayer,2099,RAI,2,35,2023,Notre Dame,2020,2022,36,180,2099,11.7,18,58.3,TE,Notre Dame
528,Courtney Taylor,2098,SEA,6,197,2007,Auburn,2003,2006,50,153,2098,13.7,9,42,WR,Auburn
529,Lindsay Scott,2098,NOR,1,13,1982,Georgia,1978,1981,44,131,2098,16,10,47.7,WR,Georgia
530,Snoop Minnis,2098,KAN,3,77,2001,Florida State,1997,2000,42,115,2098,18.2,17,50,WR,Florida State
531,Taylor Jacobs,2097,WAS,2,44,2003,Florida,1999,2002,44,133,2097,15.8,16,47.7,WR,Florida
532,Ja'Marr Chase,2093,CIN,1,5,2021,LSU,2018,2019,27,107,2093,19.6,23,77.5,WR,LSU
533,Domenik Hixon,2092,DEN,4,130,2006,Akron,2003,2005,36,141,2092,14.8,14,58.1,DB,Akron
534,Darrius Heyward-Bey,2089,RAI,1,7,2009,Maryland,2006,2008,38,138,2089,15.1,13,55,WR,Maryland
535,Reche Caldwell,2088,SDG,2,48,2002,Florida,1999,2001,35,141,2088,14.8,18,59.7,WR,Florida
536,Na Brown,2086,PHI,4,130,1999,North Carolina,1995,1998,44,165,2086,12.6,14,47.4,WR,North Carolina
537,Ricky Nattiel,2086,DEN,1,27,1987,Florida,1983,1986,44,117,2086,17.8,18,47.4,WR,Florida
538,Steve Rivera,2085,SFO,4,100,1976,California,1973,1975,33,138,2085,15.1,9,63.2,WR,California
539,Tim Kearse,2084,SDG,11,303,1983,San Jose State,1980,1982,33,142,2084,14.7,16,63.2,WR,San Jose State
540,John Metchie,2081,HTX,2,44,2022,Alabama,2019,2021,39,155,2081,13.4,14,53.4,WR,Alabama
541,Bob Sherlag,2080,BUF,5,41,1966,Memphis,1963,1965,58,124,2080,16.8,22,35.9,WR,Memphis
542,Charlie Jones,2079,CIN,4,131,2023,Purdue,2018,2022,49,149,2079,14,18,42.4,WR,"Buffalo,Iowa,Purdue"
543,Deebo Samuel,2076,SFO,2,36,2019,South Carolina,2015,2018,30,148,2076,14,16,69.2,WR,South Carolina
544,Tim Dwight,2075,ATL,4,114,1998,Iowa,1994,1997,44,127,2075,16.3,21,47.2,RB,Iowa
545,Marcus Smith,2073,RAV,4,106,2008,New Mexico,2004,2007,49,153,2073,13.5,13,42.3,WR,New Mexico
546,Ozzie Newsome,2070,CLE,1,23,1978,Alabama,1974,1977,44,102,2070,20.3,16,47,WR,Alabama
547,Greg Childs,2066,MIN,4,134,2012,Arkansas,2008,2011,44,133,2066,15.5,15,47,WR,Arkansas
548,Jerome Pathon,2063,CLT,2,32,1998,Washington,1995,1997,33,125,2063,16.5,16,62.5,WR,Washington
549,Amara Darboh,2062,SEA,3,106,2017,Michigan,2012,2016,48,151,2062,13.7,14,43,WR,Michigan
550,Mike Levenseller,2061,RAI,6,164,1978,Washington State,1975,1977,33,121,2061,17,10,62.5,WR,Washington State
551,Mewelde Moore,2059,MIN,4,119,2004,Tulane,2000,2003,44,189,2059,10.9,15,46.8,WR,Tulane
552,Travis McGriff,2057,DEN,3,93,1999,Florida,1994,1998,45,123,2057,16.7,14,45.7,WR,Florida
553,Al Toon,2055,NYJ,1,10,1985,Wisconsin,1982,1984,33,127,2055,16.2,19,62.3,WR,Wisconsin
554,Shawn Nelson,2054,BUF,4,121,2009,Southern Mississippi,2005,2008,51,157,2054,13.1,16,40.3,TE,Southern Mississippi
555,Ernest Wilford,2052,JAX,4,120,2004,Virginia Tech,2000,2003,49,126,2052,16.3,11,41.9,WR,Virginia Tech
556,Javon Baker,2051,NWE,4,110,2024,UCF,2020,2023,45,117,2051,17.5,13,45.6,WR,"Alabama,UCF"
557,Isaiah Likely,2050,RAV,4,139,2022,Coastal Carolina,2018,2021,48,133,2050,15.4,27,42.7,TE,Coastal Carolina
558,Jeb Putzier,2050,DEN,6,191,2002,Boise State,1998,2001,46,128,2050,16,19,44.6,TE,Boise State
559,Lew Barnes,2048,CHI,5,138,1986,Oregon,1983,1985,32,117,2048,17.5,18,64,WR,Oregon
560,Mark Chmura,2046,GNB,6,157,1992,Boston College,1988,1991,44,164,2046,12.5,11,46.5,TE,Boston College
561,Mike Williams,2044,TAM,4,101,2010,Syracuse,2006,2009,29,133,2044,15.4,20,70.5,WR,Syracuse
562,Travis Fulgham,2044,DET,6,184,2019,Old Dominion,2015,2018,47,128,2044,16,18,43.5,WR,Old Dominion
563,Robb Thomas,2043,KAN,6,143,1989,Oregon State,1985,1988,43,138,2043,14.8,18,47.5,KR,Oregon State
564,Steve Sweeney,2043,RAI,9,231,1973,California,1970,1972,33,132,2043,15.5,21,61.9,WR,California
565,Cody Latimer,2042,DEN,2,56,2014,Indiana,2011,2013,32,135,2042,15.1,17,63.8,WR,Indiana
566,Tim McGee,2042,CIN,1,21,1986,Tennessee,1983,1985,33,123,2042,16.6,15,61.9,WR,Tennessee
567,Deon Cain,2040,CLT,6,185,2018,Clemson,2015,2017,42,130,2040,15.7,20,48.6,WR,Clemson
568,Cornelius Johnson,2038,SDG,7,253,2024,Michigan,2019,2023,61,138,2038,14.8,14,33.4,WR,Michigan
569,K.J. Osborn,2037,MIN,5,176,2020,Miami (FL),2016,2019,51,146,2037,14,17,39.9,WR,"Buffalo,Miami (FL)"
570,Mercury Hayes,2031,NOR,5,136,1996,Michigan,1992,1995,45,116,2031,17.5,11,45.1,WR,Michigan
571,Sean Dawkins,2028,CLT,1,16,1993,California,1990,1992,33,120,2028,16.9,30,61.5,WR,California
572,D.J. Moore,2027,CAR,1,24,2018,Maryland,2015,2017,37,146,2027,13.9,17,54.8,WR,Maryland
573,Airese Currie,2025,CHI,5,140,2005,Clemson,2001,2004,45,137,2025,14.8,10,45,WR,Clemson
574,Robert Herron,2025,TAM,6,185,2014,Wyoming,2010,2013,42,152,2025,13.3,20,48.2,WR,Wyoming
575,Eric Moulds,2022,BUF,1,24,1996,Mississippi State,1993,1995,31,118,2022,17.1,17,65.2,WR,Mississippi State
576,Vince Mayle,2022,CLE,4,123,2015,Washington State,2013,2014,23,148,2022,13.7,16,87.9,WR,Washington State
577,Olabisi Johnson,2019,MIN,7,247,2019,Colorado State,2015,2018,49,125,2019,16.2,11,41.2,WR,Colorado State
578,Taylor Price,2019,NWE,3,90,2010,Ohio,2006,2009,52,149,2019,13.6,14,38.8,WR,Ohio
579,Ronnie Goodwin,2018,BUF,11,83,1963,Baylor,1960,1962,60,128,2018,15.8,14,33.6,RB,Baylor
580,Flipper Anderson,2017,RAM,2,46,1988,UCLA,1984,1987,46,104,2017,19.4,14,43.8,WR,UCLA
581,Tai Streets,2016,SFO,6,171,1999,Michigan,1995,1998,41,131,2016,15.4,17,49.2,WR,Michigan
582,Clark Harris,2015,GNB,7,243,2007,Rutgers,2003,2006,48,143,2015,14.1,11,42,TE,Rutgers
583,Bo Melton,2011,SEA,7,229,2022,Rutgers,2017,2021,56,164,2011,12.3,11,35.9,WR,Rutgers
584,Bryant Johnson,2008,CRD,1,17,2003,Penn State,1999,2002,47,110,2008,18.3,10,42.7,WR,Penn State
585,Reggie Brown,2008,PHI,2,35,2005,Georgia,2000,2004,52,144,2008,13.9,12,38.6,WR,Georgia
586,Kenny Jackson,2006,PHI,1,4,1984,Penn State,1980,1983,45,109,2006,18.4,25,44.6,WR,Penn State
587,David Terrell,2005,CHI,1,8,2001,Michigan,1998,2000,34,137,2005,14.6,19,59,WR,Michigan
588,Denarius Moore,2004,RAI,5,148,2011,Tennessee,2007,2010,52,112,2004,17.9,18,38.5,WR,Tennessee
589,Mark Clayton,2004,MIA,8,223,1983,Louisville,1979,1982,44,96,2004,20.9,10,45.5,WR,Louisville
590,Jonnu Smith,2001,OTI,3,100,2017,Florida International,2013,2016,43,178,2001,11.2,18,46.5,TE,Florida International
591,Jaylen Waddle,1999,MIA,1,6,2021,Alabama,2018,2020,34,106,1999,18.9,17,58.8,WR,Alabama
592,Frank Sanders,1998,CRD,2,47,1995,Auburn,1991,1994,42,121,1998,16.5,15,47.6,WR,Auburn
593,Andy Hamilton,1995,KAN,4,97,1972,LSU,1969,1971,32,100,1995,20,18,62.3,WR,LSU
594,David Knight,1995,NYJ,11,272,1973,William & Mary,1970,1972,33,123,1995,16.2,8,60.5,WR,William & Mary
595,Greg McMurtry,1992,NWE,3,80,1990,Michigan,1986,1989,45,101,1992,19.7,15,44.3,WR,Michigan
596,O.J. McDuffie,1988,MIA,1,25,1993,Penn State,1988,1992,56,125,1988,15.9,16,35.5,WR,Penn State
597,Andre Davis,1986,CLE,2,47,2002,Virginia Tech,1998,2001,39,103,1986,19.3,18,50.9,WR,Virginia Tech
598,Bob Simms,1986,OTI,,,1960,Rutgers,1957,1959,54,128,1986,15.5,26,36.8,WR,Rutgers
599,Jacoby Ford,1986,RAI,4,108,2010,Clemson,2006,2009,48,143,1986,13.9,16,41.4,WR,Clemson
600,Jake Schifino,1986,OTI,5,151,2002,Akron,1998,2001,40,131,1986,15.2,10,49.7,WR,Akron
