,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
2001,Derrick Bridges,1324,1996,1999,39,88,1324,15,6,33.9,WR,Louisiana-Monroe
2002,Jim Butler,1324,1969,1971,31,124,1324,10.7,9,42.7,TE,Tulsa
2003,Rafael Little,1324,2004,2007,39,131,1324,10.1,4,33.9,RB,Kentucky
2004,Skyler Fulton,1324,2000,2003,46,99,1324,13.4,14,28.8,WR,Arizona State
2005,Bryce Kirtz,1323,2020,2024,42,105,1323,12.6,5,31.5,WR,Northwestern
2006,Durron Neal,1323,2012,2015,41,104,1323,12.7,6,32.3,WR,Oklahoma
2007,George Bryan,1323,2008,2011,51,126,1323,10.5,17,25.9,TE,North Carolina State
2008,Nick Adams,1323,2009,2012,36,89,1323,14.9,4,36.8,WR,UAB
2009,Spencer Tears,1323,2016,2019,49,107,1323,12.4,10,27,WR,Northern Illinois
2010,Austin Wolf,1322,2014,2017,42,83,1322,15.9,13,31.5,WR,Akron
2011,Barrett Banister,1322,2017,2022,57,143,1322,9.2,2,23.2,WR,Missouri
2012,Eddie Tillitz,1322,2000,2002,33,113,1322,11.7,8,40.1,WR,Miami (OH)
2013,Jermaine Ross,1322,1990,1993,44,74,1322,17.9,7,30,WR,Purdue
2014,Mark Wakefield,1322,1971,1973,33,78,1322,16.9,6,40.1,WR,Tampa
2015,Billy Taylor,1321,1968,1970,27,96,1321,13.8,5,48.9,WR,UTEP
2016,Miles Marshall,1321,2018,2023,60,90,1321,14.7,4,22,WR,"Indiana,Miami (OH)"
2017,Rashad Evans,1321,2008,2012,44,138,1321,9.6,12,30,WR,Fresno State
2018,Terrance Wilkerson,1321,2008,2011,34,110,1321,12,8,38.9,WR,SMU
2019,Bru McCoy,1320,2020,2024,27,102,1320,12.9,7,48.9,WR,"Tennessee,USC"
2020,David Dorn,1320,1977,1980,44,72,1320,18.3,11,30,WR,Rutgers
2021,Jack Whitver,1320,2000,2003,39,96,1320,13.8,5,33.8,WR,Iowa State
2022,Mel Reddick,1320,1967,1969,30,113,1320,11.7,6,44,WR,Wisconsin
2023,Shermar Thornton,1320,2017,2022,44,103,1320,12.8,9,30,WR,"Florida International,Northern Illinois"
2024,Jim Hodge,1319,1970,1972,33,73,1319,18.1,7,40,WR,Arkansas
2025,Paul McCarty,1319,1975,1978,44,79,1319,16.7,14,30,WR,Boston College
2026,Billy Anders,1318,1965,1967,27,108,1318,12.2,6,48.8,WR,Ohio State
2027,Gator Hoskins,1318,2011,2013,38,99,1318,13.3,28,34.7,TE,Marshall
2028,Greg Taylor,1318,1987,1990,44,102,1318,12.9,9,30,WR,Auburn
2029,Kenneth Roy,1318,1973,1976,44,97,1318,13.6,15,30,TE,Rice
2030,Chester Cooper,1317,1978,1981,33,77,1317,17.1,8,39.9,WR,Minnesota
2031,Corey Dyches,1317,2020,2024,43,117,1317,11.3,10,30.6,WR,"California,Maryland"
2032,A.J. Taylor,1316,2016,2019,52,89,1316,14.8,10,25.3,WR,Wisconsin
2033,Evan Stewart,1316,2022,2024,21,102,1316,12.9,7,62.7,WR,"Oregon,Texas A&M"
2034,Jeff Thomas,1316,2017,2019,34,83,1316,15.9,8,38.7,WR,Miami (FL)
2035,Jerand Bradley,1316,2021,2024,32,94,1316,14,11,41.1,WR,"Boston College,Texas Tech"
2036,Larry Davis,1316,1967,1969,30,103,1316,12.8,6,43.9,WR,Rice
2037,Rufus Skillern,1316,2003,2005,33,84,1316,15.7,11,39.9,WR,San Jose State
2038,Will Glover,1316,1999,2002,44,122,1316,10.8,9,29.9,WR,Georgia Tech
2039,Jack Morrison,1315,1967,1969,29,66,1315,19.9,6,45.3,WR,Pacific
2040,Jamie Hickenbotham,1315,1999,2002,41,84,1315,15.7,9,32.1,WR,Arkansas State
2041,Kevin Challenger,1315,2004,2007,40,110,1315,12,12,32.9,WR,Boston College
2042,Paul Arnold,1315,1999,2002,42,95,1315,13.8,9,31.3,RB,Washington
2043,Taiwan Easterling,1315,2008,2010,39,108,1315,12.2,8,33.7,WR,Florida State
2044,Billy Mikel,1314,1968,1970,31,94,1314,14,10,42.4,WR,Southern Mississippi
2045,Jordan Nathan,1314,2017,2021,58,121,1314,10.9,8,22.7,WR,Utah State
2046,Karl Dorrell,1314,1982,1986,55,94,1314,14,6,23.9,WR,UCLA
2047,Brian Sallee,1313,1991,1994,40,119,1313,11,4,32.8,WR,Missouri
2048,Carlos Perez,1313,2000,2003,45,106,1313,12.4,11,29.2,WR,Florida
2049,Jeff Spek,1313,1980,1983,35,84,1313,15.6,3,37.5,TE,"Nevada-Las Vegas,San Diego State"
2050,Andrew Bodenheimer,1312,2009,2012,52,128,1312,10.3,5,25.2,WR,East Carolina
2051,Binjimen Victor,1312,2016,2019,47,82,1312,16,18,27.9,WR,Ohio State
2052,Brandon Carter,1312,2011,2013,34,90,1312,14.6,9,38.6,WR,Texas Christian
2053,Charlie Longnecker,1312,1967,1969,30,100,1312,13.1,8,43.7,WR,Air Force
2054,Demetrius Allen,1312,1992,1995,45,81,1312,16.2,9,29.2,WR,Virginia
2055,Jason Gavadza,1312,1996,1999,42,86,1312,15.3,13,31.2,TE,Kent State
2056,Mark Raugh,1312,1979,1982,45,116,1312,11.3,6,29.2,TE,West Virginia
2057,Sadiq Palmer,1312,2016,2019,45,97,1312,13.5,6,29.2,WR,Massachusetts
2058,Brian Clark,1311,2002,2005,36,78,1311,16.8,11,36.4,WR,North Carolina State
2059,Cam Worthy,1311,2013,2014,22,74,1311,17.7,6,59.6,WR,East Carolina
2060,Dusty Sprague,1311,2004,2007,48,108,1311,12.1,5,27.3,WR,Colorado
2061,Jo'quavious Marks,1311,2020,2024,48,225,1311,5.8,5,27.3,RB,"Mississippi State,USC"
2062,Ken Fleming,1311,1968,1970,31,119,1311,11,10,42.3,WR,SMU
2063,Jay Miller,1310,1972,1976,44,114,1310,11.5,8,29.8,WR,BYU
2064,Kent Layman,1310,1997,1999,32,63,1310,20.8,7,40.9,WR,Missouri
2065,Larry Gilbert,1310,1965,1967,30,90,1310,14.6,7,43.7,WR,Texas Tech
2066,Arnie Adkison,1309,1985,1988,45,86,1309,15.2,9,29.1,TE,UTEP
2067,Curtis Brown,1309,2002,2006,52,157,1309,8.3,5,25.2,RB,BYU
2068,Demornay Pierson-El,1309,2014,2017,43,100,1309,13.1,11,30.4,WR,Nebraska
2069,Dick Slenker,1309,1977,1978,22,80,1309,16.4,10,59.5,WR,Colgate
2070,Donald Gray,1309,2015,2017,34,86,1309,15.2,10,38.5,WR,Mississippi State
2071,Jereme Jones,1308,2012,2014,38,121,1308,10.8,12,34.4,WR,South Alabama
2072,Joe Newton,1308,2003,2006,39,105,1308,12.5,15,33.5,TE,Oregon State
2073,Joey Hobert,1308,2020,2024,31,112,1308,11.7,11,42.2,WR,"Texas State,Washington State"
2074,Kierrie Johnson,1308,2008,2010,38,85,1308,15.4,12,34.4,WR,Houston
2075,Lee Overton,1308,1973,1976,45,90,1308,14.5,8,29.1,WR,Oregon State
2076,Kekoa Crawford,1307,2016,2021,45,96,1307,13.6,6,29,WR,"California,Michigan"
2077,Barry Gallup,1306,1966,1968,29,85,1306,15.4,8,45,WR,Boston College
2078,Bruce Boyko,1306,1986,1989,44,106,1306,12.3,8,29.7,WR,Western Michigan
2079,Jakarius Caston,1306,2021,2023,34,80,1306,16.3,12,38.4,WR,Southern Mississippi
2080,Broderick McGrew,1305,1996,1999,44,70,1305,18.6,11,29.7,WR,North Texas
2081,Ezell Brown,1305,1990,1992,33,95,1305,13.7,7,39.5,WR,New Mexico State
2082,Ben Erdeljac,1304,1997,2001,42,96,1304,13.6,2,31,WR,Duke
2083,Devin Gray,1304,2016,2017,24,86,1304,15.2,8,54.3,WR,Cincinnati
2084,Al Tanner,1303,1980,1982,32,90,1303,14.5,7,40.7,WR,New Mexico State
2085,Bosley Allen,1303,1998,2001,32,82,1303,15.9,8,40.7,WR,North Carolina
2086,Arceto Clark,1302,2008,2012,44,94,1302,13.9,8,29.6,WR,Mississippi State
2087,Brandon Young,1302,2002,2006,43,97,1302,13.4,11,30.3,WR,Connecticut
2088,Pascal Volz,1302,1996,1997,23,75,1302,17.4,13,56.6,WR,New Mexico
2089,Patrick Cooper,1302,1988,1990,33,85,1302,15.3,19,39.5,WR,Houston
2090,Gerald Baptiste,1301,2007,2009,39,101,1301,12.9,8,33.4,WR,Southern Mississippi
2091,Jafar Williams,1301,2000,2003,44,90,1301,14.5,7,29.6,WR,Maryland
2092,Reginald Davis,1301,2013,2016,48,97,1301,13.4,18,27.1,WR,Texas Tech
2093,Josh Jarboe,1300,2011,2012,26,104,1300,12.5,6,50,WR,Arkansas State
2094,Justyn Shackelford,1300,2011,2014,34,95,1300,13.7,5,38.2,,Tulane
2095,Kalief Muhammad,1300,1993,1996,44,98,1300,13.3,8,29.5,RB,Baylor
2096,Artie Graham,1299,1960,1962,30,70,1299,18.6,9,43.3,WR,Boston College
2097,Dan O'Rourke,1299,1972,1975,44,85,1299,15.3,7,29.5,RB,Colorado State
2098,LeMay Thomas,1299,1992,1995,42,92,1299,14.1,7,30.9,WR,Ole Miss
2099,Bob Long,1298,1966,1968,30,79,1298,16.4,19,43.3,RB,Texas A&M
2100,Braydon Johnson,1298,2018,2022,46,77,1298,16.9,8,28.2,WR,Oklahoma State
