,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
601,Deron Pointer,2025,1991,1993,33,107,2025,18.9,18,61.4,WR,Washington State
602,Brandon Robinson,2023,2005,2008,45,141,2023,14.3,10,45,WR,Boston College
603,Dwight Counter,2023,2000,2003,49,117,2023,17.3,14,41.3,WR,New Mexico
604,Bert Reed,2022,2008,2011,49,170,2022,11.9,10,41.3,WR,Florida State
605,Chris Francies,2022,2002,2005,46,128,2022,15.8,12,44,WR,UTEP
606,Emory Blake,2022,2009,2012,48,128,2022,15.8,16,42.1,WR,Auburn
607,Michael Bumpus,2022,2004,2007,42,195,2022,10.4,8,48.1,WR,Washington State
608,Eli Rogers,2020,2011,2014,52,176,2020,11.5,12,38.8,WR,Louisville
609,Greg Ellingson,2018,2007,2010,48,131,2018,15.4,14,42,WR,Florida International
610,Emanuel Hall,2016,2015,2018,43,97,2016,20.8,16,46.9,WR,Missouri
611,Jordan Norwood,2015,2005,2008,47,158,2015,12.8,13,42.9,WR,Penn State
612,Luke Grimm,2014,2020,2024,45,150,2014,13.4,20,44.8,WR,Kansas
613,Theo Wease,2013,2019,2024,54,139,2013,14.5,16,37.3,WR,"Missouri,Oklahoma"
614,Deondre Douglas,2012,2015,2018,49,177,2012,11.4,17,41.1,WR,Troy
615,J.R. Ambrose,2012,1984,1987,43,118,2012,17.1,13,46.8,WR,Ole Miss
616,Britain Covey,2011,2015,2021,47,184,2011,10.9,11,42.8,WR,Utah
617,Eric Peterman,2011,2005,2008,49,160,2011,12.6,12,41,WR,Northwestern
618,Tim Jones,2011,2017,2020,41,150,2011,13.4,9,49,WR,Southern Mississippi
619,Pete Rebstock,2009,1998,2001,40,131,2009,15.3,13,50.2,WR,Colorado State
620,Armon Binns,2008,2007,2010,41,138,2008,14.6,21,49,WR,Cincinnati
621,Dontay Demus,2008,2018,2022,47,128,2008,15.7,14,42.7,WR,Maryland
622,Wayne Walker,2007,1985,1988,44,101,2007,19.9,14,45.6,WR,Texas Tech
623,Marquise Walker,2004,1998,2001,44,161,2004,12.4,17,45.5,WR,Michigan
624,L.C. Stevens,2002,1995,1998,43,120,2002,16.7,13,46.6,WR,North Carolina
625,McLane Mannix,2002,2017,2021,50,139,2002,14.4,17,40,WR,"Nevada,Texas Tech"
626,Darren Flutie,2000,1984,1987,45,134,2000,14.9,14,44.4,WR,Boston College
627,Colin Lockett,1999,2010,2013,48,130,1999,15.4,16,41.6,WR,San Diego State
628,Jeremy Childs,1999,2006,2008,36,168,1999,11.9,17,55.5,WR,Boise State
629,JoJo Ward,1999,2018,2019,29,116,1999,17.2,20,68.9,WR,Hawaii
630,Travell Harris,1999,2018,2021,43,179,1999,11.2,17,46.5,WR,Washington State
631,Matt Cherry,1997,2001,2003,30,149,1997,13.4,10,66.6,WR,Akron
632,Richard Estell,1997,1983,1985,32,117,1997,17.1,8,62.4,WR,Kansas
633,Seyi Ajirotutu,1997,2006,2009,46,129,1997,15.5,12,43.4,WR,Fresno State
634,Todd Tyrrell,1994,1984,1987,43,116,1994,17.2,8,46.4,WR,Colorado State
635,Lester Jean,1992,2007,2010,50,146,1992,13.6,15,39.8,WR,Florida Atlantic
636,Corey Partridge,1990,2005,2008,40,182,1990,10.9,13,49.8,WR,Bowling Green
637,Simmie Cobbs,1990,2014,2017,38,139,1990,14.3,12,52.4,WR,Indiana
638,Bill Sampy,1988,2002,2005,45,155,1988,12.8,9,44.2,WR,Louisiana
639,Darius Durham,1988,1979,1982,46,127,1988,15.7,11,43.2,WR,San Diego State
640,Jared Karstetter,1988,2008,2011,49,166,1988,12,19,40.6,WR,Washington State
641,Chris Platt,1987,2015,2019,57,122,1987,16.3,12,34.9,WR,Baylor
642,Dan Sheldon,1986,2001,2004,33,94,1986,21.1,18,60.2,WR,Northern Illinois
643,Rocky Ross,1984,2005,2009,54,157,1984,12.6,8,36.7,WR,UCF
644,T.J. Vasher,1983,2016,2020,42,146,1983,13.6,21,47.2,WR,Texas Tech
645,Reno Mahe,1982,2001,2002,25,150,1982,13.2,11,79.3,WR,BYU
646,Jalen Wayne,1980,2017,2022,61,152,1980,13,14,32.5,WR,South Alabama
647,Jock Sanders,1980,2007,2010,52,206,1980,9.6,14,38.1,WR,West Virginia
648,Rodney Blackshear,1980,1987,1991,55,97,1980,20.4,14,36,WR,Texas Tech
649,Dan Plater,1979,1978,1981,47,124,1979,16,16,42.1,WR,BYU
650,Donta Greene,1979,1999,2002,46,186,1979,10.6,4,43,WR,Toledo
651,Drouzon Quillen,1979,2002,2005,32,121,1979,16.4,19,61.8,WR,Louisiana-Monroe
652,Clarence Sevillian,1978,1989,1992,44,99,1978,20,12,45,WR,Vanderbilt
653,Darvin Adams,1978,2008,2010,37,115,1978,17.2,17,53.5,WR,Auburn
654,Jaylin Noel,1978,2021,2024,40,180,1978,11,12,49.5,WR,Iowa State
655,Trent Shelton,1978,2003,2006,46,155,1978,12.8,14,43,WR,Baylor
656,John DeBoer,1975,1982,1985,38,93,1975,21.2,19,52,WR,Central Michigan
657,Juan Daniels,1975,1994,1996,33,120,1975,16.5,16,59.8,WR,Georgia
658,Jason Dulick,1974,1993,1996,44,166,1974,11.9,14,44.9,WR,Illinois
659,Justin Jenkins,1974,2000,2003,44,139,1974,14.2,17,44.9,WR,Mississippi State
660,Hermann Eben,1973,1968,1970,31,114,1973,17.3,15,63.6,WR,Oklahoma State
661,Jeremy Singleton,1970,2018,2022,55,150,1970,13.1,12,35.8,WR,"Georgia Southern,Houston"
662,Phillip Bobo,1970,1990,1992,32,141,1970,14,14,61.6,WR,Washington State
663,Chip Reeves,1968,2008,2012,45,121,1968,16.3,14,43.7,WR,Troy
664,Walter Jones,1968,1988,1991,40,119,1968,16.5,17,49.2,WR,Duke
665,Cody White,1967,2017,2019,35,143,1967,13.8,12,56.2,WR,Michigan State
666,Willie Culpepper,1967,1985,1988,43,104,1967,18.9,11,45.7,WR,Louisiana
667,Mark Templeton,1966,1983,1986,45,262,1966,7.5,11,43.7,RB,Long Beach State
668,Renard Bell,1966,2017,2022,51,175,1966,11.2,18,38.5,WR,Washington State
669,Dee Miller,1965,1995,1998,46,123,1965,16,8,42.7,WR,Ohio State
670,Eric Morris,1965,2005,2008,48,184,1965,10.7,19,40.9,RB,Texas Tech
671,Tom Waddle,1965,1985,1988,45,139,1965,14.1,6,43.7,WR,Boston College
672,Darren Andrews,1964,2013,2017,38,161,1964,12.2,15,51.7,WR,UCLA
673,Korey Beard,1964,1989,1992,42,165,1964,11.9,11,46.8,WR,SMU
674,Dedrick Dewalt,1959,1998,2001,41,126,1959,15.5,19,47.8,WR,Boston College
675,Gunner Romney,1959,2018,2022,44,122,1959,16.1,9,44.5,WR,BYU
676,Dave Petzke,1958,1977,1978,22,148,1958,13.2,16,89,WR,Northern Illinois
677,Jarwarski Pollock,1958,2002,2005,45,177,1958,11.1,9,43.5,WR,North Carolina
678,Allan Boyko,1957,1987,1990,44,129,1957,15.2,19,44.5,WR,Western Michigan
679,Don Fair,1957,1969,1971,32,154,1957,12.7,12,61.2,WR,Toledo
680,Kofi Hughes,1956,2010,2013,44,132,1956,14.8,13,44.5,WR,Indiana
681,Tim Stratton,1956,1998,2001,45,188,1956,10.4,15,43.5,TE,Purdue
682,Fuzzy Filliez,1954,1973,1976,44,168,1954,11.6,14,44.4,WR,Marshall
683,Andy Boyce,1953,1989,1990,24,118,1953,16.6,15,81.4,WR,BYU
684,Shane Williams-Rhodes,1953,2012,2015,49,233,1953,8.4,14,39.9,WR,Boise State
685,Deon Mitchell,1951,1995,1998,44,143,1951,13.6,6,44.3,WR,Northern Illinois
686,John Van Der Wouden,1951,1975,1977,33,114,1951,17.1,18,59.1,WR,BYU
687,Teldrick Morgan,1951,2014,2016,33,163,1951,12,15,59.1,WR,"Maryland,New Mexico State"
688,De'Runnya Wilson,1949,2013,2015,35,133,1949,14.7,22,55.7,WR,Mississippi State
689,Hasaan Henderson,1947,2013,2016,41,156,1947,12.5,11,47.5,WR,Nevada
690,Paul Turner,1947,1993,1997,41,118,1947,16.5,18,47.5,WR,Colorado State
691,Freddy Weygand,1946,1984,1988,45,99,1946,19.7,9,43.2,WR,Auburn
692,Nate Phillips,1946,2013,2016,46,153,1946,12.7,15,42.3,WR,Arizona
693,Elijhah Badger,1945,2020,2024,39,156,1945,12.5,11,49.9,WR,"Arizona State,Florida"
694,Jim McElroy,1945,1994,1997,44,96,1945,20.3,13,44.2,WR,UCLA
695,Robert Griffin,1945,1980,1983,32,126,1945,15.4,11,60.8,WR,Tulane
696,Anthony Russo,1944,2004,2007,46,122,1944,15.9,9,42.3,WR,Washington
697,Xzavier Henderson,1943,2020,2024,50,156,1943,12.5,11,38.9,WR,"Cincinnati,Florida"
698,Shocky Jacques-Louis,1941,2018,2022,58,157,1941,12.4,5,33.5,WR,"Akron,Pitt"
699,Walt Walker,1940,1971,1973,31,130,1940,14.9,10,62.6,WR,Davidson
700,Kory Bailey,1939,1998,2001,45,139,1939,13.9,14,43.1,WR,North Carolina
701,Rick Isaiah,1939,1987,1990,43,126,1939,15.4,11,45.1,WR,Toledo
702,Bralon Addison,1937,2012,2015,39,146,1937,13.3,20,49.7,WR,Oregon
703,Jeremy Johnson,1936,2010,2013,40,196,1936,9.9,10,48.4,WR,SMU
