,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
4001,Cee Jay Powell,897,2017,2020,48,102,897,8.8,1,18.7,WR,Louisiana Tech
4002,Henry Pearson,897,2018,2022,58,74,897,12.1,11,15.5,TE,Appalachian State
4003,Jim Stewart,897,1960,1962,30,47,897,19.1,4,29.9,RB,Navy
4004,Mike Willie,897,2010,2011,24,72,897,12.5,9,37.4,WR,Arizona State
4005,Miquelle Henderson,897,2001,2004,35,80,897,11.2,6,25.6,WR,West Virginia
4006,Scott Orndoff,897,2013,2016,42,58,897,15.5,13,21.4,TE,Pitt
4007,Scott Regimbald,897,1996,1999,44,77,897,11.6,5,20.4,TE,Houston
4008,Sean Price,897,2012,2015,45,75,897,12,6,19.9,TE,South Florida
4009,Chad Fortune,896,1987,1989,33,81,896,11.1,5,27.2,TE,Louisville
4010,Corey Robinson,896,2013,2015,31,65,896,13.8,7,28.9,WR,Notre Dame
4011,Drake Dabney,896,2020,2024,44,70,896,12.8,8,20.4,TE,"Baylor,Texas Christian"
4012,Ernest Calhoun,896,2013,2016,46,80,896,11.2,8,19.5,WR,Kent State
4013,John Burt,896,2015,2019,51,63,896,14.2,5,17.6,WR,Texas
4014,Justin Akers,896,2006,2009,47,89,896,10.1,7,19.1,TE,Baylor
4015,Lucky Whitehead,896,2013,2014,19,85,896,10.5,8,47.2,WR,Florida Atlantic
4016,Robert Baker,896,1995,1996,22,62,896,14.5,8,40.7,WR,Auburn
4017,Todd Varn,896,1986,1989,42,83,896,10.8,6,21.3,RB,North Carolina State
4018,Tony Blanchard,896,1968,1970,31,61,896,14.7,9,28.9,WR,North Carolina
4019,Zion Bowens,896,2020,2022,29,52,896,17.2,7,30.9,WR,Hawaii
4020,Chris Gamble,895,1992,1994,33,63,895,14.2,6,27.1,WR,Northwestern
4021,James Price,895,2015,2018,46,64,895,14,3,19.5,WR,Wyoming
4022,John Ma'ae,895,1990,1992,32,60,895,14.9,4,28,WR,Nevada-Las Vegas
4023,Lawrence Keys III,895,2022,2023,23,63,895,14.2,9,38.9,WR,Tulane
4024,Malcolm McKenzie,895,1994,1997,44,82,895,10.9,2,20.3,WR,Texas Tech
