,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1401,Stanley Morgan,1075,NWE,1,25,1977,Tennessee,1973,1976,45,48,1075,22.4,8,23.9,WR,Tennessee
1402,Curt Pardridge,1074,SDG,6,155,1986,Northern Illinois,1982,1985,43,64,1074,16.8,7,25,WR,Northern Illinois
1403,Vernon Studdard,1074,NYJ,11,266,1971,Ole Miss,1968,1970,30,71,1074,15.1,7,35.8,WR,Ole Miss
1404,Brett Perriman,1073,NOR,2,52,1988,Miami (FL),1984,1987,45,62,1073,17.3,6,23.8,PR,Miami (FL)
1405,Legedu Naanee,1073,SDG,5,172,2007,Boise State,2003,2006,49,74,1073,14.5,12,21.9,QB,Boise State
1406,Jim Corbett,1072,CIN,7,194,1977,Pitt,1973,1976,44,73,1072,14.7,5,24.4,TE,Pitt
1407,Triandos Luke,1072,DEN,6,171,2004,Alabama,2000,2003,44,90,1072,11.9,9,24.4,WR,Alabama
1408,Lawrence Sampleton,1071,PHI,2,47,1982,Texas,1978,1981,36,57,1071,18.8,7,29.8,TE,Texas
1409,Josh Oliver,1067,JAX,3,69,2019,San Jose State,2015,2018,48,98,1067,10.9,7,22.2,TE,San Jose State
1410,P.K. Sam,1066,NWE,5,164,2004,Florida State,2001,2003,35,76,1066,14,7,30.5,WR,Florida State
1411,Steve Craig,1065,MIN,3,64,1974,Northwestern,1970,1973,43,75,1065,14.2,11,24.8,TE,Northwestern
1412,Laveranues Coles,1064,NYJ,3,78,2000,Florida State,1996,1999,35,62,1064,17.2,7,30.4,RB,Florida State
1413,Robert Holt,1064,BUF,6,161,1981,Baylor,1977,1980,44,59,1064,18,3,24.2,WR,Baylor
1414,Josh Whyle,1062,OTI,5,147,2023,Cincinnati,2018,2022,53,88,1062,12.1,15,20,,Cincinnati
1415,Dave Logan,1060,CLE,3,65,1976,Colorado,1973,1975,33,67,1060,15.8,4,32.1,WR,Colorado
1416,David Njoku,1060,CLE,1,29,2017,Miami (FL),2015,2016,26,64,1060,16.6,9,40.8,WR,Miami (FL)
1417,Deandre Smelter,1060,SFO,4,132,2015,Georgia Tech,2013,2014,24,56,1060,18.9,11,44.2,WR,Georgia Tech
1418,Alfred Jackson,1058,RAM,5,135,1989,San Diego State,1985,1988,46,69,1058,15.3,12,23,WR,San Diego State
1419,Cade Stover,1058,HTX,4,123,2024,Ohio State,2019,2023,47,82,1058,12.9,10,22.5,LB,Ohio State
1420,Christian Fauria,1058,SEA,2,39,1995,Colorado,1991,1994,44,98,1058,10.8,11,24,TE,Colorado
1421,Jimmy Cefalo,1058,MIA,3,81,1978,Penn State,1974,1977,41,56,1058,18.9,7,25.8,WR,Penn State
1422,Steve Johnson,1058,NWE,6,154,1988,Virginia Tech,1984,1987,44,84,1058,12.6,8,24,TE,Virginia Tech
1423,George Swarn,1057,CRD,5,118,1987,Miami (OH),1983,1986,44,117,1057,9,7,24,RB,Miami (OH)
1424,Harper LeBel,1057,KAN,12,321,1985,Colorado State,1981,1984,40,89,1057,11.9,0,26.4,TE,Colorado State
1425,Jacquizz Rodgers,1056,ATL,5,145,2011,Oregon State,2008,2010,36,151,1056,7,5,29.3,RB,Oregon State
1426,Tony Hargain,1056,SFO,8,221,1991,Oregon,1987,1990,36,68,1056,15.5,7,29.3,RB,Oregon
1427,Tony Jeter,1056,RAI,10,89,1966,Nebraska,1963,1965,60,76,1056,13.9,2,17.6,WR,Nebraska
1428,Tim Sherwin,1055,CLT,4,94,1981,Boston College,1977,1980,44,78,1055,13.5,3,24,TE,Boston College
1429,Tommy Mason,1054,NWE,1,3,1961,Tulane,1958,1960,60,80,1054,13.2,14,17.6,RB,Tulane
1430,Tyler Higbee,1054,RAM,4,110,2016,Western Kentucky,2011,2015,36,68,1054,15.5,14,29.3,WR,Western Kentucky
1431,Jerald Sowell,1053,GNB,7,231,1997,Tulane,1993,1996,43,101,1053,10.4,4,24.5,RB,Tulane
1432,Paul Warfield,1050,BUF,4,28,1964,Ohio State,1961,1963,54,78,1050,13.5,12,19.4,RB,Ohio State
1433,Kaden Smith,1049,SFO,6,176,2019,Stanford,2017,2018,24,70,1049,15,7,43.7,TE,Stanford
1434,Christopher Herndon IV,1048,NYJ,4,107,2018,Miami (FL),2014,2017,44,86,1048,12.2,7,23.8,,Miami (FL)
1435,Paul Williams,1048,OTI,3,80,2007,Fresno State,2003,2006,38,72,1048,14.6,8,27.6,WR,Fresno State
1436,Willie Reid,1046,PIT,3,95,2006,Florida State,2002,2005,45,91,1046,11.5,3,23.2,RB,Florida State
1437,Junior Miller,1045,ATL,1,7,1980,Nebraska,1977,1979,33,55,1045,19,12,31.7,TE,Nebraska
1438,Bennie Cunningham,1044,PIT,1,28,1976,Clemson,1973,1975,33,64,1044,16.3,10,31.6,TE,Clemson
1439,Billy Cannon,1044,OTI,,,1960,LSU,1957,1959,60,62,1044,16.8,4,17.4,RB,LSU
1440,Leonard Pope,1044,CRD,3,72,2006,Georgia,2003,2005,36,65,1044,16.1,10,29,TE,Georgia
1441,Vince Kinney,1044,DEN,10,277,1978,Maryland,1975,1977,33,66,1044,15.8,5,31.6,TE,Maryland
1442,Shannon Baker,1043,ATL,8,205,1993,Florida State,1989,1992,45,73,1043,14.3,11,23.2,WR,Florida State
1443,Bobby Duckworth,1042,SDG,6,162,1981,Arkansas,1977,1980,44,46,1042,22.7,9,23.7,WR,Arkansas
1444,Chris Dressel,1041,OTI,3,69,1983,Stanford,1980,1982,33,85,1041,12.2,2,31.5,TE,Stanford
1445,David Paulson,1041,PIT,7,240,2012,Oregon,2009,2011,40,67,1041,15.5,10,26,TE,Oregon
1446,Donnel Pumphrey,1041,PHI,4,132,2017,San Diego State,2013,2016,54,100,1041,10.4,5,19.3,RB,San Diego State
1447,Stanley Pritchett,1041,MIA,4,118,1996,South Carolina,1992,1995,44,111,1041,9.4,6,23.7,KR,South Carolina
1448,Bubba Franks,1038,GNB,1,14,2000,Miami (FL),1997,1999,34,77,1038,13.5,12,30.5,TE,Miami (FL)
1449,Herb Adderley,1038,NYJ,2,10,1961,Michigan State,1958,1960,54,56,1038,18.5,8,19.2,RB,Michigan State
1450,Scott Greene,1036,CAR,6,193,1996,Michigan State,1992,1995,42,106,1036,9.8,7,24.7,RB,Michigan State
1451,Emilio Vallez,1032,CHI,12,316,1968,New Mexico,1965,1967,30,78,1032,13.2,6,34.4,WR,New Mexico
1452,Kyle Rudolph,1032,MIN,2,43,2011,Notre Dame,2008,2010,29,90,1032,11.5,8,35.6,TE,Notre Dame
1453,Teyo Johnson,1032,RAI,2,63,2003,Stanford,2001,2002,22,79,1032,13.1,15,46.9,QB,Stanford
1454,Bob Chandler,1027,BUF,7,160,1971,USC,1968,1970,31,76,1027,13.5,7,33.1,WR,USC
1455,Fred Dugan,1027,SFO,7,80,1957,Dayton,1956,1957,20,63,1027,16.3,7,51.4,WR,Dayton
1456,Cade Otton,1026,TAM,4,106,2022,Washington,2018,2021,39,91,1026,11.3,9,26.3,TE,Washington
1457,Riley Ridley,1026,CHI,4,126,2019,Georgia,2016,2018,39,70,1026,14.7,13,26.3,WR,Georgia
1458,Dave Moore,1023,MIA,7,191,1992,Pitt,1988,1991,38,89,1023,11.5,5,26.9,RB,Pitt
1459,Henry Marshall,1023,KAN,3,79,1976,Missouri,1973,1975,33,50,1023,20.5,10,31,WR,Missouri
1460,Preston Brown,1023,NWE,6,160,1980,Vanderbilt,1976,1979,44,80,1023,12.8,6,23.3,RB,Vanderbilt
1461,Terry Kirby,1022,MIA,3,78,1993,Virginia,1989,1992,39,105,1022,9.7,8,26.2,RB,Virginia
1462,Jason McAddley,1020,CRD,5,149,2002,Alabama,1998,2001,44,71,1020,14.4,8,23.2,WR,Alabama
