,,,,,,,,,,,Receiving,,,,,,
1463,Darryl Usher,1018,NWE,7,181,1988,Illinois,1983,1987,44,62,1018,16.4,4,23.1,DB,Illinois
1464,Mychal Rivera,1018,RAI,6,184,2013,Tennessee,2010,2012,37,76,1018,13.4,6,27.5,TE,Tennessee
1465,Tommy Maxwell,1018,CLT,2,51,1969,Texas A&M,1966,1968,30,65,1018,15.7,7,33.9,WR,Texas A&M
1466,Anthony Jones,1017,WAS,11,306,1984,Wichita State,1981,1983,31,61,1017,16.7,6,32.8,TE,Wichita State
1467,Mickey Shuler,1016,NYJ,3,61,1978,Penn State,1975,1977,33,66,1016,15.4,4,30.8,TE,Penn State
1468,Jahine Arnold,1014,PIT,4,132,1996,Fresno State,1994,1995,22,57,1014,17.8,4,46.1,WR,Fresno State
1469,Pat Coleman,1014,OTI,9,237,1990,Ole Miss,1988,1989,22,49,1014,20.7,11,46.1,WR,Ole Miss
1470,Vance Johnson,1014,DEN,2,31,1985,Arizona,1981,1984,43,104,1014,9.8,11,23.6,RB,Arizona
1471,Jared Wiley,1013,KAN,4,131,2024,Texas Christian,2019,2023,59,90,1013,11.3,15,17.2,TE,"Texas,Texas Christian"
1472,Ron Gardin,1013,CLT,6,148,1970,Arizona,1968,1969,20,73,1013,13.9,4,50.7,WR,Arizona
1473,Mark Bruener,1012,PIT,1,27,1995,Washington,1991,1994,44,90,1012,11.2,4,23,TE,Washington
1474,Derek Fine,1009,BUF,4,132,2008,Kansas,2004,2007,48,98,1009,10.3,10,21,TE,Kansas
1475,Derek Schouman,1009,BUF,7,222,2007,Boise State,2003,2006,45,78,1009,12.9,11,22.4,TE,Boise State
1476,Ken Dilger,1008,CLT,2,48,1995,Illinois,1991,1994,39,81,1008,12.4,8,25.8,TE,Illinois
1477,Don Ellersick,1006,NYJ,,,1960,Washington State,1957,1959,60,92,1006,10.9,14,16.8,RB,Washington State
1478,Jesse James,1005,PIT,5,160,2015,Penn State,2012,2014,33,78,1005,12.9,11,30.5,TE,Penn State
1479,Curtis Conway,1004,CHI,1,7,1993,USC,1990,1992,34,71,1004,14.1,6,29.5,QB,USC
1480,Chris Gragg,1003,BUF,7,222,2013,Arkansas,2008,2012,43,72,1003,13.9,7,23.3,WR,Arkansas
1481,Dante Rosario,1003,CAR,5,155,2007,Oregon,2003,2006,49,94,1003,10.7,11,20.5,RB,Oregon
1482,Danny Greene,1002,SEA,3,81,1985,Washington,1981,1984,33,67,1002,15,8,30.4,WR,Washington
1483,Jessie Green,999,GNB,10,274,1976,Tulsa,1974,1975,22,63,999,15.9,1,45.4,WR,Tulsa
1484,Brayden Willis,998,SFO,7,247,2023,Oklahoma,2018,2022,58,75,998,13.3,13,17.2,TE,Oklahoma
1485,Charles Young,998,PHI,1,6,1973,USC,1970,1972,33,62,998,16.1,10,30.2,TE,USC
1486,Bo Scaife,997,OTI,6,179,2005,Texas,1999,2004,44,75,997,13.3,5,22.7,TE,Texas
1487,Marcus Easley,997,BUF,4,107,2010,Connecticut,2007,2009,34,53,997,18.8,8,29.3,WR,Connecticut
1488,Freddie Swain,996,SEA,6,214,2020,Florida,2016,2019,47,68,996,14.6,15,21.2,WR,Florida
1489,Lorenzo Booker,995,MIA,3,71,2007,Florida State,2003,2006,48,114,995,8.7,2,20.7,RB,Florida State
1490,Garry James,994,DET,2,29,1986,LSU,1982,1985,42,122,994,8.1,3,23.7,RB,LSU
1491,Curtis Marsh,990,JAX,7,219,1995,Utah,1993,1994,18,69,990,14.3,12,55,WR,Utah
1492,Jacob Harris,987,RAM,4,141,2021,UCF,2018,2020,36,49,987,20.1,9,27.4,WR,UCF
1493,Sonny Randle,987,CRD,19,218,1958,Virginia,1956,1958,30,68,987,14.5,5,32.9,RB,Virginia
1494,Adam Jennings,986,ATL,6,184,2006,Fresno State,2002,2005,52,89,986,11.1,9,19,DB,Fresno State
1495,Luke Willson,986,SEA,5,158,2013,Rice,2009,2012,45,78,986,12.6,9,21.9,TE,Rice
1496,Maxx Williams,986,RAV,2,55,2015,Minnesota,2013,2014,25,61,986,16.2,13,39.4,TE,Minnesota
1497,Paco Craig,986,DET,10,254,1988,UCLA,1984,1987,44,59,986,16.7,9,22.4,WR,UCLA
1498,Matt Forte,985,CHI,2,44,2008,Tulane,2004,2007,43,103,985,9.6,5,22.9,RB,Tulane
1499,Milton Wynn,984,RAM,4,116,2001,Washington State,1999,2000,12,55,984,17.9,5,82,WR,Washington State
1500,Tanner McLachlan,984,CIN,6,194,2024,Arizona,2022,2023,25,79,984,12.5,6,39.4,TE,Arizona
1501,Pete Holohan,983,SDG,7,189,1981,Notre Dame,1978,1980,32,63,983,15.6,2,30.7,WR,Notre Dame
1502,Stan Brown,983,CLE,5,118,1971,Purdue,1968,1970,30,53,983,18.5,5,32.8,RB,Purdue
1503,Gene Washington,981,SDG,9,234,1977,Georgia,1973,1976,44,39,981,25.2,8,22.3,WR,Georgia
1504,Herkie Walls,981,OTI,7,170,1983,Texas,1979,1982,42,38,981,25.8,12,23.4,RB,Texas
1505,T.J. Houshmandzadeh,981,CIN,7,204,2001,Oregon State,1999,2000,21,64,981,15.3,8,46.7,WR,Oregon State
1506,Kennard Backman,979,GNB,6,213,2015,UAB,2011,2014,47,96,979,10.2,9,20.8,TE,UAB
1507,Kerry Cash,979,CLT,5,125,1991,Texas,1987,1990,37,71,979,13.8,10,26.5,TE,Texas
1508,Champ Bailey,978,WAS,1,7,1999,Georgia,1996,1998,33,59,978,16.6,5,29.6,DB,Georgia
1509,Alonzo Highsmith,977,OTI,1,3,1987,Miami (FL),1983,1986,45,92,977,10.6,7,21.7,RB,Miami (FL)
1510,Jerell Adams,977,NYG,6,184,2016,South Carolina,2012,2015,41,66,977,14.8,7,23.8,TE,South Carolina
1511,Larry Parker,976,KAN,4,108,1999,USC,1994,1998,46,72,976,13.6,1,21.2,WR,USC
1512,Ron Cassidy,976,GNB,8,193,1979,Utah State,1977,1978,22,55,976,17.7,3,44.4,WR,Utah State
1513,Clinton Sampson,973,DEN,3,60,1983,San Diego State,1981,1982,23,52,973,18.7,8,42.3,WR,San Diego State
1514,Larry Burton,973,NOR,1,7,1975,Purdue,1973,1974,22,53,973,18.4,7,44.2,WR,Purdue
1515,Marshall Faulk,973,CLT,1,2,1994,San Diego State,1991,1993,35,82,973,11.9,5,27.8,RB,San Diego State
1516,Kenneth Dixon,972,RAV,4,134,2016,Louisiana Tech,2012,2015,47,88,972,11,15,20.7,RB,Louisiana Tech
1517,Charles Wilson,971,GNB,5,132,1990,Memphis,1986,1988,33,56,971,17.3,5,29.4,WR,Memphis
1518,Darren Waller,971,RAV,6,204,2015,Georgia Tech,2012,2014,35,51,971,19,9,27.7,WR,Georgia Tech
1519,Ronnie Smith,971,RAM,2,53,1978,San Diego State,1976,1977,22,71,971,13.7,15,44.1,WR,San Diego State
1520,Greg Little,969,CLE,2,59,2011,North Carolina,2007,2009,37,86,969,11.3,6,26.2,WR,North Carolina
1521,Muhsin Muhammad,969,CAR,2,43,1996,Michigan State,1992,1995,35,60,969,16.2,4,27.7,WR,Michigan State
1522,Amp Lee,968,SFO,2,45,1992,Florida State,1989,1991,34,70,968,13.8,8,28.5,RB,Florida State
1523,Dan Doornink,968,NYG,7,174,1978,Washington State,1974,1977,44,105,968,9.2,4,22,RB,Washington State
1524,Dominique Byrd,968,RAM,3,93,2006,USC,2002,2005,39,81,968,12,4,24.8,DL,USC
1525,Tommy Streeter,967,RAV,6,198,2012,Miami (FL),2009,2011,30,52,967,18.6,9,32.2,WR,Miami (FL)
1526,Bruce Jankowski,965,KAN,10,250,1971,Ohio State,1968,1970,27,65,965,14.8,9,35.7,TE,Ohio State
1527,Jack Novak,965,CIN,12,301,1975,Wisconsin,1972,1974,33,49,965,19.7,6,29.2,WR,Wisconsin
1528,Kermit Alexander,964,DEN,1,5,1963,UCLA,1960,1962,60,58,964,16.6,4,16.1,RB,UCLA
1529,Mike Roan,963,OTI,4,101,1995,Wisconsin,1991,1994,44,91,963,10.6,9,21.9,TE,Wisconsin
1530,Darryl Ingram,962,MIN,4,108,1989,California,1985,1988,44,72,962,13.4,9,21.9,TE,California
1531,John Mackey,962,NYJ,5,35,1963,Syracuse,1960,1962,58,54,962,17.8,12,16.6,RB,Syracuse
1532,Ed Carrington,960,OTI,7,164,1967,Virginia,1964,1966,30,70,960,13.7,12,32,WR,Virginia
1533,Roger Kochman,960,BUF,15,116,1962,Penn State,1959,1962,60,44,960,21.8,14,16,RB,Penn State
1534,Carlester Crumpler,959,SEA,7,202,1994,East Carolina,1990,1993,44,81,959,11.8,5,21.8,TE,East Carolina
1535,Jelani Woods,959,CLT,3,73,2022,Virginia,2018,2021,45,75,959,12.8,12,21.3,WR,"Oklahoma State,Virginia"
1536,Ben Troupe,958,OTI,2,40,2004,Florida,2000,2003,39,64,958,15,7,24.6,TE,Florida
1537,Curt Merz,958,NYJ,,,1960,Iowa,1957,1959,54,68,958,14.1,4,17.7,WR,Iowa
1538,Demetric Felton,958,CLE,6,211,2021,UCLA,2017,2020,41,99,958,9.7,8,23.4,WR,UCLA
1539,Eric Bjornson,958,DAL,4,110,1995,Washington,1991,1994,43,64,958,15,9,22.3,QB,Washington
1540,Auden Tate,957,CIN,7,253,2018,Florida State,2015,2017,30,65,957,14.7,16,31.9,WR,Florida State
1541,Marcus Thomas,957,SDG,5,166,2008,UTEP,2004,2007,43,94,957,10.2,6,22.3,RB,UTEP
1542,Keith Jennings,956,DAL,5,113,1989,Clemson,1985,1988,43,67,956,14.3,1,22.2,WR,Clemson
1543,Luke Stocker,956,TAM,4,104,2011,Tennessee,2007,2010,52,85,956,11.2,8,18.4,TE,Tennessee
1544,Mike Seidman,956,CAR,3,76,2003,UCLA,1999,2002,45,59,956,16.2,7,21.2,TE,UCLA
1545,Rory Anderson,954,SFO,7,254,2015,South Carolina,2011,2014,45,61,954,15.6,9,21.2,TE,South Carolina
1546,Jerramy Stevens,953,SEA,1,28,2002,Washington,1999,2001,27,74,953,12.9,8,35.3,TE,Washington
1547,Jerris McPhail,953,MIA,5,134,1996,East Carolina,1993,1995,31,83,953,11.5,7,30.7,WR,East Carolina
1548,Stacey Simmons,953,CLT,4,83,1990,Florida,1986,1989,37,54,953,17.6,7,25.8,WR,Florida
1549,Tony Moeaki,953,KAN,3,93,2010,Iowa,2005,2009,48,76,953,12.5,11,19.9,TE,Iowa
1550,Gregg Garrity,952,PIT,5,140,1983,Penn State,1980,1982,33,58,952,16.4,4,28.8,WR,Penn State
1551,Davis Allen,951,RAM,5,175,2023,Clemson,2019,2022,54,88,951,10.8,12,17.6,TE,Clemson
1552,J.R. Wilburn,951,PIT,13,171,1965,South Carolina,1963,1965,30,70,951,13.6,4,31.7,WR,South Carolina
1553,Mecole Hardman,950,KAN,2,56,2019,Georgia,2016,2018,40,59,950,16.1,11,23.8,FB,Georgia
1554,Sean Ryan,950,DAL,5,144,2004,Boston College,2001,2003,37,75,950,12.7,12,25.7,TE,Boston College
1555,John Tice,949,NOR,3,65,1983,Maryland,1979,1982,44,83,949,11.4,7,21.6,TE,Maryland
1556,Noah Gray,948,KAN,5,162,2021,Duke,2017,2020,48,105,948,9,8,19.8,TE,Duke
1557,Bob Gladieux,947,NWE,8,188,1969,Notre Dame,1966,1968,28,72,947,13.2,6,33.8,RB,Notre Dame
1558,Eddie Foster,947,OTI,8,205,1977,Houston,1973,1976,43,54,947,17.5,7,22,WR,Houston
1559,Jermichael Finley,947,GNB,3,91,2008,Texas,2006,2007,26,76,947,12.5,5,36.4,TE,Texas
1560,Richard Ellender,947,OTI,9,243,1979,McNeese State,1975,1978,43,55,947,17.2,7,22,WR,McNeese State
1561,Benjamin Watson,945,NWE,1,32,2004,Georgia,1999,2003,48,73,945,12.9,7,19.7,TE,"Duke,Georgia"
1562,Jordan Reed,945,WAS,3,85,2013,Florida,2010,2012,36,79,945,12,6,26.3,TE,Florida
1563,Ray Roundtree,945,DET,3,58,1988,Penn State,1984,1987,44,46,945,20.5,9,21.5,WR,Penn State
1564,Eddie McGill,944,CRD,10,259,1982,Western Carolina,1978,1981,44,76,944,12.4,6,21.5,WR,Western Carolina
1565,Sherman Lewis,944,NYJ,9,67,1964,Michigan State,1961,1963,54,44,944,21.5,14,17.5,RB,Michigan State
1566,Kyle Brady,940,NYJ,1,9,1995,Penn State,1991,1994,45,76,940,12.4,9,20.9,TE,Penn State
1567,Solomon Miller,939,NYG,6,157,1986,Utah State,1982,1985,44,65,939,14.4,3,21.3,WR,Utah State
1568,Virgil Green,939,DEN,7,204,2011,Nevada,2008,2010,40,72,939,13,11,23.5,TE,Nevada
1569,Theo Johnson,938,NYG,4,107,2024,Penn State,2020,2023,44,77,938,12.2,12,21.3,TE,Penn State
1570,Austin Hooper,937,ATL,3,81,2016,Stanford,2014,2015,27,74,937,12.7,8,34.7,TE,Stanford
1571,Gene Taylor,937,NWE,6,163,1987,Fresno State,1985,1986,22,56,937,16.7,7,42.6,WR,Fresno State
1572,Justin Griffith,937,ATL,4,121,2003,Mississippi State,1998,2002,38,85,937,11,4,24.7,RB,Mississippi State
1573,Paul Hubbard,936,CLE,6,191,2008,Wisconsin,2005,2007,26,53,936,17.7,5,36,WR,Wisconsin
1574,Dalvin Cook,935,MIN,2,41,2017,Florida State,2014,2016,38,79,935,11.8,2,24.6,RB,Florida State
1575,John Chesley,934,MIA,10,277,1984,Oklahoma State,1980,1983,44,76,934,12.3,8,21.2,TE,Oklahoma State
1576,Matt Dayes,933,CLE,7,252,2017,North Carolina State,2013,2016,45,98,933,9.5,6,20.7,RB,North Carolina State
1577,Nyheim Hines,933,CLT,4,104,2018,North Carolina State,2015,2017,38,89,933,10.5,1,24.6,WR,North Carolina State
1578,Tim Wrightman,933,CHI,3,62,1982,UCLA,1978,1981,44,72,933,13,9,21.2,TE,UCLA
1579,Greg Baty,932,NWE,8,220,1986,Stanford,1983,1985,33,85,932,11,4,28.2,TE,Stanford
1580,Freeman Johns,930,RAM,10,288,1976,SMU,1973,1975,33,44,930,21.1,9,28.2,WR,SMU
1581,Craig White,928,BUF,11,299,1984,Missouri,1980,1983,44,56,928,16.6,1,21.1,WR,Missouri
1582,Kevin Turner,928,NWE,3,71,1992,Alabama,1988,1991,43,95,928,9.8,5,21.6,RB,Alabama
1583,Roger Wallace,928,CRD,12,293,1974,Bowling Green,1971,1973,30,63,928,14.7,6,30.9,WR,Bowling Green
1584,Brandon Tate,927,NWE,3,83,2009,North Carolina,2005,2008,41,46,927,20.2,8,22.6,WR,North Carolina
1585,Doug Moreau,927,MIA,19,164,1966,LSU,1963,1965,30,68,927,13.6,8,30.9,WR,LSU
1586,Gerald Willhite,927,DEN,1,21,1982,San Jose State,1980,1981,22,107,927,8.7,8,42.1,RB,San Jose State
1587,Ricky Williams,927,NOR,1,5,1999,Texas,1995,1998,46,85,927,10.9,3,20.2,RB,Texas
1588,Pat Tilley,926,CRD,4,114,1976,Louisiana Tech,1975,1975,10,53,926,17.5,6,92.6,WR,Louisiana Tech
1589,Holden Smith,925,CLT,11,288,1981,California,1976,1980,33,41,925,22.6,6,28,WR,California
1590,Robert Fisher,925,CHI,12,323,1980,SMU,1976,1979,44,57,925,16.2,7,21,TE,SMU
1591,Jerry Stovall,924,NYJ,1,3,1963,LSU,1960,1962,60,60,924,15.4,2,15.4,RB,LSU
1592,Cas Banaszek,922,SFO,1,11,1967,Northwestern,1964,1966,29,88,922,10.5,2,31.8,WR,Northwestern
1593,David Dunn,921,CIN,5,139,1995,Fresno State,1993,1994,24,65,921,14.2,5,38.4,WR,Fresno State
1594,Jeremy Sprinkle,921,WAS,5,154,2017,Arkansas,2013,2016,43,71,921,13,11,21.4,TE,Arkansas
1595,Keith Cash,921,WAS,7,188,1991,Texas,1987,1990,34,56,921,16.4,13,27.1,TE,Texas
1596,Damion Ratley,920,CLE,6,175,2018,Texas A&M,2015,2017,36,47,920,19.6,8,25.6,WR,Texas A&M
1597,Ed Kovac,920,NYJ,,,1960,Cincinnati,1957,1959,60,76,920,12.1,10,15.3,RB,Cincinnati
1598,Doug Kingsriter,919,MIN,6,139,1973,Minnesota,1970,1972,32,70,919,13.1,4,28.7,TE,Minnesota
1599,Joseph Randle,917,DAL,5,151,2013,Oklahoma State,2010,2012,39,108,917,8.5,3,23.5,RB,Oklahoma State
1600,Steve Folsom,916,MIA,10,261,1981,Utah,1976,1980,40,62,916,14.8,8,22.9,TE,"Long Beach State,Utah"
