,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
2401,Quin Jernighan,1219,2016,2019,45,113,1219,10.8,7,27.1,WR,Western Kentucky
2402,Thomas Roberson,1219,2010,2013,34,86,1219,14.2,10,35.9,WR,Tulsa
2403,Ben Horton,1218,1997,2000,44,91,1218,13.4,4,27.7,WR,BYU
2404,Quay Johnson,1218,2014,2017,44,130,1218,9.4,7,27.7,WR,East Carolina
2405,Tramissian Davis,1218,2002,2004,32,61,1218,20,6,38.1,WR,Louisiana Tech
2406,Andre Callender,1217,2004,2007,48,138,1217,8.8,4,25.4,RB,Boston College
2407,Chuck Scales,1217,1983,1986,44,86,1217,14.2,7,27.7,WR,Pitt
2408,Donavan Hale,1217,2015,2019,48,85,1217,14.3,11,25.4,WR,Indiana
2409,Henry Burch,1217,1964,1966,30,121,1217,10.1,4,40.6,WR,Toledo
2410,Kenny Chapman,1217,1992,1993,22,67,1217,18.2,5,55.3,WR,Akron
2411,Nick Sparks,1217,2001,2003,28,90,1217,13.5,5,43.5,QB,Akron
2412,Steven Harper,1217,1994,1997,42,99,1217,12.3,10,29,WR,Rutgers
2413,Austin Conway,1216,2016,2019,52,127,1216,9.6,5,23.4,WR,Wyoming
2414,Stephen Pierce,1216,1985,1986,22,92,1216,13.2,5,55.3,WR,Illinois
2415,Champ Reiley,1215,1969,1971,32,66,1215,18.4,7,38,WR,The Citadel
2416,George Marshall,1215,1999,2002,39,79,1215,15.4,15,31.2,WR,North Texas
2417,Jamal Rogers,1215,2007,2010,42,134,1215,9.1,5,28.9,WR,Miami (OH)
2418,Kenyatta Watson,1215,1993,1996,40,93,1215,13.1,5,30.4,WR,Boston College
2419,Tevin Jones,1215,2012,2015,49,90,1215,13.5,9,24.8,WR,Memphis
2420,Desmond Scott,1214,2009,2012,43,143,1214,8.5,2,28.2,RB,Duke
2421,Neil Balholm,1214,1981,1982,23,70,1214,17.3,4,52.8,WR,BYU
2422,Al Owens,1213,1987,1988,23,76,1213,16,7,52.7,WR,New Mexico
2423,Eric Roberts,1213,2001,2004,38,52,1213,23.3,10,31.9,RB,Navy
2424,Kerry Reed,1213,2005,2006,23,95,1213,12.8,10,52.7,WR,Michigan State
2425,Raheem Blackshear,1213,2017,2021,51,123,1213,9.9,7,23.8,RB,"Rutgers,Virginia Tech"
2426,Lavasier Tuinei,1212,2009,2011,37,108,1212,11.2,12,32.8,WR,Oregon
2427,Workpeh Kofa,1212,2015,2018,46,103,1212,11.8,6,26.3,WR,Charlotte
2428,Chris Murray,1211,2015,2017,37,83,1211,14.6,13,32.7,WR,Arkansas State
2429,John Parry,1211,1962,1964,26,97,1211,12.5,11,46.6,WR,Brown
2430,Antwane Grant,1210,2014,2015,24,96,1210,12.6,13,50.4,WR,Western Kentucky
2431,Braden Smith,1210,2020,2023,40,102,1210,11.9,6,30.3,WR,"Cincinnati,Louisville"
2432,Kyle Hockman,1210,1987,1989,33,110,1210,11,4,36.7,TE,Bowling Green
2433,Byron Rex,1209,1990,1992,34,87,1209,13.9,7,35.6,TE,BYU
2434,Deon-Tay McManus,1209,2014,2016,38,101,1209,12,10,31.8,WR,Marshall
2435,Ray Hinton,1209,1977,1980,44,84,1209,14.4,5,27.5,TE,Ball State
2436,Brisly Estime,1208,2013,2016,37,103,1208,11.7,7,32.6,WR,Syracuse
2437,Chris Hopkins,1208,2004,2007,47,114,1208,10.6,13,25.7,TE,Toledo
2438,Jamari Grant,1208,2006,2009,47,100,1208,12.1,7,25.7,WR,Florida Atlantic
2439,Tracy Lampley,1208,2009,2012,51,108,1208,11.2,5,23.7,RB,Southern Mississippi
2440,Da'Rick Rogers,1207,2010,2011,25,78,1207,15.5,11,48.3,WR,Tennessee
2441,Dennis Hughes,1207,1967,1969,27,66,1207,18.3,9,44.7,WR,Georgia
2442,Aaron Peck,1206,2013,2016,28,92,1206,13.1,6,43.1,WR,Fresno State
2443,Andre Wilson,1206,2017,2018,27,86,1206,14,11,44.7,WR,UAB
2444,Eric Atkins,1206,1994,1995,22,85,1206,14.2,7,54.8,WR,Pacific
2445,Anthony McCall,1205,2008,2011,48,90,1205,13.4,10,25.1,WR,Louisiana-Monroe
2446,Chris Gant,1205,2012,2013,23,81,1205,14.9,12,52.4,WR,Hawaii
2447,David Richards,1205,2012,2015,44,110,1205,11,11,27.4,WR,Arizona
2448,Leaford Hackett,1205,1998,1999,21,98,1205,12.3,6,57.4,WR,Washington State
2449,Reggie Lindsey,1205,2004,2005,23,73,1205,16.5,15,52.4,WR,UAB
