,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
3871,Derrick Spiller,919,1995,1998,47,60,919,15.3,7,19.6,TE,Texas A&M
3872,Isiah Paige,919,2021,2024,37,94,919,9.8,5,24.8,WR,Old Dominion
3873,Joe Tarver,919,1979,1983,27,62,919,14.8,7,34,WR,Utah
3874,John Brown III,919,1990,1991,22,41,919,22.4,12,41.8,WR,Houston
3875,Johnny Jackson,919,2012,2015,38,87,919,10.6,6,24.2,RB,Arizona
3876,Deshon Foxx,918,2011,2014,38,73,918,12.6,3,24.2,WR,Connecticut
3877,Harry Orszulak,918,1966,1968,30,68,918,13.5,4,30.6,RB,Pitt
3878,Vince Weathersby,918,1985,1988,44,130,918,7.1,2,20.9,RB,Washington
3879,Zack Pianalto,918,2007,2010,34,94,918,9.8,3,27,TE,North Carolina
3880,Aaron Young,917,2016,2021,50,67,917,13.7,8,18.3,WR,"Duke,Florida Atlantic"
3881,Brian Rollins,917,1971,1973,33,75,917,12.2,3,27.8,WR,Iowa
3882,J.D. Falslev,917,2010,2013,50,102,917,9,7,18.3,WR,BYU
3883,Kerry Johnson,917,2002,2004,37,70,917,13.1,6,24.8,WR,Ole Miss
3884,Randy Swinson,917,1974,1977,32,63,917,14.6,2,28.7,TE,West Virginia
3885,Jim Ward,916,1971,1973,30,76,916,12.1,6,30.5,WR,Army
3886,Matt Brandt,916,2001,2003,37,76,916,12.1,9,24.8,TE,Miami (OH)
3887,Tracy Dickson,916,1973,1974,22,37,916,24.8,6,41.6,WR,West Texas State
3888,Calvin Griggs,915,1989,1990,22,60,915,15.3,4,41.6,WR,Washington State
3889,Dick Graham,915,1974,1976,33,69,915,13.3,4,27.7,WR,Utah
3890,Todd Bell,915,1989,1990,22,43,915,21.3,4,41.6,WR,Eastern Michigan
3891,Curtis Jones,914,1999,2002,39,58,914,15.8,6,23.4,WR,Marshall
