,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
2001,D'Andre Swift,666,DET,2,35,2020,Georgia,2017,2019,43,73,666,9.1,5,15.5,RB,Georgia
2002,Brandon Myers,665,RAI,6,202,2009,Iowa,2005,2008,50,56,665,11.9,9,13.3,TE,Iowa
2003,Cliff Branch,665,RAI,4,98,1972,Colorado,1970,1971,21,36,665,18.5,3,31.7,WR,Colorado
2004,Craig Dunaway,665,PIT,8,218,1983,Michigan,1980,1982,33,50,665,13.3,8,20.2,TE,Michigan
2005,Bob Niziolek,664,DET,8,211,1981,Colorado,1977,1980,35,49,664,13.6,5,19,TE,Colorado
2006,Ke'Shawn Vaughn,664,TAM,3,76,2020,Illinois,2015,2019,46,67,664,9.9,3,14.4,RB,"Illinois,Vanderbilt"
2007,Joe Rose,663,MIA,7,185,1980,California,1975,1979,44,55,663,12.1,3,15.1,TE,California
2008,T.J. Logan,663,CRD,5,179,2017,North Carolina,2013,2016,49,76,663,8.7,4,13.5,RB,North Carolina
2009,Curt Warner,662,SEA,1,3,1983,Penn State,1979,1982,44,56,662,11.8,6,15,RB,Penn State
2010,Kenny Gainwell,662,PHI,5,150,2021,Memphis,2018,2019,18,57,662,11.6,3,36.8,RB,Memphis
2011,Les Walters,662,CLT,4,48,1958,Penn State,1956,1957,18,35,662,18.9,9,36.8,WR,Penn State
2012,Donnie Holmes,661,ATL,12,318,1984,,1979,1982,22,44,661,15,4,30,WR,Colorado
2013,Vai Sikahema,658,CRD,10,254,1986,BYU,1980,1985,49,53,658,12.4,2,13.4,RB,BYU
2014,Charlie Rogers,657,SEA,5,152,1999,Georgia Tech,1995,1998,38,58,657,11.3,3,17.3,KR,Georgia Tech
2015,Michael Carter,656,NYJ,4,107,2021,North Carolina,2017,2020,44,82,656,8,6,14.9,RB,North Carolina
2016,Tony Lorick,656,RAI,1,7,1964,Arizona State,1961,1963,58,40,656,16.4,6,11.3,RB,Arizona State
2017,Lorenzo Hampton,655,MIA,1,27,1985,Florida,1981,1984,40,56,655,11.7,3,16.4,RB,Florida
2018,Tom Beer,653,DEN,2,32,1967,Houston,1965,1966,20,48,653,13.6,7,32.7,TE,Houston
2019,Latin Berry,652,RAM,3,78,1990,Oregon,1986,1989,41,78,652,8.4,3,15.9,RB,Oregon
2020,Ray Ogden,652,OTI,8,58,1965,Alabama,1962,1964,60,50,652,13,2,10.9,RB,Alabama
2021,Michael Bush,651,RAI,4,100,2007,Louisville,2003,2006,36,50,651,13,2,18.1,QB,Louisville
2022,Ray Wallace,651,OTI,6,145,1986,Purdue,1982,1985,44,58,651,11.2,7,14.8,DB,Purdue
2023,Craig James,650,NWE,7,187,1983,SMU,1979,1982,44,51,650,12.7,3,14.8,RB,SMU
2024,Dick Absher,650,PHI,5,125,1967,Maryland,1964,1965,20,55,650,11.8,2,32.5,WR,Maryland
2025,Earl Denny,650,MIN,3,61,1967,Missouri,1964,1966,30,31,650,21,4,21.7,RB,Missouri
2026,Wendell Harris,650,SDG,7,51,1962,LSU,1959,1961,60,46,650,14.1,6,10.8,RB,LSU
2027,Don Kern,649,CIN,6,150,1984,Arizona State,1982,1983,22,58,649,11.2,1,29.5,TE,Arizona State
2028,Jeff Dugan,649,MIN,7,220,2004,Maryland,2000,2003,49,55,649,11.8,3,13.2,TE,Maryland
2029,Jerry Mertens,649,SFO,20,239,1958,Drake,1956,1957,17,40,649,16.2,7,38.2,WR,Drake
2030,Bob Kelly,648,OTI,22,175,1961,New Mexico State,1959,1960,16,45,648,14.4,10,40.5,WR,New Mexico State
2031,Randall Telfer,648,CLE,6,198,2015,USC,2011,2014,42,65,648,10,12,15.4,TE,USC
2032,Ted Davis,648,SDG,1,8,1964,Georgia Tech,1961,1963,60,38,648,17.1,6,10.8,WR,Georgia Tech
2033,Tyler Davis,648,JAX,6,206,2020,Georgia Tech,2016,2019,46,64,648,10.1,8,14.1,QB,"Connecticut,Georgia Tech"
2034,Bake Turner,647,CLT,12,163,1962,Texas Tech,1959,1961,30,34,647,19,3,21.6,RB,Texas Tech
2035,Bruce Hardy,647,MIA,9,247,1978,Arizona State,1974,1977,45,47,647,13.8,2,14.4,QB,Arizona State
