,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
2201,Tavaris Harrison,1272,2015,2019,51,80,1272,15.9,3,24.9,WR,Florida Atlantic
2202,Adonicas Sanders,1271,2018,2022,44,102,1271,12.5,6,28.9,WR,"Georgia Tech,Temple"
2203,George Freitas,1271,1974,1977,44,110,1271,11.6,5,28.9,TE,California
2204,Rasheed Ward,1271,2005,2008,49,126,1271,10.1,4,25.9,WR,Northwestern
2205,Steve Moyer,1271,1969,1971,31,117,1271,10.9,8,41,WR,Pitt
2206,Tyrone Thurman,1270,1985,1988,44,93,1270,13.7,5,28.9,WR,Texas Tech
2207,Caden Prieskorn,1269,2020,2024,43,94,1269,13.5,12,29.5,TE,"Memphis,Ole Miss"
2208,Jim Curry,1269,1974,1977,28,68,1269,18.7,7,45.3,WR,Harvard
2209,Kyle Efaw,1269,2008,2011,53,103,1269,12.3,13,23.9,TE,Boise State
2210,Sean Bailey,1269,2003,2007,45,75,1269,16.9,12,28.2,WR,Georgia
2211,Te'Vailance Hunt,1269,2018,2022,43,93,1269,13.6,10,29.5,WR,"Arkansas State,Texas Christian"
2212,Thomson Omboga,1269,2001,2004,41,127,1269,10,3,31,WR,Missouri
2213,Tracy Caldwell,1269,1990,1993,41,89,1269,14.3,8,31,WR,Arkansas
2214,Sancho McDonald,1268,2008,2011,50,106,1268,12,12,25.4,WR,Middle Tennessee State
2215,Henley Carter,1267,1966,1968,30,91,1267,13.9,3,42.2,WR,Duke
2216,J.J. McKelvey,1267,2000,2002,30,83,1267,15.3,8,42.2,WR,Clemson
2217,Todd Yoder,1267,1996,1999,33,80,1267,15.8,8,38.4,WR,Vanderbilt
2218,Eric Reed,1266,1985,1988,32,74,1266,17.1,7,39.6,WR,Central Michigan
2219,Michel James,1266,1983,1986,44,84,1266,15.1,7,28.8,WR,Washington State
2220,Mike Carroll,1266,1964,1967,40,54,1266,23.4,15,31.7,WR,New Mexico State
2221,Richard Williams,1266,1999,2000,22,73,1266,17.3,12,57.5,WR,Arizona State
