,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
3601,Rich Richman,1001,1960,1962,28,240,1001,4.2,10,35.8,QB,Villanova
3602,Richard Newton,1001,2019,2023,39,229,1001,4.4,14,25.7,RB,Washington
3603,Tony Bonanno,1001,1981,1984,44,235,1001,4.3,7,22.8,RB,Ball State
3604,Earl Vaughn,1000,1975,1976,22,224,1000,4.5,6,45.5,RB,Syracuse
3605,Cameron Rising,999,2020,2024,29,158,999,6.3,12,34.4,QB,Utah
3606,Denny Allen,999,1980,1983,34,197,999,5.1,5,29.4,RB,New Mexico
3607,Keith McAfee,999,1988,1991,46,213,999,4.7,7,21.7,RB,Texas A&M
3608,Leon Patton,999,2006,2007,24,191,999,5.2,10,41.6,RB,Kansas State
3609,Logwone Mitz,999,2008,2011,46,253,999,3.9,8,21.7,RB,Washington State
3610,Tom Spotts,999,1969,1971,27,249,999,4,5,37,RB,Brown
3611,Wendell Housley,999,1966,1968,30,286,999,3.5,3,33.3,RB,Texas A&M
3612,Adam Walker,998,1987,1989,26,190,998,5.3,13,38.4,RB,Pitt
3613,Ari Broussard,998,2018,2023,49,261,998,3.8,12,20.4,RB,Rice
3614,Cordell Mitchell,998,1996,1999,38,202,998,4.9,4,26.3,RB,Penn State
3615,Dwaine Wright,998,1980,1983,44,233,998,4.3,9,22.7,RB,Arizona State
3616,Jim Butler,998,1956,1958,30,263,998,3.8,3,33.3,RB,Vanderbilt
3617,Silky Sullivan,998,1958,1960,27,218,998,4.6,8,37,RB,Princeton
3618,Al Rickey Edwards,997,1981,1983,33,223,997,4.5,4,30.2,RB,Mississippi State
3619,Jerone Davison,997,1991,1992,22,256,997,3.9,7,45.3,RB,Arizona State
3620,Jesse Callier,997,2010,2014,42,191,997,5.2,5,23.7,RB,Washington
3621,Khari Blasingame,997,2015,2018,48,238,997,4.2,15,20.8,LB,Vanderbilt
3622,Richard Dill,997,1979,1981,24,235,997,4.2,4,41.5,RB,East Tennessee State
3623,Timo Tagaloa,997,1985,1988,44,264,997,3.8,4,22.7,RB,Utah State
3624,Allen Jefferson,996,1987,1990,42,171,996,5.8,13,23.7,RB,Michigan
3625,Bob Morton,996,1973,1977,44,376,996,2.6,7,22.6,QB,Holy Cross
3626,Brett Basanez,996,2002,2005,47,391,996,2.5,18,21.2,QB,Northwestern
3627,Fred Reid,996,2001,2004,45,236,996,4.2,6,22.1,RB,Mississippi State
3628,Karson Roberts,996,2013,2015,26,218,996,4.6,13,38.3,QB,Air Force
