,,,,,,Rushing,,,,,,
3629,Micah Kelly,996,2019,2023,38,234,996,4.3,7,26.2,RB,Toledo
3630,Reggie Etheridge,996,1996,1997,23,263,996,3.8,5,43.3,RB,Boise State
3631,Brian Flowers,995,2006,2007,21,219,995,4.5,6,47.4,RB,Idaho
3632,Cedrick Dorsey,995,2004,2007,40,224,995,4.4,4,24.9,RB,SMU
3633,Darwin Barlow,995,2019,2024,41,182,995,5.5,11,24.3,RB,"North Carolina,Texas Christian,USC"
3634,Don Shanklin,995,1992,1995,23,250,995,4,9,43.3,QB,Oregon State
3635,Hoss Anderson,995,1958,1960,30,210,995,4.7,9,33.2,RB,Ole Miss
3636,Marcus Major,995,2019,2024,39,234,995,4.3,10,25.5,RB,"Minnesota,Oklahoma"
3637,Mike Doneff,995,1976,1979,44,277,995,3.6,6,22.6,RB,Illinois State
3638,Darvin Malone,994,1981,1985,44,251,994,4,2,22.6,RB,Oregon State
3639,Jarrod Lawson,994,2013,2015,25,226,994,4.4,4,39.8,RB,San Jose State
3640,Jerry Cook,994,1960,1962,26,197,994,5,16,38.2,RB,Texas
3641,Bob Reid,993,1973,1975,27,237,993,4.2,5,36.8,RB,Princeton
3642,Davion Ervin-Poindexter,993,2020,2023,45,223,993,4.5,5,22.1,RB,"Indiana,Western Kentucky"
3643,Ken Edwards,993,1967,1969,30,203,993,4.9,11,33.1,RB,Virginia Tech
3644,Andy Dixon,992,1973,1975,33,225,992,4.4,7,30.1,RB,Wyoming
3645,Anthony Smith,992,1983,1986,44,180,992,5.5,1,22.5,RB,South Carolina
3646,Anthony Taylor,992,2016,2019,46,279,992,3.6,9,21.6,RB,Texas State
3647,Carey Davis,992,2000,2003,41,212,992,4.7,1,24.2,RB,Illinois
3648,Dane Conwell,992,1978,1981,43,246,992,4,11,23.1,RB,West Virginia
3649,Greg Riley,992,1960,1962,27,219,992,4.5,8,36.7,QB,Princeton
3650,Marvin Eastman,992,1989,1990,22,197,992,5,10,45.1,RB,Nevada-Las Vegas
3651,Ray Jauch,992,1957,1959,27,173,992,5.7,5,36.7,RB,Iowa
3652,Rudy Holloman,992,1967,1969,30,248,992,4,3,33.1,RB,South Carolina
3653,Tony Pyne,992,1974,1976,33,241,992,4.1,5,30.1,RB,Army
3654,A.J. Davis Jr.,991,2017,2021,42,238,991,4.2,7,23.6,,Pitt
3655,Bill Swingle,991,1961,1963,27,206,991,4.8,11,36.7,RB,Northwestern
3656,Cedric Dargan,991,2001,2005,35,272,991,3.6,8,28.3,RB,Duke
3657,Chico Kurzawski,991,1966,1968,30,304,991,3.3,10,33,RB,Northwestern
3658,D.C. Nobles,991,1971,1973,33,234,991,4.2,12,30,QB,Houston
3659,Jimmy Johnson,991,1966,1968,30,231,991,4.3,5,33,RB,Wake Forest
3660,Tavares Bolden,991,1999,2001,32,200,991,5,9,31,QB,Toledo
3661,Anthony Gibson,990,1979,1982,44,223,990,4.4,5,22.5,RB,USC
3662,Derrick Cullors,990,1991,1994,30,186,990,5.3,7,33,RB,Texas Christian
3663,Gary Rudick,990,1974,1976,33,261,990,3.8,4,30,RB,Tulane
3664,James Baker,990,2012,2013,23,240,990,4.1,8,43,RB,Idaho
3665,Jeff Cohn,990,1979,1981,23,278,990,3.6,3,43,RB,Northwestern
3666,Ladaria Johnson,990,1980,1983,42,218,990,4.5,2,23.6,RB,Oregon
3667,Mike Higgins,990,1976,1979,44,265,990,3.7,9,22.5,RB,Kansas
3668,Vincent Hawkins,990,1999,2002,43,194,990,5.1,3,23,RB,Rice
3669,Ed Giles,989,1970,1971,21,246,989,4,3,47.1,RB,Utah State
3670,John Acuff,989,1966,1968,30,234,989,4.2,6,33,RB,Miami (FL)
3671,Keshawn King,989,2019,2024,38,205,989,4.8,7,26,RB,"Virginia Tech,Western Michigan"
3672,Ron Coleman,989,1963,1964,20,194,989,5.1,9,49.5,RB,Utah
3673,Burness Scott,988,1984,1985,22,222,988,4.5,4,44.9,RB,Cal State Fullerton
3674,Rob Healy,988,1970,1972,33,280,988,3.5,6,29.9,RB,Georgia Tech
3675,Vern Chamberlain,988,1973,1975,33,211,988,4.7,7,29.9,RB,Washington State
3676,Jim Krohn,987,1976,1979,43,374,987,2.6,10,23,QB,Arizona
3677,Renard Harmon,987,1971,1972,22,239,987,4.1,14,44.9,RB,Kent State
3678,Al Pollard,986,1974,1976,33,228,986,4.3,8,29.9,RB,Georgia
3679,D.D. Cox,986,2003,2004,24,217,986,4.5,10,41.1,RB,New Mexico
3680,Mark Smith,986,1990,1992,33,265,986,3.7,8,29.9,RB,Minnesota
3681,Mark Stevens,986,1983,1984,23,304,986,3.2,23,42.9,QB,Utah
3682,Marquis Crosby,986,2021,2024,16,195,986,5.1,9,61.6,RB,Louisiana Tech
3683,Mel Taylor,986,1965,1967,30,295,986,3.3,7,32.9,RB,Dayton
3684,Harry Sydney,985,1977,1980,44,294,985,3.4,7,22.4,KR,Kansas
3685,Jeff Washington,985,1977,1979,33,242,985,4.1,5,29.8,RB,Virginia Military Institute
3686,John Adams,985,1983,1986,44,264,985,3.7,11,22.4,RB,Louisville
3687,Justin McMillan,985,2016,2019,24,230,985,4.3,17,41,QB,"LSU,Tulane"
3688,Mike McCluskey,985,1956,1958,30,193,985,5.1,5,32.8,RB,Washington
3689,Mike Salido,985,1987,1990,36,177,985,5.6,5,27.4,RB,BYU
3690,Quinton Lewis,985,1981,1984,45,193,985,5.1,9,21.9,KR,South Carolina
3691,Rickey Adams,985,1975,1979,54,202,985,4.9,3,18.2,RB,North Carolina State
3692,Stan Penkunas,985,1960,1962,30,187,985,5.3,7,32.8,RB,William & Mary
3693,Carlos Montgomery,984,1973,1976,44,210,984,4.7,14,22.4,RB,Southern Mississippi
3694,Dewey Lincoln,984,1961,1963,27,218,984,4.5,2,36.4,RB,Michigan State
3695,Marc Cousins,984,1976,1978,34,331,984,3,6,28.9,QB,Wyoming
3696,Joel Lanning,983,2014,2017,37,255,983,3.9,17,26.6,,Iowa State
3697,Lexington Joseph,983,2019,2024,37,206,983,4.8,7,26.6,RB,Florida International
3698,Reggie Pegram,983,2010,2014,45,266,983,3.7,12,21.8,RB,"North Texas,Purdue"
3699,Trevion Cooley,983,2021,2024,32,209,983,4.7,6,30.7,RB,"Georgia Tech,Louisville"
3700,Anthony Collins,982,1978,1980,22,192,982,5.1,11,44.6,RB,East Carolina
3701,Bobby Davis,982,1985,1988,32,201,982,4.9,5,30.7,RB,Texas Christian
3702,Dave McNaughton,982,1963,1965,30,228,982,4.3,10,32.7,RB,Penn State
3703,John Bernard,982,1998,2000,28,273,982,3.6,13,35.1,RB,Louisiana
3704,Tre Roberson,982,2011,2013,23,206,982,4.8,10,42.7,QB,Indiana
3705,Daryl Doggett,981,1967,1969,20,222,981,4.4,4,49.1,RB,SMU
3706,Marlon Farlow,981,1994,1997,33,190,981,5.2,6,29.7,RB,Arizona State
3707,Rich Naccarato,981,1962,1964,28,252,981,3.9,6,35,RB,Idaho
3708,William Rose,981,2005,2009,47,199,981,4.9,4,20.9,RB,Florida Atlantic
3709,Roy Walker,980,1960,1962,27,241,980,4.1,8,36.3,RB,Purdue
3710,James Aldridge,979,2006,2009,36,255,979,3.8,3,27.2,RB,Notre Dame
3711,Jarvis Baker,979,1990,1992,23,287,979,3.4,14,42.6,QB,Air Force
3712,Saulis Zemaitis,979,1967,1969,30,257,979,3.8,4,32.6,RB,North Carolina
3713,Archie Currin,978,1975,1978,33,217,978,4.5,1,29.6,RB,Ball State
3714,Mossis Madu,978,2007,2010,51,219,978,4.5,9,19.2,RB,Oklahoma
3715,Sam Hartman,978,2018,2023,60,461,978,2.1,20,16.3,QB,"Notre Dame,Wake Forest"
3716,Jo-El Shaw,977,2018,2019,18,211,977,4.6,9,54.3,RB,Kent State
3717,Larry Fourqurean,977,1980,1981,22,226,977,4.3,2,44.4,RB,Marshall
3718,Wes Cobb,977,2009,2012,36,239,977,4.1,13,27.1,RB,Air Force
3719,Jim Oliver,976,1965,1967,30,265,976,3.7,12,32.5,RB,Colorado State
3720,Mark Harmon,976,1972,1973,22,172,976,5.7,14,44.4,QB,UCLA
3721,Steve Wormith,976,1966,1968,27,233,976,4.2,7,36.1,RB,Brown
3722,Eric Williams,975,2009,2010,23,191,975,5.1,9,42.4,RB,Ball State
3723,Randy Johnson,975,1980,1981,18,218,975,4.5,10,54.2,RB,Texas-Arlington
3724,Rod Gerald,975,1975,1978,42,242,975,4,17,23.2,WR,Ohio State
3725,Santo Atkinson,975,1972,1974,33,277,975,3.5,2,29.5,RB,Cincinnati
3726,Anderson Castle,974,2020,2024,48,182,974,5.4,8,20.3,RB,Appalachian State
3727,Maurice Hall,974,2001,2004,47,236,974,4.1,6,20.7,RB,Ohio State
3728,Antoine Moore,973,1990,1992,32,214,973,4.5,6,30.4,RB,Rutgers
3729,Dave Osborn,973,1979,1982,46,353,973,2.8,13,21.2,QB,New Mexico
3730,Harold Philipp,973,1962,1964,23,207,973,4.7,5,42.3,RB,Texas
3731,Jason Jacobs,973,1982,1983,22,198,973,4.9,4,44.2,RB,Iowa State
3732,Leroy Bradley,973,1998,2001,43,174,973,5.6,2,22.6,RB,Rice
3733,Mark Jackson,973,1972,1976,43,349,973,2.8,8,22.6,QB,"Baylor,UTEP"
3734,Vondrell McGee,973,2007,2009,35,219,973,4.4,14,27.8,RB,Texas
3735,Bobby Best,972,1968,1970,31,252,972,3.9,3,31.4,RB,Miami (FL)
3736,Christian Ducre,972,2006,2009,37,213,972,4.6,7,26.3,RB,Mississippi State
3737,George Usry,972,1957,1959,30,196,972,5,9,32.4,RB,Clemson
3738,Hugh MacMillan,972,1961,1963,27,192,972,5.1,9,36,RB,Princeton
3739,Larry Rundle,972,1956,1958,30,217,972,4.5,5,32.4,RB,Oklahoma State
3740,Vaughn Broadnax,972,1980,1983,39,223,972,4.4,13,24.9,RB,Ohio State
3741,Brandon Holloway,971,2013,2016,43,195,971,5,2,22.6,RB,Mississippi State
3742,Grant Hedrick,971,2011,2014,44,250,971,3.9,18,22.1,QB,Boise State
3743,John Anderson,971,1973,1974,20,218,971,4.5,9,48.6,RB,Colgate
3744,Jordan Asberry,971,2015,2018,48,141,971,6.9,6,20.2,RB,Army
3745,LaVale Woods,971,1994,1997,45,194,971,5,13,21.6,RB,USC
3746,Leon Bright,971,1974,1975,22,223,971,4.4,5,44.1,RB,Florida State
3747,A.J. Davis,970,2017,2020,32,236,970,4.1,6,30.3,RB,Pitt
3748,Brian Grimes,970,1993,1994,22,202,970,4.8,9,44.1,RB,Northern Illinois
3749,Chase Daniel,970,2005,2008,51,364,970,2.7,10,19,QB,Missouri
3750,Don Goodman,970,1959,1961,30,226,970,4.3,6,32.3,RB,Florida
3751,Ed Morgan,970,1966,1968,30,275,970,3.5,11,32.3,RB,Alabama
3752,Harvey Brookins,970,1957,1959,27,267,970,3.6,5,35.9,RB,Columbia
3753,Shaquille Murray-Lawrence,970,2013,2014,19,164,970,5.9,11,51.1,RB,Nevada-Las Vegas
3754,Zeke Moore,970,1992,1993,17,240,970,4,10,57.1,RB,Nevada
3755,Cam Fancher,969,2021,2024,29,283,969,3.4,6,33.4,QB,"Florida Atlantic,Marshall"
3756,Larry Griffin,969,1970,1972,31,193,969,5,3,31.3,RB,Louisville
3757,Terrance Timmons,969,2012,2015,43,215,969,4.5,5,22.5,RB,South Alabama
3758,Alex Delton,968,2015,2019,27,230,968,4.2,11,35.9,QB,"Kansas State,Texas Christian"
3759,Benny Galloway,968,1965,1968,30,240,968,4,2,32.3,RB,South Carolina
3760,Dan Howard,968,1971,1972,22,249,968,3.9,7,44,RB,Navy
3761,Emmanuel Esukpa,968,2016,2019,37,242,968,4,8,26.2,RB,"BYU,Rice"
3762,Phil Witherspoon,968,1969,1970,20,215,968,4.5,10,48.4,RB,Kent State
3763,Tom Blanchfield,968,1962,1964,30,247,968,3.9,0,32.3,RB,California
3764,Alonzo Washington,967,1987,1988,21,175,967,5.5,5,46,RB,Arizona
3765,Darren Boyer,967,1989,1992,43,249,967,3.9,11,22.5,RB,Illinois
3766,David Hood,967,2014,2017,35,202,967,4.8,6,27.6,RB,Temple
3767,Eugene Napoleon,967,1987,1989,29,199,967,4.9,6,33.3,RB,West Virginia
3768,Jeremiah Bryson,967,2012,2015,36,209,967,4.6,12,26.9,RB,Middle Tennessee State
3769,John Sefcik,967,1969,1971,27,252,967,3.8,5,35.8,RB,Columbia
3770,Sandon McCoy,967,2017,2020,39,248,967,3.9,20,24.8,RB,Army
3771,TJ Green,967,2018,2022,45,178,967,5.4,7,21.5,RB,"Liberty,Utah"
3772,Tom Morris,967,1956,1957,18,187,967,5.2,13,53.7,RB,Princeton
3773,Tyrrell Pigrome,967,2016,2020,45,281,967,3.4,12,21.5,QB,"Maryland,Western Kentucky"
3774,Willie Beebe,967,1978,1981,39,229,967,4.2,9,24.8,RB,Colorado
3775,Bob Davis,966,1976,1978,34,190,966,5.1,7,28.4,RB,Wyoming
3776,Condredge Holloway,966,1972,1974,33,351,966,2.8,9,29.3,QB,Tennessee
3777,Tyrone Swoopes,966,2013,2016,40,256,966,3.8,24,24.2,QB,Texas
3778,Aaron Roberts,965,1981,1984,28,240,965,4,7,34.5,RB,Michigan State
3779,Anthony Hankerson,965,2022,2024,24,221,965,4.4,11,40.2,RB,"Colorado,Oregon State"
3780,Eric Bernard,965,1995,1999,44,191,965,5.1,6,21.9,RB,Texas A&M
3781,Jonathan Beasley,965,1996,2000,37,299,965,3.2,26,26.1,QB,Kansas State
3782,Bruce Hill,964,1973,1975,33,387,964,2.5,17,29.2,QB,Arizona
3783,Dishan Romine,964,2014,2016,36,97,964,9.9,1,26.8,RB,Navy
3784,Greg Zomalt,964,1989,1992,44,222,964,4.3,11,21.9,RB,California
3785,Justice Hansen,964,2016,2018,38,347,964,2.8,14,25.4,QB,Arkansas State
3786,Adell Givens,963,2004,2004,10,202,963,4.8,6,96.3,RB,Ball State
3787,Damon Sweazy,963,1985,1986,22,224,963,4.3,12,43.8,RB,Indiana
3788,Ricky Lake,963,1970,1971,21,229,963,4.2,8,45.9,RB,Georgia
3789,Dane McArthur,962,1987,1990,44,139,962,6.9,3,21.9,WR,Hawaii
3790,Demetrius McCray,962,2006,2009,37,229,962,4.2,5,26,RB,Indiana
3791,Garry Lyle,962,1964,1965,19,224,962,4.3,7,50.6,QB,George Washington
3792,James Bradley,962,1987,1989,33,222,962,4.3,8,29.2,RB,Navy
3793,Joe Drake,962,1957,1960,41,190,962,5.1,6,23.5,RB,Arizona State
3794,Tony Covington,962,1985,1988,44,250,962,3.8,16,21.9,RB,Washington
3795,Wayne Strader,962,1977,1980,44,210,962,4.6,5,21.9,RB,Illinois
3796,Casey Moore,961,1999,2002,44,158,961,6.1,11,21.8,RB,Stanford
3797,Lou Holland,961,1961,1963,27,199,961,4.8,14,35.6,RB,Wisconsin
3798,Tracy Lampley,961,2009,2012,51,182,961,5.3,5,18.8,RB,Southern Mississippi
3799,Ra'Von Bonner,960,2017,2021,39,239,960,4,12,24.6,RB,"Illinois,Temple"
3800,Steven Montez,960,2016,2019,47,343,960,2.8,11,20.4,QB,Colorado
