,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
4601,Octavius Evans,816,2017,2021,45,74,816,11,6,18.1,WR,Boise State
4602,Rick Parma,816,1977,1980,45,57,816,14.3,14,18.1,WR,San Jose State
4603,Brandon Felder,815,2010,2013,38,66,815,12.3,4,21.4,WR,Penn State
4604,Charles Drulis,815,1963,1965,30,76,815,10.7,6,27.2,WR,Duke
4605,Jermaine Landrum,815,2001,2004,48,77,815,10.6,4,17,WR,Tulsa
4606,Jerrod Dillard,815,2010,2013,40,63,815,12.9,11,20.4,WR,Akron
4607,Leland Douglas,815,1984,1986,33,53,815,15.4,3,24.7,WR,Baylor
4608,Orwin Smith,815,2009,2012,51,45,815,18.1,2,16,RB,Georgia Tech
4609,Tariq McDonald,815,1997,1999,33,65,815,12.5,7,24.7,WR,Arizona State
4610,Tom Stauss,815,1976,1979,44,48,815,17,5,18.5,RB,Wisconsin
4611,Verran Tucker,815,2008,2009,24,50,815,16.3,4,34,WR,California
4612,Cassius Osborn,814,1984,1987,42,41,814,19.9,4,19.4,WR,Georgia
4613,Enis Jackson,814,1982,1985,44,49,814,16.6,5,18.5,WR,Memphis
4614,Geno Zimmerlink,814,1981,1985,29,49,814,16.6,5,28.1,TE,Virginia
4615,Kory Sheets,814,2005,2008,50,108,814,7.5,5,16.3,RB,Purdue
4616,Prince Wimbley,814,1988,1992,47,63,814,12.9,1,17.3,WR,Alabama
4617,Rufus French,814,1996,1998,32,84,814,9.7,4,25.4,TE,Ole Miss
4618,Brad Scovill,813,1978,1980,33,58,813,14,6,24.6,TE,Penn State
4619,Dan Fournier,813,1974,1976,27,57,813,14.3,1,30.1,WR,Princeton
4620,Kody Epps,813,2020,2024,26,72,813,11.3,7,31.3,WR,BYU
4621,Reynaldo Flores,813,2018,2022,54,68,813,12,1,15.1,WR,UTEP
4622,Tee Milons,813,2002,2005,43,66,813,12.3,4,18.9,WR,Mississippi State
4623,Traveon Samuel,813,2015,2019,54,68,813,12,2,15.1,WR,"Louisville,Memphis,Troy"
4624,Troy Smith,813,1981,1984,33,60,813,13.6,5,24.6,WR,Texas Tech
4625,Bernie Parmalee,812,1987,1990,42,96,812,8.5,3,19.3,RB,Ball State
4626,Cameron Kenney,812,2009,2010,23,55,812,14.8,5,35.3,WR,Oklahoma
4627,Frankie Hammond Jr.,812,2009,2012,48,63,812,12.9,6,16.9,WR,Florida
4628,Kamari Morales,812,2019,2024,55,71,812,11.4,12,14.8,TE,"Boston College,North Carolina"
4629,Keith Polito,812,1974,1976,30,49,812,16.6,8,27.1,WR,Colgate
4630,Kemmie Lewis,812,2003,2004,23,67,812,12.1,2,35.3,WR,Louisiana
4631,Robert Cobb,812,1978,1980,34,60,812,13.5,8,23.9,WR,Nevada-Las Vegas
4632,Ryeshene Bronson,812,2014,2018,44,55,812,14.8,4,18.5,WR,South Florida
4633,Audie Omotosho,811,2016,2021,31,64,811,12.7,4,26.2,WR,"East Carolina,UCLA"
4634,Greg Jones,811,2008,2010,36,39,811,20.8,6,22.5,WR,Navy
4635,Joe Neary,811,1971,1973,31,68,811,11.9,3,26.2,WR,Holy Cross
4636,Joel Klimek,811,1970,1971,21,67,811,12.1,2,38.6,TE,Pitt
4637,Malik Campbell,811,1999,2001,34,59,811,13.7,2,23.9,WR,Syracuse
4638,Scott Cress,811,1965,1967,30,59,811,13.7,7,27,TE,Oregon
4639,Ben Guidugli,810,2007,2010,43,71,810,11.4,7,18.8,TE,Cincinnati
4640,Brad Anderson,810,2017,2021,45,85,810,9.5,3,18,RB,Middle Tennessee State
4641,Chase Allen,810,2017,2021,59,74,810,10.9,6,13.7,TE,Iowa State
4642,Daryl Lightfoot,810,2001,2003,27,57,810,14.2,2,30,WR,Arizona State
4643,Glenn Holt,810,2002,2005,46,88,810,9.2,6,17.6,WR,Kentucky
4644,Jim Schultz,810,1965,1966,20,54,810,15,4,40.5,WR,Air Force
4645,Michael Hayes,810,2010,2011,25,74,810,10.9,6,32.4,RB,Houston
4646,Tony Patterson,810,2000,2003,42,63,810,12.9,4,19.3,WR,Minnesota
4647,Tony Smikle,810,1997,2000,39,73,810,11.1,4,20.8,WR,Cincinnati
4648,Zach Gerstner,810,2000,2003,46,84,810,9.6,7,17.6,RB,Idaho
4649,Artie Pulsinelli,809,1976,1978,27,55,809,14.7,6,30,WR,Columbia
4650,Bill Fritz,809,1965,1967,30,82,809,9.9,5,27,WR,Wisconsin
4651,Eugene Gross,809,2003,2006,47,98,809,8.3,1,17.2,RB,Middle Tennessee State
4652,Jim Wicks,809,1973,1976,36,73,809,11.1,1,22.5,TE,Virginia
4653,John Arnold,809,1975,1978,34,37,809,21.9,5,23.8,WR,Wyoming
4654,Ra'Shaun Henry,809,2020,2021,21,41,809,19.7,7,38.5,WR,Virginia
4655,Dominique Sandifer,808,2009,2012,35,71,808,11.4,3,23.1,WR,San Diego State
4656,Donnie Centers,808,1983,1987,56,47,808,17.2,7,14.4,WR,Arkansas
4657,Eric Moats,808,2009,2011,37,64,808,12.6,3,21.8,WR,Utah State
4658,Jerry Smith,808,2000,2003,35,52,808,15.5,5,23.1,WR,Boise State
4659,Kenny Moore,808,1983,1986,47,56,808,14.4,2,17.2,DB,San Diego State
4660,Omari Thompson,808,1999,2001,33,70,808,11.5,1,24.5,RB,Army
4661,Robert Scott,808,1998,1998,11,55,808,14.7,6,73.5,WR,Utah State
4662,Brandon Bolden,807,2008,2011,48,76,807,10.6,6,16.8,RB,Ole Miss
4663,Gary Oliver,807,1987,1990,46,59,807,13.7,6,17.5,WR,Texas A&M
4664,Greg Estandia,807,2003,2005,24,70,807,11.5,10,33.6,TE,Nevada-Las Vegas
4665,Jake Williams,807,2009,2010,25,71,807,11.4,9,32.3,WR,Iowa State
4666,Mike Getman,807,1977,1979,32,53,807,15.2,4,25.2,TE,Colgate
4667,Parnell Charles,807,1991,1994,44,70,807,11.5,7,18.3,RB,Arizona State
4668,Ryan Alderman,807,2010,2013,48,57,807,14.2,2,16.8,WR,Temple
