,,,,,,,,,,,Receiving,,,,,,
1019,Anthony Schwartz,1433,CLE,3,91,2021,Auburn,2018,2020,36,117,1433,12.2,6,39.8,WR,Auburn
1020,Kolby Listenbee,1432,BUF,6,192,2016,Texas Christian,2012,2015,35,74,1432,19.4,9,40.9,WR,Texas Christian
1021,Gary Lewis,1431,GNB,2,35,1981,Texas-Arlington,1977,1980,41,66,1431,21.7,9,34.9,WR,Texas-Arlington
1022,Kevin Knox,1431,BUF,6,192,1994,Florida State,1990,1993,45,102,1431,14,11,31.8,WR,Florida State
1023,Kris Wilson,1431,KAN,2,61,2004,Pitt,2000,2003,48,88,1431,16.3,15,29.8,TE,Pitt
1024,Brian Hartline,1429,MIA,4,108,2009,Ohio State,2006,2008,38,90,1429,15.9,12,37.6,WR,Ohio State
1025,Chris Castor,1429,SEA,5,123,1983,Duke,1978,1982,45,78,1429,18.3,17,31.8,WR,Duke
1026,Dan Vitale,1427,TAM,6,197,2016,Northwestern,2012,2015,50,135,1427,10.6,11,28.5,TE,Northwestern
1027,Johnathan Holland,1426,RAI,7,254,2007,Louisiana Tech,2003,2006,46,85,1426,16.8,6,31,WR,Louisiana Tech
1028,Tre Tucker,1425,RAI,3,100,2023,Cincinnati,2019,2022,50,111,1425,12.8,8,28.5,WR,Cincinnati
1029,Horace Copeland,1424,TAM,4,104,1993,Miami (FL),1990,1992,33,84,1424,17,7,43.2,WR,Miami (FL)
1030,Tinker Owens,1424,NOR,4,95,1976,Oklahoma,1972,1975,44,62,1424,23,10,32.4,WR,Oklahoma
1031,Larry Seiple,1422,MIA,7,163,1967,Kentucky,1964,1966,30,72,1422,19.8,10,47.4,WR,Kentucky
1032,C.J. Spiller,1420,BUF,1,9,2010,Clemson,2006,2009,52,123,1420,11.5,11,27.3,RB,Clemson
1033,Jacob Tamme,1417,CLT,4,127,2008,Kentucky,2004,2007,47,133,1417,10.7,11,30.1,WR,Kentucky
1034,Dalton Kincaid,1414,BUF,1,25,2023,Utah,2020,2022,31,107,1414,13.2,16,45.6,TE,Utah
1035,Pete Lammons,1412,NYJ,8,68,1966,Texas,1963,1965,50,94,1412,15,10,28.2,WR,Texas
1036,Jerry Evans,1410,CRD,8,204,1991,Toledo,1987,1990,43,114,1410,12.4,6,32.8,TE,Toledo
1037,Ken Burrow,1409,ATL,2,33,1971,San Diego State,1967,1970,31,84,1409,16.8,15,45.5,WR,"San Diego State,Utah State"
1038,Tejhaun Palmer,1409,CRD,6,191,2024,UAB,2021,2023,37,83,1409,17,9,38.1,WR,UAB
1039,Fred Davis,1408,WAS,2,48,2008,USC,2004,2007,48,117,1408,12,13,29.3,WR,USC
1040,Leland Glass,1408,GNB,8,190,1972,Oregon,1969,1971,32,100,1408,14.1,11,44,WR,Oregon
1041,Lynn Swann,1407,PIT,1,21,1974,USC,1971,1973,32,85,1407,16.6,10,44,WR,USC
1042,Adonai Mitchell,1405,CLT,2,52,2024,Texas,2021,2023,35,93,1405,15.1,18,40.1,WR,"Georgia,Texas"
1043,Jim Mandich,1404,MIA,2,29,1970,Michigan,1967,1969,30,110,1404,12.8,8,46.8,WR,Michigan
1044,James Williams,1403,SEA,6,175,2000,Marshall,1998,1999,24,70,1403,20,15,58.5,WR,Marshall
1045,Yatil Green,1400,MIA,1,15,1997,Miami (FL),1994,1996,28,82,1400,17.1,9,50,WR,Miami (FL)
1046,Antonio Callaway,1399,CLE,4,105,2018,Florida,2015,2016,26,89,1399,15.7,7,53.8,WR,Florida
1047,Bob Moore,1399,RAI,5,123,1971,Stanford,1967,1970,41,99,1399,14.1,10,34.1,RB,Stanford
1048,Lake Dawson,1397,KAN,3,92,1994,Notre Dame,1990,1993,43,80,1397,17.5,4,32.5,WR,Notre Dame
1049,Alvin Pearman,1396,JAX,4,127,2005,Virginia,2001,2004,46,138,1396,10.1,8,30.3,RB,Virginia
1050,Freddie Hyatt,1396,CRD,2,40,1968,Auburn,1965,1967,30,88,1396,15.9,12,46.5,WR,Auburn
1051,Rod Harris,1395,OTI,4,104,1989,Texas A&M,1985,1988,45,87,1395,16,7,31,WR,Texas A&M
1052,Bruce Davis,1393,CLE,2,50,1984,Baylor,1981,1983,33,71,1393,19.6,13,42.2,RB,Baylor
1053,Jerry Hillebrand,1392,DEN,2,10,1962,Colorado,1959,1961,60,80,1392,17.4,12,23.2,WR,Colorado
1054,Eric Metcalf,1390,CLE,1,13,1989,Texas,1985,1988,43,125,1390,11.1,7,32.3,RB,Texas
1055,Joe Stewart,1389,RAI,4,108,1978,Missouri,1974,1977,44,90,1389,15.4,8,31.6,RB,Missouri
1056,John Frank,1388,SFO,2,56,1984,Ohio State,1980,1983,43,114,1388,12.2,9,32.3,TE,Ohio State
1057,Nico Collins,1388,HTX,3,89,2021,Michigan,2017,2019,29,78,1388,17.8,13,47.9,WR,Michigan
1058,Pete Manning,1386,NWE,,,1960,Wake Forest,1957,1959,60,96,1386,14.4,6,23.1,RB,Wake Forest
1059,Elijah McGuire,1383,NYJ,6,188,2017,Louisiana,2013,2016,51,129,1383,10.7,10,27.1,RB,Louisiana
1060,Aaron Hernandez,1382,NWE,4,113,2010,Florida,2007,2009,40,111,1382,12.5,12,34.6,TE,Florida
1061,Elijah Higgins,1380,MIA,6,197,2023,Stanford,2019,2022,39,119,1380,11.6,6,35.4,WR,Stanford
1062,Julius Dawkins,1380,BUF,12,320,1983,Pitt,1979,1982,44,85,1380,16.2,22,31.4,WR,Pitt
1063,Bubba Garcia,1375,KAN,6,147,1980,UTEP,1977,1979,34,100,1375,13.8,11,40.4,WR,UTEP
1064,Chuck Weatherspoon,1375,PHI,9,242,1991,Houston,1987,1990,44,117,1375,11.8,8,31.3,KR,Houston
1065,Terry Anthony,1375,TAM,11,281,1990,Florida State,1986,1989,39,79,1375,17.4,17,35.3,WR,Florida State
1066,David Clowney,1373,GNB,5,157,2007,Virginia Tech,2003,2006,49,93,1373,14.8,6,28,WR,Virginia Tech
1067,Alonzo Mayes,1372,CHI,4,94,1998,Oklahoma State,1994,1997,38,92,1372,14.9,15,36.1,TE,Oklahoma State
1068,Anthony Allen,1372,ATL,6,156,1983,Washington,1979,1982,42,99,1372,13.9,9,32.7,QB,Washington
1069,Mike Whitwell,1372,CLE,6,162,1982,Texas A&M,1978,1981,44,61,1372,22.5,7,31.2,WR,Texas A&M
1070,Vernon Davis,1371,SFO,1,6,2006,Maryland,2003,2005,35,83,1371,16.5,9,39.2,WR,Maryland
1071,Cole Turner,1370,WAS,5,149,2022,Nevada,2018,2021,45,117,1370,11.7,20,30.4,WR,Nevada
1072,Orson Charles,1370,CIN,4,116,2012,Georgia,2009,2011,40,94,1370,14.6,10,34.3,TE,Georgia
1073,David Thomas,1367,NWE,3,86,2006,Texas,2002,2005,51,98,1367,13.9,15,26.8,TE,Texas
1074,Demarcus Robinson,1366,KAN,4,126,2016,Florida,2013,2015,29,107,1366,12.8,9,47.1,WR,Florida
1075,Henry Childs,1365,ATL,5,109,1974,Kansas State,1971,1973,33,95,1365,14.4,10,41.4,TE,Kansas State
1076,Kellen Winslow,1365,CLE,1,6,2004,Miami (FL),2001,2003,36,119,1365,11.5,9,37.9,TE,Miami (FL)
1077,Ken Dyer,1365,SDG,4,100,1968,Arizona State,1965,1967,30,88,1365,15.5,7,45.5,WR,Arizona State
1078,Daniel Hardy,1364,TAM,7,238,2011,Idaho,2008,2010,27,80,1364,17.1,6,50.5,WR,Idaho
1079,Marquise Goodwin,1364,BUF,3,78,2013,Texas,2009,2012,50,120,1364,11.4,7,27.3,WR,Texas
1080,Chris Cole,1363,DEN,3,70,2000,Texas A&M,1997,1999,36,85,1363,16,8,37.9,WR,Texas A&M
1081,Jaleel Scott,1362,RAV,4,132,2018,New Mexico State,2016,2017,25,99,1362,13.8,14,54.5,WR,New Mexico State
1082,Sloan Thomas,1362,HTX,7,211,2004,Texas,2000,2003,46,88,1362,15.5,12,29.6,WR,Texas
1083,Kerry Reardon,1361,KAN,6,146,1971,Iowa,1968,1970,30,81,1361,16.8,11,45.4,WR,Iowa
1084,Anthony Gould,1360,CLT,5,142,2024,Oregon State,2019,2023,41,84,1360,16.2,6,33.2,,Oregon State
1085,Jesse Bendross,1359,SDG,7,174,1984,Alabama,1980,1983,43,76,1359,17.9,9,31.6,WR,Alabama
1086,Brevin Jordan,1358,HTX,5,147,2021,Miami (FL),2018,2020,31,105,1358,12.9,13,43.8,TE,Miami (FL)
1087,Dave Szymakowski,1358,NOR,3,59,1968,West Texas State,1965,1967,30,102,1358,13.3,12,45.3,WR,West Texas State
1088,Otis Grant,1358,RAM,5,134,1983,Michigan State,1979,1982,44,79,1358,17.2,12,30.9,QB,Michigan State
1089,Glynn Gregory,1356,KAN,13,101,1961,SMU,1958,1960,60,108,1356,12.6,8,22.6,RB,SMU
1090,Larry Glueck,1356,SDG,5,34,1963,Villanova,1960,1962,56,94,1356,14.4,6,24.2,RB,Villanova
1091,Roscoe Parrish,1355,BUF,2,55,2005,Miami (FL),2002,2004,36,86,1355,15.8,12,37.6,WR,Miami (FL)
1092,Martavis Bryant,1354,PIT,4,118,2014,Clemson,2011,2013,37,61,1354,22.2,13,36.6,WR,Clemson
1093,Greg Dulcich,1353,DEN,3,80,2022,UCLA,2018,2021,33,77,1353,17.6,11,41,TE,UCLA
1094,D.J. Chark,1351,JAX,2,61,2018,LSU,2014,2017,36,66,1351,20.5,6,37.5,,LSU
1095,Devin Thomas,1350,WAS,2,34,2008,Michigan State,2006,2007,23,85,1350,15.9,9,58.7,WR,Michigan State
1096,Eppie Barney,1350,CLE,3,72,1967,Iowa State,1964,1966,30,97,1350,13.9,4,45,RB,Iowa State
1097,Kris Haines,1350,WAS,9,233,1979,Notre Dame,1975,1978,41,63,1350,21.4,7,32.9,WR,Notre Dame
1098,Keith Mumphery,1348,HTX,5,175,2015,Michigan State,2011,2014,52,88,1348,15.3,7,25.9,WR,Michigan State
1099,Donny Anderson,1347,GNB,1,7,1965,Texas Tech,1963,1965,30,105,1347,12.8,12,44.9,RB,Texas Tech
1100,George Pickens,1347,PIT,2,52,2022,Georgia,2019,2021,26,90,1347,15,14,51.8,WR,Georgia
1101,Marvin Harvey,1346,KAN,3,70,1981,Southern Mississippi,1977,1980,45,74,1346,18.2,14,29.9,TE,Southern Mississippi
1102,Tim Euhus,1346,BUF,4,109,2004,Oregon State,2001,2003,37,98,1346,13.7,9,36.4,TE,Oregon State
1103,Tim Stracka,1346,CLE,6,145,1983,Wisconsin,1978,1982,44,91,1346,14.8,6,30.6,WR,Wisconsin
1104,Tony Scheffler,1345,DEN,2,61,2006,Western Michigan,2002,2005,35,117,1345,11.5,13,38.4,WR,Western Michigan
1105,Keith Hartwig,1344,MIN,11,306,1977,Arizona,1975,1976,22,66,1344,20.4,11,61.1,WR,Arizona
1106,Adrian Madise,1343,DEN,5,158,2003,Texas Christian,2001,2002,22,82,1343,16.4,7,61,WR,Texas Christian
1107,Ted Kwalick,1343,SFO,1,7,1969,Penn State,1966,1968,30,86,1343,15.6,10,44.8,WR,Penn State
1108,Dale Dawkins,1341,NYJ,9,223,1990,Miami (FL),1987,1989,33,87,1341,15.4,11,40.6,WR,Miami (FL)
1109,Richard Sherman,1340,SEA,5,154,2011,Stanford,2006,2010,54,81,1340,16.5,7,24.8,WR,Stanford
1110,Dennis Pearson,1339,ATL,5,125,1978,San Diego State,1973,1977,44,80,1339,16.7,6,30.4,WR,"San Diego State,Washington State"
1111,Justin Harper,1338,RAV,7,215,2008,Virginia Tech,2004,2007,50,83,1338,16.1,8,26.8,WR,Virginia Tech
1112,Ricardo Louis,1338,CLE,4,114,2016,Auburn,2012,2015,50,98,1338,13.7,8,26.8,WR,Auburn
1113,Cornelius Redick,1337,PHI,7,169,1986,Cal State Fullerton,1982,1985,42,70,1337,19.1,7,31.8,WR,Cal State Fullerton
1114,Ted Bolser,1337,WAS,7,217,2014,Indiana,2010,2013,47,117,1337,11.4,15,28.4,TE,Indiana
1115,Devery Henderson,1335,NOR,2,50,2004,LSU,2000,2003,42,81,1335,16.5,19,31.8,RB,LSU
1116,Chris Gedney,1334,CHI,3,61,1993,Syracuse,1989,1992,43,91,1334,14.7,7,31,TE,Syracuse
1117,Jammi German,1334,ATL,3,74,1998,Miami (FL),1993,1995,30,90,1334,14.8,6,44.5,WR,Miami (FL)
1118,Devin Aromashodu,1333,MIA,7,233,2006,Auburn,2002,2005,51,71,1333,18.8,9,26.1,WR,Auburn
1119,Oliver Williams,1333,CHI,12,313,1983,Illinois,1981,1982,22,73,1333,18.3,12,60.6,WR,Illinois
1120,Michael Egnew,1332,MIA,3,78,2012,Missouri,2008,2011,50,147,1332,9.1,8,26.6,WR,Missouri
1121,Steve Jordan,1330,MIN,7,179,1982,Brown,1979,1981,26,74,1330,18,8,51.2,WR,Brown
1122,George Shorthose,1329,MIA,6,145,1985,Missouri,1980,1984,55,83,1329,16,9,24.2,RB,Missouri
1123,Devon Wylie,1327,KAN,4,107,2012,Fresno State,2007,2011,43,98,1327,13.5,8,30.9,WR,Fresno State
1124,Donovan Peoples-Jones,1327,CLE,6,187,2020,Michigan,2017,2019,37,103,1327,12.9,14,35.9,WR,Michigan
1125,James Whalen,1324,TAM,5,157,2000,Kentucky,1997,1999,33,120,1324,11,13,40.1,TE,Kentucky
1126,Jeff Jordan,1324,DEN,15,113,1965,Tulsa,1962,1964,60,98,1324,13.5,12,22.1,RB,Tulsa
1127,James Pruitt,1323,MIA,4,107,1986,Cal State Fullerton,1982,1985,46,74,1323,17.9,9,28.8,WR,Cal State Fullerton
1128,Devin Fuller,1322,ATL,7,238,2016,UCLA,2012,2015,45,146,1322,9.1,10,29.4,QB,UCLA
1129,Alexander Wright,1320,DAL,2,26,1990,Auburn,1986,1989,44,56,1320,23.6,11,30,WR,Auburn
1130,Qadry Ismail,1318,MIN,2,52,1993,Syracuse,1989,1992,44,73,1318,18.1,5,30,KR,Syracuse
1131,Frank Darby,1317,ATL,6,187,2021,Arizona State,2017,2020,40,67,1317,19.7,13,32.9,WR,Arizona State
1132,Jeff Sydner,1317,PHI,6,160,1992,Hawaii,1989,1991,36,93,1317,14.2,9,36.6,RB,Hawaii
1133,Chris Taylor,1316,PIT,7,218,2001,Texas A&M,1997,2000,47,83,1316,15.9,7,28,WR,Texas A&M
1134,Travis Wilson,1315,CLE,3,78,2006,Oklahoma,2002,2005,44,105,1315,12.5,17,29.9,WR,Oklahoma
1135,Kitrick Taylor,1314,KAN,5,128,1987,Washington State,1982,1986,55,81,1314,16.2,17,23.9,DB,Washington State
1136,Warrick Dunn,1314,TAM,1,12,1997,Florida State,1993,1996,45,132,1314,10,12,29.2,RB,Florida State
1137,Ben Obomanu,1313,SEA,7,249,2006,Auburn,2002,2005,51,97,1313,13.5,18,25.7,WR,Auburn
1138,Derrell Mitchell,1312,NOR,6,176,1994,Texas Tech,1992,1993,22,91,1312,14.4,9,59.6,WR,Texas Tech
1139,Robert Claiborne,1312,DET,12,313,1990,San Diego State,1987,1989,24,81,1312,16.2,9,54.7,WR,San Diego State
1140,Gary Barnes,1310,NYJ,9,69,1962,Clemson,1959,1961,60,78,1310,16.8,10,21.8,WR,Clemson
1141,Crockett Gillmore,1308,RAV,3,99,2014,Colorado State,2010,2013,45,111,1308,11.8,8,29.1,DL,Colorado State
1142,Tom Hall,1308,BUF,22,172,1962,Minnesota,1959,1961,54,82,1308,16,10,24.2,WR,Minnesota
1143,Tommy Kane,1307,SEA,3,75,1988,Syracuse,1985,1987,33,63,1307,20.7,17,39.6,WR,Syracuse
1144,Bob Long,1306,SDG,10,74,1964,Wichita State,1963,1963,18,84,1306,15.5,18,72.6,WR,Wichita State
1145,Mark Brammer,1305,BUF,3,67,1980,Michigan State,1976,1979,44,107,1305,12.2,5,29.7,TE,Michigan State
1146,Cory Boyd,1303,TAM,7,238,2008,South Carolina,2003,2007,46,117,1303,11.1,5,28.3,RB,South Carolina
1147,Lynn Bowden Jr.,1303,RAI,3,80,2020,Kentucky,2017,2019,39,114,1303,11.4,6,33.4,WR,Kentucky
1148,Tony Gonzalez,1302,KAN,1,13,1997,California,1994,1996,33,89,1302,14.6,8,39.5,TE,California
1149,Bobby Olive,1301,KAN,11,300,1991,Ohio State,1987,1990,44,83,1301,15.7,10,29.6,WR,Ohio State
1150,Reggie Bush,1301,NOR,1,2,2006,USC,2003,2005,39,95,1301,13.7,13,33.4,RB,USC
1151,Blake Spence,1300,NYJ,5,146,1998,Oregon,1994,1997,45,87,1300,14.9,10,28.9,TE,Oregon
1152,Gary Lee,1299,DET,12,315,1987,Georgia Tech,1983,1986,36,67,1299,19.4,14,36.1,WR,Georgia Tech
1153,Jeremy Kerley,1299,NYJ,5,153,2011,Texas Christian,2007,2010,50,120,1299,10.8,12,26,WR,Texas Christian
1154,Tydus Winans,1299,WAS,3,68,1994,Fresno State,1991,1993,31,87,1299,14.9,7,41.9,WR,Fresno State
1155,Cody Core,1297,CIN,6,199,2016,Ole Miss,2012,2015,45,83,1297,15.6,10,28.8,WR,Ole Miss
1156,Hunter Long,1297,MIA,3,81,2021,Boston College,2018,2020,36,89,1297,14.6,9,36,TE,Boston College
1157,Chris Johnson,1296,OTI,1,24,2008,East Carolina,2004,2007,47,125,1296,10.4,10,27.6,RB,East Carolina
1158,De'Anthony Thomas,1296,KAN,4,124,2014,Oregon,2011,2013,37,113,1296,11.5,15,35,RB,Oregon
1159,Ja'Tavion Sanders,1295,CAR,4,101,2024,Texas,2021,2023,39,99,1295,13.1,7,33.2,TE,Texas
1160,Joel Dreessen,1295,NYJ,6,198,2005,Colorado State,2001,2004,44,123,1295,10.5,10,29.4,TE,Colorado State
1161,Bear Pascoe,1294,SFO,6,184,2009,Fresno State,2005,2008,46,112,1294,11.6,10,28.1,QB,Fresno State
1162,Matt Spaeth,1293,PIT,3,77,2007,Minnesota,2003,2006,47,109,1293,11.9,12,27.5,TE,Minnesota
1163,Pat Chaffey,1293,CHI,5,117,1990,Oregon State,1986,1989,32,124,1293,10.4,5,40.4,RB,Oregon State
1164,Tony Pollard,1292,DAL,4,128,2019,Memphis,2016,2018,40,104,1292,12.4,9,32.3,WR,Memphis
1165,Alex Smith,1291,TAM,3,71,2005,Stanford,2001,2004,44,107,1291,12.1,8,29.3,TE,Stanford
1166,Lance Alworth,1290,RAI,2,9,1962,Arkansas,1959,1961,60,74,1290,17.4,12,21.5,RB,Arkansas
1167,Stanley Havili,1290,PHI,7,240,2011,USC,2006,2010,52,116,1290,11.1,12,24.8,RB,USC
1168,Leon Johnson,1288,NYJ,4,104,1997,North Carolina,1993,1996,45,151,1288,8.5,4,28.6,RB,North Carolina
1169,Mel Renfro,1288,RAI,10,79,1964,Oregon,1961,1963,60,82,1288,15.7,10,21.5,RB,Oregon
1170,Anthony Gonzalez,1286,CLT,1,32,2007,Ohio State,2004,2006,33,87,1286,14.8,13,39,WR,Ohio State
1171,Paul Martha,1286,BUF,9,69,1964,Pitt,1961,1963,60,64,1286,20.1,6,21.4,QB,Pitt
1172,Hayden Hurst,1281,RAV,1,25,2018,South Carolina,2015,2017,38,100,1281,12.8,3,33.7,TE,South Carolina
1173,Tommy Sweeney,1281,BUF,7,228,2019,Boston College,2015,2018,50,99,1281,12.9,10,25.6,TE,Boston College
1174,Deuce Vaughn,1280,DAL,6,212,2023,Kansas State,2020,2022,37,116,1280,11,9,34.6,RB,Kansas State
1175,Dorial Green-Beckham,1278,OTI,2,40,2015,Oklahoma,2012,2013,25,87,1278,14.7,17,51.1,WR,Missouri
1176,Fred Hill,1278,RAI,16,123,1965,USC,1962,1964,60,92,1278,13.9,6,21.3,WR,USC
1177,Jesse Thompson,1276,DET,6,165,1978,California,1975,1977,33,93,1276,13.7,7,38.7,WR,California
1178,Kevin Norwood,1275,SEA,4,123,2014,Alabama,2010,2013,49,81,1275,15.7,12,26,WR,Alabama
1179,Payne Durham,1275,TAM,5,171,2023,Purdue,2018,2022,45,126,1275,10.1,21,28.3,,Purdue
1180,Luther Blue,1273,DET,4,96,1977,Iowa State,1974,1976,33,69,1273,18.4,9,38.6,WR,Iowa State
1181,Ronnie Bull,1272,KAN,1,3,1962,Baylor,1959,1961,60,118,1272,10.8,16,21.2,RB,Baylor
1182,Rocky Belk,1271,CLE,7,176,1983,Miami (FL),1979,1982,44,58,1271,21.9,7,28.9,WR,Miami (FL)
1183,Timmy Moffett,1271,RAI,3,79,1985,Ole Miss,1981,1984,43,82,1271,15.5,8,29.6,WR,Ole Miss
1184,Tyrie Cleveland,1271,DEN,7,252,2020,Florida,2016,2019,46,79,1271,16.1,8,27.6,WR,Florida
1185,Reggie Rembert,1269,NYJ,2,28,1990,West Virginia,1988,1989,21,64,1269,19.8,18,60.4,WR,West Virginia
1186,Toney Clemons,1268,PIT,7,231,2012,Colorado,2007,2011,43,98,1268,12.9,11,29.5,WR,"Colorado,Michigan"
1187,Mark Nichols,1267,DET,1,16,1981,San Jose State,1979,1980,22,48,1267,26.4,16,57.6,WR,San Jose State
1188,Cory Fleming,1266,SFO,3,87,1994,Tennessee,1990,1993,45,94,1266,13.5,18,28.1,WR,Tennessee
1189,Elmer Bailey,1266,MIA,4,100,1980,Minnesota,1977,1979,33,79,1266,16,12,38.4,WR,Minnesota
1190,Ernest Givins,1266,OTI,2,34,1986,Louisville,1984,1985,22,67,1266,18.9,8,57.5,WR,Louisville
1191,Austin Proehl,1265,BUF,7,255,2018,North Carolina,2014,2017,43,91,1265,13.9,5,29.4,WR,North Carolina
1192,Bobby Crespino,1264,RAI,6,45,1961,Ole Miss,1958,1960,60,82,1264,15.4,12,21.1,RB,Ole Miss
1193,James Cox,1264,MIA,2,54,1968,Miami (FL),1965,1967,30,97,1264,13,12,42.1,WR,Miami (FL)
1194,Ken Whisenhunt,1264,ATL,12,313,1985,Georgia Tech,1980,1984,46,82,1264,15.4,7,27.5,QB,Georgia Tech
1195,Scott Fitzkee,1263,PHI,5,126,1979,Penn State,1975,1978,42,65,1263,19.4,11,30.1,WR,Penn State
1196,Theo Riddick,1263,DET,6,199,2013,Notre Dame,2009,2012,45,120,1263,10.5,8,28.1,RB,Notre Dame
1197,Jaheim Bell,1260,NWE,7,231,2024,Florida State,2020,2023,43,95,1260,13.3,9,29.3,TE,"Florida State,South Carolina"
1198,Jimmy Teal,1258,BUF,5,130,1985,Texas A&M,1982,1984,32,74,1258,17,9,39.3,WR,Texas A&M
1199,Javon Walker,1257,GNB,1,20,2002,Florida State,2000,2001,20,65,1257,19.3,10,62.9,WR,Florida State
1200,Clarence Williams,1256,DEN,7,169,1993,Washington State,1989,1992,42,94,1256,13.4,3,29.9,TE,Washington State
