,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1001,T.J. Graham,1453,BUF,3,69,2012,North Carolina State,2008,2011,46,99,1453,14.7,12,31.6,WR,North Carolina State
1002,Brandon Pettigrew,1450,DET,1,20,2009,Oklahoma State,2005,2008,47,112,1450,12.9,9,30.9,TE,Oklahoma State
1003,John Hightower,1447,PHI,5,168,2020,Boise State,2018,2019,24,82,1447,17.6,14,60.3,WR,Boise State
1004,Ito Smith,1446,ATL,4,126,2018,Southern Mississippi,2014,2017,52,140,1446,10.3,7,27.8,RB,Southern Mississippi
1005,James Milling,1446,ATL,11,278,1988,Maryland,1985,1987,33,80,1446,18.1,7,43.8,WR,Maryland
1006,John Henderson,1446,BUF,17,136,1965,Michigan,1963,1964,36,108,1446,13.4,14,40.2,WR,Michigan
1007,Trent Smith,1445,RAV,7,223,2003,Oklahoma,1999,2002,49,154,1445,9.4,16,29.5,TE,Oklahoma
1008,Isaac Byrd,1444,KAN,6,195,1997,Kansas,1995,1996,22,101,1444,14.3,12,65.6,WR,Kansas
1009,Alfred Jackson,1441,ATL,7,167,1978,Texas,1975,1977,29,70,1441,20.6,8,49.7,WR,Texas
1010,Carl Hilton,1440,MIN,7,179,1986,Houston,1982,1985,44,106,1440,13.6,14,32.7,TE,Houston
1011,Steve Odom,1440,GNB,5,116,1974,Utah,1971,1973,34,72,1440,20,19,42.4,RB,Utah
1012,Tyler Scott,1439,CHI,4,133,2023,Cincinnati,2020,2022,35,87,1439,16.5,14,41.1,WR,Cincinnati
1013,Adrian Arrington,1438,NOR,7,237,2008,Michigan,2004,2007,35,109,1438,13.2,16,41.1,WR,Michigan
1014,Jalen Hurd,1438,SFO,3,67,2019,Baylor,2014,2018,45,136,1438,10.6,10,32,RB,"Baylor,Tennessee"
1015,Paul Krause,1436,DEN,12,89,1964,Iowa,1961,1963,52,84,1436,17.1,14,27.6,RB,Iowa
1016,Gary Fencik,1435,MIA,10,281,1976,Yale,1973,1975,27,86,1435,16.7,7,53.1,WR,Yale
1017,Velus Jones Jr.,1434,CHI,3,71,2022,Tennessee,2016,2021,62,120,1434,12,11,23.1,WR,"Tennessee,USC"
1018,Zach Ertz,1434,PHI,2,35,2013,Stanford,2010,2012,37,112,1434,12.8,15,38.8,TE,Stanford
