,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1601,Ben Hart,915,NOR,3,80,1967,Oklahoma,1964,1966,30,53,915,17.3,6,30.5,WR,Oklahoma
1602,Andy McCullough,912,NOR,7,204,1998,Tennessee,1994,1997,45,59,912,15.5,8,20.3,WR,Tennessee
1603,Javon Wims,910,CHI,7,224,2018,Georgia,2016,2017,27,62,910,14.7,8,33.7,WR,Georgia
1604,Brian Calhoun,909,DET,3,74,2006,Wisconsin,2002,2005,39,90,909,10.1,4,23.3,RB,"Colorado,Wisconsin"
1605,William Harris,909,CRD,7,195,1987,,1984,1985,20,49,909,18.6,4,45.5,TE,Texas
1606,Chris DeFrance,908,DAL,6,164,1979,Arizona State,1977,1978,20,42,908,21.6,8,45.4,WR,Arizona State
1607,Ray Perkins,908,CLT,7,110,1966,Alabama,1964,1966,30,63,908,14.4,9,30.3,WR,Alabama
1608,Arthur Lynch,907,MIA,5,155,2014,Georgia,2009,2013,50,56,907,16.2,8,18.1,TE,Georgia
1609,John Tuggle,907,NYG,12,335,1983,California,1979,1982,44,106,907,8.6,3,20.6,RB,California
1610,Steve Stonebreaker,907,DEN,34,266,1962,Detroit Mercy,1959,1961,28,53,907,17.1,4,32.4,WR,Detroit Mercy
1611,Shelton Diggs,906,ATL,5,120,1977,USC,1973,1976,44,44,906,20.6,11,20.6,WR,USC
1612,Isaac Nauta,905,DET,7,224,2019,Georgia,2016,2018,42,68,905,13.3,8,21.5,TE,Georgia
1613,Eric Lane,904,SEA,8,196,1981,BYU,1979,1980,23,82,904,11,5,39.3,RB,BYU
1614,Gary Arthur,904,NYJ,5,124,1970,Miami (OH),1967,1969,30,66,904,13.7,6,30.1,WR,Miami (OH)
1615,John Sawyer,904,OTI,11,271,1975,Southern Mississippi,1972,1974,33,69,904,13.1,4,27.4,WR,Southern Mississippi
1616,Jim Braxton,903,BUF,3,57,1971,West Virginia,1968,1970,31,53,903,17,11,29.1,RB,West Virginia
1617,Brice Butler,901,RAI,7,209,2013,San Diego State,2009,2012,49,65,901,13.9,7,18.4,WR,"San Diego State,USC"
1618,Tyler Kroft,901,CIN,3,85,2015,Rutgers,2012,2014,37,70,901,12.9,5,24.4,TE,Rutgers
1619,Gerald Carter,900,TAM,9,240,1980,Texas A&M,1978,1979,22,61,900,14.8,3,40.9,WR,Texas A&M
1620,C.J. Fiedorowicz,899,HTX,3,65,2014,Iowa,2010,2013,51,91,899,9.9,10,17.6,TE,Iowa
1621,Derek Brown,899,NYG,1,14,1992,Notre Dame,1988,1991,43,62,899,14.5,8,20.9,TE,Notre Dame
1622,James Starks,898,GNB,6,193,2010,Buffalo,2006,2008,36,127,898,7.1,3,24.9,QB,Buffalo
1623,Mike Richardson,898,OTI,7,171,1969,SMU,1966,1968,30,77,898,11.7,5,29.9,RB,SMU
1624,Samori Toure,898,GNB,7,258,2022,Nebraska,2021,2021,12,46,898,19.5,5,74.8,WR,Nebraska
1625,Chris Kolodziejski,897,PIT,2,52,1984,Wyoming,1980,1983,35,61,897,14.7,6,25.6,TE,Wyoming
1626,Byron Hanspard,896,ATL,2,41,1997,Texas Tech,1994,1996,33,63,896,14.2,9,27.2,RB,Texas Tech
