,,,,,,,,,,,Passing,,,,,,,,,,,,,,,
153,Chuck Long,64,DET,1,12,1986,Iowa,1981,1985,56,692,1072,380,64.6,9210,64,46,6,4.3,147.8,8.6,7.85,13.3,164.5,QB,Iowa
154,Elvis Grbac,64,SFO,8,219,1993,Michigan,1989,1992,42,476,754,278,63.1,5859,64,29,8.5,3.8,148.7,7.8,7.74,12.3,139.5,QB,Michigan
155,Garrett Grayson,64,NOR,3,75,2015,Colorado State,2011,2014,37,688,1113,425,61.8,9190,64,27,5.8,2.4,145.3,8.3,8.32,13.4,248.4,QB,Colorado State
156,Jake Plummer,64,CRD,2,42,1997,Arizona State,1993,1996,42,613,1107,494,55.4,8626,64,34,5.8,3.1,133.8,7.8,7.57,14.1,205.4,QB,Arizona State
157,Kurt Kittner,64,ATL,5,158,2002,Illinois,1998,2001,41,654,1205,551,54.3,8206,64,32,5.3,2.7,123.7,6.8,6.68,12.5,200.1,QB,Illinois
158,Kyle Boller,64,RAV,1,19,2003,California,1999,2002,43,622,1301,679,47.8,7980,64,48,4.9,3.7,108.2,6.1,5.46,12.8,185.6,QB,California
159,Mark Herrmann,64,DEN,4,98,1981,Purdue,1977,1980,44,729,1242,513,58.7,9354,64,75,5.2,6,126.9,7.5,5.84,12.8,212.6,QB,Purdue
160,Brian McClure,63,BUF,12,313,1986,Bowling Green,1982,1985,44,900,1427,527,63.1,10280,63,58,4.4,4.1,130,7.2,6.26,11.4,233.6,QB,Bowling Green
161,Drake Maye,63,NWE,1,3,2024,North Carolina,2021,2023,30,618,952,334,64.9,8018,63,16,6.6,1.7,154.1,8.4,8.99,13,267.3,QB,North Carolina
162,Johnny Manziel,63,CLE,1,22,2014,Texas A&M,2012,2013,26,595,863,268,68.9,7820,63,22,7.3,2.5,164.1,9.1,9.37,13.1,300.8,QB,Texas A&M
163,Mike Glennon,63,TAM,3,73,2013,North Carolina State,2009,2012,36,646,1069,423,60.4,7411,63,31,5.9,2.9,132.3,6.9,6.81,11.5,205.9,QB,North Carolina State
164,Ryan Finley,63,CIN,4,104,2019,North Carolina State,2014,2018,47,939,1462,523,64.2,11147,63,30,4.3,2.1,138.4,7.6,7.56,11.9,237.2,QB,"Boise State,North Carolina State"
165,Bailey Zappe,62,NWE,4,137,2022,Western Kentucky,2021,2021,14,475,687,212,69.1,5967,62,11,9,1.6,168.7,8.7,9.77,12.6,426.2,QB,Western Kentucky
166,Bryce Petty,62,NYJ,4,103,2015,Baylor,2011,2014,37,530,845,315,62.7,8195,62,10,7.3,1.2,166,9.7,10.63,15.5,221.5,QB,Baylor
167,Gardner Minshew,62,JAX,6,178,2019,Washington State,2016,2018,30,761,1168,407,65.2,8266,62,20,5.3,1.7,138.7,7.1,7.37,10.9,275.5,QB,"East Carolina,Washington State"
168,Cade McNown,61,CHI,1,12,1999,UCLA,1995,1998,44,646,1153,507,56,10008,61,39,5.3,3.4,139.6,8.7,8.22,15.5,227.5,QB,UCLA
169,Clayton Thorson,61,PHI,5,167,2019,Northwestern,2015,2018,53,991,1696,705,58.4,10731,61,45,3.6,2.7,118.1,6.3,5.85,10.8,202.5,QB,Northwestern
170,David Carr,61,HTX,1,1,2002,Fresno State,1997,2001,35,530,845,315,62.7,6927,61,20,7.2,2.4,150.7,8.2,8.58,13.1,197.9,QB,Fresno State
171,Kellen Clemens,61,NYJ,2,49,2006,Oregon,2002,2005,37,613,1005,392,61,7555,61,24,6.1,2.4,139.4,7.5,7.66,12.3,204.2,QB,Oregon
172,Kyle Orton,61,CHI,4,106,2005,Purdue,2001,2004,43,748,1262,514,59.3,8918,61,24,4.8,1.9,130.8,7.1,7.18,11.9,207.4,QB,Purdue
173,Marc Wilson,61,RAI,1,15,1980,BYU,1977,1979,34,535,937,402,57.1,7637,61,46,6.5,4.9,137.2,8.2,7.24,14.3,224.6,QB,BYU
174,Nate Sudfeld,61,WAS,6,187,2016,Indiana,2012,2015,38,593,983,390,60.3,7879,61,20,6.2,2,144.1,8,8.34,13.3,207.3,QB,Indiana
175,David Garrard,60,JAX,4,108,2002,East Carolina,1998,2001,44,666,1169,503,57,9029,60,39,5.1,3.3,132.1,7.7,7.25,13.6,205.2,QB,East Carolina
176,Jimmy Clausen,60,CAR,2,48,2010,Notre Dame,2007,2009,35,695,1110,415,62.6,8148,60,27,5.4,2.4,137.2,7.3,7.33,11.7,232.8,QB,Notre Dame
177,Jordan Love,60,GNB,1,26,2020,Utah State,2017,2019,38,689,1125,436,61.2,8600,60,29,5.3,2.6,137.9,7.6,7.55,12.5,226.3,QB,Utah State
178,J.P. Losman,60,BUF,1,22,2004,Tulane,2000,2003,38,570,987,417,57.8,6754,60,27,6.1,2.7,129.8,6.8,6.83,11.8,177.7,QB,Tulane
179,Danny White,59,DAL,3,53,1974,Arizona State,1971,1973,33,345,649,304,53.2,5932,59,36,9.1,5.5,148.8,9.1,8.46,17.2,179.8,QB,Arizona State
180,Jay Cutler,59,DEN,1,11,2006,Vanderbilt,2002,2005,45,710,1242,532,57.2,8697,59,36,4.8,2.9,125.9,7,6.65,12.2,193.3,QB,Vanderbilt
181,Josh Rosen,59,CRD,1,10,2018,UCLA,2015,2017,30,712,1170,458,60.9,9341,59,26,5,2.2,140.1,8,7.99,13.1,311.4,QB,UCLA
182,Mike Teel,59,SEA,6,178,2009,Rutgers,2005,2008,48,661,1142,481,57.9,9383,59,49,5.2,4.3,135.4,8.2,7.32,14.2,195.5,QB,Rutgers
183,Paxton Lynch,59,DEN,1,26,2016,Memphis,2013,2015,38,758,1205,447,62.9,8863,59,23,4.9,1.9,137,7.4,7.48,11.7,233.2,QB,Memphis
184,Randall Cunningham,59,PHI,2,37,1985,Nevada-Las Vegas,1982,1984,34,596,1029,433,57.9,8020,59,29,5.7,2.8,136.7,7.8,7.67,13.5,235.9,QB,Nevada-Las Vegas
185,Chris Simms,58,TAM,3,97,2003,Texas,1999,2002,41,535,911,376,58.7,7097,58,31,6.4,3.4,138.4,7.8,7.53,13.3,173.1,QB,Texas
186,Ryan Leaf,58,SDG,1,2,1998,Washington State,1995,1997,31,456,845,389,54,7102,58,23,6.9,2.7,141.8,8.4,8.55,15.6,229.1,QB,Washington State
187,T.J. Yates,58,HTX,5,152,2011,North Carolina,2007,2010,45,795,1277,482,62.3,9377,58,46,4.5,3.6,131.7,7.3,6.63,11.8,208.4,QB,North Carolina
188,Danny Kanell,57,NYG,4,130,1996,Florida State,1992,1995,45,529,851,322,62.2,6372,57,26,6.7,3.1,141.1,7.5,7.45,12,141.6,QB,Florida State
189,Matt Corral,57,CAR,3,94,2022,Ole Miss,2018,2021,37,614,912,298,67.3,8287,57,23,6.3,2.5,159.2,9.1,9.2,13.5,224,QB,Ole Miss
190,Sam Darnold,57,NYJ,1,3,2018,USC,2016,2017,27,549,846,297,64.9,7229,57,22,6.7,2.6,153.7,8.5,8.72,13.2,267.7,QB,USC
191,Blake Bortles,56,JAX,1,3,2014,UCF,2011,2013,37,585,891,306,65.7,7598,56,19,6.3,2.1,153.8,8.5,8.82,13,205.4,QB,UCF
192,Brad Smith,56,NYJ,4,103,2006,Missouri,2002,2005,48,835,1484,649,56.3,8799,56,33,3.8,2.2,114.1,5.9,5.68,10.5,183.3,QB,Missouri
193,Don Trull,56,OTI,14,111,1963,Baylor,1961,1963,60,650,1186,536,54.8,8286,56,58,4.7,4.9,119.3,7,5.73,12.7,138.1,QB,Baylor
194,George Mira,56,DEN,18,137,1964,Miami (FL),1961,1963,60,750,1532,782,49,9454,56,72,3.7,4.7,103.5,6.2,4.79,12.6,157.6,QB,Miami (FL)
195,Kerwin Bell,56,MIA,7,180,1988,Florida,1984,1987,42,549,953,404,57.6,7585,56,35,5.9,3.7,136.5,8,7.48,13.8,180.6,QB,Florida
196,Mac Jones,56,NWE,1,15,2021,Alabama,2018,2020,39,413,556,143,74.3,6126,56,7,10.1,1.3,197.6,11,12.47,14.8,157.1,QB,Alabama
197,Matt Ryan,56,ATL,1,3,2008,Boston College,2004,2007,43,807,1347,540,59.9,9313,56,37,4.2,2.7,126.2,6.9,6.51,11.5,216.6,QB,Boston College
198,Matt Schaub,56,ATL,3,90,2004,Virginia,2000,2003,40,716,1069,353,67,7502,56,26,5.2,2.4,138.4,7,6.97,10.5,187.6,QB,Virginia
199,Pat White,56,MIA,2,44,2009,West Virginia,2005,2008,49,507,783,276,64.8,6049,56,23,7.2,2.9,147.4,7.7,7.83,11.9,123.4,QB,West Virginia
200,Ricky Stanzi,56,KAN,5,135,2011,Iowa,2007,2010,39,542,907,365,59.8,7377,56,31,6.2,3.4,141.6,8.1,7.83,13.6,189.2,QB,Iowa
