,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
3201,Tyler Walton,1043,2019,2023,42,100,1043,10.4,5,24.8,WR,Ohio
3202,Blair Conwright,1042,2019,2024,53,72,1042,14.5,7,19.7,WR,"North Texas,Texas Christian"
3203,Paul Warth,1042,1976,1978,33,65,1042,16,11,31.6,TE,Miami (OH)
3204,Wesley Morris,1042,1997,1998,24,68,1042,15.3,5,43.4,WR,Hawaii
3205,Chris Gallon,1041,2012,2015,27,85,1041,12.2,8,38.6,WR,Bowling Green
3206,Chris Nixon,1041,1985,1989,38,60,1041,17.4,6,27.4,WR,Rice
3207,David Karns,1041,1966,1968,28,77,1041,13.5,14,37.2,WR,UTEP
3208,Jeff Frandsen,1041,1987,1989,36,55,1041,18.9,13,28.9,WR,BYU
3209,Kendrick Lee,1041,1994,1996,33,60,1041,17.4,11,31.5,WR,Southern Mississippi
3210,Anthony Perine,1040,2003,2006,47,80,1040,13,5,22.1,WR,Southern Mississippi
3211,Casey Pierce,1040,2011,2014,45,97,1040,10.7,11,23.1,TE,Kent State
3212,Jalen Knox,1040,2018,2023,56,78,1040,13.3,4,18.6,,"Missouri,Ole Miss"
3213,John Brady,1040,1970,1972,32,67,1040,15.5,10,32.5,TE,Washington
3214,Maurice Nelson,1040,1985,1988,39,62,1040,16.8,5,26.7,WR,Tulane
3215,Nick Davis,1040,1998,2001,43,77,1040,13.5,6,24.2,WR,Wisconsin
3216,Ted Forrest,1040,1972,1975,44,68,1040,15.3,6,23.6,WR,Western Michigan
3217,Zack Wesley,1040,1991,1994,29,91,1040,11.4,8,35.9,WR,New Mexico
3218,Anthony Rice,1039,2013,2016,40,100,1039,10.4,5,26,WR,Central Michigan
3219,Antoine Porter,1039,2016,2017,24,90,1039,11.5,8,43.3,WR,Eastern Michigan
3220,Michael Buggs,1039,1978,1980,33,68,1039,15.3,7,31.5,WR,California
3221,Todd Floyd,1039,1995,1997,31,77,1039,13.5,9,33.5,WR,Nevada-Las Vegas
3222,Byron Cross,1038,1987,1990,38,59,1038,17.6,6,27.3,WR,Ohio
3223,Caleb Blankenship,1038,2001,2004,47,90,1038,11.5,7,22.1,TE,Tulsa
3224,Dan Natale,1038,1972,1974,33,67,1038,15.5,8,31.5,TE,Penn State
3225,Deangleo Antoine,1038,2016,2019,42,86,1038,12.1,7,24.7,WR,"Florida Atlantic,South Florida"
3226,Gary Smith,1038,1978,1982,55,63,1038,16.5,7,18.9,WR,SMU
3227,Luke Roberts,1038,2004,2007,38,70,1038,14.8,7,27.3,WR,Colorado State
3228,Mark Montgomery,1038,1990,1994,44,81,1038,12.8,5,23.6,WR,Southern Mississippi
3229,Mike Ball,1038,1976,1979,43,49,1038,21.2,4,24.1,WR,Central Michigan
3230,Montorie Foster,1038,2020,2024,46,79,1038,13.1,6,22.6,WR,Michigan State
3231,Bill Khayat,1037,1992,1995,36,93,1037,11.2,7,28.8,TE,Duke
3232,Justin McGriff,1037,2018,2022,34,80,1037,13,12,30.5,WR,"Nebraska,Utah State"
3233,Louis Balady,1037,1989,1992,38,63,1037,16.5,6,27.3,WR,Rice
3234,Marcus Mathews,1037,1982,1986,44,65,1037,16,7,23.6,WR,Eastern Michigan
3235,Mike Cordy,1037,1974,1976,33,62,1037,16.7,2,31.4,WR,Utah
3236,Paul Jokisch,1037,1984,1986,34,55,1037,18.9,6,30.5,WR,Michigan
3237,Dahu Green,1036,2015,2021,47,61,1036,17,8,22,WR,"Arkansas State,Oklahoma"
3238,Harlan Lane,1036,1964,1965,20,88,1036,11.8,4,51.8,WR,Baylor
3239,James Hall,1036,1975,1977,32,69,1036,15,5,32.4,RB,Eastern Michigan
3240,Jimmy Oliver,1036,1991,1994,44,54,1036,19.2,11,23.5,WR,Texas Christian
3241,Brad Ekwerekwu,1035,2003,2006,45,97,1035,10.7,6,23,WR,Missouri
3242,Willie Geter,1035,2007,2010,45,120,1035,8.6,2,23,RB,Bowling Green
3243,George Cheshire,1034,1965,1967,30,79,1034,13.1,11,34.5,RB,Baylor
3244,Jeff Stempel,1034,1973,1975,31,66,1034,15.7,9,33.4,TE,Temple
3245,O'Neil Wilson,1034,2001,2003,33,85,1034,12.2,11,31.3,WR,Connecticut
3246,Tyler Hudson,1034,2022,2022,12,69,1034,15,2,86.2,WR,Louisville
3247,Darius Carey,1033,2009,2010,24,95,1033,10.9,9,43,WR,North Texas
3248,Greg Anderson,1033,1987,1990,44,76,1033,13.6,2,23.5,WR,Baylor
3249,Ja'Shaun Poke,1033,2019,2022,36,81,1033,12.8,5,28.7,WR,Kent State
3250,Keke Chism,1033,2020,2021,23,81,1033,12.8,5,44.9,WR,Missouri
3251,Kevin Miller,1033,1974,1977,44,72,1033,14.3,6,23.5,WR,Louisville
3252,Lance Dunbar,1033,2008,2011,41,97,1033,10.6,8,25.2,RB,North Texas
3253,Mark Benson,1033,1989,1991,33,58,1033,17.8,9,31.3,WR,Northwestern
3254,Willie Hatter,1033,1970,1971,21,85,1033,12.2,6,49.2,WR,Northern Illinois
3255,Brent Duhon,1032,1981,1984,39,53,1032,19.5,7,26.5,WR,Texas
3256,Chris Henry,1032,2002,2005,35,100,1032,10.3,1,29.5,WR,Middle Tennessee State
3257,John Lewis,1032,2001,2002,23,58,1032,17.8,7,44.9,WR,Oklahoma State
3258,Luke Wysong,1032,2021,2024,30,95,1032,10.9,3,34.4,WR,New Mexico
3259,Ryan Pearson,1032,1993,1995,33,86,1032,12,6,31.3,WR,Southern Mississippi
3260,Sean Jones,1032,1987,1989,33,72,1032,14.3,10,31.3,WR,Ball State
3261,Travis Zachery,1032,1998,2001,43,104,1032,9.9,8,24,RB,Clemson
3262,Andy Roland,1031,2002,2005,46,69,1031,14.9,7,22.4,TE,Duke
3263,Cotie McMahon,1031,1992,1993,21,55,1031,18.7,4,49.1,WR,Utah State
3264,David Youell,1031,1999,2002,39,104,1031,9.9,1,26.4,WR,Middle Tennessee State
3265,Jalen Knox,1031,2018,2020,29,77,1031,13.4,4,35.6,WR,Missouri
3266,Jeffrey Jacobs,1031,1984,1986,33,74,1031,13.9,6,31.2,WR,SMU
3267,Jonathan Brady,1031,2022,2024,32,70,1031,14.7,7,32.2,WR,"California,New Mexico State"
3268,Kerry Reed-Martin,1031,1986,1988,34,88,1031,11.7,7,30.3,TE,San Diego State
3269,Willie Idlette,1031,2003,2006,47,85,1031,12.1,4,21.9,WR,Wake Forest
3270,Christion Jones,1030,2011,2014,53,85,1030,12.1,7,19.4,DL,Alabama
3271,Harvey Smith,1030,1984,1987,31,58,1030,17.8,9,33.2,WR,West Virginia
3272,Josh Schaffer,1030,2011,2013,31,81,1030,12.7,7,33.2,WR,Western Michigan
3273,Selwyn Lymon,1030,2006,2007,25,73,1030,14.1,5,41.2,WR,Purdue
3274,Nafis Karim,1029,1995,1998,41,71,1029,14.5,7,25.1,WR,Florida
3275,Roger Pettus,1029,1991,1994,36,82,1029,12.5,3,28.6,WR,Wake Forest
3276,Brandon Presley,1028,2015,2018,36,73,1028,14.1,7,28.6,WR,Nevada-Las Vegas
3277,Cloyd Webb,1028,1961,1963,26,61,1028,16.9,10,39.5,WR,Iowa
3278,Damien Semien,1028,1990,1993,45,73,1028,14.1,7,22.8,WR,California
3279,Demarco Robinson,1028,2011,2014,39,86,1028,12,3,26.4,WR,Kentucky
3280,Marcus Rosemy-Jacksaint,1028,2020,2023,47,74,1028,13.9,7,21.9,WR,Georgia
3281,Marcus Thigpen,1028,2005,2008,47,84,1028,12.2,9,21.9,WR,Indiana
3282,Tony Akins,1028,1997,1998,23,60,1028,17.1,5,44.7,WR,Louisiana-Monroe
3283,Alfred Kinney,1027,1979,1981,29,57,1027,18,11,35.4,RB,Louisiana-Monroe
3284,Chesley Borders,1027,1999,2002,36,65,1027,15.8,9,28.5,WR,North Carolina
3285,Dwight Garner,1027,1982,1985,44,120,1027,8.6,1,23.3,RB,California
3286,Ja'Deion High,1027,2014,2018,41,83,1027,12.4,5,25,WR,Texas Tech
3287,Jeff Hill,1027,1990,1993,44,86,1027,11.9,6,23.3,WR,Purdue
3288,Keith Perry,1027,2000,2003,40,75,1027,13.7,3,25.7,WR,Northern Illinois
3289,Nick Provo,1027,2008,2011,40,92,1027,11.2,9,25.7,TE,Syracuse
3290,Norman Brown,1027,1980,1981,22,62,1027,16.6,10,46.7,WR,Cal State Fullerton
3291,Ryan Brewer,1027,1999,2002,44,102,1027,10.1,4,23.3,WR,South Carolina
3292,Brennan Eagles,1026,2018,2020,32,61,1026,16.8,11,32.1,WR,Texas
3293,Brian Kelley,1026,1980,1981,22,74,1026,13.9,3,46.6,WR,Holy Cross
3294,Dave Clark,1026,1964,1966,30,70,1026,14.7,10,34.2,WR,Utah State
3295,Jeff Dackin,1026,1978,1981,42,79,1026,13,5,24.4,WR,Eastern Michigan
3296,John Stofa,1026,1986,1988,33,73,1026,14.1,3,31.1,WR,Miami (OH)
3297,Julian Fleming,1026,2020,2024,41,82,1026,12.5,7,25,WR,"Ohio State,Penn State"
3298,Maurice Wilson,1026,1989,1992,43,78,1026,13.2,7,23.9,WR,Oregon State
3299,Albert Hannah,1025,1969,1971,31,59,1025,17.4,7,33.1,WR,Wisconsin
3300,Mack Burton,1025,1959,1961,29,72,1025,14.2,10,35.3,RB,San Jose State
3301,Otis Anderson,1025,2017,2020,46,91,1025,11.3,9,22.3,RB,UCF
3302,Billy Bowens,1024,2018,2023,48,77,1024,13.3,5,21.3,WR,Boise State
3303,Harold Collins,1024,1986,1987,21,59,1024,17.4,9,48.8,WR,UTEP
3304,Jeff Thomas,1024,1991,1994,40,79,1024,13,1,25.6,WR,Georgia
3305,Nick Easley,1024,2017,2018,26,103,1024,9.9,9,39.4,WR,Iowa
3306,Terry Young,1024,1978,1982,55,73,1024,14,2,18.6,WR,Oklahoma State
3307,Claude Dixon,1023,1981,1984,44,70,1023,14.6,3,23.3,WR,Oregon State
3308,Darrell Goolsby,1023,1984,1987,42,64,1023,16,10,24.4,WR,Rice
3309,Fred Montgomery,1023,1991,1992,22,64,1023,16,2,46.5,WR,New Mexico State
3310,John Bush,1023,1989,1992,38,61,1023,16.8,7,26.9,WR,Memphis
3311,Keith Denson,1023,1972,1973,22,53,1023,19.3,13,46.5,WR,San Diego State
3312,Mike Baker,1023,1990,1993,43,67,1023,15.3,7,23.8,WR,West Virginia
3313,Preston Davis,1023,2008,2011,40,91,1023,11.2,5,25.6,WR,Idaho
3314,Ryan Wells,1023,1999,2002,41,78,1023,13.1,6,25,WR,Stanford
3315,Andrew Meyer,1022,2015,2018,36,73,1022,14,7,28.4,WR,Ohio
3316,Jason Willis,1022,1999,2002,45,84,1022,12.2,2,22.7,WR,Oregon
3317,Marcel Willis,1022,1999,2002,42,81,1022,12.6,2,24.3,WR,Auburn
3318,Timmie Ware,1022,1981,1984,45,57,1022,17.9,6,22.7,WR,USC
3319,Rickey Galvin,1021,2010,2014,40,113,1021,9,8,25.5,RB,Washington State
3320,Coleman Bell,1020,1990,1992,33,71,1020,14.4,3,30.9,TE,Miami (FL)
3321,Antonio Vaughan,1019,2014,2014,12,63,1019,16.2,12,84.9,WR,Old Dominion
3322,D'Vario Montgomery,1019,2012,2016,36,78,1019,13.1,5,28.3,WR,"Iowa State,South Florida,Toledo"
3323,Tim McManus,1019,1977,1980,40,65,1019,15.7,5,25.5,WR,Drake
3324,Dave Dudley,1018,1975,1977,34,73,1018,13.9,3,29.9,WR,Bowling Green
3325,Ken Tweedy,1018,1977,1980,41,76,1018,13.4,6,24.8,WR,Richmond
3326,Logan Loya,1018,2020,2024,38,85,1018,12,9,26.8,WR,UCLA
3327,Torey Morris,1018,1999,2002,42,67,1018,15.2,7,24.2,WR,East Carolina
3328,Vince Stafford,1018,1971,1972,22,60,1018,17,11,46.3,WR,Chattanooga
