,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
201,Sean Tucker,3182,2020,2022,33,589,3182,5.4,27,96.4,RB,Syracuse
202,Malik Cunningham,3179,2018,2022,56,619,3179,5.1,50,56.8,QB,Louisville
203,Albert Young,3173,2004,2007,41,660,3173,4.8,23,77.4,RB,Iowa
204,Shaud Williams,3169,1999,2003,48,577,3169,5.5,28,66,RB,"Alabama,Texas Tech"
205,Travon McMillian,3161,2015,2018,51,650,3161,4.9,23,62,RB,"Colorado,Virginia Tech"
206,Charles Talley,3155,1993,1996,44,661,3155,4.8,28,71.7,RB,Northern Illinois
207,Mike Bell,3154,2002,2005,46,679,3154,4.6,17,68.6,RB,Arizona
208,Teriyon Gipson,3148,2013,2016,42,480,3148,6.6,32,75,RB,New Mexico
209,Trayion Durham,3140,2011,2015,50,771,3140,4.1,27,62.8,RB,Kent State
210,Joe Igber,3124,1999,2002,41,678,3124,4.6,16,76.2,RB,California
211,Chris Douglas,3122,2000,2003,45,695,3122,4.5,21,69.4,RB,Duke
212,Eric Flowers,3122,1996,1999,36,737,3122,4.2,35,86.7,RB,Central Michigan
213,Ja'Quay Wilburn,3120,1997,2000,43,647,3120,4.8,12,72.6,RB,North Texas
214,Jordan Chunn,3120,2013,2017,49,679,3120,4.6,47,63.7,RB,Troy
215,Ryan Benjamin,3119,1990,1992,24,473,3119,6.6,26,130,RB,Pacific
216,Bob Hitchens,3118,1971,1973,29,773,3118,4,34,107.5,,Miami (OH)
217,Ron Harris,3118,1974,1977,43,760,3118,4.1,19,72.5,RB,Colorado State
218,P.J. Pope,3116,2002,2005,47,595,3116,5.2,33,66.3,RB,Bowling Green
219,Terrell Willis,3114,1993,1995,33,588,3114,5.3,20,94.4,RB,Rutgers
220,Marteze Waller,3108,2012,2015,46,618,3108,5,24,67.6,RB,Fresno State
221,Diocemy Saint Juste,3102,2013,2017,49,570,3102,5.4,13,63.3,RB,Hawaii
222,Bryce Beall,3098,2008,2011,49,553,3098,5.6,39,63.2,RB,Houston
223,Bobby Purify,3096,2000,2004,46,617,3096,5,20,67.3,RB,Colorado
224,Levron Williams,3095,1998,2001,41,452,3095,6.8,31,75.5,RB,Indiana
225,Warren Wand,3095,2015,2018,49,595,3095,5.2,22,63.2,RB,Arkansas State
226,Corey Clement,3092,2013,2016,39,576,3092,5.4,36,79.3,RB,Wisconsin
227,Joe Steele,3091,1976,1979,41,663,3091,4.7,32,75.4,RB,Washington
228,Earnest Graham,3085,1998,2002,45,609,3085,5.1,33,68.6,RB,Florida
229,Shai Werts,3081,2017,2021,54,707,3081,4.4,34,57.1,QB,"Georgia Southern,Louisville"
230,LeAndre Moore,3080,1995,1998,44,655,3080,4.7,16,70,RB,Ball State
231,Jermaine Brown Jr.,3078,2019,2023,57,596,3078,5.2,30,54,RB,UAB
232,Lonta Hobbs,3071,2002,2006,39,614,3071,5,38,78.7,RB,Texas Christian
233,Charles Pierre,3065,2005,2008,49,683,3065,4.5,23,62.6,RB,Florida Atlantic
234,Alex Gardner,3063,2014,2017,45,685,3063,4.5,22,68.1,RB,Florida International
235,Dennis Lundy,3062,1991,1994,40,736,3062,4.2,20,76.6,RB,Northwestern
236,Sean Tyler,3062,2019,2023,53,556,3062,5.5,23,57.8,RB,"Minnesota,Western Michigan"
237,Quinshon Judkins,3061,2022,2024,29,581,3061,5.3,36,105.6,RB,"Ohio State,Ole Miss"
238,Michael Blair,3051,1993,1996,44,668,3051,4.6,31,69.3,RB,Ball State
239,Travis Zachery,3050,1998,2001,43,685,3050,4.5,41,70.9,RB,Clemson
240,Jim Vackaro,3045,1992,1995,44,625,3045,4.9,23,69.2,RB,Western Michigan
241,Ahmad Bradshaw,3040,2015,2017,33,557,3040,5.5,27,92.1,QB,Army
242,Antonio Warren,3040,2002,2005,45,603,3040,5,12,67.6,RB,Arkansas State
243,Michael Dyer,3039,2010,2014,42,578,3039,5.3,22,72.4,RB,"Auburn,Louisville"
244,Keylon Kincade,3038,2000,2003,44,754,3038,4,12,69,RB,SMU
245,Larry Robinson,3038,1973,1976,44,661,3038,4.6,25,69,RB,Furman
246,Nick Wilson,3038,2014,2017,38,553,3038,5.5,33,79.9,RB,Arizona
247,Kevin Marks,3035,2018,2021,44,627,3035,4.8,33,69,RB,Buffalo
248,Wesley Fields,3035,2015,2018,47,568,3035,5.3,24,64.6,RB,Georgia Southern
249,Keaton Mitchell,3027,2020,2022,33,463,3027,6.5,25,91.7,RB,East Carolina
250,Robert Lowe,3027,2012,2015,41,532,3027,5.7,29,73.8,RB,Texas State
251,Brock Olivo,3026,1994,1997,44,686,3026,4.4,27,68.8,RB,Missouri
252,Luke Lippincott,3014,2006,2009,39,512,3014,5.9,34,77.3,RB,Nevada
253,Jacobi Owens,3005,2014,2016,37,551,3005,5.5,17,81.2,RB,Air Force
254,Jonathan Adams,3005,1998,2001,42,668,3005,4.5,17,71.5,RB,Arkansas State
255,Marcus Williams Jr.,3003,2017,2021,54,594,3003,5.1,22,55.6,RB,"Appalachian State,Louisiana Tech"
256,Allen Harvin,2998,1978,1982,55,593,2998,5.1,15,54.5,RB,Cincinnati
257,Rafael Little,2996,2004,2007,39,580,2996,5.2,16,76.8,RB,Kentucky
258,Tim Curtis,2995,1990,1993,44,750,2995,4,19,68.1,RB,Ohio
259,Tony Lindsay,2995,1977,1980,45,648,2995,4.6,17,66.6,RB,Utah
260,John Hubert,2993,2010,2013,46,599,2993,5,28,65.1,RB,Kansas State
261,Beau Blankenship,2987,2009,2013,46,613,2987,4.9,24,64.9,RB,"Iowa State,Ohio"
262,Brandon Bennett,2983,1991,1994,44,677,2983,4.4,26,67.8,RB,South Carolina
263,Maurice Williams,2981,1983,1986,44,550,2981,5.4,24,67.8,RB,Virginia Tech
264,Kenneth Farrow,2975,2012,2015,48,560,2975,5.3,34,62,RB,Houston
265,Taylor Martinez,2975,2010,2013,44,585,2975,5.1,31,67.6,QB,Nebraska
266,Preacher Pilot,2971,1961,1963,30,490,2971,6.1,34,99,RB,New Mexico State
267,Jamal Willis,2970,1991,1994,44,584,2970,5.1,35,67.5,RB,BYU
268,Andre Callender,2967,2004,2007,48,644,2967,4.6,17,61.8,RB,Boston College
269,Arian Foster,2964,2005,2008,47,650,2964,4.6,23,63.1,RB,Tennessee
270,David Small,2963,1991,1993,33,630,2963,4.7,31,89.8,RB,Cincinnati
271,Devin Moore,2963,2005,2008,45,553,2963,5.4,15,65.8,RB,Wyoming
272,Silas Redd,2959,2010,2013,43,569,2959,5.2,19,68.8,RB,"Penn State,USC"
273,Nic Grigsby,2957,2007,2010,45,572,2957,5.2,28,65.7,RB,Arizona
274,Michael Gordon,2956,2012,2015,45,443,2956,6.7,32,65.7,RB,Arkansas State
275,Adam Muema,2955,2011,2013,32,535,2955,5.5,34,92.3,RB,San Diego State
276,Devin West,2954,1995,1998,42,567,2954,5.2,28,70.3,RB,Missouri
277,Larry Key,2953,1974,1977,44,625,2953,4.7,13,67.1,RB,Florida State
278,Orleans Darkwa,2953,2010,2013,46,663,2953,4.5,39,64.2,RB,Tulane
279,TreVeyon Henderson,2952,2021,2024,34,470,2952,6.3,36,86.8,RB,Ohio State
280,Dontrell Hilliard,2948,2014,2017,47,557,2948,5.3,30,62.7,RB,Tulane
281,Joffrey Reynolds,2946,1999,2002,35,640,2946,4.6,23,84.2,RB,Houston
282,Frank Goodin,2943,2007,2010,47,648,2943,4.5,25,62.6,RB,Louisiana-Monroe
283,Eddie Meyers,2935,1978,1981,44,589,2935,5,16,66.7,RB,Navy
284,Fred Henry,2935,1970,1972,32,453,2935,6.5,23,91.7,RB,New Mexico
285,J.J. Jennings,2935,1971,1973,33,650,2935,4.5,33,88.9,RB,Rutgers
286,Billy Taylor,2934,1969,1971,31,537,2934,5.5,30,94.6,RB,Michigan
287,Kevin Mensah,2933,2017,2021,47,681,2933,4.3,19,62.4,RB,Connecticut
288,Jeremy Avery,2932,2007,2010,52,518,2932,5.7,29,56.4,RB,Boise State
289,CJ Verdell,2929,2018,2021,37,542,2929,5.4,27,79.2,RB,Oregon
290,Adrian Martinez,2928,2018,2022,49,619,2928,4.7,45,59.8,QB,"Kansas State,Nebraska"
291,Willie Todd,2928,1978,1981,40,653,2928,4.5,34,73.2,RB,Central Michigan
292,Chris Brown,2923,2006,2009,45,627,2923,4.7,42,65,RB,Oklahoma
293,Gerald Hudson,2921,1988,1990,28,513,2921,5.7,15,104.3,RB,Oklahoma State
294,Michael Warren II,2918,2017,2019,38,559,2918,5.2,34,76.8,RB,Cincinnati
295,Chad Spann,2916,2007,2010,50,536,2916,5.4,49,58.3,RB,Northern Illinois
296,George Woodard,2911,1975,1979,44,630,2911,4.6,35,66.2,RB,Texas A&M
297,Joel Bouagnon,2911,2013,2016,43,600,2911,4.9,31,67.7,RB,Northern Illinois
298,Pat Healy,2910,1974,1977,41,599,2910,4.9,25,71,RB,Colgate
299,Pepe Pearson,2904,1994,1997,45,623,2904,4.7,32,64.5,RB,Ohio State
300,Caleb Huntley,2902,2017,2020,33,576,2902,5,21,87.9,RB,Ball State
301,Carlester Crumpler,2901,1971,1973,32,658,2901,4.4,37,90.7,RB,East Carolina
302,Kyle Eckel,2900,2001,2004,37,616,2900,4.7,25,78.4,RB,Navy
303,Kevin McDougal,2898,1996,1999,41,471,2898,6.2,26,70.7,RB,Colorado State
304,Anthony Sherrell,2888,2002,2005,38,635,2888,4.5,26,76,RB,Eastern Michigan
305,Jason Davis,2888,1989,1992,38,539,2888,5.4,26,76,RB,Louisiana Tech
306,Leddie Brown,2888,2018,2021,45,620,2888,4.7,27,64.2,RB,West Virginia
307,Patrick Taylor Jr.,2884,2016,2019,45,536,2884,5.4,36,64.1,RB,Memphis
308,Antoineo Harris,2881,1999,2002,43,667,2881,4.3,22,67,RB,Illinois
309,Paul Jones,2881,1975,1979,55,699,2881,4.1,22,52.4,RB,California
310,Raymond Maples,2878,2010,2014,47,483,2878,6,10,61.2,DB,Army
311,Carlos Snow,2876,1987,1991,44,587,2876,4.9,28,65.4,RB,Ohio State
312,Harrison Waylee,2876,2020,2024,32,537,2876,5.4,15,89.9,RB,"Northern Illinois,Wyoming"
313,Jay Peterson,2874,1980,1983,44,702,2874,4.1,21,65.3,RB,Miami (OH)
314,Akrum Wadley,2872,2014,2017,43,536,2872,5.4,28,66.8,RB,Iowa
315,James Mungro,2869,1998,2001,41,529,2869,5.4,29,70,RB,Syracuse
316,Ontario Sneed,2863,2005,2008,48,598,2863,4.8,26,59.6,RB,Central Michigan
317,Ennis Haywood,2862,1998,2001,42,572,2862,5,27,68.1,RB,Iowa State
318,Brandon Payne,2861,1999,2002,39,626,2861,4.6,39,73.4,RB,Akron
319,Jim Bohl,2858,1964,1966,30,492,2858,5.8,24,95.3,RB,New Mexico State
320,Darius Marshall,2857,2007,2009,34,574,2857,5,19,84,RB,Marshall
321,Bruce Gibson,2856,1975,1977,34,579,2856,4.9,25,84,RB,Pacific
322,LJ Scott,2855,2015,2018,43,610,2855,4.7,25,66.4,RB,Michigan State
