,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
3201,Gene Jelks,1097,1985,1989,48,177,1097,6.2,9,22.9,RB,Alabama
3202,Mike Holmes,1097,1979,1980,22,216,1097,5.1,9,49.9,RB,Illinois
3203,Robby Ashford,1097,2022,2024,25,232,1097,4.7,13,43.9,QB,"Auburn,South Carolina"
3204,Samuel Stewart,1097,2015,2017,28,229,1097,4.8,7,39.2,RB,Rice
3205,Brett Law,1096,1991,1994,35,252,1096,4.3,9,31.3,RB,Indiana
3206,Shawn Sykes,1096,1985,1988,41,253,1096,4.3,6,26.7,RB,Ole Miss
3207,Bruce Basile,1094,1972,1975,30,306,1094,3.6,12,36.5,QB,Colgate
3208,Jalen Buckley,1094,2022,2024,16,214,1094,5.1,12,68.4,RB,Western Michigan
3209,Mark Smith,1094,1992,1995,42,270,1094,4.1,9,26,DB,Ole Miss
3210,Rashaud Slaughter,1094,2006,2009,45,258,1094,4.2,6,24.3,RB,UAB
3211,Tony Allen,1094,1979,1979,11,226,1094,4.8,10,99.5,RB,San Diego State
3212,Jimmy Gary,1093,1993,1995,26,263,1093,4.2,9,42,RB,West Virginia
3213,Paul Brothers,1093,1964,1966,30,364,1093,3,13,36.4,QB,Oregon State
3214,Rudy Burgess,1093,2004,2007,45,229,1093,4.8,6,24.3,WR,Arizona State
3215,Wayne Todd,1093,1966,1968,30,283,1093,3.9,2,36.4,RB,Wisconsin
3216,Bobby Cole,1092,2018,2021,33,212,1092,5.2,10,33.1,,New Mexico
3217,Craig Johnson,1092,1979,1982,46,329,1092,3.3,8,23.7,QB,Wyoming
3218,Earnel Durden,1092,1956,1958,30,180,1092,6.1,5,36.4,RB,Oregon State
3219,Mike McKinley,1092,1987,1991,44,214,1092,5.1,14,24.8,RB,Oklahoma
3220,Quali Conley,1092,2023,2024,16,172,1092,6.3,13,68.3,RB,"Arizona,San Jose State"
3221,Willie Shelby,1092,1982,1985,44,255,1092,4.3,2,24.8,RB,Louisville
3222,Curtis Martin,1091,1968,1970,31,292,1091,3.7,7,35.2,RB,Air Force
3223,Damon Denaburg,1091,1989,1992,36,237,1091,4.6,10,30.3,RB,Louisiana
3224,Mickey Joseph,1091,1988,1991,34,180,1091,6.1,16,32.1,QB,Nebraska
3225,Wade Hughes,1091,1971,1972,22,264,1091,4.1,5,49.6,RB,Clemson
3226,Jaison Patterson,1090,2021,2024,39,262,1090,4.2,4,27.9,RB,Bowling Green
3227,Ky Thomas,1090,2021,2024,22,259,1090,4.2,8,49.5,RB,"Kansas,Kent State,Minnesota"
3228,Lou Wicks,1090,1980,1983,42,275,1090,4,12,26,RB,Northern Illinois
3229,Pat Dodson,1090,1960,1962,28,197,1090,5.5,9,38.9,RB,Montana
3230,Ray Holley,1090,2010,2012,27,227,1090,4.8,13,40.4,RB,Louisiana Tech
3231,Tom Newton,1090,1975,1976,22,235,1090,4.6,10,49.5,RB,California
3232,Bernard Morris,1089,2004,2007,35,292,1089,3.7,10,31.1,QB,Marshall
3233,Charles Fulton,1089,1965,1967,30,296,1089,3.7,6,36.3,QB,Tennessee
3234,Darian Green,1089,2014,2016,26,214,1089,5.1,6,41.9,RB,Ball State
3235,Joe Ross,1089,1991,1994,44,229,1089,4.8,5,24.8,RB,Army
3236,Marshall Brantley,1089,1973,1974,22,178,1089,6.1,7,49.5,RB,Idaho
3237,Ronnie Wingo Jr.,1089,2009,2012,49,206,1089,5.3,8,22.2,RB,Arkansas
3238,C.J. Ugokwe,1088,2006,2008,32,237,1088,4.6,5,34,RB,Rice
3239,Jerry Brown,1088,1956,1957,20,226,1088,4.8,0,54.4,RB,Nebraska
3240,Levi Lewis,1088,2017,2021,57,286,1088,3.8,14,19.1,QB,Louisiana
3241,Brandon Sullivan,1087,2007,2010,42,300,1087,3.6,14,25.9,RB,San Diego State
3242,Dillon Gabriel,1086,2019,2024,53,367,1086,3,28,20.5,QB,"Oklahoma,Oregon,UCF"
3243,Ivory Durio,1086,1991,1993,35,188,1086,5.8,7,31,RB,UTEP
3244,Michael Washington,1086,1990,1994,36,250,1086,4.3,7,30.2,RB,Missouri
3245,Mickey Cureton,1086,1968,1969,20,200,1086,5.4,9,54.3,RB,UCLA
3246,Nate Sassaman,1086,1981,1984,44,229,1086,4.7,8,24.7,QB,Army
3247,Andre Wooten,1084,1988,1990,16,228,1084,4.8,5,67.8,RB,New Mexico
3248,Don Moore,1084,1965,1966,20,232,1084,4.7,6,54.2,RB,Washington
3249,Legarrette Blount,1084,2008,2009,16,159,1084,6.8,19,67.8,RB,Oregon
3250,Mike Fracchia,1084,1960,1963,30,241,1084,4.5,10,36.1,RB,Alabama
3251,Steve Young,1084,1981,1983,34,269,1084,4,18,31.9,QB,BYU
3252,Steven Anderson,1084,2018,2022,44,267,1084,4.1,17,24.6,RB,"Southern Mississippi,Tulsa"
3253,Tony Merendino,1084,1975,1978,44,459,1084,2.4,24,24.6,QB,Chattanooga
3254,Bill Whittemore,1083,2002,2003,19,264,1083,4.1,21,57,QB,Kansas
3255,Clem Turner,1083,1965,1966,20,226,1083,4.8,8,54.2,RB,Cincinnati
3256,James Kilian,1083,2001,2004,37,329,1083,3.3,19,29.3,QB,Tulsa
