,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
3401,RJ Maryland,1005,2022,2024,31,75,1005,13.4,14,32.4,TE,SMU
3402,Taj Davis,1005,2021,2023,35,86,1005,11.7,7,28.7,WR,"California,Washington"
3403,Bryce Beall,1004,2008,2011,49,87,1004,11.5,7,20.5,RB,Houston
3404,James Bailey,1004,2005,2007,33,93,1004,10.8,5,30.4,WR,Indiana
3405,Jim Greth,1003,1966,1966,10,76,1003,13.2,8,100.3,RB,Arizona
3406,Lester McClain,1003,1968,1970,31,70,1003,14.3,10,32.4,WR,Tennessee
3407,Malcolm Lane,1003,2006,2008,38,52,1003,19.3,8,26.4,WR,Hawaii
3408,Marty Thompson,1003,1989,1992,45,62,1003,16.2,10,22.3,TE,Fresno State
3409,Scooter Warren,1003,1970,1972,32,68,1003,14.8,11,31.3,WR,New Mexico State
3410,Rodelin Anthony,1002,2006,2009,44,69,1002,14.5,12,22.8,WR,Nevada-Las Vegas
3411,Daniel Smith,1001,2005,2005,10,67,1001,14.9,7,100.1,WR,Idaho
3412,Dave Lilja,1001,1984,1986,33,79,1001,12.7,5,30.3,TE,Indiana
3413,Dylan Denso,1001,2010,2013,49,77,1001,13,5,20.4,WR,San Diego State
3414,Jeff Cumberland,1001,2006,2009,47,59,1001,17,11,21.3,TE,Illinois
3415,Jerry Smith,1001,1967,1969,30,79,1001,12.7,2,33.4,WR,Baylor
3416,Stuart Vaughan,1001,1956,1957,20,70,1001,14.3,5,50.1,RB,Utah
3417,Carlos Carriere,1000,2018,2022,41,83,1000,12,8,24.4,WR,"Central Michigan,Maryland"
3418,Luke Staley,1000,1999,2001,30,86,1000,11.6,7,33.3,RB,BYU
3419,Phil Johnson,1000,1976,1979,44,73,1000,13.7,3,22.7,RB,Holy Cross
3420,Isiah Moore,999,2008,2011,41,82,999,12.2,2,24.4,WR,Connecticut
3421,Kyle Hudson,999,2005,2007,35,73,999,13.7,5,28.5,WR,Illinois
3422,Mason Taylor,999,2022,2024,30,99,999,10.1,5,33.3,TE,LSU
3423,Trandon Harvey,999,2001,2005,42,75,999,13.3,4,23.8,WR,Washington State
3424,Dimitrious Stanley,998,1993,1996,41,57,998,17.5,12,24.3,WR,Ohio State
3425,Emmitt Hamilton,998,1974,1977,41,67,998,14.9,5,24.3,RB,Appalachian State
3426,Ethan Wolf,998,2014,2017,50,91,998,11,7,20,TE,Tennessee
3427,Frank Johnson,998,1973,1976,44,61,998,16.4,7,22.7,WR,Illinois
3428,Jahad Thomas,998,2013,2016,46,69,998,14.5,8,21.7,RB,Temple
3429,Jerry Taylor,998,1976,1978,33,49,998,20.4,8,30.2,WR,Tulsa
3430,Jo Jo Walker,998,2002,2005,41,76,998,13.1,7,24.3,WR,Maryland
3431,Obi Obialo,998,2016,2020,33,81,998,12.3,4,30.2,WR,"Marshall,Oklahoma,Oklahoma State"
3432,Anthony Alridge,997,2005,2007,39,74,997,13.5,9,25.6,RB,Houston
3433,Michael McDade,997,1983,1984,23,89,997,11.2,5,43.3,WR,Nevada-Las Vegas
3434,David Gray,996,1977,1979,34,58,996,17.2,5,29.3,WR,Louisiana
3435,Hub Lindsey,996,1965,1967,30,69,996,14.4,14,33.2,WR,Wyoming
3436,Kevin Austin,996,2018,2021,26,54,996,18.4,7,38.3,WR,Notre Dame
3437,Gary Coleman,995,2001,2002,22,81,995,12.3,6,45.2,WR,Utah State
3438,Jamal Miles,995,2009,2012,43,128,995,7.8,10,23.1,WR,Arizona State
3439,Jermaine Holmes,995,1992,1995,35,68,995,14.6,7,28.4,WR,Virginia Tech
3440,Jonathan Nance,995,2017,2019,27,69,995,14.4,9,36.9,WR,"Arkansas,Missouri"
3441,Kevin Cook,995,1991,1993,29,56,995,17.8,11,34.3,WR,Louisville
3442,Willie Matthews,995,1976,1979,34,80,995,12.4,5,29.3,WR,Bowling Green
3443,Cornell Burbage,994,1983,1986,44,65,994,15.3,0,22.6,WR,Kentucky
3444,Greg Campbell Jr.,994,2015,2018,28,90,994,11,2,35.5,WR,UTSA
3445,James Devers,994,1985,1988,33,67,994,14.8,0,30.1,WR,California
3446,Sean Walker,994,2006,2008,36,72,994,13.8,8,27.6,WR,Vanderbilt
3447,Ted Zychowski,994,1966,1968,30,70,994,14.2,7,33.1,WR,William & Mary
3448,Torieal Gibson,994,2008,2011,46,87,994,11.4,6,21.6,WR,Ball State
3449,Brad Taylor,993,2007,2010,46,76,993,13.1,6,21.6,WR,Baylor
3450,Chris Tyree,993,2020,2024,53,94,993,10.6,7,18.7,RB,"Notre Dame,Virginia"
3451,Derrele Mitchell,993,2002,2005,47,65,993,15.3,7,21.1,WR,North Carolina
3452,Greg Flaska,993,1968,1970,29,69,993,14.4,4,34.2,TE,Western Michigan
3453,Mike Pinckney,993,1979,1980,22,64,993,15.5,4,45.1,WR,Northern Illinois
3454,Ricky Williams,993,2002,2004,35,69,993,14.4,2,28.4,WR,Arizona
3455,Steve Hull,993,2010,2013,34,59,993,16.8,7,29.2,DB,Illinois
3456,Barry Burton,992,1973,1975,33,75,992,13.2,10,30.1,TE,Vanderbilt
3457,Chris Jenkins,992,1992,1993,22,62,992,16,8,45.1,WR,Ohio
3458,Tyler Page,992,2017,2022,54,76,992,13.1,6,18.4,WR,"Appalachian State,SMU"
3459,Geraldo Boldewijn,991,2011,2013,30,76,991,13,6,33,WR,Boise State
3460,Jimmy Lee,991,1991,1994,42,75,991,13.2,6,23.6,WR,Rice
