,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1852,Emery Moorehead,751,NYG,6,153,1977,Colorado,1974,1976,33,40,751,18.8,4,22.8,RB,Colorado
1853,Anthony Thomas,750,CHI,2,38,2001,Michigan,1997,2000,44,78,750,9.6,1,17,RB,Michigan
1854,Curtis Martin,749,NWE,3,74,1995,Pitt,1991,1994,30,89,749,8.4,2,25,RB,Pitt
1855,Carlos Pennywell,748,NWE,3,77,1978,Grambling State,1977,1977,11,32,748,23.4,9,68,WR,Grambling State
1856,Dalton Keene,748,NWE,3,101,2020,Virginia Tech,2017,2019,38,59,748,12.7,8,19.7,TE,Virginia Tech
1857,Eric Mullins,747,OTI,6,161,1984,Stanford,1980,1983,44,41,747,18.2,4,17,WR,Stanford
1858,Jim Gray,746,NYJ,11,84,1965,Toledo,1962,1964,56,68,746,11,6,13.3,RB,Toledo
1859,Mike Wilson,743,DAL,9,246,1981,Washington State,1978,1980,29,48,743,15.5,6,25.6,WR,Washington State
1860,Winslow Oliver,743,CAR,3,73,1996,New Mexico,1992,1995,39,74,743,10,3,19.1,RB,New Mexico
1861,Fred Arbanas,742,KAN,7,53,1961,Michigan State,1958,1960,54,40,742,18.6,10,13.7,WR,Michigan State
1862,Ken Barefoot,742,WAS,5,113,1968,Virginia Tech,1965,1967,30,68,742,10.9,8,24.7,WR,Virginia Tech
1863,Dexter Carter,740,SFO,1,25,1990,Florida State,1986,1989,44,64,740,11.6,4,16.8,RB,Florida State
1864,Neal Sweeney,740,DEN,6,139,1967,Tulsa,1966,1966,10,56,740,13.2,3,74,WR,Tulsa
1865,Jerry Daanen,739,CRD,8,205,1968,Miami (FL),1965,1967,30,61,739,12.1,9,24.6,WR,Miami (FL)
1866,J.J. Birden,739,CLE,8,216,1988,Oregon,1984,1987,41,45,739,16.4,1,18,WR,Oregon
1867,Larry Stegent,739,CRD,1,8,1970,Texas A&M,1967,1969,30,71,739,10.4,4,24.6,RB,Texas A&M
1868,Paul Perkins,739,NYG,5,149,2016,UCLA,2013,2015,39,80,739,9.2,3,18.9,RB,UCLA
1869,Chris Darkins,737,GNB,4,123,1996,Minnesota,1992,1995,41,66,737,11.2,5,18,RB,Minnesota
1870,George Kittle,737,SFO,5,146,2017,Iowa,2013,2016,40,48,737,15.4,10,18.4,TE,Iowa
1871,Lamont Jordan,737,NYJ,2,49,2001,Maryland,1997,2000,43,76,737,9.7,1,17.1,RB,Maryland
1872,Mike Young,737,RAM,6,161,1985,UCLA,1983,1984,22,48,737,15.4,7,33.5,WR,UCLA
1873,Larry Grantham,736,NYJ,,,1960,Ole Miss,1957,1959,60,50,736,14.7,16,12.3,WR,Ole Miss
1874,Breece Hall,734,NYJ,2,36,2022,Iowa State,2019,2021,36,82,734,9,6,20.4,RB,Iowa State
1875,Bobby Towns,732,OTI,,,1960,Georgia,1957,1959,60,50,732,14.6,4,12.2,WR,Georgia
1876,Chuck Foreman,732,MIN,1,12,1973,Miami (FL),1970,1972,33,56,732,13.1,3,22.2,RB,Miami (FL)
1877,Anthony McCoy,731,SEA,6,185,2010,USC,2007,2009,36,46,731,15.9,3,20.3,TE,USC
1878,Bennie Joppru,731,HTX,2,41,2003,Michigan,1999,2002,43,79,731,9.3,8,17,TE,Michigan
1879,Ernie Conwell,731,RAM,2,59,1996,Washington,1992,1995,44,47,731,15.6,5,16.6,TE,Washington
1880,Greg Taylor,731,NWE,12,308,1982,Virginia,1977,1981,44,52,731,14.1,5,16.6,WR,Virginia
1881,James Saxon,731,KAN,6,139,1988,San Jose State,1986,1987,22,78,731,9.4,4,33.2,RB,San Jose State
1882,Billy Williams,730,CRD,7,212,1995,Tennessee,1993,1994,22,59,730,12.4,7,33.2,WR,Tennessee
1883,Gary Hayman,730,BUF,5,106,1974,Penn State,1972,1973,22,44,730,16.6,3,33.2,RB,Penn State
1884,James Cook,730,BUF,2,63,2022,Georgia,2018,2021,50,67,730,10.9,6,14.6,RB,Georgia
1885,O.J. Santiago,730,ATL,3,70,1997,Kent State,1993,1996,33,62,730,11.8,4,22.1,TE,Kent State
1886,Trent Richardson,730,CLE,1,3,2012,Alabama,2009,2011,38,68,730,10.7,7,19.2,RB,Alabama
1887,Kris Mangum,729,CAR,7,228,1997,Ole Miss,1994,1996,33,74,729,9.9,4,22.1,TE,Ole Miss
1888,B.J. Askew,728,NYJ,3,85,2003,Michigan,1999,2002,46,78,728,9.3,4,15.8,RB,Michigan
1889,Clarence Kay,727,DEN,7,186,1984,Georgia,1980,1983,44,51,727,14.3,5,16.5,TE,Georgia
1890,Bobby Joe Edmonds,726,SEA,5,126,1986,Arkansas,1982,1985,44,60,726,12.1,2,16.5,WR,Arkansas
1891,Brian Baschnagel,725,CHI,3,66,1976,Ohio State,1972,1975,42,50,725,14.5,4,17.3,RB,Ohio State
1892,James Joseph,725,PHI,7,187,1991,Auburn,1986,1990,55,69,725,10.5,2,13.2,RB,Auburn
1893,Jeff King,724,CAR,5,155,2006,Virginia Tech,2002,2005,53,58,724,12.5,12,13.7,TE,Virginia Tech
1894,Ray Parson,724,DET,2,45,1970,Minnesota,1968,1969,20,57,724,12.7,5,36.2,WR,Minnesota
1895,Ron Hall,724,TAM,4,87,1987,Hawaii,1983,1986,35,58,724,12.5,3,20.7,TE,Hawaii
1896,DeAngelo Williams,723,CAR,1,27,2006,Memphis,2002,2005,44,70,723,10.3,5,16.4,RB,Memphis
1897,Ger Schwedes,722,NWE,,,1960,Syracuse,1957,1959,56,62,722,11.6,10,12.9,RB,Syracuse
1898,Mike Roberg,722,CAR,7,227,2001,Idaho,1998,2000,31,64,722,11.3,10,23.3,TE,Idaho
1899,Robert Awalt,722,CRD,3,62,1987,San Diego State,1985,1986,23,60,722,12,4,31.4,TE,San Diego State
1900,Isaiah Pead,721,RAM,2,50,2012,Cincinnati,2008,2011,44,87,721,8.3,6,16.4,RB,Cincinnati
1901,Marcus Allen,721,RAI,1,10,1982,USC,1978,1981,45,79,721,9.1,2,16,RB,USC
1902,Taco Wallace,721,SEA,7,224,2003,Kansas State,2001,2002,14,41,721,17.6,5,51.5,WR,Kansas State
1903,Anthony Daigle,720,KAN,6,185,1994,Fresno State,1991,1993,34,55,720,13.1,9,21.2,RB,Fresno State
1904,James Hanna,720,DAL,6,186,2012,Oklahoma,2008,2011,54,52,720,13.8,9,13.3,TE,Oklahoma
1905,Bobby Morse,719,PHI,12,316,1987,Michigan State,1983,1986,43,100,719,7.2,3,16.7,RB,Michigan State
1906,Duke Johnson,719,CLE,3,77,2015,Miami (FL),2012,2014,33,69,719,10.4,4,21.8,RB,Miami (FL)
1907,Javon Ringer,719,OTI,5,173,2009,Michigan State,2005,2008,45,96,719,7.5,1,16,RB,Michigan State
1908,'Omar Ellison,719,SDG,5,162,1995,Florida State,1991,1994,44,47,719,15.3,2,16.3,WR,Florida State
1909,Robert Woods,719,KAN,5,134,1978,Grambling State,1977,1977,11,38,719,18.9,6,65.4,WR,Grambling State
