,,,,,,,,,,,Receiving,,,,,,
1235,Phillip Epps,1228,GNB,12,321,1982,Texas Christian,1978,1981,44,66,1228,18.6,12,27.9,WR,Texas Christian
1236,Rob Housler,1228,CRD,3,69,2011,Florida Atlantic,2006,2010,49,78,1228,15.7,8,25.1,TE,Florida Atlantic
1237,Ray-Ray McCloud,1226,BUF,6,187,2018,Clemson,2015,2017,40,127,1226,9.7,4,30.7,WR,Clemson
1238,D.J. Hackett,1224,SEA,5,157,2004,Colorado,2002,2003,25,96,1224,12.8,11,49,WR,Colorado
1239,Isaac Curtis,1224,CIN,1,15,1973,San Diego State,1970,1972,33,76,1224,16.1,8,37.1,RB,"California,San Diego State"
1240,Billy Joe DuPree,1222,DAL,1,20,1973,Michigan State,1970,1972,32,69,1222,17.7,6,38.2,TE,Michigan State
1241,David Daniels,1222,SEA,3,74,1991,Penn State,1988,1990,33,69,1222,17.7,9,37,WR,Penn State
1242,Jim Krieg,1220,DEN,5,118,1972,Washington,1970,1971,21,76,1220,16.1,6,58.1,WR,Washington
1243,Ralph Clayton,1219,NYJ,2,47,1980,Michigan,1976,1979,44,59,1219,20.7,11,27.7,RB,Michigan
1244,Jahmyr Gibbs,1217,DET,1,12,2023,Alabama,2020,2022,31,104,1217,11.7,8,39.3,RB,"Alabama,Georgia Tech"
1245,Quentin Griffin,1217,DEN,4,108,2003,Oklahoma,1999,2002,42,146,1217,8.3,6,29,RB,Oklahoma
1246,Ron Brown,1217,NYG,6,139,1986,Colorado,1981,1985,41,57,1217,21.4,8,29.7,RB,Colorado
1247,James Lofton,1216,GNB,1,6,1978,Stanford,1975,1977,33,68,1216,17.9,16,36.8,WR,Stanford
1248,Gary Butler,1215,KAN,2,27,1973,Rice,1970,1972,32,81,1215,15,3,38,TE,Rice
1249,Greg Olsen,1215,CHI,1,31,2007,Miami (FL),2004,2006,33,87,1215,14,6,36.8,TE,Miami (FL)
1250,David Tyree,1214,NYG,6,211,2003,Syracuse,1999,2002,46,75,1214,16.2,6,26.4,WR,Syracuse
1251,Randy McMichael,1213,MIA,4,114,2002,Georgia,1999,2001,32,90,1213,13.5,5,37.9,TE,Georgia
1252,Chuck Bryant,1212,SDG,13,104,1962,Ohio State,1960,1961,36,64,1212,18.9,16,33.7,WR,Ohio State
1253,Cornell Powell,1211,KAN,5,181,2021,Clemson,2016,2020,54,93,1211,13,10,22.4,WR,Clemson
1254,Gary Hammond,1211,NYJ,3,66,1972,SMU,1969,1971,32,101,1211,12,5,37.8,WR,SMU
1255,Christian McCaffrey,1206,CAR,1,8,2017,Stanford,2014,2016,38,99,1206,12.2,10,31.7,RB,Stanford
1256,Miles Boykin,1206,RAV,3,93,2019,Notre Dame,2016,2018,36,77,1206,15.7,11,33.5,WR,Notre Dame
1257,Ricky Nichols,1206,CLT,8,200,1985,East Carolina,1981,1984,40,65,1206,18.6,10,30.2,WR,East Carolina
1258,Eddie Williams,1205,WAS,7,221,2009,Idaho,2005,2008,39,100,1205,12.1,11,30.9,TE,Idaho
1259,Leroy Keyes,1204,PHI,1,3,1969,Purdue,1966,1968,30,80,1204,15.1,7,40.1,RB,Purdue
1260,Ken Toler,1202,NWE,7,185,1981,Ole Miss,1978,1980,33,67,1202,17.9,11,36.4,WR,Ole Miss
1261,Kent Kramer,1202,MIA,13,110,1966,Minnesota,1963,1965,56,76,1202,15.8,14,21.5,WR,Minnesota
1262,Tyrone Tracy Jr.,1201,NYG,5,166,2024,Purdue,2018,2023,63,113,1201,10.6,5,19.1,WR,"Iowa,Purdue"
1263,Bill Mathis,1200,DEN,,,1960,Clemson,1957,1959,60,68,1200,17.6,14,20,RB,Clemson
1264,Steve Johnson,1200,BUF,7,224,2008,Kentucky,2006,2007,26,72,1200,16.7,14,46.2,WR,Kentucky
1265,Brian Stablein,1199,DEN,8,210,1993,Ohio State,1989,1992,44,90,1199,13.3,3,27.3,WR,Ohio State
1266,Darrin Chiaverini,1199,CLE,5,148,1999,Colorado,1995,1998,42,97,1199,12.4,6,28.5,WR,Colorado
1267,Jason Tucker,1197,CIN,6,167,1998,Texas Christian,1994,1996,31,78,1197,15.3,5,38.6,WR,Texas Christian
1268,Rob Gronkowski,1197,NWE,2,42,2010,Arizona,2007,2008,22,75,1197,16,16,54.4,TE,Arizona
1269,Troy Stradford,1197,MIA,4,99,1987,Boston College,1982,1986,56,96,1197,12.5,9,21.4,RB,Boston College
1270,Curtis Weathers,1196,CLE,9,241,1979,Ole Miss,1974,1978,44,71,1196,16.8,7,27.2,TE,Ole Miss
1271,Irving Fryar,1196,NWE,1,1,1984,Nebraska,1980,1983,46,67,1196,17.9,11,26,RB,Nebraska
1272,Marv Fleming,1196,DEN,9,69,1963,Utah,1960,1962,60,70,1196,17.1,12,19.9,WR,Utah
1273,Carroll Dale,1195,RAM,8,86,1960,Virginia Tech,1956,1959,40,67,1195,17.8,15,29.9,WR,Virginia Tech
1274,Peyton Hillis,1195,DEN,7,227,2008,Arkansas,2004,2007,44,118,1195,10.1,11,27.2,RB,Arkansas
1275,Saquon Barkley,1195,NYG,1,2,2018,Penn State,2015,2017,38,102,1195,11.7,8,31.4,RB,Penn State
1276,Scott Slutzker,1195,CLT,3,82,1996,Iowa,1993,1995,31,91,1195,13.1,5,38.5,TE,Iowa
1277,Dri Archer,1194,PIT,3,97,2014,Kent State,2009,2013,47,99,1194,12.1,12,25.4,RB,Kent State
1278,Louis Clark,1192,SEA,10,270,1987,Mississippi State,1983,1986,43,62,1192,19.2,8,27.7,WR,Mississippi State
1279,Terrence Austin,1192,WAS,7,219,2010,UCLA,2006,2009,47,109,1192,10.9,5,25.4,WR,UCLA
1280,Jim Leo,1190,BUF,,,1960,Cincinnati,1957,1959,60,84,1190,14.2,2,19.8,WR,Cincinnati
1281,Albert Okwuegbunam,1187,DEN,4,118,2020,Missouri,2017,2019,33,98,1187,12.1,23,36,TE,Missouri
1282,Brandon Jones,1187,OTI,3,96,2005,Oklahoma,2001,2004,46,82,1187,14.5,14,25.8,WR,Oklahoma
1283,Ron Johnson,1186,SEA,7,170,1981,Long Beach State,1978,1980,31,58,1186,20.4,15,38.3,WR,Long Beach State
1284,Pat Freiermuth,1185,PIT,2,55,2021,Penn State,2018,2020,30,92,1185,12.9,16,39.5,TE,Penn State
1285,Orlando McDaniel,1184,DEN,2,50,1982,LSU,1978,1981,44,64,1184,18.5,3,26.9,WR,LSU
1286,Tom Santi,1184,CLT,6,196,2008,Virginia,2004,2007,47,97,1184,12.2,6,25.2,TE,Virginia
1287,Frank Wycheck,1183,WAS,6,160,1993,Maryland,1990,1992,31,134,1183,8.8,3,38.2,TE,Maryland
1288,Wayne Stewart,1182,NYJ,15,390,1969,California,1967,1968,21,95,1182,12.4,6,56.3,WR,California
1289,Richard Osborne,1181,PHI,9,248,1976,Texas A&M,1972,1975,44,86,1181,13.7,4,26.8,TE,Texas A&M
1290,Ike Harris,1180,CRD,4,91,1974,Iowa State,1971,1973,33,72,1180,16.4,8,35.8,WR,Iowa State
1291,Kevin Hickman,1178,DET,6,186,1995,Navy,1991,1994,44,107,1178,11,6,26.8,TE,Navy
1292,Brian Roche,1176,SDG,3,81,1996,San Jose State,1993,1995,33,101,1176,11.6,7,35.6,TE,San Jose State
1293,Braxton Berrios,1175,NWE,6,210,2018,Miami (FL),2014,2017,49,100,1175,11.8,14,24,WR,Miami (FL)
1294,Brock Forsey,1175,CHI,6,206,2003,Boise State,1999,2002,47,101,1175,11.6,18,25,RB,Boise State
1295,Charone Peake,1172,NYJ,7,241,2016,Clemson,2011,2015,51,99,1172,11.8,10,23,WR,Clemson
1296,Richmond Flowers,1172,DAL,2,49,1969,Tennessee,1966,1968,28,101,1172,11.6,9,41.9,WR,Tennessee
1297,Colby Parkinson,1171,SEA,4,133,2020,Stanford,2017,2019,39,87,1171,13.5,12,30,TE,Stanford
1298,Allen Brown,1168,SDG,3,22,1965,Ole Miss,1962,1964,56,102,1168,11.5,6,20.9,WR,Ole Miss
1299,Jim Lindsey,1168,BUF,2,17,1966,Arkansas,1963,1965,60,80,1168,14.6,8,19.5,RB,Arkansas
1300,Steve Broussard,1168,ATL,1,20,1990,Washington State,1986,1989,38,119,1168,9.8,7,30.7,RB,Washington State
1301,Charlie Waters,1166,DAL,3,66,1970,Clemson,1967,1969,30,67,1166,17.4,4,38.9,QB,Clemson
1302,Jon Embree,1166,RAM,6,166,1987,Colorado,1983,1986,42,80,1166,14.6,5,27.8,TE,Colorado
1303,Bob Goodridge,1164,MIN,6,144,1968,Vanderbilt,1966,1967,20,82,1164,14.2,6,58.2,WR,Vanderbilt
1304,James Harbour,1163,CLT,7,173,1985,Ole Miss,1980,1984,55,80,1163,14.5,2,21.1,WR,Ole Miss
1305,Lance Kendricks,1160,RAM,2,47,2011,Wisconsin,2008,2010,33,78,1160,14.9,8,35.2,WR,Wisconsin
1306,Curtis Duncan,1159,OTI,10,258,1987,Northwestern,1983,1986,37,67,1159,17.3,6,31.3,WR,Northwestern
1307,Glenn Scolnik,1159,PIT,6,154,1973,Indiana,1970,1972,32,79,1159,14.7,7,36.2,WR,Indiana
1308,Jerry Marion,1159,PIT,10,143,1966,Wyoming,1964,1966,30,60,1159,19.3,8,38.6,RB,Wyoming
1309,Tyler Conklin,1159,MIN,5,157,2018,Central Michigan,2015,2017,34,83,1159,14,11,34.1,TE,Central Michigan
1310,Abner Haynes,1158,RAI,,,1960,North Texas,1957,1959,60,92,1158,12.6,12,19.3,RB,North Texas
1311,Drew Haddad,1158,BUF,7,233,2000,Buffalo,1999,1999,11,85,1158,13.6,6,105.3,WR,Buffalo
1312,Travis Etienne,1155,JAX,1,25,2021,Clemson,2017,2020,55,102,1155,11.3,8,21,RB,Clemson
1313,Bucky Brooks,1154,BUF,2,48,1994,North Carolina,1989,1993,45,63,1154,18.3,10,25.6,WR,North Carolina
1314,Keith Woodside,1153,GNB,3,61,1988,Texas A&M,1983,1987,43,110,1153,10.5,6,26.8,RB,Texas A&M
1315,Russ Campbell,1150,PIT,7,179,1992,Kansas State,1989,1991,32,67,1150,17.2,2,35.9,TE,Kansas State
1316,Travis Taylor,1150,RAV,1,10,2000,Florida,1997,1999,27,72,1150,16,15,42.6,WR,Florida
1317,Joe Cormier,1149,MIN,10,259,1986,USC,1983,1985,33,98,1149,11.7,4,34.8,TE,USC
1318,Jordan Akins,1149,HTX,3,98,2018,UCF,2014,2017,41,81,1149,14.2,8,28,WR,UCF
1319,Pat Dunsmore,1149,CHI,4,107,1983,Drake,1979,1981,30,76,1149,15.1,7,38.3,TE,Drake
1320,Tyler Badie,1149,RAV,6,196,2022,Missouri,2018,2021,46,126,1149,9.1,11,25,RB,Missouri
1321,Malcolm Johnson,1148,CLE,6,195,2015,Mississippi State,2011,2014,44,79,1148,14.5,10,26.1,WR,Mississippi State
1322,Andrew Quarless,1146,GNB,5,154,2010,Penn State,2006,2009,47,87,1146,13.2,8,24.4,TE,Penn State
1323,Simi Fehoko,1146,DAL,5,179,2021,Stanford,2018,2020,21,62,1146,18.5,9,54.6,WR,Stanford
1324,Dave Dunaway,1145,GNB,2,41,1967,Duke,1964,1966,30,75,1145,15.3,9,38.2,WR,Duke
1325,Frank Quayle,1145,DEN,5,113,1969,Virginia,1966,1968,30,83,1145,13.8,6,38.2,RB,Virginia
1326,Bobby Humphery,1144,NYJ,9,247,1983,New Mexico State,1979,1982,43,55,1144,20.8,12,26.6,WR,New Mexico State
1327,Yamon Figurs,1144,RAV,3,74,2007,Kansas State,2004,2006,34,73,1144,15.7,6,33.6,WR,Kansas State
1328,Roell Preston,1143,ATL,5,145,1995,Ole Miss,1993,1994,22,73,1143,15.7,11,52,WR,Ole Miss
1329,Bill Hull,1142,NWE,5,38,1962,Wake Forest,1959,1961,60,74,1142,15.4,8,19,WR,Wake Forest
1330,Lionel Manuel,1142,NYG,7,171,1984,Pacific,1982,1983,21,89,1142,12.8,9,54.4,WR,Pacific
1331,Calvin Sweeney,1139,PIT,4,110,1979,USC,1977,1978,23,63,1139,18.1,6,49.5,WR,USC
1332,Ben Sinnott,1138,WAS,2,53,2024,Kansas State,2021,2023,38,82,1138,13.9,10,29.9,FB,Kansas State
1333,Wayne Capers,1138,PIT,2,52,1983,Kansas,1979,1982,44,73,1138,15.6,8,25.9,RB,Kansas
1334,Scott Miller,1137,MIA,9,246,1991,UCLA,1989,1990,22,61,1137,18.6,14,51.7,WR,UCLA
1335,Brent Celek,1135,PHI,5,162,2007,Cincinnati,2003,2006,47,91,1135,12.5,14,24.1,TE,Cincinnati
1336,J.K. McKay,1135,CLE,16,394,1975,USC,1972,1974,33,76,1135,14.9,16,34.4,WR,USC
1337,Buster Rhymes,1134,MIN,4,85,1985,Oklahoma,1980,1984,45,51,1134,22.2,6,25.2,RB,Oklahoma
1338,Dalton Hilliard,1133,NOR,2,31,1986,LSU,1982,1985,44,120,1133,9.4,6,25.8,RB,LSU
1339,Dave Williams,1133,CRD,1,16,1967,Washington,1964,1966,30,62,1133,18.3,10,37.8,WR,Washington
1340,Buddy Dial,1129,NYG,2,22,1959,Rice,1956,1958,30,61,1129,18.5,13,37.6,WR,Rice
1341,Skyler Green,1129,DAL,4,125,2006,LSU,2002,2005,44,111,1129,10.2,9,25.7,WR,LSU
1342,Gary Parris,1125,SDG,15,372,1973,Florida State,1970,1972,33,82,1125,13.7,5,34.1,TE,Florida State
1343,Jim Norton,1124,KAN,,,1960,Idaho,1957,1959,56,100,1124,11.2,2,20.1,RB,Idaho
1344,Kent Gaydos,1124,RAI,12,306,1972,Florida State,1969,1971,32,73,1124,15.4,12,35.1,WR,Florida State
1345,Lakei Heimuli,1123,CHI,9,249,1987,BYU,1983,1986,48,139,1123,8.1,2,23.4,RB,BYU
1346,Tamarick Vanover,1123,KAN,3,81,1995,Florida State,1992,1993,22,87,1123,12.9,7,51,WR,Florida State
1347,John Mosier,1120,DEN,6,141,1970,Kansas,1967,1969,30,88,1120,12.7,6,37.3,TE,Kansas
1348,Fair Hooker,1119,CLE,5,124,1969,Arizona State,1966,1968,30,74,1119,15.1,9,37.3,WR,Arizona State
1349,Jason Huntley,1119,DET,5,172,2020,New Mexico State,2016,2019,47,134,1119,8.4,7,23.8,RB,New Mexico State
1350,Michael Morton,1118,TAM,12,325,1982,Nevada-Las Vegas,1978,1981,46,89,1118,12.6,9,24.3,RB,Nevada-Las Vegas
1351,Josiah Deguara,1117,GNB,3,94,2020,Cincinnati,2016,2019,46,92,1117,12.1,12,24.3,TE,Cincinnati
1352,Johnny Baker,1116,OTI,7,54,1963,Mississippi State,1960,1962,56,80,1116,14,2,19.9,WR,Mississippi State
1353,Chris Sanders,1114,OTI,3,67,1995,Ohio State,1992,1994,34,70,1114,15.9,8,32.8,WR,Ohio State
1354,Mason Schreck,1113,CIN,7,251,2017,Buffalo,2013,2016,39,107,1113,10.4,6,28.5,TE,Buffalo
1355,Terry Brown,1113,CRD,3,73,1969,Oklahoma State,1967,1969,30,89,1113,12.5,4,37.1,WR,Oklahoma State
1356,Anthony Fasano,1112,DAL,2,53,2006,Notre Dame,2003,2005,34,92,1112,12.1,8,32.7,TE,Notre Dame
1357,Charley Taylor,1112,OTI,2,9,1964,Arizona State,1961,1963,58,62,1112,17.9,12,19.2,RB,Arizona State
1358,Baron Batch,1111,PIT,7,232,2011,Texas Tech,2006,2010,45,140,1111,7.9,5,24.7,RB,Texas Tech
1359,Dave Juenger,1111,CHI,14,345,1973,Ohio,1970,1972,30,81,1111,13.7,10,37,WR,Ohio
1360,Cris Crissy,1109,NWE,12,323,1981,Princeton,1978,1980,28,96,1109,11.6,6,39.6,RB,Princeton
1361,Kris Durham,1109,SEA,4,107,2011,Georgia,2006,2010,47,64,1109,17.3,4,23.6,WR,Georgia
1362,Jared Cook,1107,OTI,3,89,2009,South Carolina,2006,2008,36,73,1107,15.2,7,30.8,WR,South Carolina
1363,Lovett Purnell,1107,NWE,7,216,1996,West Virginia,1993,1995,25,74,1107,15,8,44.3,TE,West Virginia
1364,Sinorice Moss,1106,NYG,2,44,2006,Miami (FL),2002,2005,48,68,1106,16.3,9,23,WR,Miami (FL)
1365,Joey Clinkscales,1105,PIT,9,233,1987,Tennessee,1984,1986,33,68,1105,16.3,10,33.5,WR,Tennessee
1366,Grant Calcaterra,1102,PHI,6,198,2022,SMU,2017,2021,45,79,1102,13.9,13,24.5,TE,"Oklahoma,SMU"
1367,Jerry Richardson,1102,DEN,7,54,1964,West Texas State,1960,1963,78,86,1102,12.8,8,14.1,RB,West Texas State
1368,Dan Pittman,1100,NYG,4,90,1980,Wyoming,1978,1979,24,56,1100,19.6,9,45.8,WR,Wyoming
1369,Don Perkins,1098,NYJ,,,1960,New Mexico,1957,1959,60,54,1098,20.3,12,18.3,RB,New Mexico
1370,Edgar Bennett,1095,GNB,4,103,1992,Florida State,1987,1991,56,93,1095,11.8,7,19.6,RB,Florida State
1371,Glenn Dennison,1095,NYJ,2,39,1984,Miami (FL),1981,1983,33,106,1095,10.3,5,33.2,TE,Miami (FL)
1372,Cotton Speyrer,1093,WAS,2,38,1971,Texas,1968,1970,24,65,1093,16.8,8,45.5,WR,Texas
1373,John Carlson,1093,SEA,2,38,2008,Notre Dame,2004,2007,47,100,1093,10.9,8,23.3,TE,Notre Dame
1374,Kevin Lee,1093,NWE,2,35,1994,Alabama,1990,1993,43,60,1093,18.2,3,25.4,WR,Alabama
1375,Claude Gibson,1092,SDG,7,55,1961,North Carolina State,1958,1960,60,70,1092,15.6,6,18.2,RB,North Carolina State
1376,Anthony Becht,1091,NYJ,1,27,2000,West Virginia,1996,1999,38,77,1091,14.2,11,28.7,TE,West Virginia
1377,Deandre Washington,1091,RAI,5,143,2016,Texas Tech,2011,2015,49,124,1091,8.8,4,22.3,RB,Texas Tech
1378,Jeremy McNichols,1089,TAM,5,162,2017,Boise State,2014,2016,34,103,1089,10.6,11,32,RB,Boise State
1379,Kellen Winslow,1089,SDG,1,13,1979,Missouri,1975,1978,44,71,1089,15.3,10,24.8,TE,Missouri
1380,Tim Smith,1089,OTI,3,79,1980,Nebraska,1977,1979,33,72,1089,15.1,3,33,WR,Nebraska
1381,Kevin Dorsey,1088,GNB,7,224,2013,Maryland,2009,2012,47,81,1088,13.4,9,23.1,WR,Maryland
1382,Danny Peebles,1086,TAM,2,33,1989,North Carolina State,1985,1988,41,65,1086,16.7,8,26.5,WR,North Carolina State
1383,Jim Johnson,1086,SDG,4,32,1961,UCLA,1959,1960,40,56,1086,19.4,6,27.2,RB,UCLA
1384,Chuck Muncie,1085,NOR,1,3,1976,California,1973,1975,33,97,1085,11.2,6,32.9,RB,California
1385,Rod Sherman,1085,CLT,4,54,1966,USC,1964,1966,30,83,1085,13.1,11,36.2,WR,USC
1386,Melvin Bratton,1084,DEN,7,180,1989,Miami (FL),1984,1987,45,86,1084,12.6,6,24.1,RB,Miami (FL)
1387,Noah Fant,1083,DEN,1,20,2019,Iowa,2016,2018,35,78,1083,13.9,19,30.9,TE,Iowa
1388,Stan Davis,1081,PHI,13,315,1973,Memphis,1969,1972,31,78,1081,13.9,9,34.9,RB,Memphis
1389,Drew Hill,1080,RAM,12,328,1979,Georgia Tech,1975,1978,44,56,1080,19.3,8,24.5,RB,Georgia Tech
1390,Ron Burton,1080,NWE,,,1960,Northwestern,1957,1959,54,66,1080,16.4,10,20,RB,Northwestern
1391,T.J. Hockenson,1080,DET,1,8,2019,Iowa,2017,2018,26,73,1080,14.8,9,41.5,TE,Iowa
1392,Dwayne Allen,1079,CLT,3,64,2012,Clemson,2009,2011,41,93,1079,11.6,12,26.3,TE,Clemson
1393,Steve Bartalo,1079,TAM,6,143,1987,Colorado State,1983,1986,43,132,1079,8.2,3,25.1,RB,Colorado State
1394,Davon Drew,1078,RAV,5,149,2009,East Carolina,2006,2008,39,78,1078,13.8,8,27.6,TE,East Carolina
1395,Joe Klopfenstein,1076,RAM,2,46,2006,Colorado,2003,2005,37,86,1076,12.5,13,29.1,TE,Colorado
1396,Thomas Henley,1076,NOR,6,152,1987,Stanford,1983,1986,44,98,1076,11,6,24.5,RB,Stanford
1397,Gary Anderson,1075,SDG,1,20,1983,Arkansas,1979,1982,44,94,1075,11.4,8,24.4,RB,Arkansas
1398,Kenny Harrison,1075,SFO,9,250,1976,SMU,1972,1975,44,53,1075,20.3,9,24.4,WR,SMU
1399,Mike Alstott,1075,TAM,2,35,1996,Purdue,1992,1995,44,93,1075,11.6,3,24.4,RB,Purdue
1400,Rod Bernstine,1075,SDG,1,24,1987,Texas A&M,1983,1986,42,105,1075,10.2,8,25.6,RB,Texas A&M
