,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
1201,Darryl Stingley,1256,NWE,1,19,1973,Purdue,1970,1972,31,69,1256,18.2,5,40.5,WR,Purdue
1202,Chris Cooley,1255,WAS,3,81,2004,Utah State,2001,2003,28,96,1255,13.1,11,44.8,TE,Utah State
1203,John McMakin,1255,PIT,3,63,1972,Clemson,1969,1971,32,93,1255,13.5,11,39.2,WR,Clemson
1204,Vernon Joines,1253,CLE,5,116,1989,Maryland,1985,1988,44,83,1253,15.1,9,28.5,WR,Maryland
1205,Bill Kellar,1252,KAN,7,184,1978,Stanford,1975,1977,33,91,1252,13.8,4,37.9,WR,Stanford
1206,Dallas Clark,1251,CLT,1,24,2003,Iowa,2001,2002,24,77,1251,16.2,8,52.1,TE,Iowa
1207,Danny Gray,1251,SFO,3,105,2022,SMU,2020,2021,18,82,1251,15.3,13,69.5,WR,SMU
1208,Terry McLaurin,1251,WAS,3,76,2019,Ohio State,2015,2018,53,75,1251,16.7,19,23.6,WR,Ohio State
1209,Tom McCauley,1251,MIN,10,253,1969,Wisconsin,1966,1968,30,84,1251,14.9,3,41.7,WR,Wisconsin
1210,Curtis Samuel,1249,CAR,2,40,2017,Ohio State,2014,2016,41,107,1249,11.7,9,30.5,RB,Ohio State
1211,Honor Jackson,1249,DAL,9,233,1971,Pacific,1969,1970,21,74,1249,16.9,6,59.5,WR,Pacific
1212,Keith Wright,1248,CLE,5,122,1978,Memphis,1974,1977,44,74,1248,16.9,11,28.4,WR,Memphis
1213,Stephen Hill,1248,NYJ,2,43,2012,Georgia Tech,2009,2011,38,49,1248,25.5,9,32.8,WR,Georgia Tech
1214,Doug Dieken,1246,CLE,6,142,1971,Illinois,1968,1970,30,89,1246,14,7,41.5,WR,Illinois
1215,Kevin Williams,1246,NOR,7,167,1981,USC,1977,1980,45,68,1246,18.3,24,27.7,WR,USC
1216,Martellus Bennett,1246,DAL,2,61,2008,Texas A&M,2005,2007,35,105,1246,11.9,10,35.6,TE,Texas A&M
1217,Wayne Wheeler,1246,CHI,3,54,1974,Alabama,1971,1973,33,55,1246,22.7,11,37.8,WR,Alabama
1218,Louis Murphy,1245,RAI,4,124,2009,Florida,2005,2008,48,77,1245,16.2,13,25.9,WR,Florida
1219,Mack Herron,1244,ATL,6,143,1970,Kansas State,1968,1969,20,90,1244,13.8,5,62.2,RB,Kansas State
1220,Greg Richardson,1242,MIN,6,156,1987,Alabama,1983,1986,43,65,1242,19.1,8,28.9,WR,Alabama
1221,Jack Elwell,1242,BUF,3,20,1962,Purdue,1959,1961,54,62,1242,20,8,23,WR,Purdue
1222,Mike Pritchard,1241,ATL,1,13,1991,Colorado,1987,1990,40,47,1241,26.4,10,31,RB,Colorado
1223,Jerame Tuman,1240,PIT,5,136,1999,Michigan,1995,1998,41,95,1240,13.1,12,30.2,TE,Michigan
1224,Joe Bellino,1240,NWE,19,146,1961,Navy,1958,1960,58,90,1240,13.8,12,21.4,RB,Navy
1225,Mike Bellamy,1238,PHI,2,50,1990,Illinois,1988,1989,22,82,1238,15.1,9,56.3,WR,Illinois
1226,Chuck Logan,1236,DEN,15,113,1964,Northwestern,1961,1963,54,92,1236,13.4,2,22.9,WR,Northwestern
1227,Emanuel Smith,1235,JAX,6,196,2000,Arkansas,1996,1999,43,101,1235,12.2,4,28.7,WR,Arkansas
1228,Reggie Germany,1234,BUF,7,214,2001,Ohio State,1997,2000,40,78,1234,15.8,5,30.9,WR,Ohio State
1229,Allen Brenner,1232,NYG,7,170,1969,Michigan State,1966,1968,30,73,1232,16.9,6,41.1,WR,Michigan State
1230,Ace Sanders,1230,JAX,4,101,2013,South Carolina,2010,2012,40,99,1230,12.4,13,30.8,WR,South Carolina
1231,Da'Ron Brown,1230,KAN,7,233,2015,Northern Illinois,2011,2014,54,87,1230,14.1,13,22.8,WR,Northern Illinois
1232,Errict Rhett,1230,TAM,2,34,1994,Florida,1989,1993,48,153,1230,8,2,25.6,RB,Florida
1233,Corey Harris,1229,OTI,3,77,1992,Vanderbilt,1988,1991,44,92,1229,13.4,7,27.9,RB,Vanderbilt
1234,D.K. Metcalf,1228,SEA,2,64,2019,Ole Miss,2016,2018,21,67,1228,18.3,14,58.5,WR,Ole Miss
