,,,,,,,,,,,Rushing,,,,,,
871,Clinton Jones,1922,MIN,1,2,1967,Michigan State,1964,1966,29,395,1922,4.9,20,66.3,RB,Michigan State
872,Leroy Harris,1920,MIA,5,123,1977,Arkansas State,1975,1976,22,274,1920,7,15,87.3,RB,Arkansas State
873,Terrell Davis,1919,DEN,6,196,1995,Georgia,1991,1994,37,372,1919,5.2,16,51.9,RB,"Georgia,Long Beach State"
874,Lamar Miller,1918,MIA,4,97,2012,Miami (FL),2010,2011,23,335,1918,5.7,15,83.4,RB,Miami (FL)
875,Trey Benson,1918,CRD,3,66,2024,Florida State,2021,2023,36,316,1918,6.1,24,53.3,RB,"Florida State,Oregon"
876,Ed Kovac,1916,NYJ,,,1960,Cincinnati,1957,1959,60,534,1916,3.6,26,31.9,RB,Cincinnati
877,Bill Mathis,1914,DEN,,,1960,Clemson,1957,1959,60,414,1914,4.6,20,31.9,RB,Clemson
878,Jerome Bettis,1912,RAM,1,10,1993,Notre Dame,1990,1992,34,337,1912,5.7,27,56.2,RB,Notre Dame
879,Dexter Bussey,1908,DET,3,65,1974,Texas-Arlington,1971,1973,32,436,1908,4.4,15,59.6,RB,Texas-Arlington
880,Sam Ehlinger,1907,CLT,6,218,2021,Texas,2017,2020,46,554,1907,3.4,33,41.5,QB,Texas
881,Allen Patrick,1906,RAV,7,240,2008,Oklahoma,2005,2007,36,367,1906,5.2,14,52.9,DB,Oklahoma
882,Glenn Shaw,1906,KAN,,,1960,Kentucky,1957,1959,60,446,1906,4.3,0,31.8,RB,Kentucky
883,James Betterson,1903,DEN,8,224,1976,North Carolina,1973,1975,33,387,1903,4.9,14,57.7,RB,North Carolina
884,Greg Jones,1899,MIN,5,129,1970,UCLA,1967,1969,30,390,1899,4.9,15,63.3,RB,UCLA
885,Cosmo Iacavazzi,1895,MIN,20,275,1965,Princeton,1962,1964,27,396,1895,4.8,30,70.2,RB,Princeton
886,Billy Pritchett,1893,CLE,6,146,1974,West Texas State,1971,1973,32,410,1893,4.6,9,59.2,RB,West Texas State
887,De'Anthony Thomas,1890,KAN,4,124,2014,Oregon,2011,2013,37,243,1890,7.8,26,51.1,RB,Oregon
888,Michael Bennett,1890,MIN,1,27,2001,Wisconsin,1999,2000,21,350,1890,5.4,14,90,RB,Wisconsin
889,Reggie McNeal,1889,CIN,6,193,2006,Texas A&M,2002,2005,42,411,1889,4.6,15,45,QB,Texas A&M
890,Bob Anderson,1887,NYG,9,108,1960,Army,1957,1959,27,355,1887,5.3,20,69.9,RB,Army
891,Larry Glueck,1886,SDG,5,34,1963,Villanova,1960,1962,56,336,1886,5.6,18,33.7,RB,Villanova
892,Joe Williams,1884,SFO,4,121,2017,Utah,2015,2016,19,314,1884,6,13,99.2,RB,Utah
893,Jerry Eckwood,1882,TAM,3,60,1979,Arkansas,1975,1978,33,336,1882,5.6,14,57,RB,Arkansas
894,Ciatrick Fason,1877,MIN,4,112,2005,Florida,2002,2004,38,315,1877,6,14,49.4,RB,Florida
895,Alonzo Highsmith,1873,OTI,1,3,1987,Miami (FL),1983,1986,45,387,1873,4.8,18,41.6,RB,Miami (FL)
896,Daniel Lasco,1872,NOR,7,237,2016,California,2012,2015,42,348,1872,5.4,18,44.6,RB,California
897,Vance Johnson,1871,DEN,2,31,1985,Arizona,1981,1984,43,471,1871,4,20,43.5,RB,Arizona
898,Don Smith,1868,TAM,2,51,1987,Mississippi State,1983,1986,44,485,1868,3.9,21,42.5,QB,Mississippi State
899,Kolby Smith,1863,KAN,5,148,2007,Louisville,2003,2006,46,316,1863,5.9,18,40.5,RB,Louisville
900,Rasheed Marshall,1863,SFO,5,174,2005,West Virginia,2001,2004,42,452,1863,4.1,24,44.4,QB,West Virginia
901,Knile Davis,1862,KAN,3,96,2013,Arkansas,2009,2012,36,349,1862,5.3,19,51.7,RB,Arkansas
902,Joe Don Looney,1860,KAN,6,44,1964,Oklahoma,1962,1963,26,312,1860,6,20,71.5,RB,Oklahoma
903,Rudy Johnson,1860,NYJ,12,91,1964,Nebraska,1961,1963,60,336,1860,5.5,18,31,RB,Nebraska
904,Eric Shelton,1858,CAR,2,54,2005,Louisville,2001,2004,33,341,1858,5.4,30,56.3,RB,"Florida State,Louisville"
905,Zac Robinson,1858,NWE,7,250,2010,Oklahoma State,2006,2009,45,426,1858,4.4,22,41.3,QB,Oklahoma State
906,Max Duggan,1856,SDG,7,239,2023,Texas Christian,2019,2022,47,488,1856,3.8,28,39.5,QB,Texas Christian
907,Duce Staley,1852,PHI,3,71,1997,South Carolina,1995,1996,22,345,1852,5.4,17,84.2,RB,South Carolina
908,Percy Harvin,1852,MIN,1,22,2009,Florida,2006,2008,36,194,1852,9.5,19,51.4,WR,Florida
909,Leon Crosswhite,1848,DET,2,44,1973,Oklahoma,1970,1972,33,399,1848,4.6,9,56,RB,Oklahoma
910,Antowain Smith,1847,BUF,1,23,1997,Houston,1995,1996,21,354,1847,5.2,19,88,RB,Houston
911,Joe McCall,1847,RAI,3,84,1984,Pitt,1980,1983,44,402,1847,4.6,13,42,RB,Pitt
912,Marv Hubbard,1847,RAI,11,277,1968,Colgate,1965,1967,30,447,1847,4.1,22,61.6,RB,Colgate
913,Jordan Scarlett,1846,CAR,5,154,2019,Florida,2015,2018,35,344,1846,5.4,12,52.7,RB,Florida
914,Raymond Calais,1845,TAM,7,245,2020,Louisiana,2016,2019,49,236,1845,7.8,15,37.7,RB,Louisiana
915,Derrick Douglas,1834,TAM,6,141,1990,Louisiana Tech,1988,1989,21,414,1834,4.4,14,87.3,RB,Louisiana Tech
916,Robert Turner,1834,MIA,9,237,1977,Oklahoma State,1973,1976,44,373,1834,4.9,17,41.7,RB,Oklahoma State
917,Boston Scott,1833,NOR,6,201,2018,Louisiana Tech,2013,2017,40,287,1833,6.4,14,45.8,RB,Louisiana Tech
918,John Sciarra,1832,CHI,4,103,1976,UCLA,1972,1975,44,360,1832,5.1,23,41.6,RB,UCLA
919,Charlie Brown,1830,NOR,10,238,1967,Missouri,1964,1966,30,412,1830,4.4,7,61,RB,Missouri
920,Dorian Thompson-Robinson,1826,CLE,5,140,2023,UCLA,2018,2022,50,471,1826,3.9,28,36.5,QB,UCLA
921,Vince Williams,1824,SFO,6,151,1982,Oregon,1977,1981,55,418,1824,4.4,4,33.2,RB,Oregon
922,Eddie Fuller,1816,BUF,4,100,1990,LSU,1986,1989,44,376,1816,4.8,9,41.3,RB,LSU
923,Ricky Watters,1814,SFO,2,45,1991,Notre Dame,1987,1990,45,325,1814,5.6,21,40.3,RB,Notre Dame
924,Vince Workman,1814,GNB,5,127,1989,Ohio State,1985,1988,45,394,1814,4.6,12,40.3,RB,Ohio State
925,Bob Timberlake,1812,BUF,13,104,1965,Michigan,1962,1964,48,630,1812,2.9,20,37.8,QB,Michigan
926,Ross Montgomery,1812,CHI,3,66,1969,Texas Christian,1966,1968,30,477,1812,3.8,0,60.4,RB,Texas Christian
927,John Tuggle,1810,NYG,12,335,1983,California,1979,1982,44,432,1810,4.2,16,41.1,RB,California
928,Dameon Pierce,1806,HTX,4,107,2022,Florida,2018,2021,50,329,1806,5.5,23,36.1,RB,Florida
929,Jack Mildren,1803,CLT,2,46,1972,Oklahoma,1969,1971,32,495,1803,3.6,29,56.3,QB,Oklahoma
930,Andy Johnson,1799,NWE,5,112,1974,Georgia,1971,1973,33,431,1799,4.2,21,54.5,QB,Georgia
931,Chris Evans,1795,CIN,6,202,2021,Michigan,2016,2020,43,320,1795,5.6,15,41.7,RB,Michigan
932,Terry Jackson,1794,SFO,5,157,1999,Florida,1995,1998,36,321,1794,5.6,17,49.8,RB,Florida
933,Scott Frost,1789,NYJ,3,67,1998,Nebraska,1993,1997,46,355,1789,5,30,38.9,QB,"Nebraska,Stanford"
934,Tommy Vardell,1789,CLE,1,9,1992,Stanford,1988,1991,44,418,1789,4.3,37,40.7,RB,Stanford
935,Dexter Carter,1788,SFO,1,25,1990,Florida State,1986,1989,44,327,1788,5.5,17,40.6,RB,Florida State
936,Johnny Robinson,1786,KAN,,,1960,LSU,1957,1959,60,384,1786,4.7,12,29.8,RB,LSU
937,Rick Upchurch,1783,DEN,4,95,1975,Minnesota,1973,1974,22,294,1783,6.1,13,81,RB,Minnesota
938,Jim Kerr,1782,NYJ,19,150,1961,Penn State,1958,1960,58,418,1782,4.3,26,30.7,RB,Penn State
939,Ryan Torain,1782,DEN,5,139,2008,Arizona State,2006,2007,19,333,1782,5.4,12,93.8,RB,Arizona State
940,Jacob Hester,1780,SDG,3,69,2008,LSU,2004,2007,51,364,1780,4.9,20,34.9,RB,LSU
941,Bernard Jackson,1779,CIN,4,81,1972,Washington State,1970,1971,22,341,1779,5.2,18,80.9,RB,Washington State
942,Chauncey Washington,1778,JAX,7,213,2008,USC,2003,2007,32,371,1778,4.8,19,55.6,RB,USC
943,Quinton Ganther,1774,OTI,7,246,2006,Utah,2004,2005,23,314,1774,5.6,9,77.1,RB,Utah
944,Lonnie Perrin,1771,DEN,5,139,1976,Illinois,1972,1975,33,367,1771,4.8,10,53.7,RB,Illinois
945,Robert Smith,1771,MIN,1,21,1993,Ohio State,1990,1992,20,286,1771,6.2,15,88.6,RB,Ohio State
946,Andrew Pinnock,1770,SDG,7,229,2003,South Carolina,1999,2002,42,399,1770,4.4,25,42.1,RB,South Carolina
947,Chris Howard,1770,DEN,5,153,1998,Michigan,1994,1997,37,384,1770,4.6,17,47.8,RB,Michigan
948,Marc Logan,1769,CIN,5,130,1987,Kentucky,1983,1986,39,389,1769,4.5,11,45.4,RB,Kentucky
949,Storm Johnson,1765,JAX,7,222,2014,UCF,2010,2013,36,335,1765,5.3,19,49,RB,"Miami (FL),UCF"
950,Derrick Ramsey,1764,RAI,5,136,1978,Kentucky,1975,1977,31,446,1764,4,25,56.9,QB,Kentucky
951,Don Craft,1764,OTI,12,314,1982,Louisville,1978,1981,44,416,1764,4.2,13,40.1,RB,Louisville
952,Joe Hamilton,1758,TAM,7,234,2000,Georgia Tech,1996,1999,43,501,1758,3.5,18,40.9,QB,Georgia Tech
953,Anthony Hutchison,1756,CHI,10,256,1983,Texas Tech,1979,1982,44,398,1756,4.4,12,39.9,RB,Texas Tech
954,Daryl Johnston,1756,DAL,2,39,1989,Syracuse,1985,1988,44,356,1756,4.9,9,39.9,RB,Syracuse
955,Richie Anderson,1756,NYJ,6,144,1993,Penn State,1989,1992,34,363,1756,4.8,29,51.6,RB,Penn State
956,Max Anderson,1752,BUF,5,132,1968,Arizona State,1965,1967,30,353,1752,5,16,58.4,RB,Arizona State
957,Tom Woodeshick,1752,BUF,4,28,1963,West Virginia,1960,1962,60,384,1752,4.6,6,29.2,RB,West Virginia
958,Jordan Wilkins,1751,CLT,5,169,2018,Ole Miss,2014,2017,38,279,1751,6.3,14,46.1,RB,Ole Miss
959,Pete Larson,1751,WAS,9,222,1967,Cornell,1964,1966,25,354,1751,4.9,18,70,RB,Cornell
960,Stephen McGee,1750,DAL,4,101,2009,Texas A&M,2005,2008,40,387,1750,4.5,11,43.8,QB,Texas A&M
961,Cedric Peerman,1749,RAV,6,185,2009,Virginia,2005,2008,41,382,1749,4.6,15,42.7,RB,Virginia
962,Brett Hundley,1747,GNB,5,147,2015,UCLA,2012,2014,40,479,1747,3.6,30,43.7,QB,UCLA
963,Tyrion Davis-Price,1744,SFO,3,93,2022,LSU,2019,2021,35,379,1744,4.6,15,49.8,RB,LSU
964,Bobby Howard,1743,PHI,12,325,1986,Indiana,1982,1985,44,414,1743,4.2,13,39.6,RB,Indiana
965,Dan Doornink,1739,NYG,7,174,1978,Washington State,1974,1977,44,439,1739,4,12,39.5,RB,Washington State
966,Robert Wilson,1739,TAM,3,80,1991,Texas A&M,1988,1990,35,343,1739,5.1,20,49.7,RB,Texas A&M
967,Andra Franklin,1738,MIA,2,56,1981,Nebraska,1977,1980,44,324,1738,5.4,10,39.5,RB,Nebraska
968,Larry Stegent,1736,CRD,1,8,1970,Texas A&M,1967,1969,30,463,1736,3.7,8,57.9,RB,Texas A&M
969,Tom Matte,1736,NYJ,5,34,1961,Ohio State,1958,1960,54,516,1736,3.4,6,32.1,RB,Ohio State
970,Chris Thompson,1735,WAS,5,154,2013,Florida State,2009,2012,39,277,1735,6.3,14,44.5,RB,Florida State
971,Eric Crabtree,1734,DEN,13,112,1966,Pitt,1963,1965,60,380,1734,4.6,2,28.9,RB,Pitt
972,Warren Williams,1734,PIT,6,155,1988,Miami (FL),1984,1987,45,333,1734,5.2,12,38.5,RB,Miami (FL)
973,Tommie Agee,1733,SEA,5,119,1987,Auburn,1983,1986,45,356,1733,4.9,10,38.5,RB,Auburn
974,Brent McClanahan,1731,MIN,5,118,1973,Arizona State,1970,1972,32,324,1731,5.3,18,54.1,RB,Arizona State
975,Charlie Flowers,1730,SDG,,,1960,Ole Miss,1957,1959,30,307,1730,5.6,13,57.7,RB,Ole Miss
976,Haskel Stanback,1730,CIN,5,114,1974,Tennessee,1971,1973,33,391,1730,4.4,20,52.4,RB,Tennessee
977,Randy Love,1727,NWE,8,216,1979,Houston,1975,1978,43,364,1727,4.7,15,40.2,RB,Houston
978,Fred Cox,1722,NYJ,28,221,1961,Pitt,1959,1961,60,350,1722,4.9,4,28.7,RB,Pitt
979,Keith Woodside,1720,GNB,3,61,1988,Texas A&M,1983,1987,43,301,1720,5.7,6,40,RB,Texas A&M
980,Kent McCloughan,1720,OTI,11,82,1965,Nebraska,1962,1964,60,372,1720,4.6,28,28.7,RB,Nebraska
981,Jessie Clark,1716,GNB,7,188,1983,,1978,1982,40,398,1716,4.3,18,42.9,RB,"Arkansas,Louisiana Tech"
982,Doug Paschal,1714,MIN,5,121,1980,North Carolina,1976,1979,44,372,1714,4.6,9,39,RB,North Carolina
983,Jim Kiick,1714,MIA,5,118,1968,Wyoming,1965,1967,30,431,1714,4,10,57.1,RB,Wyoming
984,Tom Bailey,1714,PHI,10,256,1971,Florida State,1968,1970,31,381,1714,4.5,6,55.3,RB,Florida State
985,Larry Hickman,1713,RAM,3,31,1959,Baylor,1956,1958,30,388,1713,4.4,14,57.1,RB,Baylor
986,Gerrid Doaks,1712,MIA,7,244,2021,Cincinnati,2017,2020,31,331,1712,5.2,14,55.2,RB,Cincinnati
987,William Howard,1711,TAM,5,113,1988,Tennessee,1984,1987,45,398,1711,4.3,21,38,RB,Tennessee
988,Ed Podolak,1710,KAN,2,48,1969,Iowa,1966,1968,30,407,1710,4.2,8,57,QB,Iowa
989,Toussaint Tyler,1709,NOR,9,222,1981,Washington,1978,1980,33,347,1709,4.9,17,51.8,RB,Washington
990,Scottie Graham,1704,PIT,7,188,1992,Ohio State,1988,1991,43,342,1704,5,19,39.6,RB,Ohio State
991,Brooks Bollinger,1703,NYJ,6,200,2003,Wisconsin,1999,2002,44,490,1703,3.5,25,38.7,QB,Wisconsin
992,Tony Smith,1703,ATL,1,19,1992,Southern Mississippi,1989,1991,33,367,1703,4.6,12,51.6,RB,Southern Mississippi
993,David Overstreet,1702,MIA,1,13,1981,Oklahoma,1977,1980,44,293,1702,5.8,13,38.7,RB,Oklahoma
994,Mike Crawford,1700,TAM,12,324,1986,Arizona State,1983,1985,33,415,1700,4.1,15,51.5,RB,Arizona State
995,Rodger Bird,1699,RAI,1,63,1966,Kentucky,1963,1965,30,397,1699,4.3,21,56.6,RB,Kentucky
996,Rodney Culver,1697,CLT,4,85,1992,Notre Dame,1988,1991,45,340,1697,5,15,37.7,RB,Notre Dame
997,Trace McSorley,1697,RAV,6,197,2019,Penn State,2015,2018,47,473,1697,3.6,30,36.1,QB,Penn State
998,Derrick Lassic,1696,DAL,4,94,1993,Alabama,1989,1992,43,349,1696,4.9,13,39.4,RB,Alabama
999,Mike Archie,1694,OTI,7,218,1996,Penn State,1992,1995,44,305,1694,5.6,14,38.5,RB,Penn State
1000,Jewerl Thomas,1691,RAM,3,58,1980,San Jose State,1975,1979,45,354,1691,4.8,12,37.6,RB,"San Jose State,UCLA"
