,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
801,Tom Barrington,2048,KAN,16,142,1966,Ohio State,1963,1965,46,532,2048,3.8,14,44.5,RB,Ohio State
802,Zamir White,2043,RAI,4,122,2022,Georgia,2019,2021,38,382,2043,5.3,25,53.8,RB,Georgia
803,Jon Williams,2042,NWE,3,70,1984,Penn State,1980,1983,45,399,2042,5.1,14,45.4,RB,Penn State
804,Leon Washington,2041,NYJ,4,117,2006,Florida State,2002,2005,44,369,2041,5.5,12,46.4,RB,Florida State
805,Stan Edwards,2040,OTI,3,72,1982,Michigan,1977,1981,44,426,2040,4.8,13,46.4,RB,Michigan
806,Tim Worley,2038,PIT,1,7,1989,Georgia,1985,1988,26,353,2038,5.8,27,78.4,RB,Georgia
807,Tommy Mason,2038,NWE,1,3,1961,Tulane,1958,1960,60,420,2038,4.9,16,34,RB,Tulane
808,Robert Edwards,2033,NWE,1,18,1998,Georgia,1994,1997,34,394,2033,5.2,27,59.8,DB,Georgia
809,Earl Ferrell,2032,CRD,5,125,1982,East Tennessee State,1979,1981,30,380,2032,5.3,14,67.7,RB,East Tennessee State
810,John Hadl,2032,SDG,3,24,1962,Kansas,1959,1961,60,608,2032,3.3,26,33.9,RB,Kansas
811,Bob Jeter,2030,SDG,,,1960,Iowa,1957,1959,54,342,2030,5.9,6,37.6,RB,Iowa
812,Joe Mixon,2027,CIN,2,48,2017,Oklahoma,2015,2016,25,300,2027,6.8,17,81.1,RB,Oklahoma
813,Glynn Harrison,2026,SDG,9,251,1976,Georgia,1973,1975,33,318,2026,6.4,11,61.4,RB,Georgia
814,Mario Bates,2025,NOR,2,44,1994,Arizona State,1991,1993,33,420,2025,4.8,14,61.4,RB,Arizona State
815,James Jones,2018,DET,1,13,1983,Florida,1979,1982,43,468,2018,4.3,17,46.9,RB,Florida
816,Roger Lawson,2018,CHI,15,377,1972,Western Michigan,1969,1971,30,323,2018,6.2,22,67.3,RB,Western Michigan
817,Mike Adamle,2015,KAN,5,120,1971,Northwestern,1968,1970,30,483,2015,4.2,13,67.2,RB,Northwestern
818,Franco Harris,2002,PIT,1,13,1972,Penn State,1969,1971,31,380,2002,5.3,24,64.6,RB,Penn State
819,Glenn Glass,2000,BUF,2,12,1962,Tennessee,1959,1961,60,448,2000,4.5,28,33.3,RB,Tennessee
820,Gary Anderson,1999,SDG,1,20,1983,Arkansas,1979,1982,44,392,1999,5.1,10,45.4,RB,Arkansas
821,Zach Evans,1999,RAM,6,215,2023,Ole Miss,2020,2022,27,290,1999,6.9,18,74,RB,"Ole Miss,Texas Christian"
822,Josh Robinson,1997,CLT,6,205,2015,Mississippi State,2012,2014,38,323,1997,6.2,15,52.6,RB,Mississippi State
823,Tony Nathan,1997,MIA,3,61,1979,Alabama,1975,1978,44,310,1997,6.4,29,45.4,RB,Alabama
824,Mark Walton,1995,CIN,4,112,2018,Miami (FL),2015,2017,31,394,1995,5.1,26,64.4,RB,Miami (FL)
825,Travis Homer,1995,SEA,6,204,2019,Miami (FL),2016,2018,38,334,1995,6,12,52.5,RB,Miami (FL)
826,Lorenzo Hampton,1993,MIA,1,27,1985,Florida,1981,1984,40,418,1993,4.8,15,49.8,RB,Florida
827,Jeff Smith,1992,KAN,10,267,1985,Nebraska,1980,1984,45,315,1992,6.3,19,44.3,RB,Nebraska
828,Perry Williams,1988,GNB,4,90,1969,Purdue,1966,1968,30,494,1988,4,28,66.3,RB,Purdue
829,Jerald Moore,1985,RAM,3,83,1996,Oklahoma,1993,1995,27,364,1985,5.5,22,73.5,RB,Oklahoma
830,Kalen Ballage,1984,MIA,4,131,2018,Arizona State,2014,2017,47,450,1984,4.4,27,42.2,RB,Arizona State
831,Jase McClellan,1981,ATL,6,186,2024,Alabama,2020,2023,42,355,1981,5.6,18,47.2,RB,Alabama
832,Josh Scobey,1981,CRD,6,185,2002,Kansas State,2000,2001,24,409,1981,4.8,31,82.5,RB,Kansas State
833,Barry Foster,1977,PIT,5,128,1990,Arkansas,1987,1989,34,375,1977,5.3,19,58.1,RB,Arkansas
834,Mark Green,1977,CHI,5,130,1989,Notre Dame,1985,1988,43,382,1977,5.2,15,46,WR,Notre Dame
835,Kevin Harris,1976,NWE,6,183,2022,South Carolina,2019,2021,28,358,1976,5.5,23,70.6,RB,South Carolina
836,Frank Gore,1975,SFO,3,65,2005,Miami (FL),2001,2004,28,348,1975,5.7,17,70.5,RB,Miami (FL)
837,Jawan Jamison,1972,WAS,7,228,2013,Rutgers,2011,2012,25,486,1972,4.1,13,78.9,RB,Rutgers
838,Terdell Middleton,1970,CRD,3,80,1977,Memphis,1973,1976,44,408,1970,4.8,18,44.8,RB,Memphis
839,Joe Orduna,1968,SFO,2,49,1971,Nebraska,1967,1970,31,489,1968,4,26,63.5,RB,Nebraska
840,Rick Kane,1967,DET,3,69,1977,San Jose State,1975,1976,22,371,1967,5.3,13,89.4,RB,San Jose State
841,Mike Goodson,1964,CAR,4,111,2009,Texas A&M,2006,2008,36,374,1964,5.3,13,54.6,RB,Texas A&M
842,Thomas Lott,1964,CRD,6,144,1979,Oklahoma,1975,1978,44,396,1964,5,28,44.6,QB,Oklahoma
843,Reuben Droughns,1963,DET,3,81,2000,Oregon,1998,1999,16,368,1963,5.3,18,122.7,RB,Oregon
844,Altie Taylor,1959,DET,2,34,1969,Utah State,1966,1968,30,415,1959,4.7,12,65.3,RB,Utah State
845,LaRod Stephens-Howling,1959,CRD,7,240,2009,Pitt,2005,2008,44,429,1959,4.6,15,44.5,RB,Pitt
846,Thomas Tapeh,1958,PHI,5,162,2004,Minnesota,2000,2003,43,410,1958,4.8,24,45.5,RB,Minnesota
847,Ike Forte,1957,NWE,2,35,1976,Arkansas,1974,1975,22,361,1957,5.4,19,89,RB,Arkansas
848,Marcus Murphy,1957,NOR,7,230,2015,Missouri,2010,2014,52,337,1957,5.8,16,37.6,RB,Missouri
849,Ben Wilson,1956,SDG,28,224,1962,USC,1960,1962,60,446,1956,4.4,16,32.6,RB,USC
850,Elvis Peacock,1956,RAM,1,20,1978,Oklahoma,1974,1977,44,322,1956,6.1,21,44.5,RB,Oklahoma
851,Dexter McCluster,1955,KAN,2,36,2010,Ole Miss,2006,2009,40,304,1955,6.4,15,48.9,RB,Ole Miss
852,Jerald Sowell,1953,GNB,7,231,1997,Tulane,1993,1996,43,473,1953,4.1,10,45.4,RB,Tulane
853,Jerome Ford,1953,CLE,5,156,2022,Cincinnati,2018,2021,32,318,1953,6.1,30,61,RB,"Alabama,Cincinnati"
854,Stanley Morgan,1952,NWE,1,25,1977,Tennessee,1973,1976,45,353,1952,5.5,28,43.4,WR,Tennessee
855,James Owens,1951,SFO,2,29,1979,UCLA,1976,1978,33,396,1951,4.9,14,59.1,RB,UCLA
856,Jordan Travis,1950,NYJ,5,171,2024,Florida State,2018,2023,49,417,1950,4.7,31,39.8,QB,"Florida State,Louisville"
857,Ken Willard,1949,SFO,1,2,1965,North Carolina,1962,1964,30,514,1949,3.8,18,65,RB,North Carolina
858,Lance Rentzel,1948,BUF,6,48,1965,Oklahoma,1962,1964,60,344,1948,5.7,16,32.5,RB,Oklahoma
859,Anthony Daigle,1944,KAN,6,185,1994,Fresno State,1991,1993,34,364,1944,5.3,32,57.2,RB,Fresno State
860,Brandon Miree,1944,DEN,7,247,2004,Pitt,2000,2003,32,426,1944,4.6,16,60.8,RB,"Alabama,Pitt"
861,Bobby Boyd,1942,SDG,,,1960,Oklahoma,1957,1959,60,534,1942,3.6,18,32.4,RB,Oklahoma
862,Barty Smith,1941,GNB,1,12,1974,Richmond,1971,1973,30,452,1941,4.3,15,64.7,RB,Richmond
863,Jake Locker,1939,OTI,1,8,2011,Washington,2007,2010,40,454,1939,4.3,29,48.5,QB,Washington
864,Anthony Brown,1938,NYJ,8,209,1989,West Virginia,1984,1988,41,379,1938,5.1,13,47.3,RB,"Pitt,West Virginia"
865,Tony Reed,1938,KAN,2,37,1977,Colorado,1975,1976,22,421,1938,4.6,11,88.1,RB,Colorado
866,Jim Strong,1936,SFO,7,165,1970,Houston,1967,1969,30,298,1936,6.5,17,64.5,RB,Houston
867,Deshaun Watson,1934,HTX,1,12,2017,Clemson,2014,2016,38,435,1934,4.4,26,50.9,QB,Clemson
868,Kenny Lewis,1928,RAI,5,125,1980,Virginia Tech,1977,1979,33,358,1928,5.4,15,58.4,RB,Virginia Tech
869,Ron Springs,1926,DAL,5,136,1979,Ohio State,1976,1978,31,353,1926,5.5,11,62.1,RB,Ohio State
870,Ickey Woods,1925,CIN,2,31,1988,Nevada-Las Vegas,1984,1987,31,328,1925,5.9,15,62.1,RB,Nevada-Las Vegas
