,,,,,,,,,,,Rushing,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1001,Trestan Ebner,1690,CHI,6,203,2022,Baylor,2017,2021,61,343,1690,4.9,9,27.7,RB,Baylor
1002,Wray Carlton,1690,PHI,3,26,1959,Duke,1956,1958,29,366,1690,4.6,17,58.3,RB,Duke
1003,Eric Ball,1689,CIN,2,35,1989,UCLA,1984,1988,55,349,1689,4.8,22,30.7,RB,UCLA
1004,Ivy Joe Hunter,1687,CLT,7,182,1989,Kentucky,1985,1988,38,361,1687,4.7,19,44.4,RB,Kentucky
1005,Mel Farr,1680,DET,1,7,1967,UCLA,1964,1966,30,277,1680,6.1,17,56,RB,UCLA
1006,Nick Bell,1680,RAI,2,43,1991,Iowa,1988,1990,33,298,1680,5.6,16,50.9,RB,Iowa
1007,Marion Grice,1675,SDG,6,201,2014,Arizona State,2012,2013,24,294,1675,5.7,25,69.8,RB,Arizona State
1008,Les Strayhorn,1673,DAL,17,438,1973,East Carolina,1970,1972,32,373,1673,4.5,8,52.3,RB,East Carolina
1009,Ernie Koy,1670,OTI,3,18,1965,Texas,1962,1964,44,408,1670,4.1,20,38,RB,Texas
1010,Frank Summers,1668,PIT,5,169,2009,Nevada-Las Vegas,2007,2008,24,385,1668,4.3,14,69.5,RB,Nevada-Las Vegas
1011,Steve Fuller,1665,KAN,1,23,1979,Clemson,1975,1978,44,505,1665,3.3,21,37.8,QB,Clemson
1012,Nolan Cromwell,1664,RAM,2,31,1977,Kansas,1975,1976,22,331,1664,5,16,75.6,QB,Kansas
1013,Jim Jensen,1661,DAL,2,40,1976,Iowa,1972,1975,44,367,1661,4.5,9,37.8,RB,Iowa
1014,Charlie Young,1657,DAL,1,22,1974,North Carolina State,1971,1973,33,317,1657,5.2,16,50.2,RB,North Carolina State
1015,Earl Gant,1654,KAN,5,112,1979,Missouri,1976,1978,33,297,1654,5.6,9,50.1,RB,Missouri
1016,Greg Taylor,1653,NWE,12,308,1982,Virginia,1977,1981,44,357,1653,4.6,12,37.6,WR,Virginia
1017,Alex Green,1652,GNB,3,96,2011,Hawaii,2009,2010,27,232,1652,7.1,20,61.2,RB,Hawaii
1018,Benny Nelson,1650,OTI,12,94,1964,Alabama,1961,1963,60,270,1650,6.1,22,27.5,RB,Alabama
1019,John Avery,1650,MIA,1,29,1998,Ole Miss,1996,1997,20,347,1650,4.8,12,82.5,RB,Ole Miss
1020,Miles Sanders,1649,PHI,2,53,2019,Penn State,2016,2018,38,276,1649,6,12,43.4,RB,Penn State
1021,Anthony McFarland,1648,PIT,4,124,2020,Maryland,2018,2019,23,245,1648,6.7,12,71.7,RB,Maryland
1022,Keith Henderson,1648,SFO,3,84,1989,Georgia,1985,1988,31,273,1648,6,7,53.2,RB,Georgia
1023,Tony Galbreath,1647,NOR,2,32,1976,Missouri,1974,1975,22,380,1647,4.3,18,74.9,RB,Missouri
1024,Bob Stransky,1645,CLT,2,24,1958,Colorado,1956,1957,20,266,1645,6.2,16,82.3,QB,Colorado
1025,Derrick Fenner,1643,SEA,10,268,1989,North Carolina,1985,1986,22,292,1643,5.6,6,74.7,RB,North Carolina
1026,Gary Downs,1642,NYG,3,95,1994,North Carolina State,1990,1993,40,380,1642,4.3,23,41.1,RB,North Carolina State
1027,Ira Matthews,1640,RAI,6,142,1979,Wisconsin,1975,1978,44,325,1640,5,10,37.3,WR,Wisconsin
1028,Michael Robinson,1637,SFO,4,100,2006,Penn State,2002,2005,45,369,1637,4.4,20,36.4,QB,Penn State
1029,Dexter Williams,1636,GNB,6,194,2019,Notre Dame,2015,2018,37,257,1636,6.4,20,44.2,RB,Notre Dame
1030,Mazio Royster,1635,TAM,11,284,1992,USC,1989,1991,34,321,1635,5.1,16,48.1,RB,USC
1031,Clendon Thomas,1633,RAM,2,19,1958,Oklahoma,1956,1957,20,234,1633,7,22,81.7,RB,Oklahoma
1032,Chuck Foreman,1631,MIN,1,12,1973,Miami (FL),1970,1972,33,345,1631,4.7,13,49.4,RB,Miami (FL)
1033,Gary Ballman,1630,DEN,16,122,1962,Michigan State,1959,1961,54,340,1630,4.8,20,30.2,RB,Michigan State
1034,Rod McNeill,1630,NOR,4,88,1974,USC,1970,1973,33,326,1630,5,14,49.4,RB,USC
1035,Bobby Leo,1629,NWE,7,180,1967,Harvard,1964,1966,27,298,1629,5.5,12,60.3,RB,Harvard
1036,Herb Adderley,1626,NYJ,2,10,1961,Michigan State,1958,1960,54,396,1626,4.1,8,30.1,RB,Michigan State
1037,Terry Kunz,1624,RAI,8,231,1976,Colorado,1972,1975,33,317,1624,5.1,18,49.2,RB,Colorado
1038,Delvin Williams,1623,SFO,2,49,1974,Kansas,1971,1973,33,367,1623,4.4,13,49.2,RB,Kansas
1039,Marshawn Lloyd,1621,GNB,3,88,2024,USC,2021,2023,32,291,1621,5.6,19,50.7,RB,"South Carolina,USC"
1040,Mike Dingle,1617,CIN,8,211,1991,South Carolina,1988,1990,31,387,1617,4.2,18,52.2,RB,South Carolina
1041,Nick Eddy,1615,DET,2,24,1966,Notre Dame,1964,1966,28,293,1615,5.5,17,57.7,RB,Notre Dame
1042,Bo Nix,1613,DEN,1,12,2024,Oregon,2019,2023,61,405,1613,4,38,26.4,QB,"Auburn,Oregon"
1043,Eddie Dove,1612,SFO,3,29,1959,Colorado,1956,1958,30,246,1612,6.6,15,53.7,RB,Colorado
