,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
2601,Brian Lewerke,1255,2016,2019,41,346,1255,3.6,10,30.6,QB,Michigan State
2602,Brian McCullough,1255,1968,1970,27,300,1255,4.2,4,46.5,WR,Princeton
2603,Bruce Molloy,1255,1963,1965,27,376,1255,3.3,7,46.5,RB,Pennsylvania
2604,Daccus Turman,1255,2002,2005,46,281,1255,4.5,14,27.3,RB,South Carolina
2605,Bhayshul Tuten,1254,2023,2024,17,240,1254,5.2,17,73.8,RB,Virginia Tech
2606,Billy Cockerham,1254,1996,1999,32,329,1254,3.8,12,39.2,QB,Minnesota
2607,Chad Paulson,1254,1990,1993,42,221,1254,5.7,10,29.9,RB,Oregon State
2608,Rashad Amos,1254,2020,2024,30,238,1254,5.3,13,41.8,RB,"Miami (OH),Ole Miss,South Carolina"
2609,Arry Moody,1253,1975,1976,21,277,1253,4.5,26,59.7,RB,Louisiana Tech
2610,Yamar Washington,1253,2002,2005,32,324,1253,3.9,11,39.2,RB,Indiana
2611,Darrell Scott,1252,2008,2011,27,263,1252,4.8,6,46.4,RB,"Colorado,South Florida"
2612,Demetrius Brown,1252,1986,1989,44,383,1252,3.3,3,28.5,RB,Utah State
2613,Eric Higgins,1252,2002,2003,16,240,1252,5.2,5,78.3,RB,New Mexico State
2614,Greg Schaff,1252,1975,1978,41,346,1252,3.6,10,30.5,RB,Louisiana-Monroe
2615,Jacobe Kendrick,1252,2003,2006,41,265,1252,4.7,10,30.5,RB,Air Force
2616,Bob Crandall,1251,1957,1959,30,223,1251,5.6,7,41.7,RB,New Mexico
2617,Daz'Mond Patterson,1251,2012,2015,47,264,1251,4.7,13,26.6,RB,Ohio
2618,Donald Sellers,1251,1995,1996,21,303,1251,4.1,18,59.6,QB,New Mexico
2619,Jon Redd,1251,1983,1986,43,246,1251,5.1,4,29.1,RB,Missouri
2620,Marvin Courtney,1251,1990,1993,39,275,1251,4.5,15,32.1,RB,Ole Miss
2621,Richard Phillips,1251,1977,1978,23,252,1251,5,7,54.4,RB,Pacific
2622,Adam Choice,1250,2014,2018,45,239,1250,5.2,14,27.8,RB,Clemson
2623,Johnny Goff,1250,1996,1998,20,298,1250,4.2,6,62.5,QB,Army
2624,King Dixon,1250,1956,1958,30,289,1250,4.3,7,41.7,RB,South Carolina
2625,Rod Stewart,1250,1975,1978,33,268,1250,4.7,9,37.9,RB,Kentucky
2626,Rodney Lee,1250,1977,1979,33,245,1250,5.1,10,37.9,RB,Georgia Tech
2627,Steve Morgan,1250,1969,1971,30,301,1250,4.2,13,41.7,RB,Colgate
