,,,,,,Receiving,,,,,,
Rk,Player,Yds,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
2801,Julian Jones,1123,2010,2013,46,69,1123,16.3,11,24.4,DB,Arkansas State
2802,Larry Linne,1123,1983,1985,34,72,1123,15.6,8,33,WR,UTEP
2803,Mike Guffie,1123,1992,1995,43,70,1123,16,9,26.1,WR,North Carolina State
2804,Miquel Irvin,1123,2002,2003,24,103,1123,10.9,4,46.8,WR,Akron
2805,Glenn Smith,1122,2014,2017,49,111,1122,10.1,5,22.9,WR,Georgia State
2806,Ryan Purvis,1122,2005,2008,45,113,1122,9.9,6,24.9,TE,Boston College
2807,Tyson Schwieger,1122,1992,1995,32,90,1122,12.5,10,35.1,WR,Kansas State
2808,David Mills,1121,1981,1984,35,69,1121,16.2,9,32,TE,BYU
2809,Kemonte Bateman,1121,2011,2012,25,78,1121,14.4,9,44.8,WR,New Mexico State
2810,Stanley Shakespeare,1121,1982,1984,34,76,1121,14.8,9,33,WR,Miami (FL)
2811,Andrell Smith,1120,2009,2012,45,70,1120,16,7,24.9,WR,Louisville
2812,Chauncey Stovall,1120,2003,2004,25,72,1120,15.6,8,44.8,WR,Florida State
2813,Greg Meehan,1120,1983,1985,22,80,1120,14,8,50.9,WR,Bowling Green
2814,Johnny Mills,1120,1964,1966,29,76,1120,14.7,4,38.6,WR,Tennessee
2815,Lafo Malauulu,1120,1985,1986,19,69,1120,16.2,7,58.9,WR,San Jose State
2816,Mike Leuck,1120,1982,1984,33,119,1120,9.4,5,33.9,TE,Ball State
2817,Nigel Turpin,1120,1975,1978,44,92,1120,12.2,3,25.5,WR,Ohio
2818,Todd Cleveland,1120,1996,1997,19,89,1120,12.6,6,58.9,WR,UCF
2819,Andre Riley,1119,1986,1989,44,58,1119,19.3,5,25.4,RB,Washington
2820,Anthony Wheat-Brown,1119,2004,2006,31,94,1119,11.9,9,36.1,WR,Oregon State
2821,Bobby Bernal-Wood,1119,2003,2004,20,111,1119,10.1,3,56,WR,Idaho
2822,Chris Iskra,1119,2000,2003,41,83,1119,13.5,6,27.3,WR,South Florida
2823,David Dyas,1119,1985,1986,24,68,1119,16.5,4,46.6,WR,Hawaii
2824,Drew Pearson,1119,1970,1972,32,55,1119,20.3,8,35,QB,Tulsa
2825,Nick Kurtz,1119,2014,2016,27,88,1119,12.7,5,41.4,WR,BYU
2826,Andrew Brewer,1118,2006,2009,35,76,1118,14.7,9,31.9,WR,Northwestern
2827,Lonny Gilbert,1118,1966,1968,30,76,1118,14.7,7,37.3,WR,Louisville
2828,Quentin Pierce,1118,2009,2012,51,91,1118,12.3,9,21.9,WR,Southern Mississippi
2829,Bernard Henry,1117,1978,1981,41,80,1117,14,10,27.2,WR,Arizona State
2830,Derrick Crawford,1117,1980,1983,44,63,1117,17.7,5,25.4,WR,Memphis
2831,John Wright,1117,1990,1992,33,85,1117,13.1,8,33.8,WR,Illinois
2832,Terrence Miller,1117,2009,2013,46,95,1117,11.8,3,24.3,WR,Arizona
2833,Jerry Dorsey,1116,1999,2000,22,58,1116,19.2,9,50.7,WR,Indiana
2834,Patrick Williams,1116,2005,2008,50,107,1116,10.4,3,22.3,WR,Colorado
2835,Quentin Skinner,1116,2021,2024,41,61,1116,18.3,7,27.2,WR,Kansas
2836,Brad Kanuch,1115,2006,2009,47,74,1115,15.1,3,23.7,WR,Connecticut
2837,Keith Miller,1115,1990,1993,33,64,1115,17.4,9,33.8,WR,Boston College
2838,Markis McCray,1115,2015,2019,50,95,1115,11.7,6,22.3,WR,Louisiana-Monroe
2839,Mike Johnston,1115,1992,1995,45,72,1115,15.5,11,24.8,WR,BYU
2840,Chuck Herring,1114,1982,1985,42,68,1114,16.4,4,26.5,WR,Duke
2841,Cornelius White,1114,1993,1996,43,78,1114,14.3,7,25.9,WR,Virginia Tech
2842,Giovanni Ricci,1114,2016,2019,46,98,1114,11.4,11,24.2,TE,Western Michigan
2843,Jacob Hollister,1114,2014,2016,38,75,1114,14.9,12,29.3,TE,Wyoming
2844,Ja'Varrius Johnson,1114,2020,2024,37,65,1114,17.1,8,30.1,WR,"Auburn,UCF"
2845,Michael Henry,1114,2013,2016,39,88,1114,12.7,5,28.6,WR,Western Michigan
2846,Terance Richardson,1114,1995,1999,43,85,1114,13.1,5,25.9,WR,Oklahoma State
2847,Tommy Davidson,1114,1975,1977,33,87,1114,12.8,7,33.8,WR,Baylor
2848,Andrew Armstrong,1112,2023,2024,15,79,1112,14.1,5,74.1,WR,Arkansas
2849,Bryon Trotter,1112,1968,1970,31,98,1112,11.3,3,35.9,WR,Furman
2850,Eugene Harris,1112,2007,2009,32,105,1112,10.6,5,34.8,WR,Miami (OH)
2851,Hutch White,1112,2016,2019,39,116,1112,9.6,4,28.5,,Texas State
2852,Mike Moore,1112,1977,1977,11,60,1112,18.5,12,101.1,TE,Grambling State
2853,Nigel King,1112,2012,2014,35,72,1112,15.4,6,31.8,WR,"Kansas,Maryland"
2854,Gary Steele,1111,1966,1968,30,66,1111,16.8,7,37,WR,Army
2855,Javess Blue,1111,2013,2014,22,72,1111,15.4,9,50.5,WR,Kentucky
2856,Mason Fairchild,1111,2019,2023,58,82,1111,13.5,10,19.2,TE,Kansas
2857,Robbie Minor,1111,1983,1986,33,72,1111,15.4,6,33.7,WR,Iowa State
2858,Jahkeen Gilmore,1110,2004,2006,31,81,1110,13.7,5,35.8,WR,Indiana
2859,Bob Bischoff,1109,1968,1970,31,78,1109,14.2,6,35.8,WR,Virginia
2860,Connor Hamlett,1109,2012,2014,34,104,1109,10.7,10,32.6,TE,Oregon State
2861,Jeff Calabrese,1109,1970,1972,33,80,1109,13.9,6,33.6,WR,Toledo
2862,Landon Cox,1109,2007,2010,50,98,1109,11.3,8,22.2,WR,Northern Illinois
2863,Micah Simon,1109,2015,2019,40,90,1109,12.3,5,27.7,DB,BYU
2864,Pat Fitzgerald,1109,1994,1996,28,80,1109,13.9,12,39.6,TE,Texas
2865,Sterling Hicks,1109,2001,2005,42,76,1109,14.6,4,26.4,WR,North Carolina State
2866,Tim Holmes,1109,1978,1980,33,72,1109,15.4,2,33.6,WR,Arizona
2867,Jeff Mack,1108,1972,1974,33,57,1108,19.4,10,33.6,WR,Wisconsin
2868,Mike Hirn,1108,1978,1981,44,74,1108,15,9,25.2,TE,Central Michigan
2869,Daniel McKinney,1107,2012,2013,23,97,1107,11.4,3,48.1,WR,Florida Atlantic
2870,Kearis Jackson,1107,2018,2022,55,78,1107,14.2,4,20.1,WR,Georgia
2871,Loy Alexander,1107,1983,1985,33,78,1107,14.2,8,33.5,WR,Colorado
2872,Mike Lanese,1107,1982,1985,41,65,1107,17,6,27,WR,Ohio State
2873,Stan Crisson,1107,1961,1963,30,98,1107,11.3,10,36.9,WR,Duke
2874,Taron Keith,1107,2020,2024,41,109,1107,10.2,8,27,RB,"Bowling Green,South Florida"
2875,Wayne Schwalbach,1107,1975,1977,33,57,1107,19.4,7,33.5,TE,Central Michigan
2876,Derek Davis,1106,1968,1970,31,74,1106,14.9,5,35.7,RB,Baylor
2877,Kirk Kirkpatrick,1106,1987,1990,36,82,1106,13.5,7,30.7,TE,Florida
2878,Randy Tanner,1106,1984,1987,44,71,1106,15.6,12,25.1,WR,USC
2879,Terrell Zachery,1106,2008,2010,39,71,1106,15.6,9,28.4,WR,Auburn
2880,Darran Hall,1105,1997,1998,23,65,1105,17,7,48,WR,Colorado State
2881,Michael Vaughn,1105,1995,1998,30,73,1105,15.1,10,36.8,WR,Alabama
2882,Nick Spinelli,1105,1961,1963,30,81,1105,13.6,9,36.8,WR,Miami (FL)
2883,Terrance Ferguson,1105,2021,2024,44,104,1105,10.6,13,25.1,TE,Oregon
2884,Tyler Jones,1105,2005,2008,43,107,1105,10.3,9,25.7,QB,Eastern Michigan
2885,Brennon Dingle,1104,2017,2020,48,90,1104,12.3,9,23,WR,"Massachusetts,UTSA"
2886,Jsi Hatfield,1104,2019,2023,48,75,1104,14.7,6,23,WR,East Carolina
2887,Kamdyn Benjamin,1104,2020,2024,38,75,1104,14.7,8,29.1,WR,Tulsa
2888,Tom Scott,1104,1971,1972,22,46,1104,24,8,50.2,WR,Washington
2889,Jeff Jenkins,1103,1985,1987,35,61,1103,18.1,5,31.5,WR,Utah
2890,Paul Lang,1103,1967,1969,29,67,1103,16.5,5,38,TE,Buffalo
2891,Scott Ray,1103,1990,1993,38,77,1103,14.3,3,29,WR,LSU
2892,Sean Willis,1103,1988,1989,22,72,1103,15.3,9,50.1,WR,Colorado State
