,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1201,Stephen Carr,1919,2017,2021,44,419,1919,4.6,18,43.6,RB,"Indiana,USC"
1202,Andy Davidson,1918,2015,2018,51,375,1918,5.1,19,37.6,LB,Army
1203,Earl Taylor,1918,1975,1976,22,381,1918,5,14,87.2,RB,Ball State
1204,Leon Perry,1918,1985,1989,44,397,1918,4.8,21,43.6,RB,Oklahoma
1205,Kent Merritt,1916,1971,1973,31,411,1916,4.7,5,61.8,RB,Virginia
1206,Billy Lovett,1913,1966,1968,29,452,1913,4.2,8,66,RB,Maryland
1207,Brennan Clay,1913,2010,2013,46,379,1913,5,13,41.6,RB,Oklahoma
1208,Dedrick Mills,1912,2016,2020,27,379,1912,5,25,70.8,RB,"Georgia Tech,Nebraska"
1209,Dwight Driver,1912,1990,1992,26,427,1912,4.5,17,73.5,RB,Wyoming
1210,Kevin Cole,1909,1977,1978,23,404,1909,4.7,16,83,RB,San Jose State
1211,Mike Hogan,1909,1972,1975,44,501,1909,3.8,10,43.4,RB,Chattanooga
1212,Michael Martin,1905,1993,1997,37,395,1905,4.8,11,51.5,RB,Arizona State
1213,Scott McConnell,1904,1975,1978,44,325,1904,5.9,18,43.3,RB,Appalachian State
1214,Jack Mahone,1902,1962,1964,30,382,1902,5,13,63.4,RB,Marshall
1215,James Williams,1902,1985,1986,22,345,1902,5.5,21,86.5,RB,Fresno State
1216,Thomas Merriweather,1902,2007,2010,46,461,1902,4.1,23,41.3,RB,Miami (OH)
1217,Greg Bell,1901,2018,2021,27,393,1901,4.8,15,70.4,RB,"Nebraska,San Diego State"
1218,Roger Boone,1900,1986,1989,36,415,1900,4.6,15,52.8,RB,Duke
1219,Rodney Davis,1898,2002,2003,26,411,1898,4.6,10,73,RB,Fresno State
1220,Tauren Poole,1898,2008,2011,50,423,1898,4.5,16,38,RB,Tennessee
1221,Jared Tew,1897,2008,2010,31,416,1897,4.6,17,61.2,RB,Air Force
1222,Kendrick Hardy,1897,2010,2013,39,334,1897,5.7,11,48.6,RB,Southern Mississippi
1223,Art Thompkins,1895,2016,2019,50,329,1895,5.8,13,37.9,RB,"Connecticut,Toledo"
1224,Brandon Warfield,1895,2002,2003,19,438,1895,4.3,20,99.7,RB,Utah
