,,,,,,Rushing,,,,,,
1628,Dom Fischer,1653,1968,1970,30,443,1653,3.7,15,55.1,RB,Colgate
1629,Bill Belton,1652,2011,2014,40,355,1652,4.7,14,41.3,WR,Penn State
1630,Curtiss Williams,1652,1974,1977,44,381,1652,4.3,6,37.5,RB,Cincinnati
1631,Darrel Williams,1651,2014,2017,48,321,1651,5.1,19,34.4,RB,LSU
1632,Gerald Green,1651,2019,2024,46,312,1651,5.3,16,35.9,RB,"East Carolina,Georgia Southern,Troy"
1633,Jasper Sanks,1651,1998,2001,31,363,1651,4.5,12,53.3,RB,Georgia
1634,Jerrod Washington,1651,1990,1993,44,312,1651,5.3,10,37.5,RB,Virginia
1635,Mike Sanders,1651,1987,1990,44,367,1651,4.5,4,37.5,RB,Boston College
1636,Chris Barnes,1650,1999,2000,20,275,1650,6,11,82.5,RB,New Mexico State
1637,Albert Johnson,1649,1969,1971,32,495,1649,3.3,18,51.5,QB,Cincinnati
1638,Jesse Owens,1649,1984,1987,34,469,1649,3.5,11,48.5,RB,Ohio
1639,Dave LeVeck,1648,1967,1969,30,346,1648,4.8,16,54.9,RB,Ohio
1640,Elijah Collins,1648,2018,2023,51,383,1648,4.3,13,32.3,RB,"Michigan State,Oklahoma State"
1641,Keffer McGee,1647,1994,1996,25,323,1647,5.1,16,65.9,RB,Mississippi State
1642,Yoncy Edmonds,1647,1992,1995,44,345,1647,4.8,10,37.4,RB,Rice
1643,Art Cantrelle,1644,1969,1971,32,397,1644,4.1,9,51.4,RB,LSU
1644,B.J. Catalon,1644,2012,2014,32,328,1644,5,16,51.4,RB,Texas Christian
1645,Clenton Crossley,1644,2001,2004,42,366,1644,4.5,17,39.1,RB,South Florida
1646,Nelson Smith,1644,2017,2020,48,330,1644,5,18,34.3,FB,Navy
1647,Richard Pickens,1644,1966,1968,30,306,1644,5.4,4,54.8,RB,Tennessee
1648,Jamie Tyler,1642,1998,2001,37,407,1642,4,18,44.4,RB,Rice
1649,Jeff Haney,1642,1975,1978,41,381,1642,4.3,8,40,RB,Wichita State
1650,Tony Pierson,1642,2011,2014,40,284,1642,5.8,9,41.1,RB,Kansas
1651,George Bell,1641,1977,1980,42,380,1641,4.3,14,39.1,RB,Hawaii
1652,John Walker,1641,1980,1983,43,388,1641,4.2,17,38.2,RB,Texas
1653,Tommy Durrance,1641,1969,1971,32,448,1641,3.7,18,51.3,RB,Florida
1654,Bob Madden,1640,1966,1968,30,374,1640,4.4,7,54.7,RB,Dayton
1655,Jakobi Buchanan,1640,2019,2023,51,420,1640,3.9,28,32.2,RB,Army
1656,Charles McClelland,1639,2018,2022,42,268,1639,6.1,12,39,RB,Cincinnati
1657,Ray Hudson,1639,2001,2004,42,278,1639,5.9,7,39,RB,Alabama
1658,Cameron Carroll,1638,2018,2024,40,312,1638,5.3,19,41,RB,"Florida,Tulane"
1659,Destin Coates,1638,2018,2021,32,326,1638,5,16,51.2,RB,Georgia State
1660,Mike Brown,1638,1982,1984,34,219,1638,7.5,15,48.2,RB,Air Force
1661,Bill Gatti,1636,1968,1970,31,318,1636,5.1,5,52.8,RB,Louisville
1662,Danny Miller,1636,1977,1981,47,287,1636,5.7,17,34.8,RB,The Citadel
1663,Darryl Tucker,1636,1978,1980,33,291,1636,5.6,7,49.6,RB,Central Michigan
1664,Dick Conley,1636,1966,1968,30,382,1636,4.3,18,54.5,RB,Ohio
1665,Kaipo-Noa Kaheaku-Enhada,1636,2005,2008,40,374,1636,4.4,26,40.9,QB,Navy
1666,Kenneth Tolon,1636,2001,2004,41,386,1636,4.2,12,39.9,RB,Stanford
1667,Len Sexton,1636,1995,1996,21,293,1636,5.6,12,77.9,RB,Wyoming
1668,Alex Allen,1635,2005,2010,51,381,1635,4.3,23,32.1,RB,Akron
1669,Leodis Flowers,1635,1988,1990,28,247,1635,6.6,18,58.4,RB,Nebraska
1670,Danny Smith,1634,2000,2002,34,313,1634,5.2,16,48.1,RB,Arkansas State
1671,Marshall Foreman,1634,1983,1986,44,401,1634,4.1,16,37.1,RB,Arkansas
1672,Kaiser Holman,1633,1976,1980,44,366,1633,4.5,19,37.1,RB,Miami (OH)
1673,Terry Isaacson,1633,1961,1963,30,390,1633,4.2,18,54.4,QB,Air Force
1674,Donnie Shanklin,1630,1966,1968,30,324,1630,5,10,54.3,WR,Kansas
1675,Ken Wood,1630,1974,1976,33,440,1630,3.7,14,49.4,RB,Air Force
1676,Venric Mark,1630,2010,2013,42,280,1630,5.8,13,38.8,RB,Northwestern
1677,Benny Cunningham,1629,2009,2012,37,336,1629,4.8,21,44,RB,Middle Tennessee State
1678,Emmanuel Michel,1629,2021,2023,33,329,1629,5,16,49.4,FB,Air Force
1679,Malik Sherrod,1629,2020,2024,39,315,1629,5.2,14,41.8,RB,Fresno State
1680,Marvin Kinsey,1629,2016,2019,41,303,1629,5.4,17,39.7,RB,Colorado State
1681,Rodrigues Clark,1629,2019,2024,42,366,1629,4.5,10,38.8,RB,"Memphis,Southern Mississippi"
1682,Trevor Etienne,1629,2022,2024,26,273,1629,6,14,62.7,RB,"Florida,Georgia"
1683,Joe Wylie,1628,1970,1972,33,273,1628,6,17,49.3,RB,Oklahoma
1684,Larry Van Pelt,1628,1979,1981,28,343,1628,4.7,9,58.1,RB,Princeton
1685,Desmond Johnson,1626,2009,2012,28,295,1626,5.5,14,58.1,RB,Southern Mississippi
1686,Eldon Fortie,1624,1960,1962,31,364,1624,4.5,17,52.4,RB,BYU
1687,Jaycen Taylor,1624,2006,2009,35,290,1624,5.6,12,46.4,RB,Purdue
1688,Sewo Olonilua,1624,2016,2019,52,348,1624,4.7,18,31.2,RB,Texas Christian
1689,Anthony Dogan,1623,1974,1977,44,279,1623,5.8,19,36.9,RB,West Texas State
1690,Ronnie Weaver,1623,2008,2011,49,384,1623,4.2,17,33.1,RB,UCF
1691,Gary Blackwell,1622,1979,1982,44,355,1622,4.6,6,36.9,RB,Pacific
1692,Billy Main,1621,1967,1969,30,347,1621,4.7,16,54,RB,Oregon State
1693,David Eldridge,1621,1985,1989,40,286,1621,5.7,15,40.5,RB,Arizona
1694,Demaundray Woolridge,1621,2005,2009,33,301,1621,5.4,22,49.1,RB,"Idaho,Washington State"
1695,Kwane Doster,1621,2002,2004,33,339,1621,4.8,7,49.1,RB,Vanderbilt
1696,Larry Lawrence,1621,1974,1978,44,401,1621,4,11,36.8,RB,Arkansas State
1697,Marcus Thigpen,1621,2005,2008,47,337,1621,4.8,9,34.5,WR,Indiana
1698,Chevan Cordeiro,1620,2018,2023,61,514,1620,3.2,25,26.6,QB,"Hawaii,San Jose State"
1699,Fredi Knighten,1620,2012,2015,41,421,1620,3.8,21,39.5,QB,Arkansas State
1700,Hugh Scott,1620,1958,1960,27,336,1620,4.8,14,60,RB,Princeton
1701,Tory Harrison,1620,2006,2009,43,305,1620,5.3,24,37.7,RB,Southern Mississippi
1702,Ben Malena,1618,2010,2013,44,320,1618,5.1,22,36.8,RB,Texas A&M
1703,A.J. Harris,1616,2002,2005,45,342,1616,4.7,12,35.9,RB,Northern Illinois
1704,Ben Barnett,1616,1987,1989,33,380,1616,4.3,14,49,RB,Army
1705,Jonah Coleman,1616,2022,2024,29,259,1616,6.2,13,55.7,RB,"Arizona,Washington"
1706,Emari Demercado,1615,2018,2022,51,338,1615,4.8,10,31.7,RB,Texas Christian
1707,Rawleigh Williams III,1614,2015,2016,20,301,1614,5.4,13,80.7,RB,Arkansas
1708,Craedel Kimbrough,1613,1992,1995,43,371,1613,4.3,5,37.5,RB,Cincinnati
1709,Hodges Mitchell,1613,1972,1973,22,363,1613,4.4,5,73.3,RB,Florida State
1710,Reggie Merriweather,1612,2003,2006,45,331,1612,4.9,20,35.8,RB,Clemson
1711,Shaun Shivers,1612,2018,2022,55,344,1612,4.7,14,29.3,RB,"Auburn,Indiana"
1712,Bren Lowery,1611,1986,1989,44,402,1611,4,8,36.6,RB,Maryland
1713,Steve Campassi,1609,1972,1975,44,370,1609,4.3,8,36.6,RB,Kentucky
1714,CJ Donaldson,1608,2022,2024,23,309,1608,5.2,22,69.9,RB,West Virginia
1715,Rongea Hill,1607,1989,1992,44,384,1607,4.2,10,36.5,RB,SMU
1716,Crusoe Gongbay,1605,2011,2014,41,291,1605,5.5,14,39.1,RB,New Mexico
1717,Ricky Williams,1605,1979,1982,44,320,1605,5,7,36.5,RB,Florida State
1718,Sonny Utz,1605,1962,1964,30,375,1605,4.3,21,53.5,RB,Virginia Tech
1719,Crocky Nangle,1604,1976,1979,44,384,1604,4.2,14,36.5,RB,Holy Cross
1720,Darryl Clark,1604,1980,1982,32,310,1604,5.2,3,50.1,RB,Texas
1721,Derrick Thomas,1604,1983,1986,44,377,1604,4.3,12,36.5,RB,Arkansas
1722,John Wooldridge,1604,1983,1986,33,309,1604,5.2,13,48.6,RB,Ohio State
1723,Spencer Clark,1604,1976,1979,45,309,1604,5.2,16,35.6,RB,South Carolina
1724,David Glasco II,1603,2012,2014,34,356,1603,4.5,15,47.1,RB,UTSA
1725,Garrett Greene,1603,2020,2024,38,263,1603,6.1,24,42.2,QB,West Virginia
1726,William Andrews,1603,1998,1999,21,373,1603,4.3,13,76.3,RB,Northern Illinois
1727,Earl Johnson,1602,1983,1986,45,264,1602,6.1,17,35.6,RB,Oklahoma
1728,Jimy Lincoln,1601,1991,1994,39,380,1601,4.2,5,41.1,RB,Georgia Tech
1729,Steve Smith,1601,1980,1983,44,320,1601,5,29,36.4,QB,Michigan
1730,Mike Sherlock,1600,1977,1980,44,345,1600,4.6,7,36.4,RB,Navy
1731,Imani Cross,1599,2012,2015,51,326,1599,4.9,28,31.4,RB,Nebraska
1732,Treyvon Green,1598,2011,2016,57,352,1598,4.5,13,28,WR,"Fresno State,Northwestern"
1733,Ben Booker,1597,1978,1981,44,392,1597,4.1,6,36.3,RB,Lamar
1734,Jovon Jackson,1597,2002,2005,41,346,1597,4.6,13,39,RB,Tulane
1735,Larry Eilmes,1597,1963,1965,30,369,1597,4.3,7,53.2,RB,Washington State
1736,Shaquille Powell,1597,2012,2015,51,349,1597,4.6,7,31.3,RB,Duke
1737,Tommy Nathan,1597,1973,1974,18,376,1597,4.2,10,88.7,RB,Long Beach State
1738,Darrick Burnett,1596,1975,1978,44,376,1596,4.2,11,36.3,RB,Indiana
1739,Joe Henderson,1596,1987,1989,33,325,1596,4.9,14,48.4,RB,Clemson
1740,Kerry Marbury,1596,1971,1972,22,282,1596,5.7,22,72.5,RB,West Virginia
1741,Charlie Bowers,1595,1967,1969,30,423,1595,3.8,13,53.2,RB,North Carolina State
1742,D'Andre Hardeman,1595,1995,1998,48,286,1595,5.6,30,33.2,RB,Texas A&M
1743,Clarence Jones,1593,1984,1986,33,262,1593,6.1,20,48.3,RB,Army
1744,Dave Buchanan,1593,1968,1970,30,289,1593,5.5,19,53.1,RB,Arizona State
1745,Gerry Santini,1593,1966,1968,27,384,1593,4.1,11,59,RB,Pennsylvania
1746,Chris Anderson,1592,1990,1993,45,316,1592,5,14,35.4,RB,Alabama
1747,Stacey Mack,1591,1997,1998,22,298,1591,5.3,14,72.3,RB,Temple
1748,Cory Collier,1590,1983,1986,35,357,1590,4.5,8,45.4,RB,Georgia Tech
1749,Marquis Williams,1590,1996,1997,22,396,1590,4,13,72.3,RB,Louisiana-Monroe
1750,Mike Bailey,1590,1975,1978,44,373,1590,4.3,8,36.1,RB,Marshall
1751,Danny Andrews,1589,1981,1984,44,382,1589,4.2,13,36.1,RB,UCLA
1752,Jeff Grantz,1589,1972,1975,44,398,1589,4,26,36.1,QB,South Carolina
1753,John Short,1589,1968,1970,27,296,1589,5.4,17,58.9,RB,Dartmouth
1754,Bobby Wilson,1587,1975,1976,21,350,1587,4.5,14,75.6,RB,McNeese State
1755,Kelsey Finch,1587,1975,1978,45,348,1587,4.6,16,35.3,RB,Tennessee
1756,Angel Santiago,1586,2011,2014,30,416,1586,3.8,21,52.9,QB,Army
1757,Lawrance Toafili,1586,2020,2024,47,261,1586,6.1,14,33.7,RB,Florida State
1758,Troy Hambrick,1586,1996,1998,32,302,1586,5.3,14,49.6,RB,South Carolina
1759,Gary Fowler,1585,1967,1969,31,389,1585,4.1,14,51.1,RB,California
1760,Jaxson Kincaide,1585,2016,2021,56,314,1585,5,13,28.3,RB,"Nevada,Western Michigan"
1761,Chris Hopkins,1584,1992,1995,44,350,1584,4.5,8,36,RB,Arizona State
1762,Tim Sullivan,1584,1967,1970,30,357,1584,4.4,13,52.8,RB,Iowa
1763,Arion Worthman,1583,2016,2018,22,376,1583,4.2,20,72,QB,Air Force
1764,Bob Pfefferle,1583,1966,1968,30,303,1583,5.2,6,52.8,RB,Toledo
1765,D.D. Kyles,1583,2008,2011,34,284,1583,5.6,10,46.6,RB,Middle Tennessee State
1766,Walt Hodges,1583,1975,1976,19,431,1583,3.7,16,83.3,RB,Central Michigan
1767,Adrian Autry,1582,1995,1997,34,385,1582,4.1,12,46.5,RB,Northwestern
1768,Brandon Dawkins,1582,2015,2017,22,232,1582,6.8,20,71.9,QB,Arizona
1769,Brian Fields,1582,2010,2013,46,342,1582,4.6,13,34.4,RB,Western Michigan
1770,Derek Farmer,1582,2001,2003,30,364,1582,4.3,11,52.7,RB,Texas A&M
1771,Essray Taliaferro,1581,2010,2013,50,325,1581,4.9,13,31.6,RB,Marshall
1772,Ismail Mahdi,1581,2023,2024,16,274,1581,5.8,11,98.8,RB,Texas State
1773,Kavosiey Smoke,1581,2018,2023,56,294,1581,5.4,13,28.2,RB,"Colorado,Kentucky"
1774,Perry Foster,1581,1988,1989,21,381,1581,4.1,10,75.3,RB,Eastern Michigan
1775,Thomas Tyner,1581,2013,2017,33,292,1581,5.4,17,47.9,RB,"Oregon,Oregon State"
1776,Fred Whittingham,1580,1984,1989,48,351,1580,4.5,14,32.9,RB,BYU
1777,Kevin Ward,1580,1981,1984,43,406,1580,3.9,12,36.7,QB,UTEP
1778,Lewis Grubbs,1580,1970,1972,33,405,1580,3.9,15,47.9,RB,Mississippi State
1779,L.J. Brown,1580,1978,1980,33,375,1580,4.2,12,47.9,RB,Kansas State
1780,Tim Cannada,1580,1995,1997,33,328,1580,4.8,14,47.9,RB,Navy
1781,Ron Shotts,1578,1965,1967,30,415,1578,3.8,12,52.6,RB,Oklahoma
1782,Gene Belczyk,1577,1970,1972,32,284,1577,5.6,12,49.3,RB,Utah
1783,Kenyon Rasheed,1577,1989,1992,44,333,1577,4.7,17,35.8,RB,Oklahoma
1784,Tommy Ford,1577,1961,1963,30,355,1577,4.4,18,52.6,RB,Texas
1785,Tommy Foulks,1577,1974,1977,43,365,1577,4.3,12,36.7,RB,Arkansas State
1786,Bob Carson,1576,1971,1972,22,256,1576,6.2,15,71.6,RB,The Citadel
1787,Lee Ragsdale,1576,1995,1996,22,284,1576,5.5,10,71.6,RB,Louisiana Tech
1788,Malcolm King,1576,1984,1987,40,330,1576,4.8,17,39.4,RB,Georgia Tech
1789,Mike Botti,1576,1986,1989,42,368,1576,4.3,11,37.5,RB,Rutgers
1790,Chris Relf,1575,2008,2011,36,400,1575,3.9,9,43.8,QB,Mississippi State
1791,Jaquez Johnson,1575,2013,2015,32,392,1575,4,19,49.2,QB,Florida Atlantic
1792,Justin Rankin,1575,2016,2018,34,348,1575,4.5,10,46.3,RB,Kent State
1793,Todd Bushnell,1574,1970,1972,25,318,1574,4.9,6,63,RB,William & Mary
1794,James Coleman,1573,1975,1977,33,350,1573,4.5,10,47.7,RB,Illinois
1795,Tyler Smith,1573,2007,2011,36,330,1573,4.8,7,43.7,RB,Rice
1796,Hosey Williams,1572,2013,2015,30,279,1572,5.6,8,52.4,RB,Cincinnati
1797,Tony Brown,1572,1983,1985,32,326,1572,4.8,10,49.1,RB,Central Michigan
1798,Alvin Maddox,1571,1975,1978,44,339,1571,4.6,14,35.7,RB,Maryland
1799,Dylan McDuffie,1571,2018,2023,51,311,1571,5.1,16,30.8,RB,"Buffalo,Georgia Tech,Kansas"
1800,Jordan Hall,1571,2009,2013,48,305,1571,5.2,14,32.7,RB,Ohio State
