,,,,,,Rushing,,,,,,
Rk,Player,Yds,From,To,G,Att,Yds,Y/A,TD,Y/G,Pos,Team
1601,Ted Heiskell,1668,1968,1970,31,314,1668,5.3,20,53.8,RB,Houston
1602,Abram Smith,1667,2018,2021,42,269,1667,6.2,13,39.7,LB,Baylor
1603,Bob Jackson,1667,1973,1975,33,372,1667,4.5,11,50.5,RB,Navy
1604,Jason Van Matre,1667,1990,1993,44,430,1667,3.9,4,37.9,QB,Navy
1605,Jeff Dufresne,1667,1978,1980,28,450,1667,3.7,14,59.5,RB,Dartmouth
1606,Leroy Holt,1667,1986,1989,44,378,1667,4.4,12,37.9,RB,USC
1607,A'Mod Ned,1666,2005,2008,38,404,1666,4.1,10,43.8,RB,Florida International
1608,Chris Richards,1666,1986,1988,33,399,1666,4.2,14,50.5,RB,California
1609,Reggie Whatley,1666,2011,2014,48,281,1666,5.9,12,34.7,RB,Middle Tennessee State
1610,Anthony Stafford,1664,1985,1988,44,264,1664,6.3,19,37.8,RB,Oklahoma
1611,Micah Bernard,1664,2019,2024,43,290,1664,5.7,8,38.7,RB,Utah
1612,Dontae Smith,1663,2019,2023,53,308,1663,5.4,16,31.4,RB,Georgia Tech
1613,Kelley Joiner Jr.,1663,2019,2024,50,314,1663,5.3,8,33.3,RB,South Florida
1614,Michael Johnson,1663,1980,1983,46,307,1663,5.4,14,36.2,RB,New Mexico
1615,Bernie Kress,1662,1966,1968,30,383,1662,4.3,17,55.4,RB,Dayton
1616,Ray Hornblower,1662,1967,1969,27,349,1662,4.8,13,61.6,RB,Harvard
1617,Brandon Jones,1661,2002,2005,49,360,1661,4.6,10,33.9,RB,Purdue
1618,Tommy Davis,1661,1981,1984,43,455,1661,3.7,9,38.6,RB,Iowa State
1619,Terry Jackson II,1660,2001,2003,35,315,1660,5.3,8,47.4,RB,Minnesota
1620,Bill Gary,1658,1970,1973,38,423,1658,3.9,18,43.6,RB,Ohio
1621,Brandon Minor,1658,2006,2009,43,331,1658,5,20,38.6,RB,Michigan
1622,Art Seymore,1656,1970,1972,33,437,1656,3.8,10,50.2,RB,Maryland
1623,Michael Richardson,1655,1988,1990,31,350,1655,4.7,19,53.4,RB,Louisiana Tech
1624,Rodney Kinlaw,1655,2004,2007,44,323,1655,5.1,12,37.6,RB,Penn State
1625,Billy Johnson,1654,1976,1980,55,361,1654,4.6,8,30.1,RB,North Carolina
1626,Centarius Donald,1654,2010,2014,42,346,1654,4.8,14,39.4,RB,Louisiana-Monroe
1627,Charles Shaw,1654,1972,1974,33,354,1654,4.7,6,50.1,RB,Wyoming
