,,,,,,,,,,,Receiving,,,,,,
Rk,Player,Yds,Draft Team,Round,Pick,Draft Year,Draft College,From,To,G,Rec,Yds,Y/R,TD,Y/G,Pos,Team
601,Melvin Bonner,1984,DEN,6,154,1993,Baylor,1989,1992,44,92,1984,21.6,19,45.1,WR,Baylor
602,Michael Thomas,1983,RAM,6,206,2016,Southern Mississippi,2014,2015,25,112,1983,17.7,19,79.3,WR,Southern Mississippi
603,Rodney Adams,1982,MIN,5,170,2017,South Florida,2013,2016,39,137,1982,14.5,16,50.8,WR,"South Florida,Toledo"
604,Troy Smith,1982,PHI,6,201,1999,East Carolina,1995,1998,43,129,1982,15.4,11,46.1,WR,East Carolina
605,Dezmon Patmon,1976,CLT,6,212,2020,Washington State,2016,2019,42,156,1976,12.7,13,47,WR,Washington State
606,Doug Donley,1976,DAL,2,53,1981,Ohio State,1977,1980,42,94,1976,21,14,47,WR,Ohio State
607,Kevin Kasper,1974,DEN,6,190,2001,Iowa,1997,2000,43,157,1974,12.6,11,45.9,WR,Iowa
608,Lee DeRamus,1974,NOR,6,184,1995,Wisconsin,1991,1993,33,119,1974,16.6,15,59.8,WR,Wisconsin
609,Gari Scott,1971,PHI,4,99,2000,Michigan State,1996,1999,43,128,1971,15.4,16,45.8,WR,Michigan State
610,Plaxico Burress,1970,PIT,1,8,2000,Michigan State,1998,1999,23,118,1970,16.7,17,85.7,WR,Michigan State
611,Derek Hill,1967,PIT,3,61,1989,Arizona,1985,1988,43,114,1967,17.3,14,45.7,WR,Arizona
612,Carl Ford,1966,GNB,7,256,2003,Toledo,1999,2002,46,149,1966,13.2,17,42.7,WR,Toledo
613,Hines Ward,1965,PIT,3,92,1998,Georgia,1994,1997,42,144,1965,13.6,11,46.8,RB,Georgia
614,Wes Chandler,1963,NOR,1,3,1978,Florida,1974,1977,44,92,1963,21.3,22,44.6,WR,Florida
615,Gordon Jones,1961,TAM,2,34,1979,Pitt,1975,1978,44,116,1961,16.9,18,44.6,WR,Pitt
616,Sean LaChapelle,1958,RAM,5,122,1993,UCLA,1990,1992,30,137,1958,14.3,14,65.3,WR,UCLA
617,Shaquelle Evans,1956,NYJ,4,115,2014,UCLA,2009,2013,46,133,1956,14.7,14,42.5,WR,"Notre Dame,UCLA"
618,Devier Posey,1955,HTX,3,68,2012,Ohio State,2008,2011,42,136,1955,14.4,18,46.5,WR,Ohio State
619,Freddie Mitchell,1955,PHI,1,25,2001,UCLA,1998,2000,33,110,1955,17.8,9,59.2,WR,UCLA
620,Tom Reynolds,1955,NWE,2,49,1972,San Diego State,1969,1971,21,117,1955,16.7,25,93.1,WR,San Diego State
621,Kevin White,1954,CHI,1,7,2015,West Virginia,2013,2014,23,144,1954,13.6,15,85,WR,West Virginia
622,Chuck Scott,1946,RAM,2,50,1985,Vanderbilt,1983,1984,22,124,1946,15.7,17,88.5,WR,Vanderbilt
623,Brycen Hopkins,1945,RAM,4,136,2020,Purdue,2016,2019,48,130,1945,15,16,40.5,TE,Purdue
624,Desmond Howard,1944,WAS,1,4,1992,Michigan,1989,1991,33,127,1944,15.3,30,58.9,WR,Michigan
625,Early Doucet,1943,CRD,3,81,2008,LSU,2004,2007,45,160,1943,12.1,20,43.2,WR,LSU
626,Laviska Shenault Jr.,1943,JAX,2,42,2020,Colorado,2017,2019,32,149,1943,13,10,60.7,WR,Colorado
627,Ted Ginn Jr.,1943,MIA,1,9,2007,Ohio State,2004,2006,37,135,1943,14.4,15,52.5,WR,Ohio State
628,Bob Newland,1941,NOR,7,172,1971,Oregon,1968,1970,31,125,1941,15.5,12,62.6,WR,Oregon
629,Chris Conley,1938,KAN,3,76,2015,Georgia,2011,2014,49,117,1938,16.6,20,39.6,WR,Georgia
630,Cris Collinsworth,1937,CIN,2,37,1981,Florida,1977,1980,44,120,1937,16.1,14,44,QB,Florida
631,Mike Quick,1934,PHI,1,20,1982,North Carolina State,1978,1981,44,116,1934,16.7,10,44,WR,North Carolina State
632,Tiquan Underwood,1931,JAX,7,253,2009,Rutgers,2005,2008,50,132,1931,14.6,16,38.6,WR,Rutgers
633,Percy Harvin,1929,MIN,1,22,2009,Florida,2006,2008,36,133,1929,14.5,13,53.6,WR,Florida
634,Justin Brown,1926,PIT,6,186,2013,Oklahoma,2009,2012,49,146,1926,13.2,8,39.3,WR,"Oklahoma,Penn State"
635,Tony Simmons,1923,NWE,2,52,1998,Wisconsin,1994,1997,41,97,1923,19.8,23,46.9,WR,Wisconsin
636,Parker Washington,1920,JAX,6,185,2023,Penn State,2020,2022,32,146,1920,13.2,12,60,WR,Penn State
637,Jack Clancy,1917,CRD,5,73,1966,Michigan,1963,1966,29,132,1917,14.5,10,66.1,RB,Michigan
638,Larry Vargo,1916,BUF,21,164,1961,Detroit Mercy,1959,1961,56,112,1916,17.1,24,34.2,WR,Detroit Mercy
639,Limas Sweed,1915,PIT,2,53,2008,Texas,2004,2007,44,124,1915,15.4,20,43.5,WR,Texas
640,Rhett Dawson,1915,OTI,10,240,1972,Florida State,1969,1971,31,128,1915,15,12,61.8,WR,Florida State
641,Rondale Moore,1915,CRD,2,49,2021,Purdue,2018,2020,20,178,1915,10.8,14,95.8,WR,Purdue
642,Chris Brantley,1914,RAM,4,108,1994,Rutgers,1990,1993,44,144,1914,13.3,17,43.5,WR,Rutgers
643,James Casey,1914,HTX,5,152,2009,Rice,2007,2008,25,157,1914,12.2,17,76.6,QB,Rice
644,Koren Robinson,1914,SEA,1,9,2001,North Carolina State,1999,2000,22,110,1914,17.4,15,87,WR,North Carolina State
645,Todd Kinchen,1911,RAM,3,60,1992,LSU,1989,1991,30,112,1911,17.1,10,63.7,WR,LSU
646,Mike Wallace,1910,PIT,3,84,2009,Ole Miss,2006,2008,37,101,1910,18.9,15,51.6,WR,Ole Miss
647,Derrick Alexander,1909,CLE,1,29,1994,Michigan,1989,1993,45,120,1909,15.9,21,42.4,WR,Michigan
648,Dave Jones,1904,CLE,11,280,1969,Kansas State,1966,1968,30,127,1904,15,5,63.5,WR,Kansas State
649,Rick Eber,1902,ATL,6,162,1968,Tulsa,1966,1967,20,119,1902,16,15,95.1,WR,Tulsa
650,Jordan Lasley,1901,RAV,5,162,2018,UCLA,2015,2017,29,113,1901,16.8,14,65.6,WR,UCLA
651,Shelton Gibson,1898,PHI,5,166,2017,West Virginia,2014,2016,38,84,1898,22.6,17,49.9,WR,West Virginia
652,Brian Thomas Jr.,1897,JAX,1,23,2024,LSU,2021,2023,38,127,1897,14.9,24,49.9,WR,LSU
653,Tony Hunter,1897,BUF,1,12,1983,Notre Dame,1979,1982,41,120,1897,15.8,5,46.3,WR,Notre Dame
